step,action,psnr_value,mse_value,ssim_value,rank,action
1,44295,5.540873767296085,0.2794165617591493,0.41114810894237563,1,[10 13  0  7]
2,53922,5.5429268921692785,0.27933399902944667,0.41147861102251854,2,[13  2 10  2]
3,5167,5.542926816703625,0.27933401310868966,0.4114386327189355,3,[ 1  4  2 15]
4,11071,5.54865093104528,0.2789793285896789,0.3525921134402237,4,[ 2 11  3 15]
5,20084,5.5497546110776135,0.27892378009213487,0.3551021673020143,5,[ 4 14  7  4]
6,56101,5.669332893442629,0.27144318036226955,0.3202678383180303,6,[13 11  2  5]
7,21418,6.034230967609325,0.24953516649199023,0.3441361493609517,7,[ 5  3 10 10]
8,29547,6.502913324817778,0.22530171534462168,0.38484817309901853,8,[ 7  3  6 11]
9,15905,6.643202644936298,0.21813980385116727,0.3999478158848168,9,[ 3 14  2  1]
10,20026,6.679782000902408,0.21634338103243272,0.3759378907868538,10,[ 4 14  3 10]
11,54360,6.695568568275392,0.21565696366327416,0.37790527413954766,11,[13  4  5  8]
12,52932,6.814929406412366,0.2098825813715221,0.3537170502127265,12,[12 14 12  4]
13,55417,7.002807537844107,0.2008997439280784,0.28200743475522594,13,[13  8  7  9]
14,16415,7.13509360801348,0.1959462855706861,0.2884400810877662,14,[ 4  0  1 15]
15,64460,7.1703712054976965,0.19438706311922185,0.24176981549581542,15,[15 11 12 12]
16,60466,7.175891810783224,0.19421859947525233,0.24181417104923394,16,[14 12  3  2]
17,30257,7.405531936535249,0.18422535044654587,0.2531710279754557,17,[7 6 3 1]
18,14119,7.435871439071419,0.18332534165077502,0.25456289217123296,18,[3 7 2 7]
19,65005,7.442235827441421,0.1830681896608224,0.2552898424233476,19,[15 13 14 13]
20,45562,7.442235827441421,0.18306829003307495,0.2552898424233476,20,[11  1 15 10]
21,27383,7.456711340644536,0.1824563556706682,0.20305116198918266,21,[ 6 10 15  7]
22,26001,7.549949675177232,0.17873188330396145,0.2078424247508534,22,[6 5 9 1]
23,96,7.560965686725006,0.1782887936513256,0.2034714777314202,23,[0 0 6 0]
24,38443,7.561522188277077,0.1782738341521237,0.20394843026623194,24,[ 9  6  2 11]
25,30754,7.5687126640303415,0.17789114452957147,0.2030620144525844,25,[7 8 2 2]
26,38204,7.992231894507235,0.16232725721668023,0.23643494786646124,26,[ 9  5  3 12]
27,56406,7.996587435876698,0.16207811878598646,0.23430094442876317,27,[13 12  5  6]
28,14790,8.0896852058791,0.15962256358846394,0.23831796665097016,28,[ 3  9 12  6]
29,21958,8.293310689583691,0.15323886266074166,0.23715552490290354,29,[ 5  5 12  6]
30,48121,8.446749345364443,0.1482108259529934,0.24071464621429348,30,[11 11 15  9]
31,57300,8.463773787192817,0.14747350920590702,0.2412749038470215,31,[13 15 13  4]
