step,action,psnr_value,mse_value,ssim_value,rank,action
1,53922,2.992910592024832,163382765689.94247,0.0054543272388670565,1,[ 3 11  6 22]
2,33201,2.9574012408301034,55777295459.96538,-0.010002825335282961,2,[2 3 3 1]
3,294175,2.958475311373348,2047858952.118114,-0.0021335578230799648,3,[18 20 17  0]
4,203156,3.023925982482024,8510928874.534675,-0.0011900178334170173,4,[13  0  1  6]
5,251075,2.9791015348605843,36411007738.60408,-0.008189344628726843,5,[16  1 18  0]
6,111718,3.0067636972922456,47211877106.001274,0.0021431242168907104,6,[ 7  3 18 18]
7,244071,2.9989171766937615,180260400681.22787,0.003754321557580824,7,[15 15 12 21]
8,323110,3.0766999077518244,1136840714961.7634,0.01128813870682625,8,[20 16 24 10]
9,16639,3.062622278508507,216790202520.55844,0.0016519424081760362,9,[ 1  1 15 14]
10,238917,3.0469375082733885,21599407057.95607,0.0030470464947874726,10,[15  7  6 17]
11,371138,3.1212824942733395,24376312171.531673,0.009077877899061806,11,[23 18 20 13]
12,364112,3.020661132572047,4346561466.277743,0.0043681492001058685,12,[23  7 14 12]
13,143492,3.0908233179849676,3775976123.746518,0.0074998494117238905,13,[ 9  4 14 17]
14,51930,3.0357473142732556,127438552.76708935,0.0026790516138621725,14,[3 8 2 5]
15,60334,3.044573372370149,457793222.36874014,0.011675362963088026,15,[ 3 21 13  9]
16,170632,2.987721938452888,518040525.5041622,0.004492481788615659,16,[10 23  0  7]
17,161513,2.9653886637224685,595556634.591812,-0.0017215646596302192,17,[10  8 10 13]
18,222609,3.044671605805609,33440924.29491936,-0.0018464525718325457,18,[14  6  4  9]
19,261658,3.0382901930223345,30343555.229359742,0.0010433995791127913,19,[16 18 16  8]
20,23432,3.048904087699439,32990242.760125548,0.0030064940382981986,20,[ 1 12 12  7]
21,161826,2.9991409806204503,45237457.71627404,-0.0016042408529109875,21,[10  8 23  1]
22,300348,3.101257262058846,87315036.00050464,0.006045354029206791,22,[19  5 13 23]
23,80326,3.109671421858158,206954217.38071334,0.0015570488258468604,23,[ 5  3 13  1]
24,221203,3.1479088818992027,83243869.36956486,0.010920864834382555,24,[14  3 23  3]
25,87720,3.006419156413979,11059909.855300227,0.0060130504665082555,25,[ 5 15  8 20]
26,10321,3.122227710889705,16116102.797437567,0.006120381567492628,26,[ 0 16 12 21]
27,82529,3.1218605079388944,177196072.8087676,0.009411724658447345,27,[5 7 1 4]
