step,action,psnr_value,mse_value,ssim_value,rank,action
1,53922,3.0485901344138915,114843028987.08748,0.007016193769186327,1,[ 3 11  6 22]
2,33201,2.9996190762747355,52417751566.14542,-0.01055300551473319,2,[2 3 3 1]
3,294175,3.031110734180552,1062741188.6488769,0.006187580240085982,3,[18 20 17  0]
4,203156,3.0311162081847813,3582572089.390292,0.0008795577142333357,4,[13  0  1  6]
5,251075,3.0186584213410947,18464994441.21451,-0.007352944186291953,5,[16  1 18  0]
6,111718,3.0206611325722097,57076079498.44571,-0.003117906107146895,6,[ 7  3 18 18]
7,244071,3.0753807924304066,136008372455.5083,0.01169922010331519,7,[15 15 12 21]
8,323110,3.090823317984803,218950418156.41324,0.003839670714436797,8,[20 16 24 10]
9,16639,2.9107072895576596,168271233653.35126,-0.011802849879502197,9,[ 1  1 15 14]
10,238917,3.0060884354754647,35706790432.50721,-0.007757802416575319,10,[15  7  6 17]
11,371138,3.054054228305256,22466882526.23284,0.01186936345009046,11,[23 18 20 13]
12,364112,3.088837035377805,2197526320.795587,0.0043942972686412275,12,[23  7 14 12]
13,143492,3.088704685827881,3633930560.816743,0.005835491660649394,13,[ 9  4 14 17]
14,51930,3.03688994169179,160228596.83326322,0.005530986505196007,14,[3 8 2 5]
15,60334,3.1086597257072435,315817955.3919112,0.0001399650753783019,15,[ 3 21 13  9]
16,170632,3.0296354321735715,308653779.65757155,0.0019266041462712308,16,[10 23  0  7]
17,161513,2.9644203490728604,403257716.39439803,-0.0029658218697801203,17,[10  8 10 13]
18,222609,3.018464738556445,20298085.463354338,-0.002235354472193687,18,[14  6  4  9]
19,261658,3.01362876823356,34540529.72633756,0.007763588242617258,19,[16 18 16  8]
20,23432,3.0599391186167435,23306399.47667074,0.009463618154426357,20,[ 1 12 12  7]
21,161826,3.036707204663867,39334773.15231414,-0.0028021565131652907,21,[10  8 23  1]
22,300348,3.116569705430103,57606976.843705446,0.01793376692007291,22,[19  5 13 23]
23,80326,3.1598033191849884,164093015.25121,-0.002489696565549178,23,[ 5  3 13  1]
24,221203,3.070082004923906,72003647.46262461,0.0018145971061167268,24,[14  3 23  3]
25,87720,2.987249892684774,10170939.91344109,-0.005727867499994729,25,[ 5 15  8 20]
26,10321,3.04459074403953,16281247.463341279,-0.0012049454962470396,26,[ 0 16 12 21]
27,82529,3.1026085794554312,136218367.01809075,0.005054000121683499,27,[5 7 1 4]
28,24466,2.9813132930516977,49384756.54837678,-0.017043771776077344,28,[ 1 14  3 16]
29,288986,3.089318683695275,1494612.6534090089,0.010228495812861425,29,[18 12  9 11]
30,277987,3.0079135909539834,5701360.309206502,-0.009014469527600788,30,[17 19 19 12]
31,81719,3.025495508557338,5561949.723224549,0.0466288273374913,31,[ 5  5 18 19]
32,244373,2.992037866432255,5552196.953364166,-0.0019824584607069646,32,[15 15 24 23]
33,310033,3.21075749980982,3331198.0413579163,0.0052136281457428576,33,[19 21  1  8]
