step,action,psnr_value,mse_value,ssim_value,rank,action
1,358083,5.577109137852223,0.27719342502067884,0.09399040260046501,1,[22 22 23  8]
2,359783,5.070345537882432,0.3114640690907083,0.019289214335441406,2,[23  0 16  8]
3,374564,5.397872361356781,0.2889398189478528,0.06066431471885406,3,[23 24  7 14]
4,211543,5.749148696506028,0.2773631166486506,0.1155835765664746,4,[13 13 11 18]
5,370775,5.602549135149353,0.28733038047756065,0.11335756360401651,5,[23 18  6  0]
6,220760,5.819243109415291,0.2771304366350727,0.11702381839296928,6,[14  3  5 10]
7,329843,6.8533564959501305,0.21259065311696904,0.13029358253637335,7,[21  2 18 18]
8,332752,7.019099898759212,0.20094250633752417,0.12009185680097997,8,[21  7 10  2]
9,73135,7.03103703617113,0.20053621452143125,0.1294629729838786,9,[ 4 17  0 10]
10,370648,7.981622917220102,0.1667909939439618,0.2241053578665886,10,[23 18  0 23]
11,199827,7.98508621503537,0.16713397956013104,0.22671957908373833,11,[12 19 18  2]
12,221607,7.988860126715062,0.16703018439741282,0.2271130714432627,12,[14  4 14  7]
13,381567,8.546833296581797,0.14727443350607208,0.25112320603626576,13,[24 10 12 17]
14,303648,8.78624347057626,0.13957032303373126,0.2658954299052674,14,[19 10 20 23]
15,125603,8.66466002330226,0.1429365626755578,0.2483168213420019,15,[ 8  0 24  3]
16,227838,8.851452002307791,0.13754435027045875,0.2470635762775089,16,[14 14 13 13]
17,320290,8.83326975080108,0.13687718474786817,0.25905382012405626,17,[20 12 11 15]
18,370816,8.639847384116138,0.14530614257070484,0.228674206661041,18,[23 18  7 16]
19,151078,9.226081860468408,0.12724817500609098,0.25655113177497957,19,[ 9 16 18  3]
20,134632,9.304354654624454,0.12453036086569846,0.27429119740833463,20,[ 8 15 10  7]
21,247401,9.314075186967305,0.12422283562260746,0.2768183155545143,21,[15 20 21  1]
22,46522,9.43647442194234,0.12159432308305113,0.2899553133034946,22,[ 2 24 10 22]
23,159719,9.54803926032846,0.12163900615316234,0.25129013771274333,23,[10  5 13 19]
24,192425,9.547071958335827,0.12164412596444854,0.25123713935257075,24,[12  7 22  0]
25,47883,9.542234337770372,0.12173692255966598,0.25144585454661855,25,[ 3  1 15  8]
26,237998,9.607731726726563,0.12062311399710016,0.256573966133407,26,[15  5 19 23]
27,182883,9.62221484040749,0.1201751301680335,0.26330468654052913,27,[11 17 15  8]
28,271925,9.6309670968299,0.11991672901451857,0.268290758710791,28,[17 10  2  0]
29,373510,9.340839390250228,0.1269997614987431,0.2696127733912935,29,[23 22 15 10]
30,345135,9.332247378276195,0.1273449173631878,0.26853287497119127,30,[22  2  5 10]
31,138084,9.778202502339823,0.11701721497933941,0.28054383632778657,31,[ 8 20 23  9]
32,271540,9.796505979295477,0.12007343346620328,0.278032824990238,32,[17  9 11 15]
33,175331,9.82797145154604,0.11975253317764482,0.2805811113067282,33,[11  5 13  6]
34,146199,9.833296551670557,0.11965680021211883,0.2808685135744463,34,[ 9  8 22 24]
35,270896,9.8953418855025,0.11831405981268253,0.34005896995600954,35,[17  8 10 21]
