step,action,psnr_value,mse_value,ssim_value,rank,action
1,293372,5.740610704320046,0.2669288226683913,0.11819774849112819,1,[18 19  9 22]
2,167302,5.84164198395748,0.26078351856905674,0.08365734990017891,2,[10 17 17  2]
3,282090,5.889366290827153,0.25792585916210903,0.07937775337525453,3,[18  1  8 15]
4,365212,5.89192199467413,0.2577746837605323,0.08304126904984564,4,[23  9  8 12]
5,26103,5.969556900720212,0.25320429347037365,0.08849422084118361,5,[ 1 16 19  3]
6,175582,5.976318701117771,0.2528137306190083,0.09687206463694648,6,[11  5 23  7]
7,99335,5.969116028937044,0.2532316470310239,0.0992103115976499,7,[ 6  8 23 10]
8,299327,6.174962810673295,0.24165751210525846,0.11362649058635986,8,[19  3 23  2]
9,128896,6.176737026329818,0.2415591894672559,0.11441287510284091,9,[ 8  6  5 21]
10,323900,6.186998066556713,0.24096692959315488,0.10646612901654623,10,[20 18  6  0]
11,131503,6.180448792963204,0.24133907007998778,0.09778703336600775,11,[ 8 10 10  3]
12,167914,6.186563913746422,0.24109526144215188,0.09708949960419842,12,[10 18 16 14]
13,361785,6.217922760494998,0.23939428595480267,0.09049546465220837,13,[23  3 21 10]
14,176643,6.2171394387131516,0.23943489133895943,0.09053835754472118,14,[11  7 15 18]
15,132916,6.257681657049425,0.23727442639474694,0.09239710614857556,15,[ 8 12 16 16]
16,271696,6.321425068243492,0.23386860474700244,0.0931872068180585,16,[17  9 17 21]
17,328986,6.410243224189599,0.22919333748097906,0.09784395965954448,17,[21  1  9 11]
18,75368,6.426657930501754,0.2283040336795705,0.09693005073705548,18,[ 4 20 14 18]
19,214142,6.502194994075228,0.2243715859511408,0.10178840804717523,19,[13 17 15 17]
20,238871,6.603924118451374,0.21916710096105327,0.11301862507423188,20,[15  7  4 21]
21,20793,6.631716349547608,0.21800045903746612,0.1343534572007133,21,[ 1  8  6 18]
22,10835,6.6567782137631095,0.216739867306225,0.13275318856500987,22,[ 0 17  8 10]
23,89881,6.712029124026894,0.21410314423894242,0.12709861029096278,23,[ 5 18 20  6]
24,200647,6.700761529901418,0.21465162245849784,0.1297471758592838,24,[12 21  0 22]
25,220462,7.006121654198346,0.20024750985923156,0.14099422374106388,25,[14  2 18 12]
26,250784,7.010505650304699,0.20004666963659812,0.13916044519209095,26,[16  1  6  9]
27,275825,7.03704889009638,0.19874387333902915,0.12564915218582684,27,[17 16  8  0]
28,75597,7.038306483807753,0.19872757163163596,0.12495148308478678,28,[ 4 20 23 22]
29,33229,7.029839663439914,0.19906801951252243,0.12247772306893052,29,[2 3 4 4]
30,247558,7.331951413394479,0.18573401894452654,0.13229730991582953,30,[15 21  2  8]
31,63052,7.323996134884761,0.18612687102987371,0.1339544417907111,31,[ 4  0 22  2]
32,69595,7.749481590499422,0.1688591080020636,0.1530553125999722,32,[ 4 11  8 20]
33,101064,7.933840218868405,0.1618985206852442,0.1650347983533108,33,[ 6 11 17 14]
34,197675,7.920176591763096,0.16241495880492557,0.16669202637343317,34,[12 16  7  0]
35,304903,7.9841066756099455,0.1598952100019227,0.17885338206583465,35,[19 12 21  3]
36,331565,7.984972330420441,0.1598628608431419,0.17910699755652343,36,[21  5 12 15]
37,342226,7.981353416839888,0.15998935134748485,0.17700125448896106,37,[21 22 14  1]
38,82016,8.035993674258332,0.15800448652316929,0.17145477479969476,38,[ 5  6  5 16]
39,64337,8.05719007747136,0.15724319018697103,0.16969080654753924,39,[ 4  2 23 12]
40,190343,8.052955666130558,0.15737556710678005,0.16942466369087444,40,[12  4 13 18]
41,130708,8.088641859573473,0.15609209114061962,0.17858197596228728,41,[8 9 3 8]
42,371104,8.349184056865372,0.14705159697050058,0.19167464502796275,42,[23 18 19  4]
43,311448,8.351211695734625,0.14698787742476396,0.19269132442950135,43,[19 23  7 23]
44,267123,8.545749787983695,0.14065226216341473,0.19557277358461383,44,[17  2  9 23]
45,113255,8.585504292121698,0.1392756525508809,0.20004528893892407,45,[7 6 5 5]
46,356618,8.663713233944668,0.13680483523119494,0.20554278516977129,46,[22 20 14 18]
47,182742,8.937612618419713,0.12893613801923254,0.21968590450530567,47,[11 17  9 17]
48,380102,8.939083771702318,0.12888605182308108,0.21900246454585484,48,[24  8  4  2]
49,269327,9.1017250237806,0.12425172361978072,0.215194702048143,49,[17  5 23  2]
50,146309,9.21590374056478,0.12100297350252431,0.20539482743979876,50,[9 9 2 9]
51,346032,9.238059138218635,0.12051842465925447,0.20729444916225911,51,[22  3 16  7]
52,334309,9.238002833304733,0.12050408137020052,0.2078230909761349,52,[21  9 22  9]
53,284341,9.237939194774684,0.12049331416916875,0.20891777086745314,53,[18  4 23 16]
54,296788,9.285570694933202,0.11926895186264283,0.20810583081426057,54,[18 24 21 13]
55,118328,9.302440528081275,0.11884390424742132,0.210218653201531,55,[ 7 14  8  3]
56,237973,9.362326601217834,0.11750674412459762,0.21673364062112072,56,[15  5 18 23]
57,295608,9.364716382911954,0.11746952625551485,0.2189887091774589,57,[18 22 24  8]
58,310159,9.461066927876667,0.11518971403382129,0.22339865263302217,58,[19 21  6  9]
59,14535,9.499339560867032,0.11421780934816733,0.2222743855749394,59,[ 0 23  6 10]
60,159541,9.525327303989146,0.11352046014403659,0.21840463930174084,60,[10  5  6 16]
61,376232,9.526554391023682,0.11344761527416324,0.21830296703913432,61,[24  1 24  7]
62,71118,9.525029181441885,0.11348304192060686,0.21890244276565063,62,[ 4 13 19 18]
63,342990,9.54144637640412,0.11306763471866256,0.21771270225406808,63,[21 23 19 15]
64,194944,9.543552582344256,0.11301330630529675,0.21782529859896538,64,[12 11 22 19]
65,185812,9.622527897670903,0.11095780554275582,0.22113245169371418,65,[11 22  7 12]
66,128595,9.636717731912865,0.110578380145351,0.2244272119952021,66,[ 8  5 18 20]
67,377500,9.640643622617999,0.11048505530742361,0.22352052097853511,67,[24  4  0  0]
68,161847,9.65762096081116,0.11002866814797192,0.2248537177721043,68,[10  8 23 22]
69,105641,9.663785012633252,0.10983986010898511,0.22491919123261103,69,[ 6 19  0 16]
70,115520,9.711396290124437,0.10881025164374236,0.23267809509255488,70,[ 7  9 20 20]
71,198302,9.773398888007385,0.10731376344460317,0.23436254243276916,71,[12 17  7  2]
72,27534,9.850088910916842,0.10556743254580053,0.23976168782771837,72,[ 1 19  1  9]
73,258134,10.258013911263038,0.09644963498027181,0.2509134227591147,73,[16 13  0  9]
74,172423,10.254699234729031,0.09650714569117166,0.25065465280621574,74,[11  0 21 23]
75,355044,10.283884891288794,0.09595773616838738,0.2572010855356371,75,[22 18  1 19]
