step,action,psnr_value,mse_value,ssim_value,rank,action
1,358083,6.024409284387346,0.24997683381140232,0.560220736542174,1,[22 22 23  8]
2,359783,6.04112583408893,0.24901650179997087,0.5204010160234794,2,[23  0 16  8]
3,374564,6.154208644703899,0.24261623328328133,0.503478750280157,3,[23 24  7 14]
4,211543,6.154208644703899,0.24261624226271064,0.503478750280157,4,[13 13 11 18]
5,370775,6.1561508107281195,0.24255512965216158,0.5026233795932724,5,[23 18  6  0]
6,220760,6.217201559561142,0.23916558430843343,0.4319663222439786,6,[14  3  5 10]
7,329843,6.256605384749903,0.23700522568932447,0.40545930819358283,7,[21  2 18 18]
8,332752,6.388468007451438,0.23001824463986523,0.39671940253966753,8,[21  7 10  2]
9,73135,6.477020421404554,0.22534578355134835,0.3990657448805006,9,[ 4 17  0 10]
10,370648,6.4770203943667415,0.22534579024249785,0.3990475703552596,10,[23 18  0 23]
11,199827,6.4775564230429685,0.22533214504336632,0.3985271524055794,11,[12 19 18  2]
12,221607,6.524778606275046,0.22286804580107294,0.35177451721932457,12,[14  4 14  7]
13,381567,6.627811589239392,0.21778635015779169,0.36741305095432153,13,[24 10 12 17]
14,303648,6.699572744950723,0.2141977321765668,0.36932584718334,14,[19 10 20 23]
15,125603,6.700117569917346,0.21417959545126347,0.369468003120369,15,[ 8  0 24  3]
16,227838,6.93814232514809,0.20325112127768358,0.36513945762555816,16,[14 14 13 13]
17,320290,6.944138427175512,0.2029479318837852,0.3687029706503857,17,[20 12 11 15]
18,370816,7.01660952191205,0.19976444412535188,0.3646435725639276,18,[23 18  7 16]
19,151078,7.035815259688078,0.19895909192340172,0.3551703690063456,19,[ 9 16 18  3]
20,134632,7.08419385363945,0.1967538479640773,0.34507854491950085,20,[ 8 15 10  7]
21,247401,7.11291080272339,0.19549749605936217,0.33093244391088916,21,[15 20 21  1]
22,46522,7.303342279590709,0.18784792043070034,0.3255242579103978,22,[ 2 24 10 22]
23,159719,7.303342191250321,0.1878479322201859,0.3254618312411668,23,[10  5 13 19]
24,192425,7.303974778241374,0.18781906949920768,0.32369179772610635,24,[12  7 22  0]
25,47883,7.4344349135370456,0.1823270219605237,0.3268502866003824,25,[ 3  1 15  8]
26,237998,7.434597768616924,0.18230630479755883,0.31724189518262774,26,[15  5 19 23]
27,182883,7.485205331731654,0.18027456697321567,0.29698293577223234,27,[11 17 15  8]
28,271925,7.497014052417292,0.1798631390936028,0.29882043547189374,28,[17 10  2  0]
29,373510,7.53176728733837,0.17854137670337758,0.2922455145232079,29,[23 22 15 10]
30,345135,7.553112580479233,0.1777896086985008,0.2950995166233762,30,[22  2  5 10]
31,138084,7.677359893122663,0.17386681223554723,0.2928522243137973,31,[ 8 20 23  9]
32,271540,7.678829519961424,0.1738032450834634,0.28055268397682337,32,[17  9 11 15]
33,175331,7.686299312088744,0.17350520298507136,0.2815210893314448,33,[11  5 13  6]
34,146199,7.696329470441057,0.17323448397855346,0.2829751145098386,34,[ 9  8 22 24]
35,270896,7.733649277651791,0.1718421512746888,0.28500655499728833,35,[17  8 10 21]
36,108101,7.733893154612501,0.17183361858625384,0.28254839743471566,36,[ 6 22 24  1]
37,302277,7.799521304009582,0.16939326499403934,0.23149232260783856,37,[19  8 16  2]
38,93790,7.827299962174442,0.16824662635907545,0.23149410685353203,38,[ 6  0  1 15]
39,24777,7.8460390244818035,0.1675340655355289,0.1922966863433347,39,[ 1 14 16  2]
40,387455,7.858097668470473,0.16698339143089366,0.19217317852422627,40,[24 19 23  5]
41,323714,7.910608848493169,0.16500666946853568,0.19179997450999992,41,[20 17 23 14]
42,268665,7.9144979743023045,0.16487822614173606,0.1909855126610751,42,[17  4 21 15]
43,260219,7.936794377347669,0.16413328848301867,0.19012993686614674,43,[16 16  8 19]
44,108483,7.940260480073283,0.16403295593291228,0.1888635874123673,44,[ 6 23 14  8]
45,37073,7.940563847761988,0.16401893548502994,0.18752739362821305,45,[ 2  9  7 23]
46,248370,7.958416253721081,0.163359004530104,0.14519788745547402,46,[15 22  9 20]
47,80577,7.959118676610512,0.1633374072880528,0.14341621392706344,47,[ 5  3 23  2]
48,36950,8.004040003621025,0.16203132788676158,0.14276720110414876,48,[2 9 3 0]
49,360755,8.007022430162934,0.16193160182242428,0.14212809945776192,49,[23  2  5  5]
50,341072,8.07555119981038,0.15982111913187547,0.14352615717951978,50,[21 20 17 22]
51,368915,8.075549076713383,0.1598304520904363,0.14348237446284076,51,[23 15  6 15]
52,374314,8.075531789408751,0.15982325761501998,0.14368654477027942,52,[23 23 22 14]
53,245325,8.075759093918226,0.15981058160939865,0.14357534812809936,53,[15 17 13  0]
54,243998,8.268129865025752,0.15296986845353677,0.16695484995351606,54,[15 15  9 23]
55,8286,8.268574983958548,0.15295314579298466,0.16513828901524605,55,[ 0 13  6 11]
56,371938,8.275719802720626,0.15272341345580134,0.16601111463951732,56,[23 20  2 13]
57,13640,8.294939418230179,0.15229802754444172,0.1669209252805355,57,[ 0 21 20 15]
58,3912,8.298641377480987,0.1521775002722541,0.16743538431914134,58,[ 0  6  6 12]
59,321859,8.326284004416099,0.151238708559722,0.16828313536343795,59,[20 14 24  9]
60,7997,8.370296406409118,0.14970591325694696,0.16801291612331784,60,[ 0 12 19 22]
61,70381,8.3737974173008,0.14960758854937448,0.1684457787638715,61,[ 4 12 15  6]
62,316412,8.565895422536641,0.1433551629534377,0.17379057648715374,62,[20  6  6 12]
63,103243,8.652184389449026,0.14027730798215815,0.17738343880208285,63,[ 6 15  4 18]
64,173584,8.653040118884078,0.14025915595104052,0.17750881285518688,64,[11  2 18  9]
65,114713,8.65222210979423,0.14028419627060612,0.17740827921184768,65,[ 7  8 13 13]
66,370128,8.677783127630626,0.139464435815662,0.17742053225687074,66,[23 17  5  3]
67,124349,8.677641508851394,0.1394648018016258,0.17734817789121882,67,[ 7 23 23 24]
68,276051,8.678572100443617,0.13943499979247173,0.17781071427465783,68,[17 16 17  1]
69,300539,8.8053716033073,0.1360204065785958,0.19132090868781826,69,[19  5 21 14]
70,60155,8.810140261037073,0.1357605392364032,0.18970350976964462,70,[ 3 21  6  5]
71,104489,8.811309209104783,0.13570941801324699,0.1896924340295884,71,[ 6 17  4 14]
72,248082,8.810538180738735,0.13574696077321713,0.18965076612533785,72,[15 21 23  7]
73,251009,8.858211068771107,0.13421856162267068,0.18984019042022326,73,[16  1 15  9]
74,239478,8.935066374481995,0.13177453280301998,0.19473268702317134,74,[15  8  4  3]
75,94275,8.954896785738148,0.13136442833416803,0.194872580256635,75,[ 6  0 21  0]
76,306130,8.986705490199228,0.13084451414212236,0.19516870632031824,76,[19 14 20  5]
77,317414,8.987225135270677,0.1308535647942612,0.19559290999260961,77,[20  7 21 14]
78,143651,8.989946871176965,0.13080094328817649,0.1957246478857778,78,[ 9  4 21  1]
79,133847,8.999996648363682,0.13030441308312002,0.19442504938933336,79,[ 8 14  3 22]
80,215595,9.000377491826653,0.13030104421102004,0.19460016813649525,80,[13 19 23 20]
81,174743,9.004258860270395,0.13022676304479028,0.19030896666104952,81,[11  4 14 18]
82,279726,9.015993195739956,0.13014788461022944,0.1927239732443988,82,[17 22 14  1]
83,338467,9.122814091463756,0.1267223662870063,0.2028050754827159,83,[21 16 13 17]
84,82727,9.128380742825605,0.12656805428726256,0.20344926936746652,84,[5 7 9 2]
85,221059,9.129711587291663,0.12656343710121437,0.20468406315681575,85,[14  3 17  9]
86,134958,9.130787790054253,0.1265508429552661,0.20398991702815983,86,[ 8 15 23  8]
87,247583,9.135987099161373,0.12643162951299092,0.20374511611126211,87,[15 21  3  8]
88,113417,9.144703393514819,0.12614935012665118,0.20452996232777573,88,[ 7  6 11 17]
89,207650,9.14617757164635,0.1260938360121767,0.20209431158679902,89,[13  7  6  0]
90,173986,9.151392524503843,0.12592649042173762,0.2027177350043546,90,[11  3  9 11]
91,201471,9.151428364144794,0.12592502274203798,0.20263077531099116,91,[12 22  8 21]
92,383012,9.152310112117855,0.12589292758962983,0.19840057762073182,92,[24 12 20 12]
93,263038,9.282936222765304,0.12236973566651868,0.1994814751660271,93,[16 20 21 13]
94,63413,9.295225021007433,0.12212619903935756,0.19950410393377843,94,[ 4  1 11 13]
95,321745,9.298532287002816,0.12208942022817765,0.200854072842249,95,[20 14 19 20]
96,91504,9.29731485325463,0.12211793575785296,0.20066401395959216,96,[ 5 21 10  4]
97,6004,9.298410189818396,0.12209516619610049,0.20079499143261054,97,[ 0  9 15  4]
98,372912,9.30394778134302,0.12197789033621394,0.2005100119903685,98,[23 21 16 12]
99,101490,9.310147858751323,0.1218634152745266,0.19982372736772974,99,[ 6 12  9 15]
100,284446,9.32301405011967,0.12162477280495777,0.20059212528235876,100,[18  5  2 21]
101,133634,9.336352289263475,0.12133382087096506,0.19991022900207434,101,[ 8 13 20  9]
102,153669,9.341074130328938,0.1212426897148217,0.199507805467569,102,[ 9 20 21 19]
103,355069,9.340799459464687,0.12125514597477113,0.1992160836505726,103,[22 18  2 19]
104,93807,9.365996264573669,0.12075040507464692,0.19957359122736676,104,[6 0 2 7]
105,196555,9.367016270258178,0.12072317633424282,0.19963202106847125,105,[12 14 12  5]
106,93846,9.365202287002836,0.12075130386157852,0.19958312147088375,106,[ 6  0  3 21]
107,233746,9.36399865663156,0.12079493682947687,0.19957527003496187,107,[14 23 24 21]
108,369500,9.367757562764126,0.12071837514145227,0.19821084247856596,108,[23 16  5  0]
109,88157,9.395943682319214,0.11990213330007718,0.20034797010869923,109,[ 5 16  1  7]
110,258249,9.431443564306827,0.11899313669261319,0.20662266268670743,110,[16 13  4 24]
111,344393,9.436020566214141,0.11892253508943104,0.20796350520021017,111,[22  1  0 18]
112,278507,9.559096649321754,0.1163033089927354,0.21011041277557424,112,[17 20 15  7]
113,352214,9.567219963691114,0.11606869816987456,0.21238850461394726,113,[22 13 13 14]
114,197648,9.690446901708924,0.11319205800533091,0.21197021692123655,114,[12 16  5 23]
115,176264,9.690892596500532,0.11318674246051233,0.21213764306103822,115,[11  7  0 14]
116,140216,9.695991579188924,0.1129786141951292,0.21207288602208846,116,[ 8 24  8 16]
117,324695,9.697008030122534,0.11294008897782915,0.2114384694620467,117,[20 19 12 20]
118,237728,9.69767614027814,0.1129237845001815,0.210245078240109,118,[15  5  9  3]
119,314381,9.698581314649452,0.11293251000804448,0.2102794968015081,119,[20  3  0  6]
120,359738,9.698279134781274,0.11290619420746953,0.21021185575766896,120,[23  0 14 13]
121,308000,9.718366459923725,0.11196870728219947,0.20953957796580233,121,[19 17 20  0]
122,89514,9.71862912517907,0.11183743535285466,0.208285128673074,122,[ 5 18  5 14]
123,229330,9.724939865657825,0.11171435846003151,0.20972218327077624,123,[14 16 23  5]
124,52548,9.760652513176009,0.11085873596273596,0.2109619547342817,124,[ 3  9  1 23]
125,33415,9.769681891609642,0.11066334508410364,0.20817804079169297,125,[ 2  3 11 15]
126,12232,9.781961638863283,0.11030729068321234,0.20792451104529036,126,[ 0 19 14  7]
127,158856,9.792481966299437,0.11008665590518357,0.2095608110287304,127,[10  4  4  6]
128,175311,9.819471493311113,0.10954044519359304,0.21020707483542658,128,[11  5 12 11]
129,39335,9.813463765434115,0.10947935582859937,0.21005194182689685,129,[ 2 12 23 10]
130,183213,9.866191216919278,0.10839836183083534,0.20942096191116058,130,[11 18  3 13]
131,269745,9.864983863871624,0.10844673580392555,0.209867590948535,131,[17  6 14 20]
132,27867,9.871775970905253,0.10808942333407903,0.21233597371535773,132,[ 1 19 14 17]
133,224629,9.876448872221589,0.10801392413413415,0.21388834150759156,133,[14  9 10  4]
134,136482,9.882378351833188,0.10792911663694103,0.2139221020642205,134,[ 8 18  9  7]
135,94123,9.883969114175674,0.10809665006548458,0.2095527907770068,135,[ 6  0 14 23]
136,149303,9.86903267696236,0.10829309968794332,0.20535540292259974,136,[ 9 13 22  3]
137,207925,9.886101335586726,0.10783441389876389,0.2036440069346108,137,[13  7 17  0]
138,293982,9.92979980551802,0.1070431612014614,0.21962400261100556,138,[18 20  9  7]
139,73929,9.944136850301758,0.10704249977743785,0.20744754957696426,139,[ 4 18  7  4]
140,318764,9.931407701796095,0.10783972054488696,0.19164002895934382,140,[20 10  0 14]
141,364199,9.733426706129912,0.1126075369384631,0.20369513351062307,141,[23  7 17 24]
142,130061,9.883554780693714,0.10858244325603592,0.20782983160684904,142,[ 8  8  2 11]
