step,action,psnr_value,mse_value,ssim_value,rank,action
1,980,3.3988918203351566,244.66024099057134,-0.07272645086050034,1,[0 9 8 0]
2,882,3.0567337779582227,684.7478686852555,-0.1345345675945282,2,[0 8 8 2]
3,691,3.6025138490762427,220.43248414201062,-0.09031518548727036,3,[0 6 9 1]
4,9714,3.2282236178358565,14.380829607569613,-0.061805158853530884,4,[9 7 1 4]
5,6069,3.7357380034419716,16.721825141743757,0.07608713954687119,5,[6 0 6 9]
6,6187,3.767458813202932,38.56137634961633,0.059185195714235306,6,[6 1 8 7]
7,3059,3.9953077454737747,4.4518335174403525,0.06677763164043427,7,[3 0 5 9]
8,5871,3.2487758024562625,10.145769909170703,-0.07858546823263168,8,[5 8 7 1]
9,1977,3.6323775104763287,12.550252090155263,0.027427738532423973,9,[1 9 7 7]
10,1895,3.3770791409647902,9.613700888361782,-0.03764386102557182,10,[1 8 9 5]
11,3186,3.4654666894413886,11.299425789224916,-0.018397271633148193,11,[3 1 8 6]
12,60,3.563310591271984,9.328026900431723,-0.020953407511115074,12,[0 0 6 0]
13,8931,4.025626438828051,13.374363252932671,0.10842065513134003,13,[8 9 3 1]
14,7149,3.617292319962382,13.253075220286846,0.028206009417772293,14,[7 1 4 9]
15,2940,3.4726528745240475,18.777196605745704,-0.02358364500105381,15,[2 9 4 0]
16,393,3.7162924453084036,26.793530013614507,-0.04796849936246872,16,[0 3 9 3]
17,7139,3.3686592983297015,32.33561083741486,-0.08919080346822739,17,[7 1 3 9]
18,8607,3.4071489614799457,34.76779773427174,-0.07274141162633896,18,[8 6 0 7]
19,5079,3.3831082263069363,44.449914650768044,-0.048157040029764175,19,[5 0 7 9]
20,6189,3.4901715246849143,42.89848906407598,-0.040248505771160126,20,[6 1 8 9]
21,789,4.016113326168194,32.91719005133957,0.0344555638730526,21,[0 7 8 9]
22,961,3.9756731966941277,32.54661326956004,0.03827778995037079,22,[0 9 6 1]
23,1958,4.000009220753176,32.291348462002354,0.040991295129060745,23,[1 9 5 8]
24,1896,4.223750944478325,16.627863431051374,0.09177832305431366,24,[1 8 9 6]
25,8207,3.523867249063908,41.7196384813264,0.02172408066689968,25,[8 2 0 7]
26,7129,3.779998406202613,38.505419672955924,0.07639048993587494,26,[7 1 2 9]
27,792,4.0178463644663225,28.42254181516357,0.06727136671543121,27,[0 7 9 2]
28,6169,3.693487445977377,27.865840701386333,0.016586896032094955,28,[6 1 6 9]
29,4359,3.948865434633805,17.61693885419285,0.04808829724788666,29,[4 3 5 9]
30,394,3.55881850312814,15.998272505879159,-0.02661614492535591,30,[0 3 9 4]
31,781,3.5866823873807956,14.984376935964683,-0.022109944373369217,31,[0 7 8 1]
32,329,3.717826305315314,23.874035874512046,-0.020081326365470886,32,[0 3 2 9]
33,960,3.6450542541501676,15.37494046436157,-0.036050356924533844,33,[0 9 6 0]
34,1979,3.631532931717577,15.653151696845889,-0.03809506073594093,34,[1 9 7 9]
35,2036,3.565584792340837,14.648678122879938,-0.015303254127502441,35,[2 0 3 6]
36,394,3.3207426706141545,12.054259267039598,-0.03339693695306778,36,[0 3 9 4]
37,1932,3.325819538530272,12.099033686569891,-0.03310786560177803,36,[1 9 3 2]
38,194,3.4316312349505314,13.104774420527246,-0.013270360417664051,37,[0 1 9 4]
39,1049,3.551660871293717,11.595231758271112,0.0033655702136456966,38,[1 0 4 9]
40,8140,3.647419199762611,8.456276598110563,0.03686686232686043,39,[8 1 4 0]
41,244,3.7149254192245404,8.099365591249661,0.03334129974246025,40,[0 2 4 4]
42,2992,3.823543940322586,8.836641671664546,0.03659342601895332,41,[2 9 9 2]
43,6807,3.83838742286224,8.89203033558093,0.11401591449975967,42,[6 8 0 7]
44,792,3.96652060037721,8.430706576738157,0.10944303125143051,43,[0 7 9 2]
45,683,3.968050297912579,8.426583974761307,0.1093849316239357,43,[0 6 8 3]
46,164,4.0323509019384,8.192741058945249,0.10972726345062256,44,[0 1 6 4]
47,91,3.8799866086718833,8.014034776696935,0.09212895482778549,45,[0 0 9 1]
48,960,3.9567628653459104,8.0258105688449,0.09425222873687744,46,[0 9 6 0]
49,960,3.9613781875952636,8.026278745783493,0.09443242847919464,46,[0 9 6 0]
50,960,3.9599590433536145,8.031338617922739,0.09448330849409103,46,[0 9 6 0]
51,9820,3.9584527279021033,8.042804138255306,0.09442953020334244,46,[9 8 2 0]
52,4119,4.080743904126578,7.9446767880715194,0.09489365667104721,47,[4 1 1 9]
53,2080,3.8445589237445947,7.920443227136275,0.06912733614444733,48,[2 0 8 0]
54,9439,3.890928446384705,7.490217815502547,0.07560788094997406,49,[9 4 3 9]
55,2177,3.927129092577401,7.53842543614097,0.07888202369213104,50,[2 1 7 7]
56,194,3.9282009685687864,7.529984183285851,0.0791764184832573,51,[0 1 9 4]
57,1096,3.928573879712187,7.529211862431839,0.07936879247426987,51,[1 0 9 6]
58,796,3.596799271386937,7.072647705990821,0.059577036648988724,52,[0 7 9 6]
59,1069,3.8896984975538667,7.277284114004578,0.10043244063854218,53,[1 0 6 9]
60,1129,3.6311300794932153,7.109914489046205,0.07776777446269989,54,[1 1 2 9]
61,898,3.7082342300878013,6.827958851429575,0.09232983738183975,55,[0 8 9 8]
62,2951,3.5645739508632075,7.852374622728093,0.042943552136421204,56,[2 9 5 1]
63,7921,3.504861150516849,8.076971453493462,0.02319343015551567,57,[7 9 2 1]
