step,action,psnr_value,mse_value,ssim_value,rank,action
1,770,3.7002309708573327,3.2298265270223783,-0.00024923012824729085,1,[0 7 7 0]
2,9938,4.6402763726242915,0.4735482722596498,-0.006811202969402075,2,[9 9 3 8]
3,96,4.489152644954693,0.7745319607454485,-0.02833712100982666,3,[0 0 9 6]
4,7008,4.6669574660850035,0.6925983514962718,0.030248815193772316,4,[7 0 0 8]
5,2870,4.493932304062253,0.751472822786609,0.011521468870341778,5,[2 8 7 0]
6,7532,4.568659509398873,0.7358896014860875,0.03613090142607689,6,[7 5 3 2]
7,2098,4.664791021081054,0.5345985643025779,0.03143969923257828,7,[2 0 9 8]
8,588,5.340103850784517,0.4079457322151211,0.06103212758898735,8,[0 5 8 8]
9,3089,4.769800369085462,0.5442310404457384,-0.011960497125983238,9,[3 0 8 9]
10,8961,4.6630544246818655,0.5360091597070277,-0.016474347561597824,10,[8 9 6 1]
11,296,4.455598093932791,0.5588661915109276,-0.003014085814356804,11,[0 2 9 6]
12,3196,4.30639799244302,0.7104268235132623,-0.007157583720982075,12,[3 1 9 6]
13,2860,4.303204872845509,0.7140101927905743,-0.008163681253790855,13,[2 8 6 0]
14,3991,4.314236247709767,0.6959577922851758,-0.004971751011908054,14,[3 9 9 1]
15,3991,4.341298971048949,0.9620778187996484,0.0441109873354435,15,[3 9 9 1]
16,8258,4.34334518047736,0.9711168507647642,0.043867312371730804,15,[8 2 5 8]
17,2899,4.37274709062028,1.0676681608847138,0.07620164006948471,16,[2 8 9 9]
18,2997,4.424869441443146,1.0845233026725418,0.09585528075695038,17,[2 9 9 7]
19,9640,4.435993883306434,0.9101745068457967,0.11261141300201416,18,[9 6 4 0]
20,9640,4.43691431288928,0.9103863815742079,0.11258397251367569,19,[9 6 4 0]
21,9640,4.435467454389683,0.9048198515492549,0.11301913112401962,19,[9 6 4 0]
22,75,4.439028637555891,0.9066568181250477,0.11285550892353058,19,[0 0 7 5]
23,9316,4.482483833834808,0.7397752567986027,0.08277345448732376,20,[9 3 1 6]
24,9312,4.447635273212633,0.7200062329623507,0.08728601038455963,21,[9 3 1 2]
25,8973,4.339256883071926,0.7420823993390968,0.05480818822979927,22,[8 9 7 3]
26,3196,4.3633939235177435,0.651630473297555,0.016642503440380096,23,[3 1 9 6]
27,8005,4.345512201514795,0.6563290685262383,0.01609521545469761,23,[8 0 0 5]
28,3493,4.402482544841701,0.6291407618146695,0.0027351814787834883,24,[3 4 9 3]
29,1931,4.349702457632857,0.6589378590333217,-0.025072555989027023,25,[1 9 3 1]
30,8708,4.035420338090855,0.9244004090302042,-0.05133296176791191,26,[8 7 0 8]
31,1989,4.339898664704859,0.771833914295712,-0.07157421112060547,27,[1 9 8 9]
32,1989,4.663316465865426,0.669510288592428,0.01870492659509182,28,[1 9 8 9]
33,7937,4.683125828222159,0.6909217416277358,0.046698689460754395,28,[7 9 3 7]
34,1989,4.576194553539231,0.7819722903572256,0.022026019170880318,29,[1 9 8 9]
35,8907,4.549112820774313,0.8034961849253159,0.03383319824934006,29,[8 9 0 7]
36,1989,4.580261528303714,0.7318145761068444,-0.00040112753049470484,30,[1 9 8 9]
37,3850,4.573428243366558,0.7414550066419179,0.006091693881899118,30,[3 8 5 0]
38,8907,4.693036315864745,0.6982802815909963,-0.007183711975812912,31,[8 9 0 7]
39,170,4.689101727527598,0.6911773033160716,-0.012041017413139343,31,[0 1 7 0]
40,3582,4.441430667122451,0.8101764582369652,-0.001394082559272647,32,[3 5 8 2]
41,2670,4.555930400420382,0.7279042274648054,-0.0035000243224203587,33,[2 6 7 0]
42,850,4.796895925167279,0.8446511142537929,-0.006272073835134506,34,[0 8 5 0]
43,1686,5.242737818030475,0.6155939436397694,0.04476102814078331,35,[1 6 8 6]
44,686,5.038499527454855,0.6804402851772567,0.04479944333434105,36,[0 6 8 6]
45,1759,5.082744346548241,0.6710969507522168,0.04979657009243965,37,[1 7 5 9]
46,3290,4.935499282001288,0.6626693037315607,0.051187463104724884,38,[3 2 9 0]
47,7379,4.952147676228882,0.6561806260271987,0.05045946314930916,39,[7 3 7 9]
48,1769,4.952616912021297,0.6595907134299795,0.05295655131340027,40,[1 7 6 9]
49,1991,4.930863603516766,0.6698220145066444,0.04832851141691208,41,[1 9 9 1]
50,1191,5.269832410633683,0.5080977794478531,0.09511236101388931,42,[1 1 9 1]
51,1971,5.399993859045581,0.4606362204913239,0.08740019053220749,43,[1 9 7 1]
52,5903,6.009039838395365,0.4268374545929362,0.1680717170238495,44,[5 9 0 3]
53,2290,5.9307794563275,0.3675522965565324,0.17662212252616882,45,[2 2 9 0]
54,1780,6.090776438820473,0.3558267050237907,0.17519119381904602,46,[1 7 8 0]
55,199,6.106258523855553,0.3548128084619623,0.17672887444496155,47,[0 1 9 9]
56,8025,5.869498051969226,0.36498183064381123,0.15263016521930695,48,[8 0 2 5]
57,8627,5.858627905747776,0.3634134990986786,0.15370076894760132,49,[8 6 2 7]
58,189,5.76404965720336,0.4443344462898676,0.14488893747329712,50,[0 1 8 9]
59,78,5.760328420593748,0.4168230503931409,0.1493011713027954,51,[0 0 7 8]
60,1039,5.574391720554255,0.4336649938765913,0.1342378556728363,52,[1 0 3 9]
61,782,5.461745851502587,0.4511928497470217,0.1316518485546112,53,[0 7 8 2]
62,8207,5.45391558410707,0.4639943587315065,0.12884528934955597,54,[8 2 0 7]
