step,action,psnr_value,mse_value,ssim_value,rank,action
1,8309,6.541642423779028,0.22186017248779535,0.13481828570365906,1,[8 3 0 9]
2,191,6.633032300349445,0.21723115170374513,0.055651821196079254,2,[0 1 9 1]
3,582,6.432333561050938,0.22748262657318263,0.010404964908957481,3,[0 5 8 2]
4,957,6.775637247660948,0.2102031671104487,0.041259825229644775,4,[0 9 5 7]
5,1890,6.583868025003271,0.219693176229066,0.04388950392603874,5,[1 8 9 0]
6,7013,6.130639022953163,0.24385415514712805,0.01812087930738926,6,[7 0 1 3]
7,3168,5.981715014175409,0.25238208337061224,0.027835914865136147,7,[3 1 6 8]
8,1951,5.947391979858574,0.25440523587341884,-0.04411163181066513,8,[1 9 5 1]
9,6001,5.65265685771439,0.2725005751545541,-0.07076787203550339,9,[6 0 0 1]
10,2078,5.732663174584727,0.26741968272050143,-0.06121332198381424,10,[2 0 7 8]
11,3884,6.4590716168526985,0.22625544673694095,0.13623343408107758,11,[3 8 8 4]
12,9840,6.510092147985454,0.22368971258602188,0.13576063513755798,12,[9 8 4 0]
13,7038,6.8811301725345135,0.20514923867303878,0.18046188354492188,13,[7 0 3 8]
14,720,7.441853224881302,0.1803429902233529,0.24458763003349304,14,[0 7 2 0]
15,970,7.203874336005582,0.19053034725876386,0.2269923985004425,15,[0 9 7 0]
16,1149,7.203840690044572,0.19053172925069703,0.22700032591819763,16,[1 1 4 9]
17,279,7.485237637136599,0.17853495434254,0.26848113536834717,17,[0 2 7 9]
18,1059,7.4831875770398515,0.17861792137598967,0.2718733847141266,18,[1 0 5 9]
19,740,7.608432892524217,0.17355766121980196,0.29519781470298767,19,[0 7 4 0]
20,1419,7.687117605162436,0.17046358027670067,0.2959217429161072,20,[1 4 1 9]
21,1460,7.8164953614276556,0.1654849281704901,0.31708598136901855,21,[1 4 6 0]
22,1660,7.819164809821817,0.1653762689582436,0.31927964091300964,22,[1 6 6 0]
23,940,7.84796408315562,0.16425958742343938,0.3223111927509308,23,[0 9 4 0]
24,8106,7.831316875745324,0.16489028711090215,0.31822067499160767,24,[8 1 0 6]
25,594,7.68611515186177,0.17046395297203845,0.3314654529094696,25,[0 5 9 4]
26,6708,8.237254592099049,0.15144717054005014,0.3499167561531067,26,[6 7 0 8]
27,5028,8.464986347716115,0.14360611727230663,0.3293764293193817,27,[5 0 2 8]
28,2942,8.328960769847217,0.14837929514309509,0.30568963289260864,28,[2 9 4 2]
29,1192,8.318115443977002,0.14874975852020725,0.30284568667411804,29,[1 1 9 2]
30,750,8.28066040257401,0.15016539679814742,0.30337145924568176,30,[0 7 5 0]
31,5960,8.429806162463878,0.1451236989733593,0.32432985305786133,31,[5 9 6 0]
32,3960,8.490119732448617,0.14312219924286182,0.32962554693222046,32,[3 9 6 0]
33,1049,8.708105067140359,0.13588772257091478,0.3678323030471802,33,[1 0 4 9]
34,158,8.78769805139016,0.13355307535620115,0.40019115805625916,34,[0 1 5 8]
35,38,8.816147296599926,0.13274654381708387,0.39713791012763977,35,[0 0 3 8]
