step,action,psnr_value,mse_value,ssim_value,rank,action
1,1954,4.968537215915568,0.32506687409862933,0.08664839714765549,1,[1 9 5 4]
2,2952,4.8946626678699525,0.3278799277948565,0.09093504399061203,2,[2 9 5 2]
3,881,4.962204356257832,0.32101335949497295,0.11215529590845108,3,[0 8 8 1]
4,890,4.961300617772554,0.32108027664478866,0.11233363300561905,4,[0 8 9 0]
5,690,5.069989204012318,0.31524882020305084,0.08094243705272675,5,[0 6 9 0]
6,679,4.945514079576409,0.327265253197711,0.062117643654346466,6,[0 6 7 9]
7,4970,5.154854991730114,0.3108853635408195,0.06063615158200264,7,[4 9 7 0]
8,1775,5.399761475898348,0.29100066744489594,0.10873812437057495,8,[1 7 7 5]
9,3068,5.404415740016358,0.29041741902707147,0.10918406397104263,9,[3 0 6 8]
10,374,5.2683982370561155,0.29764177726092383,0.07793276757001877,10,[0 3 7 4]
11,1092,5.251308369764698,0.2988258041505469,0.08208824694156647,11,[1 0 9 2]
12,1291,5.432436548492211,0.28753374866617376,0.1533939242362976,12,[1 2 9 1]
13,73,5.628047930910438,0.2815510600054404,0.17766985297203064,13,[0 0 7 3]
14,8005,5.742539592802202,0.2823867139566573,0.19493824243545532,14,[8 0 0 5]
15,795,5.764157489657594,0.2790993297884461,0.21306245028972626,15,[0 7 9 5]
16,788,5.799374621995817,0.2775381317999017,0.20349833369255066,16,[0 7 8 8]
17,1129,5.858711331095233,0.2827016665825795,0.2551078200340271,17,[1 1 2 9]
18,8805,5.983072505573354,0.2697114088571834,0.2576400637626648,18,[8 8 0 5]
19,2689,5.96784878577541,0.27420457829879524,0.25189533829689026,19,[2 6 8 9]
20,4069,6.175648187079076,0.257095665083325,0.28089427947998047,20,[4 0 6 9]
21,2793,6.220539183165221,0.25274430869643766,0.2678477168083191,21,[2 7 9 3]
22,1169,6.346552707321025,0.24776995085961062,0.26150816679000854,22,[1 1 6 9]
23,3992,6.595333131882494,0.24139245416708718,0.3379325866699219,23,[3 9 9 2]
24,1079,6.603359019356242,0.2412274787966817,0.33552488684654236,24,[1 0 7 9]
25,2951,6.60328676977887,0.2412216112200258,0.3355059027671814,25,[2 9 5 1]
26,8907,6.802558808975446,0.23219297978634132,0.39387837052345276,26,[8 9 0 7]
27,797,7.194097959178355,0.20081174278904654,0.3911847472190857,27,[0 7 9 7]
28,9941,7.171411516211944,0.197589975344672,0.3804139494895935,28,[9 9 4 1]
29,750,7.404323182843823,0.18581421545241028,0.35709643363952637,29,[0 7 5 0]
30,479,7.434068802535102,0.18317787577198033,0.36566227674484253,30,[0 4 7 9]
31,179,7.732686606714822,0.174252453171066,0.3931017518043518,31,[0 1 7 9]
32,4820,7.7683267737862565,0.1721328913065372,0.39246946573257446,32,[4 8 2 0]
33,7038,7.766414040698448,0.1720929094219173,0.3926118016242981,33,[7 0 3 8]
34,2890,7.911914558381069,0.1665074081727289,0.37724044919013977,34,[2 8 9 0]
35,76,8.02861661609027,0.1619418741156187,0.3777085244655609,35,[0 0 7 6]
36,9015,7.997939043851106,0.16198824501218043,0.38126832246780396,36,[9 0 1 5]
37,83,7.973768199793032,0.1632232921866307,0.3786148428916931,37,[0 0 8 3]
38,381,8.153532961417133,0.15688701038041017,0.40108370780944824,38,[0 3 8 1]
39,9314,8.125453330560115,0.15843841463460706,0.411307156085968,39,[9 3 1 4]
40,85,8.295513522840452,0.15301028983151468,0.41795891523361206,40,[0 0 8 5]
41,2540,8.205340576730471,0.15847607603212283,0.4157317280769348,41,[2 5 4 0]
42,68,8.38652071238627,0.15210929420672983,0.43706876039505005,42,[0 0 6 8]
43,2993,8.56278161353553,0.14599899500855373,0.46501660346984863,43,[2 9 9 3]
44,397,8.64031612361269,0.14574288117830292,0.46827226877212524,44,[0 3 9 7]
45,692,8.657249179281093,0.1444651310945119,0.46888938546180725,45,[0 6 9 2]
46,3386,8.673188098634284,0.14369888514991772,0.4725779592990875,46,[3 3 8 6]
47,4992,8.931128416817709,0.13422680920254834,0.4920528829097748,47,[4 9 9 2]
48,1169,9.056922903163366,0.1295445049411319,0.49529924988746643,48,[1 1 6 9]
49,1169,9.056543432184247,0.12955623766509233,0.4952637553215027,48,[1 1 6 9]
50,1489,9.056581345735395,0.1295547619134959,0.4952680170536041,48,[1 4 8 9]
51,1199,9.324891662559253,0.12206052317291494,0.511629045009613,49,[1 1 9 9]
52,97,9.424463052073792,0.11884048205713058,0.5138289928436279,50,[0 0 9 7]
53,8705,10.031472948166844,0.10341233489914999,0.5321283936500549,51,[8 7 0 5]
54,9715,10.44277127931052,0.09439885822651604,0.5653802156448364,52,[9 7 1 5]
55,8305,10.46381296153331,0.09405793632561654,0.5646775960922241,53,[8 3 0 5]
56,9711,10.487485276962918,0.09352349308348494,0.5636648535728455,54,[9 7 1 1]
57,2089,10.439810731535264,0.09502094177354593,0.571606457233429,55,[2 0 8 9]
58,4580,10.485456480828015,0.09477211603072647,0.5734015107154846,56,[4 5 8 0]
59,4961,10.49983529419896,0.09444101106957532,0.5755959749221802,57,[4 9 6 1]
60,3850,10.499388605424203,0.09445492585378816,0.5756487250328064,58,[3 8 5 0]
61,5097,11.000715800680096,0.0833114181439214,0.5890175104141235,59,[5 0 9 7]
