step,action,psnr_value,mse_value,ssim_value,rank,action
1,6901,3.407018690734274,46541.834981412845,0.0004253253573551774,1,[ 1 10 15  5]
2,16320,3.4762650836444617,29011.28601898438,0.019001826643943787,2,[ 3 15 12  0]
3,8399,3.4488047771086077,76079.19122950196,0.031069114804267883,3,[ 2  0 12 15]
4,32708,3.4764813313885297,65758.39817414986,0.02982558310031891,4,[ 7 15 12  4]
5,32953,3.5021935037000924,574661.4762144376,0.009794340468943119,5,[ 8  0 11  9]
6,18657,3.501335721770103,1098549.3242437695,0.010421356186270714,6,[ 4  8 14  1]
7,3777,3.3358285878596745,1597072.5117148184,0.012990155257284641,7,[ 0 14 12  1]
8,20416,3.3896103376821456,11458.46465586713,0.005214744247496128,8,[ 4 15 12  0]
9,53027,3.5861264034984774,210877.6225658848,0.01956751011312008,9,[12 15  2  3]
10,33230,3.4890493466411217,3944.567731732423,0.028525149449706078,10,[ 8  1 12 14]
11,52561,3.2942150067262217,1365.059006915135,-0.0013417627196758986,11,[12 13  5  1]
12,740,3.40704890521057,2195.360495998269,0.029432374984025955,12,[ 0  2 14  4]
13,28658,3.2716477125368266,2373.7356997613897,-0.041904669255018234,13,[ 6 15 15  2]
14,15829,3.2107392293824057,3614.8586596258992,-0.027464376762509346,14,[ 3 13 13  5]
15,51535,3.3858161091420063,9037.170300573678,0.035526711493730545,15,[12  9  4 15]
16,65377,3.3537243290728314,1133.9761559772232,-0.011933473870158195,16,[15 15  6  1]
17,19344,3.396802932450088,781.1152413583804,0.027311930432915688,17,[ 4 11  9  0]
18,18148,3.5125616927653085,778.3481675399414,0.047625549137592316,18,[ 4  6 14  4]
19,4301,3.586586735236539,393.9444075252678,0.008374347351491451,19,[ 1  0 12 13]
20,31184,3.5331453613938546,153.55796075573787,-0.012385066598653793,20,[ 7  9 13  0]
21,60007,3.3317386568456895,1362.1079862714462,-0.022626236081123352,21,[14 10  6  7]
22,64639,3.446709205890575,6983.296763439267,0.009375187568366528,22,[15 12  7 15]
23,2991,3.3895986017071107,747.8223614043619,0.004971201531589031,23,[ 0 11 10 15]
24,19392,3.4487991063251937,902.9246463745048,-0.0024746181443333626,24,[ 4 11 12  0]
25,5883,3.3834855271201976,1726.88827741583,0.007108500227332115,25,[ 1  6 15 11]
26,31425,3.4412417132718787,510.2378917794563,0.021092861890792847,26,[ 7 10 12  1]
27,3986,3.6312197916458553,906.5252509431074,0.009014993906021118,27,[ 0 15  9  2]
28,12478,3.542909702940059,385.4196847749179,0.013801910914480686,28,[ 3  0 11 14]
29,6836,3.4324638874511244,464.4573969197151,-0.04119102284312248,29,[ 1 10 11  4]
30,25807,3.398314558843448,14.802929088545449,-0.0016658660024404526,30,[ 6  4 12 15]
31,28577,3.4213174258327586,147.91534161265412,-0.00848952867090702,31,[ 6 15 10  1]
32,3184,3.5112877016573654,241.49563989510506,-0.04274996742606163,32,[ 0 12  7  0]
33,227,3.4792773461854813,78.21782943626854,7.377937436103821e-05,33,[ 0  0 14  3]
34,24542,3.4565648191012768,71.6582506328584,-0.016657324507832527,34,[ 5 15 13 14]
35,24192,3.349538391330045,17.23393707369746,-0.0033883564174175262,35,[ 5 14  8  0]
36,27641,3.42765255276177,51.08076663636791,-0.0263851098716259,36,[ 6 11 15  9]
37,1004,3.211742325145571,73.85733020156715,-0.0251176655292511,37,[ 0  3 14 12]
38,15861,3.3809177742385863,9.492847233301518,-0.030707713216543198,38,[ 3 13 15  5]
39,32501,3.3820307549465016,13.824226134639503,-0.04019496589899063,39,[ 7 14 15  5]
40,3956,3.4945083736103983,41.12501763895123,-0.019556093961000443,40,[ 0 15  7  4]
41,2024,3.3889370221651975,10.428369864381972,-0.022620607167482376,41,[ 0  7 14  8]
42,1963,3.5654992240422914,30.057661372942597,-0.01349710114300251,42,[ 0  7 10 11]
43,2528,3.422725533703168,34.94563185731322,0.0032732621766626835,43,[ 0  9 14  0]
44,2811,3.504488663983655,26.859175180234303,0.0065531050786376,44,[ 0 10 15 11]
45,7568,3.398266621198101,4.143025169813484,0.003542468883097172,45,[ 1 13  9  0]
46,2487,3.465345411875531,4.002857827761574,0.0057159955613315105,46,[ 0  9 11  7]
47,16279,3.4070168841794435,9.59011184257156,-0.0025969622656702995,47,[ 3 15  9  7]
48,24192,3.4598833915928147,6.145436644276145,-0.02276797406375408,48,[ 5 14  8  0]
49,16846,3.5436004382638124,4.620420133948983,-0.00968957133591175,48,[ 4  1 12 14]
50,16591,3.3952440920614366,5.555747710822402,0.006013381760567427,49,[ 4  0 12 15]
51,2814,3.5206653807002115,8.203109818219023,0.022449640557169914,50,[ 0 10 15 14]
52,26078,3.4777882615741245,6.456619427907299,0.010953309014439583,51,[ 6  5 13 14]
53,1201,3.3419731407871547,7.715991305492722,0.00028283707797527313,52,[ 0  4 11  1]
54,208,3.63591704295351,4.6130554932223475,0.03121301345527172,53,[ 0  0 13  0]
55,14069,3.3047348712177476,6.249253071421698,0.012216266244649887,54,[ 3  6 15  5]
56,3281,3.4473610196128037,5.623762703710781,0.030184797942638397,55,[ 0 12 13  1]
57,28546,3.211564103472642,6.746169490867658,0.002718685194849968,56,[ 6 15  8  2]
