step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,4.758312379763159,0.33758210203317673,0.010528392158448696,1,[0 0 0 0]
2,0,4.724516885770277,0.34172809480656874,0.005353750195354223,2,[0 0 0 0]
3,0,4.719318519516806,0.3423322905507767,0.004827945027500391,2,[0 0 0 0]
4,0,4.717284847572429,0.342591964050196,0.004557953681796789,2,[0 0 0 0]
5,0,4.716445798223052,0.34269961109754987,0.004441471304744482,2,[0 0 0 0]
6,0,4.715439321148722,0.34281539013805584,0.0043387687765061855,2,[0 0 0 0]
7,0,4.71486804209495,0.34287966006853454,0.004263363778591156,2,[0 0 0 0]
8,0,4.71468433395104,0.34290570004253584,0.004204319324344397,2,[0 0 0 0]
9,0,4.714298131480511,0.34296107795652386,0.0041198269464075565,2,[0 0 0 0]
10,0,4.713977047571948,0.3430094577221523,0.0040464745834469795,2,[0 0 0 0]
11,0,4.713843447934236,0.3430319222699271,0.004002851899713278,2,[0 0 0 0]
12,0,4.713676474397329,0.3430536504362112,0.003976903855800629,2,[0 0 0 0]
13,0,4.713659660159696,0.34305840854719444,0.003972087986767292,2,[0 0 0 0]
14,0,4.713521252430926,0.3430733223557564,0.00396559527143836,2,[0 0 0 0]
15,0,4.713566595744473,0.34306218390998133,0.0039839353412389755,2,[0 0 0 0]
16,0,4.713450893319303,0.343083395216333,0.003944694995880127,2,[0 0 0 0]
17,0,4.713683799892402,0.34303777229621785,0.004025121685117483,2,[0 0 0 0]
18,0,4.713709707993428,0.34303230225675196,0.0040359701961278915,2,[0 0 0 0]
19,0,4.713892852304448,0.3430072064866488,0.004059604834765196,2,[0 0 0 0]
20,0,4.714062670515141,0.34298463484559216,0.004078829661011696,2,[0 0 0 0]
21,0,4.71412992478308,0.34297478768207446,0.0040843188762664795,2,[0 0 0 0]
22,0,4.714195565180333,0.34296409217728285,0.004100168589502573,2,[0 0 0 0]
23,0,4.714044319370188,0.3429901893588924,0.0040489910170435905,2,[0 0 0 0]
24,0,4.71422850025387,0.34296061909376857,0.004096598830074072,2,[0 0 0 0]
25,0,4.714316204837051,0.3429430663662626,0.004122985992580652,2,[0 0 0 0]
26,0,4.714188298245109,0.3429560822954168,0.004118028562515974,2,[0 0 0 0]
27,0,4.714050061896822,0.34297277997600184,0.0040960535407066345,2,[0 0 0 0]
28,0,4.713952634988035,0.3429818584201246,0.0041029383428394794,2,[0 0 0 0]
29,0,4.713919913516937,0.34298146937381535,0.004112306050956249,2,[0 0 0 0]
30,0,4.713864388780995,0.3429914587461282,0.004089811816811562,2,[0 0 0 0]
31,0,4.7138029114393385,0.34300224293944065,0.004072775132954121,2,[0 0 0 0]
32,0,4.713804258783147,0.34300130207652035,0.00407326128333807,2,[0 0 0 0]
33,0,4.713807562229949,0.34299851241672985,0.004071295261383057,2,[0 0 0 0]
34,0,4.713740167622803,0.34300687353740555,0.004071592353284359,2,[0 0 0 0]
35,0,4.7137182711105075,0.34301005818511826,0.004065010696649551,2,[0 0 0 0]
36,0,4.713761393450538,0.34300540340704644,0.004063405096530914,2,[0 0 0 0]
37,0,4.713788767515167,0.343001532165356,0.0040646204724907875,2,[0 0 0 0]
38,0,4.7138162296064845,0.3429967459640674,0.004073639400303364,2,[0 0 0 0]
39,0,4.713788341182114,0.34299985603048866,0.004069244954735041,2,[0 0 0 0]
40,0,4.7138129825288155,0.3429917839802711,0.004084356594830751,2,[0 0 0 0]
41,0,4.713794878457755,0.34299507833149834,0.004078715108335018,2,[0 0 0 0]
42,0,4.713756001185201,0.34299924048803965,0.004076754674315453,2,[0 0 0 0]
43,0,4.713831216589506,0.3429840055638199,0.004113074392080307,2,[0 0 0 0]
44,0,4.713709264343088,0.3430044291963409,0.004073889460414648,2,[0 0 0 0]
45,0,4.713905389112429,0.3429713286302978,0.00413146149367094,2,[0 0 0 0]
46,0,4.7139161451750695,0.3429713414826153,0.004126925952732563,2,[0 0 0 0]
47,0,4.713827002795774,0.34298683386007744,0.004092590417712927,2,[0 0 0 0]
48,0,4.713745892207757,0.34299886048785566,0.004080548882484436,2,[0 0 0 0]
49,0,4.713798889073875,0.3429922426614318,0.004085986874997616,2,[0 0 0 0]
50,0,4.714116440949443,0.34293802136606466,0.004172491375356913,2,[0 0 0 0]
51,0,4.714208265813095,0.34292271745407993,0.004191511310636997,2,[0 0 0 0]
52,0,4.714226212716544,0.3429166875266456,0.0042076148092746735,2,[0 0 0 0]
53,0,4.714415739803594,0.34288515941958064,0.0042492845095694065,2,[0 0 0 0]
54,0,4.71487253635395,0.34280878825109884,0.004369282629340887,2,[0 0 0 0]
55,0,4.715308155974652,0.34273138910409096,0.004499271046370268,2,[0 0 0 0]
56,0,4.715373924311245,0.34272019838219425,0.00451554823666811,2,[0 0 0 0]
57,0,4.715429564279808,0.3427103534622172,0.004529933445155621,2,[0 0 0 0]
58,0,4.715446865392886,0.342705548432852,0.0045428588055074215,2,[0 0 0 0]
59,0,4.715486692058608,0.34269821019718955,0.004553847946226597,2,[0 0 0 0]
60,0,4.715533342031486,0.3426893637317802,0.004566540475934744,2,[0 0 0 0]
61,0,4.715585227007142,0.3426812967497548,0.004579558968544006,2,[0 0 0 0]
62,0,4.715641433055648,0.3426720775102676,0.0045904372818768024,2,[0 0 0 0]
63,0,4.715837613519386,0.342635351057507,0.004652299918234348,2,[0 0 0 0]
64,0,4.71577360708754,0.3426481464442974,0.004628538619726896,2,[0 0 0 0]
65,0,4.7159249263579515,0.34261857991601563,0.004676479380577803,2,[0 0 0 0]
66,0,4.716731907590999,0.3424670201093427,0.004937791731208563,2,[0 0 0 0]
67,0,4.716802280068615,0.3424534242718169,0.004964449442923069,2,[0 0 0 0]
68,0,4.716828349232484,0.34244735664603776,0.004975926596671343,2,[0 0 0 0]
69,0,4.71689425562961,0.3424359378105525,0.004995010327547789,2,[0 0 0 0]
70,0,4.716941643996692,0.3424269461296279,0.005011233035475016,2,[0 0 0 0]
71,0,4.716971543899101,0.34242032684544677,0.00502305943518877,2,[0 0 0 0]
72,0,4.717030899912693,0.342410144102947,0.005040536634624004,2,[0 0 0 0]
73,0,4.717046738597375,0.3424053372350516,0.0050509474240243435,2,[0 0 0 0]
74,0,4.717100349545159,0.3423954914580666,0.005069945938885212,2,[0 0 0 0]
75,0,4.717135209191787,0.3423884297793105,0.005083263386040926,2,[0 0 0 0]
76,0,4.7172215582883155,0.3423702797898759,0.005115705542266369,2,[0 0 0 0]
77,0,4.7182156322710105,0.3422031058865201,0.005436830222606659,2,[0 0 0 0]
78,0,4.717196265982096,0.34237324036032024,0.0051163663156330585,2,[0 0 0 0]
79,0,4.7175759879388215,0.34230370261268683,0.00524244736880064,2,[0 0 0 0]
80,0,4.71728743601309,0.34235746488024105,0.005141108296811581,2,[0 0 0 0]
81,0,4.717348186005978,0.3423445867974248,0.005161246284842491,2,[0 0 0 0]
82,0,4.718694672498838,0.34213413626062117,0.005571069195866585,2,[0 0 0 0]
83,0,4.717404211230264,0.34233256560014186,0.005190336611121893,2,[0 0 0 0]
84,0,4.718758916755432,0.34212393407089736,0.005592764355242252,2,[0 0 0 0]
85,0,4.718802353819759,0.3421176664321761,0.005604763515293598,2,[0 0 0 0]
86,0,4.718850113523974,0.34211060846621344,0.005615683272480965,2,[0 0 0 0]
87,0,4.718340484864178,0.34218109104615313,0.005482339765876532,2,[0 0 0 0]
88,0,4.718899083928681,0.3421024597922527,0.005635308567434549,2,[0 0 0 0]
89,0,4.718918004545429,0.34209957005500646,0.005643045995384455,2,[0 0 0 0]
90,0,4.718935232275097,0.3420966014646034,0.0056508490815758705,2,[0 0 0 0]
91,0,4.718976425432721,0.34209052679852614,0.005662556272000074,2,[0 0 0 0]
92,0,4.719016810050354,0.3420845334027781,0.005674862768501043,2,[0 0 0 0]
93,0,4.7190542968642095,0.3420797897005227,0.005679896101355553,2,[0 0 0 0]
94,0,4.719090720070367,0.34207507658790226,0.00568791851401329,2,[0 0 0 0]
95,0,4.719150753658134,0.34206677221081955,0.005701464135199785,2,[0 0 0 0]
96,0,4.71918160544373,0.3420631999347207,0.005705815739929676,2,[0 0 0 0]
97,0,4.719536967359531,0.3420141001635268,0.005798777565360069,2,[0 0 0 0]
98,0,4.719248375622812,0.34205398084456196,0.005724387243390083,2,[0 0 0 0]
99,0,4.719284867710551,0.3420492160845168,0.0057323407381772995,2,[0 0 0 0]
100,0,4.71930929778019,0.3420460130797205,0.0057371268048882484,2,[0 0 0 0]
101,0,4.719352411233532,0.3420401097422405,0.005749213509261608,2,[0 0 0 0]
102,0,4.719381238535108,0.3420367257524243,0.005751917138695717,2,[0 0 0 0]
103,0,4.7194141286095554,0.34203245161556706,0.005759011022746563,2,[0 0 0 0]
104,0,4.720635780069914,0.3418799513191301,0.006051684729754925,2,[0 0 0 0]
105,0,4.720244201825871,0.34192581904736713,0.005964719690382481,2,[0 0 0 0]
106,0,4.719504803328181,0.34202096917329483,0.005780212115496397,2,[0 0 0 0]
107,0,4.721288460350723,0.3418030259476468,0.006200570147484541,2,[0 0 0 0]
108,0,4.721326495295724,0.3417986276884619,0.006208484061062336,2,[0 0 0 0]
109,0,4.719720973189006,0.3419935635441328,0.005831323564052582,2,[0 0 0 0]
110,0,4.720895281147629,0.3418491569516645,0.006110823713243008,2,[0 0 0 0]
111,0,4.721425517864436,0.3417860921604322,0.006235374137759209,2,[0 0 0 0]
112,0,4.719718560323082,0.3419939781473242,0.0058326940052211285,2,[0 0 0 0]
113,0,4.721485791429246,0.34177896122115103,0.006247810088098049,2,[0 0 0 0]
114,0,4.721493751745206,0.3417776226980986,0.006251497659832239,2,[0 0 0 0]
115,0,4.7215507172712545,0.34177090925969467,0.0062631601467728615,2,[0 0 0 0]
116,0,4.7197270363382335,0.34199357753310666,0.005835278891026974,2,[0 0 0 0]
117,0,4.721594436441524,0.34176516180666566,0.006278091575950384,2,[0 0 0 0]
118,0,4.721614384423866,0.3417628394159407,0.006282474379986525,2,[0 0 0 0]
119,0,4.7216623175221635,0.34175650026455806,0.006296985782682896,2,[0 0 0 0]
120,0,4.721677555237238,0.34175487218427514,0.006297876127064228,2,[0 0 0 0]
121,0,4.72171114756698,0.3417509797924167,0.00630303705111146,2,[0 0 0 0]
122,0,4.720466988933193,0.3418998395876899,0.006017324514687061,2,[0 0 0 0]
123,0,4.721756816726637,0.3417450927632242,0.00631600571796298,2,[0 0 0 0]
124,0,4.721794783250753,0.34174049815704033,0.00632290355861187,2,[0 0 0 0]
125,0,4.721825793559336,0.34173669657050354,0.006329232361167669,2,[0 0 0 0]
126,0,4.721843043590985,0.3417344290299771,0.00633480679243803,2,[0 0 0 0]
127,0,4.721892334651091,0.3417288288450659,0.006341812200844288,2,[0 0 0 0]
128,0,4.721898374720102,0.34172784186921,0.0063459184020757675,2,[0 0 0 0]
129,0,4.72211228338627,0.34169958008135015,0.006404543295502663,2,[0 0 0 0]
130,0,4.7219353747669395,0.3417229824239426,0.006355992518365383,2,[0 0 0 0]
131,0,4.721972493790352,0.34171809083177135,0.006366238463670015,2,[0 0 0 0]
132,0,4.722005313909412,0.34171434876129375,0.006369667127728462,2,[0 0 0 0]
133,0,4.722008270964856,0.3417134832432379,0.0063761393539607525,2,[0 0 0 0]
134,0,4.722026371727873,0.34171157845867073,0.006376901175826788,2,[0 0 0 0]
135,0,4.722049093595329,0.34170872503176125,0.00638242345303297,2,[0 0 0 0]
136,0,4.722927921069012,0.34159967448187567,0.006607400253415108,2,[0 0 0 0]
137,0,4.722078450963244,0.3417045936293276,0.006393503397703171,2,[0 0 0 0]
138,0,4.722094766617719,0.3417024907281804,0.0063979364931583405,2,[0 0 0 0]
139,0,4.72211553769192,0.3417000508432481,0.006400966085493565,2,[0 0 0 0]
140,0,4.723049068329258,0.3415851055307453,0.006635924801230431,2,[0 0 0 0]
141,0,4.723092429361712,0.34157985385074596,0.006646963767707348,2,[0 0 0 0]
142,0,4.722160379466355,0.34169411235151026,0.006414554547518492,2,[0 0 0 0]
143,0,4.722184798481598,0.3416911199480972,0.00641991849988699,2,[0 0 0 0]
144,0,4.723724068125606,0.3415031961608884,0.006808342877775431,2,[0 0 0 0]
145,0,4.722208933714523,0.3416881489989606,0.006427062675356865,2,[0 0 0 0]
146,0,4.7222352716716065,0.3416848460492702,0.006432494148612022,2,[0 0 0 0]
147,0,4.722105012995339,0.3417007853497918,0.006399736739695072,2,[0 0 0 0]
148,0,4.723749497003426,0.34149977605359116,0.006817104294896126,2,[0 0 0 0]
149,0,4.722262933325981,0.34168167417876283,0.006439754273742437,2,[0 0 0 0]
150,0,4.7222705603854624,0.34168025641666877,0.006445855367928743,2,[0 0 0 0]
151,0,4.722302340976057,0.3416756128428669,0.006459055934101343,2,[0 0 0 0]
152,0,4.723806101837029,0.3414924398496817,0.006835118867456913,2,[0 0 0 0]
153,0,4.722301146947361,0.34167648074490214,0.006453739944845438,2,[0 0 0 0]
154,0,4.723831816803849,0.3414889055908799,0.006842934992164373,2,[0 0 0 0]
155,0,4.7223423968058595,0.34167140344583913,0.006463667377829552,2,[0 0 0 0]
156,0,4.722346421544857,0.3416711324492851,0.006463611498475075,2,[0 0 0 0]
157,0,4.723849919905563,0.34148667596185944,0.006846443749964237,2,[0 0 0 0]
158,0,4.723600345648011,0.3415170750629715,0.006782479118555784,2,[0 0 0 0]
159,0,4.723317994542156,0.3415515897222927,0.006708856672048569,2,[0 0 0 0]
160,0,4.723652135142478,0.34151062118816444,0.006796051748096943,2,[0 0 0 0]
161,0,4.722415001018905,0.34166200129495894,0.0064830053597688675,2,[0 0 0 0]
162,0,4.723928194718358,0.3414765258888814,0.006867002695798874,2,[0 0 0 0]
163,0,4.72284519944825,0.34160904979644746,0.006592630408704281,2,[0 0 0 0]
164,0,4.722454257999068,0.3416578069531898,0.006489410996437073,2,[0 0 0 0]
165,0,4.722457653482327,0.34165678300099017,0.00649344502016902,2,[0 0 0 0]
166,0,4.722576120213771,0.34164233748974165,0.0065236398950219154,2,[0 0 0 0]
167,0,4.72398843457552,0.3414688082104213,0.006882919929921627,2,[0 0 0 0]
168,0,4.723462327223584,0.34153324571230625,0.006751385983079672,2,[0 0 0 0]
169,0,4.724003408096021,0.34146672060969624,0.00688821729272604,2,[0 0 0 0]
170,0,4.724015733291712,0.3414652840029869,0.006890459451824427,2,[0 0 0 0]
171,0,4.724033002888275,0.341462885104005,0.0068949246779084206,2,[0 0 0 0]
172,0,4.722547352292113,0.3416464988272824,0.006512201391160488,2,[0 0 0 0]
173,0,4.723750461112379,0.34149777148495286,0.006821604445576668,2,[0 0 0 0]
174,0,4.722875360917012,0.34160532535459776,0.006600924767553806,2,[0 0 0 0]
175,0,4.724077253017775,0.34145729744341924,0.006905119866132736,2,[0 0 0 0]
176,0,4.7240874180065076,0.34145619072188194,0.006906918715685606,2,[0 0 0 0]
177,0,4.724102449395609,0.3414542517593906,0.006910259835422039,2,[0 0 0 0]
178,0,4.72411488636029,0.3414528408795102,0.006912543438374996,2,[0 0 0 0]
179,0,4.724117543106993,0.34145215614024166,0.006914859637618065,2,[0 0 0 0]
180,0,4.7241236368287405,0.3414512115455239,0.006917478051036596,2,[0 0 0 0]
181,0,4.7241423774855935,0.3414484401170832,0.006923418492078781,2,[0 0 0 0]
182,0,4.724150525799181,0.3414481033707303,0.006921873427927494,2,[0 0 0 0]
183,0,4.724152513471211,0.34144745880053556,0.0069246538914740086,2,[0 0 0 0]
184,0,4.724168050055985,0.3414454813053375,0.006927737034857273,2,[0 0 0 0]
185,0,4.7241797803378685,0.3414442648089445,0.006929052993655205,2,[0 0 0 0]
