step,action,psnr_value,mse_value,ssim_value,rank,action
1,5086,6.180868166800886,0.24108125688508153,0.12687669694423676,1,[ 1  3 13 14]
2,1788,6.39972825507363,0.22922856290936267,0.07605458796024323,2,[ 0  6 15 12]
3,6867,6.36078035857911,0.23129605635949702,0.07513231039047241,3,[ 1 10 13  3]
4,19857,6.477499824605929,0.22515770785298628,0.07295127213001251,4,[ 4 13  9  1]
5,8350,6.479543605274687,0.22505144649153408,0.06808656454086304,5,[ 2  0  9 14]
6,20637,6.4812706867804115,0.2249618611108417,0.06741057336330414,6,[ 5  0  9 13]
7,11232,6.551844125634172,0.2213400511832333,0.11147542297840118,7,[ 2 11 14  0]
8,50949,6.698215767302234,0.21400447620976593,0.1273994743824005,8,[12  7  0  5]
9,24750,6.732993213209731,0.21229952838166355,0.13093551993370056,9,[ 6  0 10 14]
10,2785,6.7497214743849945,0.21148305344502205,0.12105412036180496,10,[ 0 10 14  1]
11,4852,6.7491036236577715,0.21151351832713772,0.12143361568450928,11,[ 1  2 15  4]
12,21293,7.201726403222696,0.19057688701542475,0.1767442673444748,12,[ 5  3  2 13]
13,4091,7.446352335534305,0.1801415088466456,0.20896437764167786,13,[ 0 15 15 11]
14,16208,7.874733533440226,0.16322112944862965,0.2434452772140503,14,[ 3 15  5  0]
15,62746,7.876623488683869,0.16315014164320019,0.24406608939170837,15,[15  5  1 10]
16,32226,7.866668897398069,0.16352411341904372,0.24512436985969543,16,[ 7 13 14  2]
17,24815,7.902131334041429,0.16219417739921482,0.23990923166275024,17,[ 6  0 14 15]
18,3035,7.879585629471652,0.16303923043415125,0.24886029958724976,18,[ 0 11 13 11]
19,6624,8.13818269583531,0.15372182497324616,0.26871174573898315,19,[ 1  9 14  0]
20,58175,8.108432261632966,0.15475038978286193,0.2664901912212372,20,[14  3  3 15]
21,7924,8.101958527080036,0.15497919174657682,0.2683313488960266,21,[ 1 14 15  4]
22,2533,8.101298405593539,0.155003225020792,0.26752474904060364,22,[ 0  9 14  5]
23,6135,8.13495957107217,0.15381160579163122,0.2688383460044861,23,[ 1  7 15  7]
24,6610,8.578427810012737,0.1398249575802879,0.24083498120307922,24,[ 1  9 13  2]
25,435,8.581713405268767,0.13969372246304346,0.2405347228050232,25,[ 0  1 11  3]
26,400,8.647403929055548,0.13773015691219825,0.24826179444789886,26,[0 1 9 0]
27,226,8.621579126920004,0.13853973711712797,0.2439158856868744,27,[ 0  0 14  2]
28,20733,8.72955828334835,0.13524014178693733,0.25864601135253906,28,[ 5  0 15 13]
29,40880,8.791782560796346,0.13331230680950057,0.2605181038379669,29,[ 9 15 11  0]
30,61718,8.850881386855592,0.13207865539112618,0.28038489818573,30,[15  1  1  6]
31,44043,8.86183580980411,0.13179645786090433,0.2812868356704712,31,[10 12  0 11]
32,6646,8.880755078429763,0.1312233808794403,0.28488266468048096,32,[ 1  9 15  6]
33,52809,8.93911527971092,0.12963161354736474,0.29217612743377686,33,[12 14  4  9]
34,1120,8.952795798766939,0.12919400858588848,0.2924008369445801,34,[0 4 6 0]
35,1986,9.034499257785187,0.12716213225985085,0.3099677562713623,35,[ 0  7 12  2]
36,10369,9.033926429926765,0.12717045414227512,0.3099631071090698,36,[2 8 8 1]
37,16613,9.072559944121895,0.12614641391573594,0.31617146730422974,37,[ 4  0 14  5]
38,18933,9.078276955163203,0.12598311374095061,0.3183184564113617,38,[ 4  9 15  5]
39,7327,9.076583038106477,0.12604940114222352,0.31764721870422363,39,[ 1 12  9 15]
40,7119,9.075154280479836,0.12608461541324,0.3178097605705261,40,[ 1 11 12 15]
41,11711,9.074970652018582,0.126089932213163,0.31774210929870605,41,[ 2 13 11 15]
42,32176,9.171170485811555,0.12343339234863038,0.33244237303733826,42,[ 7 13 11  0]
43,61251,9.46389546466863,0.11526117338577713,0.38103821873664856,43,[14 15  4  3]
44,42254,9.654519449058247,0.11030445139738099,0.4104161262512207,44,[10  5  0 14]
45,53105,9.630632379390645,0.11119148939152002,0.4129394590854645,45,[12 15  7  1]
46,24465,9.65449871644639,0.11083787173943449,0.42486852407455444,46,[ 5 15  9  1]
47,44819,9.649023905589374,0.11095965490069659,0.42310431599617004,47,[10 15  1  3]
48,1273,9.701081390161004,0.10962829383369588,0.4281911253929138,48,[ 0  4 15  9]
49,24304,9.661998693234663,0.11058167582176281,0.4291902780532837,49,[ 5 14 15  0]
50,7935,9.663076033242584,0.11055722809020097,0.43371352553367615,50,[ 1 14 15 15]
51,16495,9.836732571060754,0.10655795309600968,0.4366295337677002,51,[ 4  0  6 15]
52,4432,9.950201382717893,0.10395177807897937,0.46897977590560913,52,[1 1 5 0]
53,16782,10.121798114227285,0.10004812452912348,0.4864414930343628,53,[ 4  1  8 14]
54,5789,10.142231932871974,0.09967675803364728,0.4867098331451416,54,[ 1  6  9 13]
55,5585,10.151884205728134,0.09945815069871955,0.4879804849624634,55,[ 1  5 13  1]
56,8176,10.15112400293557,0.09943001151454167,0.4876501262187958,56,[ 1 15 15  0]
57,12463,10.14946106077655,0.09949164642635111,0.487600177526474,57,[ 3  0 10 15]
58,2036,10.183559574532053,0.09863313767351656,0.4907464385032654,58,[ 0  7 15  4]
59,21167,10.225855418197359,0.0974100624085863,0.49663615226745605,59,[ 5  2 10 15]
60,16225,10.231652287199939,0.09725179041404192,0.49722185730934143,60,[ 3 15  6  1]
61,11393,10.316843642890827,0.09567201923288615,0.5131034851074219,61,[ 2 12  8  1]
62,3819,10.490395820528907,0.09212382320816204,0.5384893417358398,62,[ 0 14 14 11]
63,7678,10.558619397909483,0.09052881239855903,0.5396422147750854,63,[ 1 13 15 14]
64,1252,10.556355394817334,0.09036622958229713,0.5378212928771973,64,[ 0  4 14  4]
65,19810,10.555701325437813,0.09040635549151316,0.5378666520118713,65,[ 4 13  6  2]
66,20321,10.591860907211403,0.08977618333708426,0.5426740646362305,66,[ 4 15  6  1]
67,65049,10.596478805380334,0.08962807863659406,0.5429050922393799,67,[15 14  1  9]
68,2508,10.605279275922467,0.08941543083003545,0.5432488322257996,68,[ 0  9 12 12]
69,1400,10.603085525902877,0.08945507166311237,0.543272852897644,69,[0 5 7 8]
70,815,10.605268962936842,0.08943128653980281,0.5450539588928223,70,[ 0  3  2 15]
71,2994,10.615747264867801,0.0892594964154273,0.5453823208808899,71,[ 0 11 11  2]
72,33663,10.607232340095585,0.08947798818043985,0.5457184314727783,72,[ 8  3  7 15]
73,2720,10.903153561612825,0.084282344629103,0.5776702165603638,73,[ 0 10 10  0]
74,20353,10.904056901896599,0.08428816082230078,0.5767308473587036,74,[ 4 15  8  1]
75,11919,11.048399075256459,0.08177503041839351,0.5933473110198975,75,[ 2 14  8 15]
76,4588,11.148149952143063,0.08012378798381548,0.6032938361167908,76,[ 1  1 14 12]
77,19843,11.192743135060098,0.07942786312833294,0.6037532091140747,77,[ 4 13  8  3]
78,4431,11.262187262860293,0.07803597294473086,0.609721302986145,78,[ 1  1  4 15]
79,5504,11.30513880737319,0.07719820334523808,0.6125926375389099,79,[1 5 8 0]
80,1277,11.304073359498316,0.07703611899900067,0.6127508878707886,80,[ 0  4 15 13]
81,910,11.292729425491682,0.0769623161790779,0.6127668023109436,81,[ 0  3  8 14]
82,4750,11.318003091215715,0.0766190644187692,0.61568683385849,82,[ 1  2  8 14]
83,1999,11.320087598126396,0.0765746499046156,0.6154677867889404,83,[ 0  7 12 15]
84,24450,11.338872050660633,0.07626062662406419,0.6101326942443848,84,[ 5 15  8  2]
85,34051,11.332955316781364,0.07637376720183697,0.6105777621269226,85,[8 5 0 3]
86,1968,11.461557610728118,0.07419191617958176,0.6169597506523132,86,[ 0  7 11  0]
