step,action,psnr_value,mse_value,ssim_value,rank,action
1,16586,4.77854822655744,0.33279700347545094,0.020871136337518692,1,[ 4  0 12 10]
2,61979,5.157379238726881,0.3049970622952819,0.05663894861936569,2,[15  2  1 11]
3,3811,5.226482116380094,0.30018961103688335,0.033861272037029266,3,[ 0 14 14  3]
4,14311,5.226733071234037,0.3001725855485349,0.03264731913805008,4,[ 3  7 14  7]
5,8098,5.564392244513073,0.27836970503135766,0.040015459060668945,5,[ 1 15 10  2]
6,242,5.631624837620804,0.2745294937869307,0.04646117240190506,6,[ 0  0 15  2]
7,62489,5.849980236687599,0.2605016363552526,0.04307374358177185,7,[15  4  1  9]
8,10448,5.851044836550603,0.2604470226281599,0.04311119765043259,8,[ 2  8 13  0]
9,6359,5.845191333339267,0.2607033368611462,0.049529001116752625,9,[ 1  8 13  7]
10,53779,6.032103767774397,0.2507992779913444,0.014782981015741825,10,[13  2  1  3]
11,2266,6.041551767998238,0.2502297270166416,0.018679622560739517,11,[ 0  8 13 10]
12,12729,6.053208769847533,0.24948851181402687,0.0160683486610651,12,[ 3  1 11  9]
13,2277,6.048584489563509,0.24975221727573227,0.014253564178943634,13,[ 0  8 14  5]
14,8390,6.049612947253572,0.24974502787043784,0.01484684832394123,14,[ 2  0 12  6]
15,62521,6.053739550129603,0.2493327686166693,0.013190094381570816,15,[15  4  3  9]
16,3560,6.122333815317699,0.247350578399665,0.03854916989803314,16,[ 0 13 14  8]
17,1015,6.132516906896327,0.24675335936886,0.03942658007144928,17,[ 0  3 15  7]
18,57859,6.141723143458479,0.24628038790848272,0.03922715783119202,18,[14  2  0  3]
19,57345,6.185717830471348,0.24310467607566277,0.04642980545759201,19,[14  0  0  1]
20,11985,6.306422341401632,0.23732607986419474,0.008379170671105385,20,[ 2 14 13  1]
21,8179,6.3081394483652335,0.23728518861540637,0.0302699226886034,21,[ 1 15 15  3]
22,6777,6.47266648156415,0.22785050996943568,0.051060423254966736,22,[ 1 10  7  9]
23,32975,6.552847205763608,0.223243191183915,0.06413179636001587,23,[ 8  0 12 15]
24,10997,6.564594421683486,0.22267289749930375,0.0646737590432167,24,[ 2 10 15  5]
25,1273,6.609755000867258,0.22175166156975257,0.07832024991512299,25,[ 0  4 15  9]
26,1375,6.628800314495274,0.2207993894134781,0.08077112585306168,26,[ 0  5  5 15]
27,16242,6.622073420059104,0.22121336601224684,0.06795614957809448,27,[ 3 15  7  2]
28,8426,6.623966377197627,0.22118329399649106,0.06367099285125732,28,[ 2  0 14 10]
29,2044,6.616859133647193,0.22153313745898373,0.06520654261112213,29,[ 0  7 15 12]
30,36784,6.665151471336844,0.21901338444222773,0.06722346693277359,30,[ 8 15 11  0]
31,1718,6.7772697740592,0.21356226909081855,0.08954726159572601,31,[ 0  6 11  6]
32,62750,6.967556298000708,0.20398866985104291,0.07838266342878342,32,[15  5  1 14]
33,879,6.968159004766612,0.20393262826749492,0.07875339686870575,33,[ 0  3  6 15]
34,2526,6.9711452165467644,0.203772981509875,0.08051170408725739,34,[ 0  9 13 14]
35,58658,6.998742459026119,0.20247188863888255,0.08828945457935333,35,[14  5  2  2]
36,32989,7.005973404210848,0.20203704723775928,0.08944244682788849,36,[ 8  0 13 13]
37,1007,7.006097601712513,0.202013801951772,0.08917735517024994,37,[ 0  3 14 15]
38,43533,6.972527998619565,0.20351478485551056,0.08235763013362885,38,[10 10  0 13]
39,65075,6.989896875270215,0.2026160176586842,0.07272867858409882,39,[15 14  3  3]
40,15168,7.08673032123828,0.19846431312780322,0.09992681443691254,40,[ 3 11  4  0]
41,16306,7.226820270882132,0.19211952496209506,0.14446216821670532,41,[ 3 15 11  2]
42,6080,7.266421976129568,0.1902818688400174,0.15407148003578186,42,[ 1  7 12  0]
43,57861,7.2927667498014,0.18900399919107258,0.15862460434436798,43,[14  2  0  5]
44,2539,7.293036518707893,0.18895062824691422,0.15904021263122559,44,[ 0  9 14 11]
45,8356,7.310042929723544,0.18776159435853756,0.15599285066127777,45,[ 2  0 10  4]
46,9189,7.341457484335429,0.1863619046807512,0.16569067537784576,46,[ 2  3 14  5]
47,13456,7.345153974601416,0.18620077639000954,0.16651597619056702,47,[3 4 9 0]
48,37142,7.483087682337316,0.1801550078115426,0.20034179091453552,48,[9 1 1 6]
49,8431,7.487559132946457,0.1799750439619956,0.20193994045257568,49,[ 2  0 14 15]
50,59170,7.486592088171826,0.1800160911679416,0.20615354180335999,50,[14  7  2  2]
51,416,7.484955272810979,0.18013290642444657,0.20654912292957306,51,[ 0  1 10  0]
52,1774,7.482573743998496,0.1801057545456004,0.21229055523872375,52,[ 0  6 14 14]
53,3321,7.493481873139871,0.179573984709819,0.21586214005947113,53,[ 0 12 15  9]
54,4069,7.495474227502149,0.1794813062023266,0.2158007025718689,54,[ 0 15 14  5]
