step,action,psnr_value,mse_value,ssim_value,rank,action
1,11873,6.390043992258972,0.22973544588421646,0.14242026209831238,1,[ 2 14  6  1]
2,2803,7.010646843426062,0.19913845713199407,0.12342757731676102,2,[ 0 10 15  3]
3,55827,7.044625905753627,0.19758212069973524,0.11437614262104034,3,[13 10  1  3]
4,14821,7.039532857045053,0.1978122752680065,0.11287880688905716,4,[ 3  9 14  5]
5,58628,7.073041724831587,0.19629251366586686,0.11440470814704895,5,[14  5  0  4]
6,53520,7.317528583094065,0.18562612544781132,0.12186931073665619,6,[13  1  1  0]
7,32991,7.446005987930267,0.1801956629018946,0.11783137172460556,7,[ 8  0 13 15]
8,1508,7.446006633547291,0.18019403603742035,0.11664870381355286,8,[ 0  5 14  4]
9,212,7.454873600566159,0.17983394037548805,0.11509637534618378,9,[ 0  0 13  4]
10,7125,7.460329773999201,0.1796393186191949,0.11605089157819748,10,[ 1 11 13  5]
11,7676,7.644641479237197,0.1721116891421559,0.11449528485536575,11,[ 1 13 15 12]
12,3247,7.7897611278063685,0.1664302449146362,0.11054239422082901,12,[ 0 12 10 15]
13,40482,7.786858041617379,0.16654923123923027,0.08628514409065247,13,[ 9 14  2  2]
14,36288,7.846444200510262,0.1642806825660159,0.11058428138494492,14,[ 8 13 12  0]
15,7641,7.851232185372442,0.16410225093429176,0.11162914335727692,15,[ 1 13 13  9]
16,14074,7.933137882057682,0.1610302387095004,0.11466243118047714,16,[ 3  6 15 10]
17,8423,8.019597465203347,0.15787425607642547,0.11552806943655014,17,[ 2  0 14  7]
18,32464,8.02933335546107,0.15752286526636539,0.11652398109436035,18,[ 7 14 13  0]
19,12261,8.070803481941105,0.1560845390405774,0.15666046738624573,19,[ 2 15 14  5]
20,36496,8.110981314231061,0.15469033226284523,0.15350079536437988,20,[ 8 14  9  0]
21,1970,8.48017264887117,0.14213190395279973,0.23840919137001038,21,[ 0  7 11  2]
22,48920,8.493587494307084,0.1417043590978011,0.24287760257720947,22,[11 15  1  8]
23,2534,8.502257117208716,0.1413677115818075,0.24461619555950165,23,[ 0  9 14  6]
24,24540,8.698789467285287,0.13534341090769786,0.2518371343612671,24,[ 5 15 13 12]
25,8002,8.704160723687227,0.1351690378207735,0.25317585468292236,25,[ 1 15  4  2]
26,12797,8.829825531934015,0.13141124856179687,0.2788066267967224,26,[ 3  1 15 13]
27,12257,8.896483938336083,0.12962900715699988,0.29132187366485596,27,[ 2 15 14  1]
28,36974,8.9571840363379,0.1279939128782459,0.3088759183883667,28,[ 9  0  6 14]
29,24288,9.037357792686805,0.12570783951176168,0.33468446135520935,29,[ 5 14 14  0]
30,59939,9.064152086269319,0.12492222923928864,0.33509641885757446,30,[14 10  2  3]
31,5867,9.067340526570787,0.124834885759455,0.3351355195045471,31,[ 1  6 14 11]
32,190,9.085171926157146,0.12424614297437142,0.3397895097732544,32,[ 0  0 11 14]
33,2009,9.085618218740107,0.12423744515923452,0.340207040309906,33,[ 0  7 13  9]
34,32674,9.259146924358468,0.11964984794773392,0.3367611765861511,34,[ 7 15 10  2]
35,64818,9.289778133930932,0.1189705566709982,0.34906625747680664,35,[15 13  3  2]
36,58157,9.288300118599514,0.11904831459958087,0.348480761051178,36,[14  3  2 13]
37,45166,9.290752343858173,0.11864962739970508,0.34808653593063354,37,[11  0  6 14]
38,35777,9.364826719205034,0.1166599992973758,0.37075310945510864,38,[ 8 11 12  1]
39,3575,9.368605024970412,0.116512206221552,0.3718551993370056,39,[ 0 13 15  7]
40,48897,9.383481107759327,0.11608731940382633,0.37417879700660706,40,[11 15  0  1]
41,12532,9.369625717552841,0.11641739663374295,0.37767136096954346,41,[ 3  0 15  4]
42,9151,9.393915082888412,0.1157218088591705,0.3804735541343689,42,[ 2  3 11 15]
43,4339,9.387649139421539,0.1158766830163458,0.3826464116573334,43,[ 1  0 15  3]
44,61008,9.398327457899684,0.11559318646840211,0.38566282391548157,44,[14 14  5  0]
45,32796,9.35547915692568,0.11670727479214804,0.37819910049438477,45,[ 8  0  1 12]
46,10694,9.509445272924419,0.11278044205437066,0.4178362190723419,46,[ 2  9 12  6]
47,7472,9.544002512753213,0.11198350626099846,0.40992164611816406,47,[ 1 13  3  0]
48,8081,9.65631786084635,0.1092700703882743,0.42554840445518494,48,[ 1 15  9  1]
49,59407,9.675478068059535,0.10864745736805936,0.4353410005569458,49,[14  8  0 15]
50,18925,9.657444252972374,0.10906461857877181,0.43240422010421753,50,[ 4  9 14 13]
51,251,9.7038209576517,0.10799312313868015,0.4302629232406616,51,[ 0  0 15 11]
52,2768,9.7215132027272,0.1076007601525415,0.4309625029563904,52,[ 0 10 13  0]
53,57612,9.743444173596119,0.10709253184002338,0.43614065647125244,53,[14  1  0 12]
54,37103,9.7373589279944,0.10721783252486716,0.4350861608982086,54,[ 9  0 14 15]
55,28288,9.767903718231336,0.10685442097133269,0.4496578574180603,55,[ 6 14  8  0]
56,7280,9.848094849746937,0.10514752491540058,0.4741381108760834,56,[ 1 12  7  0]
57,24863,9.867223013969147,0.10472220386093056,0.47577592730522156,57,[ 6  1  1 15]
58,7402,9.85817816583216,0.10497229308743172,0.47512805461883545,58,[ 1 12 14 10]
59,2814,9.894509343672446,0.10387625370033149,0.47956937551498413,59,[ 0 10 15 14]
60,12429,9.915921939157194,0.10327803787162537,0.47995269298553467,60,[ 3  0  8 13]
61,2751,9.934687545366685,0.10275394735964127,0.4831138253211975,61,[ 0 10 11 15]
62,25791,9.931585570119125,0.10281602119860622,0.4823012351989746,62,[ 6  4 11 15]
63,2520,9.931570185382178,0.10277305862677522,0.48265379667282104,63,[ 0  9 13  8]
64,48368,9.926257309170554,0.1029261992873074,0.48280203342437744,64,[11 12 15  0]
65,7671,9.968108573259503,0.10203249422980237,0.48635315895080566,65,[ 1 13 15  7]
66,5616,10.104267794315888,0.09908364811380821,0.4886105954647064,66,[ 1  5 15  0]
67,2534,10.102477694205781,0.09912230728102145,0.48863452672958374,67,[ 0  9 14  6]
68,222,10.10275953076276,0.09911652279541272,0.48866111040115356,67,[ 0  0 13 14]
69,28292,10.124164291524382,0.09867753477792762,0.49428901076316833,68,[ 6 14  8  4]
70,2143,10.280445239453808,0.09540035131894642,0.5107070207595825,69,[ 0  8  5 15]
71,7409,10.279788410462405,0.09540271531440236,0.5106508731842041,70,[ 1 12 15  1]
72,7792,10.291872589021862,0.09513325676290901,0.5142925977706909,71,[ 1 14  7  0]
73,4853,10.296822004112968,0.09503202630165486,0.5156841278076172,72,[ 1  2 15  5]
74,3984,10.29974137901145,0.09498383820725653,0.5158494114875793,73,[ 0 15  9  0]
75,32320,10.298091337310504,0.09499969083950366,0.5143920183181763,74,[ 7 14  4  0]
76,10741,10.376833016915183,0.09290077025690092,0.5303353071212769,75,[ 2  9 15  5]
77,16240,10.39716554315575,0.09251655603750386,0.5301870107650757,76,[ 3 15  7  0]
78,4000,10.40967871341001,0.09232681646197705,0.5334590673446655,77,[ 0 15 10  0]
79,6396,10.466100924710124,0.0912464487742568,0.5399130582809448,78,[ 1  8 15 12]
80,12517,10.49310003645366,0.09061697496576882,0.5398913621902466,79,[ 3  0 14  5]
81,3376,10.514522448692343,0.0904652634661609,0.5405182242393494,80,[ 0 13  3  0]
82,4592,10.568373788361017,0.08940848100932498,0.5445542335510254,81,[ 1  1 15  0]
83,24703,10.612075471916294,0.08849592475684576,0.5455964803695679,82,[ 6  0  7 15]
84,21119,10.610608148778581,0.08849099587133047,0.5459696650505066,83,[ 5  2  7 15]
85,1530,10.61027479507461,0.08852040656711324,0.5456631779670715,84,[ 0  5 15 10]
86,62190,10.609423042826462,0.08853254760624907,0.5455982089042664,85,[15  2 14 14]
87,20735,10.696966269767412,0.0869559700521777,0.5471367239952087,86,[ 5  0 15 15]
88,10724,10.688859398612111,0.08706266486973391,0.5470540523529053,87,[ 2  9 14  4]
89,12790,10.689507760756428,0.08681822297354688,0.5455632209777832,88,[ 3  1 15  6]
90,3556,10.694853015985528,0.08664971253059794,0.5468734502792358,89,[ 0 13 14  4]
91,3062,10.704479275750726,0.08648904811630409,0.5482997894287109,90,[ 0 11 15  6]
92,2803,10.72880205091189,0.08597027214887731,0.5485696792602539,91,[ 0 10 15  3]
93,241,10.728485997557122,0.08597635202652754,0.5485363006591797,91,[ 0  0 15  1]
94,35824,10.751456446280054,0.0855495591613078,0.5515584349632263,92,[ 8 11 15  0]
95,4602,10.752773458730665,0.08555949038297683,0.5503319501876831,93,[ 1  1 15 10]
96,28608,10.765383265910756,0.08519782689959476,0.5511233806610107,94,[ 6 15 12  0]
97,45423,10.782164737957823,0.08478961759184034,0.5554748773574829,95,[11  1  6 15]
98,32688,10.808736417620198,0.08424070460659216,0.5599082708358765,96,[ 7 15 11  0]
99,20416,10.818547276659176,0.08413290663018139,0.5589277744293213,97,[ 4 15 12  0]
100,12517,10.813032833168545,0.08426539337829175,0.563578724861145,98,[ 3  0 14  5]
101,8421,10.812531506349528,0.08428135822159794,0.5635893940925598,98,[ 2  0 14  5]
102,16048,10.85288199896678,0.08349327554331865,0.5654579401016235,99,[ 3 14 11  0]
103,3923,10.843288133003846,0.08364861966614257,0.5649456977844238,100,[ 0 15  5  3]
104,12366,10.888206040942006,0.08280406772261628,0.5673873424530029,101,[ 3  0  4 14]
105,9119,10.888318894505495,0.08281428330062468,0.5674705505371094,102,[ 2  3  9 15]
106,3299,11.068649920533062,0.0798832502848299,0.5811830759048462,103,[ 0 12 14  3]
107,5038,11.086989140686383,0.07957765081395474,0.5823743343353271,104,[ 1  3 10 14]
108,3583,11.090572688814877,0.07948959816603463,0.5815812349319458,105,[ 0 13 15 15]
