step,action,psnr_value,mse_value,ssim_value,rank,action
1,30250,7.637699321275949,0.1723144594099227,0.04143635183572769,1,[ 1 23 10  0]
2,9292,7.634157610866628,0.17245375768330928,0.04422266036272049,2,[ 0 14 21 17]
3,94177,7.606733206064905,0.1735412795504642,0.06234541907906532,3,[ 6  0 17  2]
4,369675,7.607956997619856,0.17349271001208807,0.06164853274822235,4,[23 16 12  0]
5,375675,7.597684780321693,0.17391179929343675,0.07032196968793869,5,[24  1  2  0]
6,16809,7.034063461568605,0.19924154635529487,0.05267840251326561,6,[ 1  1 22  9]
7,49298,7.179076563362785,0.1929762433478412,0.03528302535414696,7,[ 3  3 21 23]
8,94047,7.188142897721425,0.19245494382843828,0.020212538540363312,8,[ 6  0 11 22]
9,47223,7.19032332835161,0.19205850972357744,0.029742276296019554,9,[ 3  0 13 23]
10,9926,7.244677416441888,0.19115146432265356,0.005829371977597475,10,[ 0 15 22  1]
11,109672,7.287796153623224,0.19014608449462395,-0.007317427545785904,11,[ 7  0 11 22]
12,110570,7.353848573047525,0.18590684051333228,0.01279053557664156,12,[ 7  1 22 20]
13,48733,7.351416923572895,0.18611193576022192,0.01261263620108366,13,[ 3  2 24  8]
14,100606,7.224830437926867,0.1917242295947327,0.012194866314530373,14,[ 6 10 24  6]
15,76677,7.228302804545756,0.19144348647960505,0.012325741350650787,15,[ 4 22 17  2]
16,51151,7.206465194872466,0.19230332508049738,0.011856380850076675,16,[ 3  6 21  1]
17,24867,7.305513410567355,0.19172414323328235,0.01662294752895832,17,[ 1 14 19 17]
18,34988,7.189099007069931,0.1970032751594248,0.013944179750978947,18,[ 2  5 24 13]
19,28114,7.360506871358014,0.19025449933745286,0.01138901337981224,19,[ 1 19 24 14]
20,251724,7.540829126552407,0.1840425148073606,0.011118791066110134,20,[16  2 18 24]
21,22929,7.560570256604477,0.18278921791307548,0.039128776639699936,21,[ 1 11 17  4]
22,156101,7.5756872418322665,0.1816550389383928,0.040387459099292755,22,[ 9 24 19  1]
23,6125,7.589377723686708,0.18096813482841026,0.044644955545663834,23,[ 0  9 20  0]
24,3055,7.536513732725208,0.18346909094068686,0.029469678178429604,24,[ 0  4 22  5]
25,32974,7.595931676430928,0.18057874858646536,0.027587734162807465,25,[ 2  2 18 24]
26,40617,7.606342367337748,0.17963559441008983,0.026894431561231613,26,[ 2 14 24 17]
27,297573,7.627630161692206,0.17791177274806905,0.020321974530816078,27,[19  1  2 23]
28,234499,7.6147717784936315,0.1775008988007641,0.01680789142847061,28,[15  0  4 24]
29,262001,7.563239591331003,0.17739651105806162,0.013150591403245926,29,[16 19  5  1]
