step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,5.312940255669696,0.2944307966157794,0.04772024229168892,1,[0 0 0 0]
2,0,5.315283886513866,0.29427205394655465,0.047885533422231674,2,[0 0 0 0]
3,0,5.315713370925352,0.2942429726973176,0.04793807491660118,2,[0 0 0 0]
4,0,5.315837628786266,0.2942345594853163,0.04795920476317406,2,[0 0 0 0]
5,0,5.315899371137158,0.29423037914708255,0.04797229915857315,2,[0 0 0 0]
6,0,5.315931590752692,0.29422819770239295,0.04798046126961708,2,[0 0 0 0]
7,0,5.315945459962574,0.29422725868299604,0.04798443615436554,2,[0 0 0 0]
8,0,5.31596713060261,0.29422579147182404,0.047991495579481125,2,[0 0 0 0]
9,0,5.315972470969603,0.2942254299066961,0.04799346998333931,2,[0 0 0 0]
10,0,5.3159779452063205,0.294225059273839,0.047995615750551224,2,[0 0 0 0]
11,0,5.315985676294518,0.29422453584056346,0.04799894243478775,2,[0 0 0 0]
12,0,5.315990430119722,0.2942242139872164,0.04800121486186981,2,[0 0 0 0]
13,0,5.315993118381298,0.2942240319808014,0.04800259694457054,2,[0 0 0 0]
14,0,5.3159979354462745,0.2942237058448605,0.04800531268119812,2,[0 0 0 0]
15,0,5.3159998064797875,0.2942235791699961,0.04800647869706154,2,[0 0 0 0]
16,0,5.31600099846366,0.29422349846456197,0.048007261008024216,2,[0 0 0 0]
17,0,5.316002149365771,0.29422342054443434,0.04800805076956749,2,[0 0 0 0]
18,0,5.316003422385971,0.29422333435588516,0.04800897464156151,2,[0 0 0 0]
19,0,5.316004492064471,0.29422326193419285,0.04800979793071747,2,[0 0 0 0]
20,0,5.316005413857305,0.2942231995263137,0.04801053926348686,2,[0 0 0 0]
21,0,5.316006706700338,0.29422311199656687,0.0480116568505764,2,[0 0 0 0]
22,0,5.31600730423623,0.29422307154126465,0.04801220819354057,2,[0 0 0 0]
23,0,5.316007600889964,0.29422305145589633,0.048012495040893555,2,[0 0 0 0]
24,0,5.3160079266731195,0.29422302939919753,0.04801281914114952,2,[0 0 0 0]
25,0,5.316008390072654,0.29422299802477936,0.04801328480243683,2,[0 0 0 0]
26,0,5.316008401882949,0.2942229972254718,0.04801329970359802,2,[0 0 0 0]
27,0,5.316008277963414,0.2942230056134751,0.048013173043727875,2,[0 0 0 0]
28,0,5.316008638844771,0.2942229811813915,0.04801355302333832,2,[0 0 0 0]
29,0,5.316008581498901,0.29422298506516964,0.048013485968112946,2,[0 0 0 0]
30,0,5.316008770126039,0.294222972292616,0.04801369085907936,2,[0 0 0 0]
31,0,5.316009373530797,0.29422293144061695,0.04801436513662338,2,[0 0 0 0]
32,0,5.3160095582792,0.29422291893160435,0.04801458492875099,2,[0 0 0 0]
33,0,5.316009593022097,0.2942229165787576,0.048014622181653976,2,[0 0 0 0]
34,0,5.316009925869398,0.2942228940433357,0.04801503196358681,2,[0 0 0 0]
35,0,5.316010117329679,0.2942228810829343,0.04801527038216591,2,[0 0 0 0]
36,0,5.316010373497241,0.29422286373805256,0.04801560565829277,2,[0 0 0 0]
37,0,5.316010404785957,0.29422286161922384,0.048015642911195755,2,[0 0 0 0]
38,0,5.3160106715786455,0.29422284355679296,0.048016004264354706,2,[0 0 0 0]
39,0,5.3160108930502945,0.29422282856189413,0.048016320914030075,2,[0 0 0 0]
40,0,5.316011032333174,0.29422281913334736,0.04801652953028679,2,[0 0 0 0]
41,0,5.316011130444634,0.29422281248989746,0.04801667854189873,2,[0 0 0 0]
42,0,5.316011080915885,0.2942228158434504,0.04801660031080246,2,[0 0 0 0]
43,0,5.31601124024145,0.29422280505526577,0.04801684245467186,2,[0 0 0 0]
44,0,5.31601132461068,0.2942227993434295,0.048016976565122604,2,[0 0 0 0]
45,0,5.31601142880233,0.29422279228988335,0.048017144203186035,2,[0 0 0 0]
46,0,5.316011574418079,0.2942227824313333,0.048017386347055435,2,[0 0 0 0]
47,0,5.316011615701976,0.29422277963528176,0.04801745340228081,2,[0 0 0 0]
48,0,5.316011662694333,0.29422277645438444,0.04801753908395767,2,[0 0 0 0]
49,0,5.316011835260284,0.29422276477105913,0.048017844557762146,2,[0 0 0 0]
50,0,5.316011791149363,0.29422276775705397,0.04801776260137558,2,[0 0 0 0]
51,0,5.316011846952224,0.29422276397940006,0.04801786318421364,2,[0 0 0 0]
52,0,5.316011878482183,0.2942227618451696,0.048017922788858414,2,[0 0 0 0]
53,0,5.316011913423006,0.294222759479424,0.048017989844083786,2,[0 0 0 0]
54,0,5.31601190480469,0.29422276006218745,0.048017967492341995,2,[0 0 0 0]
55,0,5.316012003135566,0.2942227534048492,0.048018161207437515,2,[0 0 0 0]
56,0,5.316012174801159,0.2942227417826478,0.04801849275827408,2,[0 0 0 0]
57,0,5.316012203840037,0.2942227398172545,0.04801855981349945,2,[0 0 0 0]
58,0,5.316012287020802,0.29422273418559924,0.04801873117685318,2,[0 0 0 0]
59,0,5.316012291358296,0.29422273389173786,0.048018742352724075,2,[0 0 0 0]
60,0,5.31601234487492,0.2942227302679501,0.04801885783672333,2,[0 0 0 0]
61,0,5.316012322187263,0.29422273180460906,0.04801880940794945,2,[0 0 0 0]
62,0,5.316012384977102,0.29422272755304585,0.04801894351840019,2,[0 0 0 0]
63,0,5.316012429948891,0.2942227245086571,0.04801904782652855,2,[0 0 0 0]
64,0,5.316012423824602,0.2942227249229443,0.04801902920007706,2,[0 0 0 0]
65,0,5.3160124982884485,0.29422271988120047,0.048019204288721085,2,[0 0 0 0]
66,0,5.316012583544298,0.2942227141088922,0.0480194091796875,2,[0 0 0 0]
67,0,5.316012645860255,0.29422270989027455,0.04801956191658974,2,[0 0 0 0]
68,0,5.316012721403929,0.29422270477584095,0.048019763082265854,2,[0 0 0 0]
69,0,5.316012728231119,0.29422270431327635,0.048019781708717346,2,[0 0 0 0]
70,0,5.316012757402184,0.29422270233859016,0.048019856214523315,2,[0 0 0 0]
71,0,5.31601278432873,0.2942227005154127,0.04801993444561958,2,[0 0 0 0]
72,0,5.316012790998217,0.29422270006357576,0.048019953072071075,2,[0 0 0 0]
73,0,5.316012849005451,0.29422269613659885,0.048020120710134506,2,[0 0 0 0]
74,0,5.316012843995255,0.29422269647546345,0.04802010580897331,2,[0 0 0 0]
75,0,5.316012857714014,0.29422269554637603,0.0480201430618763,2,[0 0 0 0]
76,0,5.316012849787851,0.2942226960838365,0.048020124435424805,2,[0 0 0 0]
77,0,5.316012869871047,0.2942226947236195,0.04802018031477928,2,[0 0 0 0]
78,0,5.316012857541321,0.2942226955580234,0.0480201430618763,2,[0 0 0 0]
79,0,5.316012859008554,0.2942226954590762,0.04802015423774719,2,[0 0 0 0]
80,0,5.316012858318306,0.29422269550562485,0.0480201430618763,2,[0 0 0 0]
81,0,5.3160128516114735,0.29422269595987455,0.048020124435424805,2,[0 0 0 0]
82,0,5.316012850888125,0.29422269600865547,0.048020124435424805,2,[0 0 0 0]
83,0,5.316012804434455,0.29422269915438953,0.04801999032497406,2,[0 0 0 0]
84,0,5.316012899403529,0.2942226927243726,0.048020265996456146,2,[0 0 0 0]
85,0,5.3160129106006195,0.29422269196644485,0.04802030697464943,2,[0 0 0 0]
86,0,5.316012913938135,0.294222691740439,0.048020314425230026,2,[0 0 0 0]
87,0,5.316012927418479,0.2942226908276527,0.04802035912871361,2,[0 0 0 0]
88,0,5.316012930705262,0.2942226906050782,0.048020366579294205,2,[0 0 0 0]
89,0,5.31601293019195,0.29422269063969725,0.048020362854003906,2,[0 0 0 0]
90,0,5.316012956442416,0.2942226888621837,0.04802044853568077,2,[0 0 0 0]
91,0,5.316012984206688,0.29422268698276605,0.04802054539322853,2,[0 0 0 0]
92,0,5.3160129641624385,0.2942226883397816,0.04802047833800316,2,[0 0 0 0]
93,0,5.316012993302575,0.294222686366766,0.04802057147026062,2,[0 0 0 0]
94,0,5.316013033892121,0.2942226836185466,0.04802070930600166,2,[0 0 0 0]
95,0,5.316013079218962,0.2942226805497834,0.048020876944065094,2,[0 0 0 0]
96,0,5.316013080367585,0.29422268047232064,0.048020876944065094,2,[0 0 0 0]
97,0,5.316013097214343,0.2942226793315931,0.048020943999290466,2,[0 0 0 0]
98,0,5.316013096428044,0.2942226793846174,0.04802093654870987,2,[0 0 0 0]
99,0,5.316013123638497,0.2942226775428673,0.048021040856838226,2,[0 0 0 0]
100,0,5.3160131013343035,0.29422267905298793,0.04802095517516136,2,[0 0 0 0]
101,0,5.316013142821126,0.2942226762441569,0.048021115362644196,2,[0 0 0 0]
