step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,7.348579987226536,0.1842966773105722,0.22392919659614563,1,[0 0 0 0]
2,0,7.38248299016508,0.18286362560423391,0.22414010763168335,2,[0 0 0 0]
3,0,7.382492076713869,0.18286324333696344,0.22414259612560272,2,[0 0 0 0]
4,0,7.3824930212688695,0.18286320359963523,0.22414308786392212,2,[0 0 0 0]
5,0,7.382493275231417,0.18286319291628847,0.22414323687553406,2,[0 0 0 0]
6,0,7.382493665821989,0.18286317648398057,0.22414350509643555,2,[0 0 0 0]
7,0,7.382494198762327,0.18286315406388118,0.2241440713405609,2,[0 0 0 0]
8,0,7.382494351195714,0.18286314765098227,0.224144846200943,2,[0 0 0 0]
9,0,7.382494364292458,0.18286314710003343,0.22414475679397583,2,[0 0 0 0]
10,0,7.382494359978963,0.18286314728145267,0.22414450347423553,2,[0 0 0 0]
11,0,7.38249436844225,0.1828631469254377,0.22414472699165344,2,[0 0 0 0]
12,0,7.3824943648916825,0.18286314707483983,0.22414453327655792,2,[0 0 0 0]
13,0,7.382494366752647,0.1828631469964846,0.22414453327655792,2,[0 0 0 0]
14,0,7.38249436485895,0.1828631470762116,0.22414453327655792,2,[0 0 0 0]
15,0,7.382494344580463,0.1828631479292437,0.22414441406726837,2,[0 0 0 0]
16,0,7.382494291268352,0.18286315017202237,0.22414426505565643,2,[0 0 0 0]
17,0,7.382494266783919,0.18286315120219973,0.22414419054985046,2,[0 0 0 0]
18,0,7.3824943525068925,0.1828631475957633,0.22414445877075195,2,[0 0 0 0]
19,0,7.382494320666078,0.18286314893538097,0.2241443395614624,2,[0 0 0 0]
20,0,7.382494360270005,0.1828631472692567,0.22414450347423553,2,[0 0 0 0]
21,0,7.382494364141228,0.1828631471063708,0.22414453327655792,2,[0 0 0 0]
22,0,7.382494371606536,0.18286314679232588,0.2241446077823639,2,[0 0 0 0]
23,0,7.382494371499957,0.1828631467968019,0.2241446077823639,2,[0 0 0 0]
24,0,7.382494371680787,0.18286314678920126,0.22414465248584747,2,[0 0 0 0]
25,0,7.382494360889639,0.18286314724318758,0.22414450347423553,2,[0 0 0 0]
26,0,7.382494353404281,0.18286314755802582,0.22414445877075195,2,[0 0 0 0]
27,0,7.382494367599229,0.1828631469608807,0.22414453327655792,2,[0 0 0 0]
28,0,7.382494348783575,0.18286314775249526,0.22414441406726837,2,[0 0 0 0]
29,0,7.382494315407955,0.18286314915663082,0.22414430975914001,2,[0 0 0 0]
30,0,7.382494309012843,0.18286314942557313,0.22414430975914001,2,[0 0 0 0]
31,0,7.382494309543397,0.1828631494033402,0.22414430975914001,2,[0 0 0 0]
32,0,7.382494321417125,0.18286314890368854,0.2241443395614624,2,[0 0 0 0]
33,0,7.382494328935467,0.1828631485873743,0.2241443395614624,2,[0 0 0 0]
34,0,7.3824943392084466,0.18286314815519494,0.22414438426494598,2,[0 0 0 0]
35,0,7.382494333140537,0.1828631484105716,0.22414438426494598,2,[0 0 0 0]
36,0,7.382494310730342,0.18286314935335835,0.22414430975914001,2,[0 0 0 0]
37,0,7.382494302169067,0.1828631497136205,0.22414426505565643,2,[0 0 0 0]
38,0,7.3824942832274365,0.18286315051039623,0.22414423525333405,2,[0 0 0 0]
39,0,7.382494309671324,0.18286314939797926,0.22414430975914001,2,[0 0 0 0]
40,0,7.382494329210076,0.18286314857586716,0.2241443395614624,2,[0 0 0 0]
41,0,7.382494326110853,0.18286314870635564,0.2241443395614624,2,[0 0 0 0]
42,0,7.382494330697503,0.18286314851333724,0.2241443693637848,2,[0 0 0 0]
43,0,7.382494293835309,0.18286315006417886,0.22414426505565643,2,[0 0 0 0]
44,0,7.382494307259634,0.18286314949928734,0.22414430975914001,2,[0 0 0 0]
45,0,7.382494258602588,0.18286315154633143,0.22414419054985046,2,[0 0 0 0]
46,0,7.382494235774802,0.18286315250672475,0.22414416074752808,2,[0 0 0 0]
47,0,7.382494256987958,0.18286315161432307,0.22414419054985046,2,[0 0 0 0]
48,0,7.382494243324605,0.1828631521889291,0.22414416074752808,2,[0 0 0 0]
49,0,7.382494280633444,0.18286315061939007,0.22414423525333405,2,[0 0 0 0]
50,0,7.382494301242985,0.18286314975242807,0.22414426505565643,2,[0 0 0 0]
51,0,7.382494278807437,0.18286315069620418,0.22414423525333405,2,[0 0 0 0]
52,0,7.382494320201132,0.18286314895486452,0.2241443395614624,2,[0 0 0 0]
53,0,7.382494326761196,0.18286314867889508,0.2241443395614624,2,[0 0 0 0]
54,0,7.38249433415101,0.1828631483680369,0.22414438426494598,2,[0 0 0 0]
55,0,7.382494354787488,0.18286314749993313,0.22414445877075195,2,[0 0 0 0]
56,0,7.382494360362067,0.18286314726539882,0.22414450347423553,2,[0 0 0 0]
57,0,7.3824943560754805,0.18286314744570956,0.22414445877075195,2,[0 0 0 0]
58,0,7.3824943580196924,0.18286314736388354,0.22414447367191315,2,[0 0 0 0]
59,0,7.382494359086468,0.1828631473190682,0.22414450347423553,2,[0 0 0 0]
60,0,7.382494353337961,0.18286314756080496,0.22414445877075195,2,[0 0 0 0]
61,0,7.382494350532351,0.18286314767892167,0.22414444386959076,2,[0 0 0 0]
62,0,7.382494336653425,0.18286314826280073,0.22414438426494598,2,[0 0 0 0]
63,0,7.382494346917616,0.182863147830991,0.22414441406726837,2,[0 0 0 0]
64,0,7.382494329770964,0.1828631485523629,0.2241443395614624,2,[0 0 0 0]
65,0,7.382494335999551,0.1828631482902009,0.22414438426494598,2,[0 0 0 0]
66,0,7.382494342346173,0.18286314802319745,0.22414441406726837,2,[0 0 0 0]
67,0,7.3824943424500145,0.18286314801884615,0.22414441406726837,2,[0 0 0 0]
68,0,7.382494348197138,0.1828631477770696,0.22414441406726837,2,[0 0 0 0]
69,0,7.382494337002003,0.18286314824801117,0.22414438426494598,2,[0 0 0 0]
70,0,7.382494319446423,0.18286314898671321,0.2241443395614624,2,[0 0 0 0]
71,0,7.38249432456339,0.18286314877141327,0.2241443395614624,2,[0 0 0 0]
72,0,7.382494321396191,0.18286314890456565,0.2241443395614624,2,[0 0 0 0]
73,0,7.382494325023287,0.18286314875214124,0.2241443395614624,2,[0 0 0 0]
74,0,7.382494314613444,0.18286314918992488,0.22414430975914001,2,[0 0 0 0]
75,0,7.382494312361461,0.1828631492847659,0.22414430975914001,2,[0 0 0 0]
76,0,7.382494305386123,0.1828631495780454,0.22414430975914001,2,[0 0 0 0]
77,0,7.382494313278766,0.1828631492460889,0.22414430975914001,2,[0 0 0 0]
78,0,7.382494317220183,0.18286314908022927,0.22414430975914001,2,[0 0 0 0]
79,0,7.382494342061672,0.18286314803528736,0.22414441406726837,2,[0 0 0 0]
80,0,7.382494346781538,0.18286314783669344,0.22414441406726837,2,[0 0 0 0]
81,0,7.382494334565834,0.18286314835065373,0.22414438426494598,2,[0 0 0 0]
82,0,7.382494331767698,0.18286314846829396,0.22414438426494598,2,[0 0 0 0]
83,0,7.382494330900417,0.18286314850483382,0.22414438426494598,2,[0 0 0 0]
84,0,7.382494336478482,0.1828631482701317,0.22414438426494598,2,[0 0 0 0]
85,0,7.382494327647173,0.18286314864156253,0.2241443395614624,2,[0 0 0 0]
86,0,7.382494340478543,0.1828631481017986,0.22414438426494598,2,[0 0 0 0]
87,0,7.382494344864041,0.18286314791736064,0.22414441406726837,2,[0 0 0 0]
88,0,7.382494355197532,0.18286314748262375,0.22414445877075195,2,[0 0 0 0]
89,0,7.382494360433962,0.18286314726238592,0.22414450347423553,2,[0 0 0 0]
90,0,7.382494355308216,0.18286314747798557,0.22414445877075195,2,[0 0 0 0]
91,0,7.382494357194668,0.18286314739857104,0.22414445877075195,2,[0 0 0 0]
92,0,7.382494361221634,0.18286314722917474,0.22414450347423553,2,[0 0 0 0]
93,0,7.382494365878026,0.18286314703334983,0.22414453327655792,2,[0 0 0 0]
94,0,7.382494360389364,0.18286314726425484,0.22414450347423553,2,[0 0 0 0]
95,0,7.382494367738195,0.18286314695505762,0.22414453327655792,2,[0 0 0 0]
96,0,7.382494369068777,0.18286314689907823,0.2241445779800415,2,[0 0 0 0]
97,0,7.382494369301917,0.18286314688926028,0.2241445779800415,2,[0 0 0 0]
98,0,7.382494369150442,0.1828631468956561,0.2241445779800415,2,[0 0 0 0]
99,0,7.382494368359371,0.18286314692891056,0.2241445779800415,2,[0 0 0 0]
100,0,7.3824943669745675,0.18286314698718553,0.22414453327655792,2,[0 0 0 0]
101,0,7.382494366480267,0.18286314700796752,0.22414453327655792,2,[0 0 0 0]
102,0,7.3824943668456005,0.18286314699258974,0.22414453327655792,2,[0 0 0 0]
103,0,7.38249436770883,0.18286314695628816,0.22414453327655792,2,[0 0 0 0]
104,0,7.382494369243502,0.1828631468917562,0.2241445779800415,2,[0 0 0 0]
105,0,7.382494371171948,0.18286314681059504,0.2241446077823639,2,[0 0 0 0]
106,0,7.382494371528875,0.18286314679559046,0.2241446077823639,2,[0 0 0 0]
107,0,7.3824943708778425,0.18286314682296625,0.2241446077823639,2,[0 0 0 0]
108,0,7.382494371111802,0.1828631468131378,0.2241446077823639,2,[0 0 0 0]
109,0,7.382494371436421,0.18286314679947782,0.2241446077823639,2,[0 0 0 0]
110,0,7.3824943714055555,0.1828631468007708,0.2241446077823639,2,[0 0 0 0]
111,0,7.382494371340059,0.1828631468035319,0.22414465248584747,2,[0 0 0 0]
112,0,7.382494370774138,0.18286314682733998,0.22414468228816986,2,[0 0 0 0]
113,0,7.382494370553347,0.18286314683662275,0.22414468228816986,2,[0 0 0 0]
114,0,7.38249436911273,0.18286314689723646,0.22414468228816986,2,[0 0 0 0]
115,0,7.382494370890362,0.18286314682246915,0.22414468228816986,2,[0 0 0 0]
116,0,7.382494370853849,0.18286314682399954,0.22414468228816986,2,[0 0 0 0]
117,0,7.382494371667626,0.18286314678975424,0.22414465248584747,2,[0 0 0 0]
118,0,7.382494371676749,0.18286314678937182,0.22414465248584747,2,[0 0 0 0]
119,0,7.382494371327439,0.18286314680406057,0.2241446077823639,2,[0 0 0 0]
120,0,7.382494368812255,0.1828631469098788,0.2241445779800415,2,[0 0 0 0]
121,0,7.382494370221586,0.18286314685059513,0.2241445779800415,2,[0 0 0 0]
122,0,7.382494370907336,0.1828631468217305,0.2241446077823639,2,[0 0 0 0]
123,0,7.382494371045949,0.18286314681589705,0.2241446077823639,2,[0 0 0 0]
124,0,7.38249436851752,0.18286314692228348,0.2241445779800415,2,[0 0 0 0]
125,0,7.382494368444906,0.18286314692532643,0.2241445779800415,2,[0 0 0 0]
126,0,7.382494369960263,0.1828631468615852,0.2241445779800415,2,[0 0 0 0]
127,0,7.382494371242534,0.18286314680763763,0.2241446077823639,2,[0 0 0 0]
128,0,7.382494369672208,0.18286314687369837,0.2241445779800415,2,[0 0 0 0]
129,0,7.382494369334819,0.18286314688788166,0.2241445779800415,2,[0 0 0 0]
130,0,7.382494370994348,0.1828631468180844,0.2241446077823639,2,[0 0 0 0]
131,0,7.382494368734224,0.18286314691314864,0.2241445779800415,2,[0 0 0 0]
132,0,7.3824943671945045,0.1828631469779032,0.22414453327655792,2,[0 0 0 0]
133,0,7.382494365474768,0.18286314705024828,0.22414453327655792,2,[0 0 0 0]
134,0,7.382494365630075,0.1828631470437405,0.22414453327655792,2,[0 0 0 0]
135,0,7.382494364688252,0.18286314708336476,0.22414453327655792,2,[0 0 0 0]
136,0,7.382494360572148,0.18286314725649191,0.22414450347423553,2,[0 0 0 0]
137,0,7.382494360187582,0.1828631472727107,0.22414450347423553,2,[0 0 0 0]
138,0,7.382494359125726,0.182863147317423,0.22414450347423553,2,[0 0 0 0]
139,0,7.3824943575658715,0.18286314738301598,0.22414445877075195,2,[0 0 0 0]
140,0,7.3824943579924,0.18286314736502723,0.22414447367191315,2,[0 0 0 0]
141,0,7.382494363083048,0.18286314715088842,0.22414450347423553,2,[0 0 0 0]
142,0,7.382494361224021,0.18286314722907474,0.22414450347423553,2,[0 0 0 0]
143,0,7.382494360522893,0.18286314725855576,0.22414450347423553,2,[0 0 0 0]
144,0,7.3824943627818,0.18286314716360388,0.22414450347423553,2,[0 0 0 0]
145,0,7.382494361798266,0.18286314720491342,0.22414450347423553,2,[0 0 0 0]
146,0,7.382494362017459,0.18286314719572833,0.22414450347423553,2,[0 0 0 0]
147,0,7.38249436141645,0.18286314722101119,0.22414450347423553,2,[0 0 0 0]
148,0,7.382494358551815,0.18286314734147258,0.22414450347423553,2,[0 0 0 0]
149,0,7.3824943593755314,0.18286314730684586,0.22414450347423553,2,[0 0 0 0]
150,0,7.3824943576848545,0.18286314737802992,0.22414445877075195,2,[0 0 0 0]
151,0,7.382494357107454,0.18286314740222556,0.22414445877075195,2,[0 0 0 0]
152,0,7.382494354751065,0.18286314750145943,0.22414445877075195,2,[0 0 0 0]
153,0,7.3824943509612115,0.1828631476608089,0.22414445877075195,2,[0 0 0 0]
154,0,7.382494350177886,0.18286314769377546,0.22414441406726837,2,[0 0 0 0]
155,0,7.382494349696071,0.1828631477141101,0.22414441406726837,2,[0 0 0 0]
156,0,7.382494350856935,0.18286314766517847,0.22414445877075195,2,[0 0 0 0]
157,0,7.382494341077556,0.182863148076697,0.22414438426494598,2,[0 0 0 0]
158,0,7.382494341678848,0.18286314805132955,0.22414441406726837,2,[0 0 0 0]
159,0,7.382494341452032,0.18286314806083406,0.22414439916610718,2,[0 0 0 0]
160,0,7.382494346002133,0.1828631478695101,0.22414441406726837,2,[0 0 0 0]
161,0,7.38249434992732,0.18286314770427511,0.22414441406726837,2,[0 0 0 0]
162,0,7.3824943533506024,0.1828631475602752,0.22414445877075195,2,[0 0 0 0]
163,0,7.382494353160518,0.1828631475683734,0.22414445877075195,2,[0 0 0 0]
164,0,7.382494353090573,0.18286314757130445,0.22414445877075195,2,[0 0 0 0]
165,0,7.3824943573878485,0.18286314739047602,0.22414445877075195,2,[0 0 0 0]
166,0,7.382494357956877,0.1828631473665157,0.22414447367191315,2,[0 0 0 0]
167,0,7.382494357858269,0.1828631473706477,0.22414445877075195,2,[0 0 0 0]
168,0,7.382494358310025,0.18286314735171721,0.22414450347423553,2,[0 0 0 0]
169,0,7.382494360867807,0.18286314724410244,0.22414450347423553,2,[0 0 0 0]
170,0,7.3824943642764,0.18286314710070636,0.22414453327655792,2,[0 0 0 0]
171,0,7.38249436440637,0.18286314709525986,0.22414453327655792,2,[0 0 0 0]
172,0,7.382494362211496,0.18286314718759708,0.22414450347423553,2,[0 0 0 0]
173,0,7.3824943639248755,0.18286314711552273,0.22414451837539673,2,[0 0 0 0]
174,0,7.382494362520095,0.18286314717457067,0.22414450347423553,2,[0 0 0 0]
175,0,7.382494359240532,0.18286314731250278,0.22414450347423553,2,[0 0 0 0]
176,0,7.382494363276722,0.18286314714277255,0.22414450347423553,2,[0 0 0 0]
177,0,7.382494363945416,0.1828631471145759,0.22414451837539673,2,[0 0 0 0]
178,0,7.382494362124994,0.18286314719122207,0.22414450347423553,2,[0 0 0 0]
179,0,7.382494364639374,0.18286314708541296,0.22414453327655792,2,[0 0 0 0]
180,0,7.382494364517421,0.18286314709052318,0.22414453327655792,2,[0 0 0 0]
181,0,7.38249436249998,0.18286314717541363,0.22414450347423553,2,[0 0 0 0]
182,0,7.382494361506109,0.18286314721725397,0.22414450347423553,2,[0 0 0 0]
183,0,7.382494362488794,0.18286314717588234,0.22414450347423553,2,[0 0 0 0]
184,0,7.382494364674583,0.18286314708393753,0.22414453327655792,2,[0 0 0 0]
185,0,7.382494367509267,0.18286314696471326,0.22414453327655792,2,[0 0 0 0]
186,0,7.382494368234463,0.18286314693420172,0.2241445779800415,2,[0 0 0 0]
187,0,7.3824943691245455,0.18286314689674135,0.2241445779800415,2,[0 0 0 0]
188,0,7.382494367354084,0.18286314697121633,0.22414453327655792,2,[0 0 0 0]
189,0,7.382494367250608,0.18286314697555237,0.22414453327655792,2,[0 0 0 0]
190,0,7.382494364554906,0.18286314708895252,0.22414453327655792,2,[0 0 0 0]
191,0,7.382494365434251,0.18286314705194603,0.22414453327655792,2,[0 0 0 0]
192,0,7.382494365169558,0.1828631470631156,0.22414453327655792,2,[0 0 0 0]
193,0,7.3824943626270105,0.18286314717009053,0.22414450347423553,2,[0 0 0 0]
194,0,7.382494363951572,0.18286314711431786,0.22414451837539673,2,[0 0 0 0]
195,0,7.3824943647155505,0.18286314708222084,0.22414453327655792,2,[0 0 0 0]
196,0,7.382494362967966,0.1828631471557109,0.22414450347423553,2,[0 0 0 0]
197,0,7.382494359104798,0.1828631473183001,0.22414450347423553,2,[0 0 0 0]
198,0,7.382494360670327,0.18286314725237782,0.22414450347423553,2,[0 0 0 0]
199,0,7.382494357921309,0.18286314736800613,0.22414447367191315,2,[0 0 0 0]
200,0,7.382494353195438,0.18286314756690994,0.22414445877075195,2,[0 0 0 0]
201,0,7.382494353696546,0.18286314754577876,0.22414445877075195,2,[0 0 0 0]
202,0,7.382494356635984,0.18286314742210075,0.22414445877075195,2,[0 0 0 0]
203,0,7.382494357166562,0.18286314739974874,0.22414445877075195,2,[0 0 0 0]
204,0,7.382494357499243,0.18286314738580806,0.22414445877075195,2,[0 0 0 0]
205,0,7.382494356087141,0.18286314744522092,0.22414445877075195,2,[0 0 0 0]
206,0,7.382494355861915,0.18286314745465893,0.22414445877075195,2,[0 0 0 0]
207,0,7.38249435431094,0.1828631475199029,0.22414445877075195,2,[0 0 0 0]
208,0,7.382494358358559,0.1828631473496833,0.22414450347423553,2,[0 0 0 0]
209,0,7.382494356881177,0.182863147411826,0.22414445877075195,2,[0 0 0 0]
210,0,7.382494357863756,0.1828631473704178,0.22414445877075195,2,[0 0 0 0]
211,0,7.382494356750278,0.18286314741731136,0.22414445877075195,2,[0 0 0 0]
212,0,7.382494355149552,0.18286314748463428,0.22414445877075195,2,[0 0 0 0]
213,0,7.38249435587659,0.18286314745404403,0.22414445877075195,2,[0 0 0 0]
214,0,7.382494359201452,0.18286314731414027,0.22414450347423553,2,[0 0 0 0]
215,0,7.382494360831373,0.1828631472456293,0.22414450347423553,2,[0 0 0 0]
216,0,7.382494363128437,0.1828631471489865,0.22414450347423553,2,[0 0 0 0]
217,0,7.382494362240999,0.1828631471863607,0.22414450347423553,2,[0 0 0 0]
218,0,7.382494359359991,0.182863147307497,0.22414450347423553,2,[0 0 0 0]
219,0,7.382494360699696,0.1828631472511471,0.22414450347423553,2,[0 0 0 0]
220,0,7.38249436017006,0.18286314727344494,0.22414450347423553,2,[0 0 0 0]
221,0,7.382494357262008,0.18286314739574924,0.22414445877075195,2,[0 0 0 0]
222,0,7.382494357278818,0.18286314739504483,0.22414445877075195,2,[0 0 0 0]
223,0,7.382494359658677,0.18286314729498057,0.22414450347423553,2,[0 0 0 0]
224,0,7.382494356824334,0.18286314741420798,0.22414445877075195,2,[0 0 0 0]
225,0,7.38249435911003,0.18286314731808076,0.22414450347423553,2,[0 0 0 0]
226,0,7.382494360991231,0.18286314723893032,0.22414450347423553,2,[0 0 0 0]
227,0,7.3824943588019964,0.18286314733098907,0.22414450347423553,2,[0 0 0 0]
228,0,7.3824943596458805,0.18286314729551692,0.22414450347423553,2,[0 0 0 0]
229,0,7.3824943610659055,0.18286314723580094,0.22414450347423553,2,[0 0 0 0]
230,0,7.382494360247555,0.18286314727019748,0.22414450347423553,2,[0 0 0 0]
231,0,7.3824943622228485,0.18286314718712132,0.22414450347423553,2,[0 0 0 0]
232,0,7.382494362457441,0.1828631471771962,0.22414450347423553,2,[0 0 0 0]
233,0,7.382494363057059,0.1828631471519775,0.22414450347423553,2,[0 0 0 0]
234,0,7.382494362340513,0.18286314718209581,0.22414450347423553,2,[0 0 0 0]
235,0,7.382494362823584,0.18286314716185284,0.22414450347423553,2,[0 0 0 0]
236,0,7.382494363516765,0.18286314713262464,0.22414450347423553,2,[0 0 0 0]
237,0,7.382494360262525,0.1828631472695702,0.22414450347423553,2,[0 0 0 0]
238,0,7.38249435942209,0.18286314730489484,0.22414450347423553,2,[0 0 0 0]
239,0,7.382494359819361,0.18286314728824696,0.22414450347423553,2,[0 0 0 0]
240,0,7.3824943587542755,0.18286314733298878,0.22414450347423553,2,[0 0 0 0]
241,0,7.382494358759582,0.1828631473327664,0.22414450347423553,2,[0 0 0 0]
242,0,7.3824943589393595,0.18286314732523284,0.22414450347423553,2,[0 0 0 0]
243,0,7.3824943600470325,0.1828631472786003,0.22414450347423553,2,[0 0 0 0]
244,0,7.382494361087537,0.18286314723479377,0.22414450347423553,2,[0 0 0 0]
245,0,7.382494361404622,0.1828631472215068,0.22414450347423553,2,[0 0 0 0]
246,0,7.382494363858959,0.18286314711828505,0.22414451837539673,2,[0 0 0 0]
247,0,7.382494362735503,0.18286314716554403,0.22414450347423553,2,[0 0 0 0]
248,0,7.382494362354041,0.18286314718152893,0.22414450347423553,2,[0 0 0 0]
249,0,7.382494361257407,0.1828631472276757,0.22414450347423553,2,[0 0 0 0]
250,0,7.382494363193067,0.18286314714627816,0.22414450347423553,2,[0 0 0 0]
251,0,7.382494363253169,0.1828631471437596,0.22414450347423553,2,[0 0 0 0]
252,0,7.382494365570013,0.18286314704625728,0.22414453327655792,2,[0 0 0 0]
253,0,7.382494366678638,0.18286314699965478,0.22414453327655792,2,[0 0 0 0]
254,0,7.382494365909986,0.18286314703193615,0.22414453327655792,2,[0 0 0 0]
255,0,7.382494364493697,0.1828631470915173,0.22414453327655792,2,[0 0 0 0]
256,0,7.382494364531242,0.18286314708994406,0.22414453327655792,2,[0 0 0 0]
257,0,7.382494363984369,0.18286314711294363,0.22414453327655792,2,[0 0 0 0]
258,0,7.382494363984369,0.18286314711294363,0.22414453327655792,2,[0 0 0 0]
259,0,7.382494365035152,0.18286314706874765,0.22414453327655792,2,[0 0 0 0]
