step,action,psnr_value,mse_value,ssim_value,rank,action
1,171418,3.2566561642275005,2707556.883145692,0.008013132028281689,1,[ 7  0 23 28]
2,341214,3.191211937330748,27248.424268524726,-0.011135729029774666,2,[13 28 21  0]
3,365603,3.2086863835866457,89120196.57607326,0.010051768273115158,3,[14 28 21  0]
4,66287,3.18207161709244,516493641.99360144,-0.0007550190784968436,4,[ 2 20 23 22]
5,36919,3.2222203194739185,1755596.6467606921,-0.009617832489311695,5,[ 1 14 26  2]
6,316884,3.1558037915944275,59203356.24771097,-0.012146549299359322,6,[12 28 23  1]
7,270539,3.172807623972514,64662086.90463458,-0.0032758035231381655,7,[11  2 19 27]
8,439486,3.2012656008166602,52948100.82948748,-0.0031257604714483023,8,[18  0 16 20]
9,341214,3.189766482703723,352442369.3973877,0.0037314521614462137,9,[13 28 21  0]
10,384105,3.216232201319618,33446809.379386283,0.003571235341951251,9,[15 21 21  0]
11,341214,3.194485301378937,12095167.213598158,0.011066301725804806,10,[13 28 21  0]
12,339532,3.1876257751821617,94543628.19961701,0.00887493696063757,10,[13 26 21  0]
13,361398,3.1870640933974617,7532953.481316242,-0.0037324607837945223,11,[14 23 21  0]
14,215094,3.206878524180693,2197099.4660443175,-0.007064458914101124,12,[ 8 23 22  1]
15,250605,3.149713454016178,1295284.8080982314,0.00266001233831048,13,[10  7 28 16]
16,417829,3.168451933756634,39332686.513944015,-0.013409022241830826,14,[17  3 23 26]
17,193394,3.1380876276415015,55704146.103957675,-0.0035790447145700455,15,[ 7 26 27 22]
18,86585,3.279706841495541,131349.85009193662,0.002580756787210703,16,[ 3 15 27 20]
19,291566,3.143692103219288,63686.534053398405,-0.011447101831436157,17,[11 27 20  0]
20,7564,3.309958776285967,15755.357178797649,-0.010698438622057438,18,[ 0  8 28 24]
21,68903,3.2005430147446257,11885.187622127363,-0.014942266047000885,19,[ 2 23 26 28]
22,181621,3.148346625367118,10778.983538234732,-0.007257058285176754,20,[ 7 12 27 23]
23,55471,3.228621964293821,11521.248857883276,-0.011507440358400345,21,[ 2  7 27 23]
24,290698,3.259017833754902,5110.429930711027,0.003443491877987981,22,[11 26 19  2]
25,513995,3.1972719511444008,7737.602820573553,-0.009279465302824974,23,[21  2  4 28]
26,242763,3.1688313391118244,1960.9324549676346,-0.0013776652049273252,24,[ 9 27 19  4]
27,639243,3.2502912264684127,16375.333137025498,-0.0021832420025020838,25,[26  6  2 25]
28,93242,3.2228340799313093,16520.468467661998,-0.006613749545067549,26,[ 3 23 25  7]
29,67217,3.3731814219334257,4243.2093242502415,-6.779735849704593e-05,27,[ 2 21 26 24]
30,241079,3.3285326938628383,1460.03116032166,0.01013905555009842,28,[ 9 25 19  2]
31,51254,3.1780164396518518,15748.340531438007,-0.005193240009248257,29,[ 2  2 27 11]
32,145088,3.508558421837713,603.5848097794182,-0.0005182569148018956,30,[ 5 27 15  1]
33,193202,3.2412442477518684,3373.8585958314184,-0.011366172693669796,31,[ 7 26 21  4]
34,98334,3.374484532574801,1194.8051380650659,-0.0013364047044888139,32,[ 4  0 26 24]
35,216081,3.442393658882912,265.3215185851645,0.0022315368987619877,33,[ 8 24 27  2]
36,603179,3.49829411731306,393.37912156802844,-0.004029188305139542,34,[24 21  6  8]
37,296610,3.6202586393817637,319.62751991880947,-0.007858159020543098,35,[12  4 19 27]
38,125047,3.4848761367300907,277.9608671154733,0.006368526257574558,36,[ 5  3 19 28]
39,678859,3.4347198872668248,113.67111112428412,-0.005892848130315542,37,[27 24  5 27]
40,47047,3.713473158627205,40.75903114783253,-0.005563799291849136,38,[ 1 26 27  9]
41,120216,3.539559992358912,63.62427830409068,0.0016757501289248466,39,[ 4 26 27 11]
42,411078,3.6170981138906813,76.0197190328075,0.006550020072609186,40,[16 24 23  3]
43,389993,3.634287524756128,91.00027453096031,0.007004416547715664,41,[15 28 21  1]
44,411018,3.70354326205004,45.25300846070163,0.01700385846197605,42,[16 24 21  1]
45,151342,3.7583784756645793,30.372553309400327,0.016021812334656715,43,[ 6  5 27 20]
46,364849,3.583363435529562,42.69826734954531,0.0017101492267102003,44,[14 27 24  0]
47,122726,3.65804495257865,128.2251880798465,0.00760379433631897,45,[ 5  0 26 27]
48,268041,3.7391380904673674,52.66145666458881,0.02100897952914238,46,[10 28 20 23]
49,77951,3.7142057264361177,48.67454924271385,-0.00587462168186903,47,[ 3  5 19 28]
50,20180,3.811415285130858,15.772773655877586,-0.00782778300344944,48,[ 0 23 28 25]
51,15077,3.651743350243181,27.149967895144925,-0.007561369799077511,49,[ 0 17 26 26]
52,17586,3.8218545305607456,102.61112316483127,0.006927281152456999,50,[ 0 20 26 12]
53,20180,3.618732029199763,40.26737128648458,0.0001512205199105665,51,[ 0 23 28 25]
54,508341,3.6360064566399366,196.75835673679865,-0.005395400803536177,51,[20 24 13  0]
55,10848,3.689021904508075,45.71918979213228,-0.0015186613891273737,52,[ 0 12 26  2]
56,243833,3.8042733553252175,39.97827181383341,-0.002496346365660429,53,[ 9 28 27  1]
57,337183,4.025810435623846,8.477572048570325,-0.0007494059973396361,54,[13 23 27  0]
58,626575,3.6622798844946565,15.431360391318446,0.001650178455747664,55,[25 20  1  1]
59,557007,3.681994184722435,53.92453179147146,-0.009039721451699734,56,[22 24  9  4]
60,109272,3.847145584221643,78.23728247011978,-0.0037583261728286743,57,[ 4 13 27  0]
61,610838,3.8089707067724126,9.046343452326289,-0.010653634555637836,58,[25  1  9 11]
62,193227,3.8160274274210773,38.00364723473317,-0.0033728103153407574,59,[ 7 26 22  0]
63,121657,3.7494700661553226,15.607292801158039,-0.013651048764586449,60,[ 4 28 19  2]
64,659742,3.840300906111543,27.54671290695054,0.003333273809403181,61,[27  1 13 21]
65,570233,3.8816587395561113,9.244576816217709,0.0008037381339818239,62,[23 11  1  6]
66,414757,3.8817138410092094,5.570362469306877,-0.011022965423762798,63,[17  0  4 28]
67,29403,4.049519478214077,3.9834759373295303,-0.003398255445063114,64,[ 1  5 27 26]
68,511473,3.981530525643198,5.691150047321925,-0.007342983968555927,65,[20 28  5  0]
69,270569,3.860781197758114,11.48773672601467,-0.020865129306912422,66,[11  2 20 28]
70,26838,4.132447796154081,12.130276400913598,0.009487387724220753,67,[ 1  2 26 13]
71,142875,3.9323297824876677,9.858559050628818,-0.012550300918519497,68,[ 5 24 25 21]
72,48430,4.002509190034028,8.840075218568971,-0.006668851710855961,69,[ 1 28 17  0]
73,123510,3.882826085805732,11.119674640844574,-0.006522488780319691,70,[ 5  1 24 28]
74,52976,4.128762526566933,4.690957538850067,0.005403324496001005,71,[ 2  4 28 22]
75,48580,4.169006676762555,3.196084265066193,0.0026207277551293373,72,[ 1 28 22  5]
76,107558,3.9142094034098083,8.084858298186754,0.0008339639171026647,73,[ 4 11 25 26]
77,8409,4.1878214816414605,5.05375141409517,-0.001380959409289062,74,[ 0  9 28 28]
78,686278,4.049173065552502,4.3129688973104106,-0.003233401570469141,75,[28  4  0 22]
79,258133,4.169389763327014,4.91974778611669,-0.014359758235514164,76,[10 16 27  4]
80,560657,4.093870665846121,9.681789951570174,-0.002385679865255952,77,[22 28 19  0]
81,26674,4.143383088963315,5.162107310393074,-0.008786601945757866,78,[ 1  2 20 23]
82,169424,3.905311616835048,6.537787556930632,-0.012528471648693085,79,[ 6 27 13  6]
83,692,4.243795321195879,4.292704640752296,-0.005206728354096413,80,[ 0  0 23 25]
84,146999,4.192003477749685,5.047126306369941,0.004902250599116087,81,[ 6  0 22 27]
85,99991,4.183564184351721,5.28894389811271,0.01396914105862379,82,[ 4  2 25 28]
86,90815,4.242862347575448,5.070779846394336,0.013168695382773876,83,[ 3 20 28 16]
87,124380,4.146456748195334,5.418866897804543,0.012848100624978542,84,[ 5  2 25 28]
88,125221,4.1728526770141325,4.942532096860912,0.0016666827723383904,85,[ 5  3 25 28]
89,341559,4.23705869804547,4.706999882164916,-0.0032092302571982145,86,[14  0  3 26]
90,147027,4.1898878477798895,4.16007742822075,-0.00590222142636776,87,[ 6  0 23 26]
91,171325,4.167336544839641,5.1578557435041,-0.015468844212591648,88,[ 7  0 20 22]
92,301801,4.113620632905453,4.975614570170053,-0.0013732908992096782,89,[12 10 24 27]
93,148739,4.1248781870621825,4.472244809488136,-0.011506395414471626,90,[ 6  2 24 27]
94,200040,4.201711278937262,4.83394751673608,0.0042971963994205,91,[ 8  5 24 27]
95,633447,4.287043425424545,4.688841064136058,0.008185626938939095,92,[25 28  6  0]
96,633447,4.249295994755037,4.612202845330047,0.012692075222730637,93,[25 28  6  0]
97,197517,4.273495158451278,4.315306939955069,0.00842765998095274,93,[ 8  2 24 27]
98,219444,4.146725098265097,4.58617129247733,0.003450824413448572,94,[ 8 28 27  1]
99,514225,4.267300844222451,4.459104899518587,0.007618283852934837,95,[21  2 12 26]
100,489867,4.2792658616562225,4.564466012379507,0.004364301450550556,96,[20  2 13 28]
101,123539,4.282154336434251,4.197392554179722,0.001356777735054493,97,[ 5  1 25 28]
102,162138,4.250797330341825,4.48146493944401,0.012096633203327656,98,[ 6 18 22 28]
103,648495,4.265639023126279,4.012889711688771,0.008300257846713066,99,[26 17  2 26]
104,34418,4.106971765283365,6.008327893539979,0.012925284914672375,100,[ 1 11 26 24]
105,514169,4.203899244579218,3.9000819646145897,0.011538100428879261,101,[21  2 10 28]
106,78898,4.157310861673372,3.7617462005960665,0.006332518067210913,102,[ 3  6 23 18]
107,73103,4.143599114583144,3.5019303365951773,0.005659427959471941,103,[ 2 28 26 23]
108,63073,4.3650299231044745,3.064412022527784,0.0018563132034614682,104,[ 2 16 28 27]
109,415422,4.2184361290570305,3.128820327418774,0.0003679304209072143,105,[17  0 27 26]
110,295043,4.321478358820413,2.9510165703505415,0.0016750047216191888,106,[12  2 23 26]
111,295043,4.324028855832466,2.798298177025483,-0.005159764550626278,107,[12  2 23 26]
112,41959,4.286320110272769,3.542682486171916,-0.005270378198474646,107,[ 1 20 25 25]
113,221034,4.358976064746716,2.743105228158214,0.0023263217881321907,108,[ 9  1 23 25]
114,126090,4.315797999720966,2.961077723638191,0.0016110228607431054,109,[ 5  4 26 27]
115,600491,4.277138198013368,2.993775945397412,0.004779044073075056,110,[24 18  0 17]
116,245454,4.331012148464347,2.8633225843258265,0.003135387785732746,111,[10  1 24 27]
117,244613,4.348266059261085,3.0580464460383068,-0.0004942313535138965,112,[10  0 24 27]
118,94006,4.328505239237644,2.8555868495514205,0.017413750290870667,113,[ 3 24 22 17]
119,73991,4.347766783506869,2.946127177458633,0.012567592784762383,114,[ 3  0 28 12]
120,222743,4.373986489497732,2.689385538632221,0.007415743079036474,115,[ 9  3 24 23]
121,582325,4.3757298357809375,2.687361685641642,0.016093511134386063,116,[23 25 12  5]
122,678897,4.299243140252771,3.1619113618825665,0.012370320037007332,117,[27 24  7  7]
123,679790,4.325215419912372,2.6442948877689014,0.006483301520347595,118,[27 25  9  1]
124,220195,4.2807252692110715,3.14566227289967,0.01579485833644867,119,[ 9  0 23 27]
125,122520,4.2953490646060075,3.0789805087367714,0.015225420705974102,120,[ 5  0 19 24]
126,290754,4.238180051701258,3.6629724695302532,0.02862282656133175,121,[11 26 21  0]
127,24228,4.161678139683129,4.281218783778785,0.0059112440794706345,122,[ 0 28 23 13]
128,438915,4.1714096496729445,4.132614098162096,0.009444324299693108,123,[17 28 26  0]
129,343790,4.1776133444804895,4.098937591508799,0.00583199318498373,124,[14  2 22 24]
130,41976,4.2140038724377575,4.068301634551731,0.004286821000277996,125,[ 1 20 26 13]
131,245425,4.1723979534080415,4.1619236873484855,0.0037693523336201906,126,[10  1 23 27]
132,47706,4.230154225015684,3.871925127251818,0.0009727669530548155,127,[ 1 27 21  1]
133,138524,4.251489346487809,3.8709849171416777,0.006529069039970636,128,[ 5 19 20 20]
134,22476,4.2412865866071625,3.9149352609694317,-0.0012329383753240108,129,[ 0 26 21  1]
135,316978,4.308342943798667,3.8201004301575803,0.0019910987466573715,130,[12 28 26  8]
136,268940,4.23542884619026,3.909081781032035,0.0001801078615244478,131,[11  0 22 23]
137,100681,4.214078023271626,4.03607243272585,0.002510407939553261,132,[ 4  3 20 22]
138,298438,4.19013113353062,3.9746150010128614,-0.0005179629661142826,133,[12  6 24 28]
139,246296,4.1820509666284265,3.98463112468408,0.0004286182811483741,134,[10  2 24 28]
140,60424,4.176074256002585,4.057437479170697,0.00026029051514342427,135,[ 2 13 24 17]
141,316978,4.174460357488574,4.123803714790051,-0.0003388363984413445,136,[12 28 26  8]
142,59584,4.165652486606325,4.116461535996935,-0.0007057589245960116,136,[ 2 12 24 18]
143,278253,4.204784445066062,4.288222248553476,-0.001754005323164165,137,[11 11 24 27]
144,701399,4.143842133243228,4.501690463607735,-0.0016555360052734613,138,[28 22  0  5]
145,363287,4.117524191272985,4.09994223825466,-0.008933153934776783,139,[14 25 28  4]
146,247885,4.134856500625953,4.200869330535841,-0.003638309193775058,140,[10  4 21 22]
147,656945,4.124211757180558,4.789704918634446,-0.005511624738574028,141,[26 27  4  8]
148,71283,4.08527082173191,4.682219936906566,-0.005369554739445448,142,[ 2 26 22  1]
149,653517,4.084392542408338,4.753236980497587,-0.010204819962382317,143,[26 23  2  2]
150,58846,4.071136206714626,4.644975589771265,-0.008032095618546009,144,[ 2 11 28  5]
151,149580,4.0992536268225805,4.308836532475993,-0.00840874295681715,145,[ 6  3 24 27]
152,26726,4.0874335895214555,4.315254824916123,-0.008999599143862724,146,[ 1  2 22 17]
153,121715,4.110527699764018,4.412053898528809,-0.009448743425309658,147,[ 4 28 21  2]
154,172166,4.043153408158436,4.696934370954152,-0.011499574407935143,148,[ 7  1 20 22]
155,25166,4.200664689196975,3.785010827233336,-0.006130073685199022,149,[ 1  0 26 23]
