step,action,psnr_value,mse_value,ssim_value,rank,action
1,23528,8.215210109864909,0.15462559640259482,0.057171862572431564,1,[ 0 27 28  9]
2,341272,8.573113003864057,0.14942403161236645,0.08067678660154343,2,[13 28 23  0]
3,543407,8.506931411239567,0.15051235856107162,0.08397812396287918,3,[22  8  4  5]
4,291567,8.587102298980785,0.14761307023340783,0.09082187712192535,4,[11 27 20  1]
5,170642,8.656699083451635,0.1414519284224404,0.1024496778845787,5,[ 6 28 26  6]
6,170693,8.631760446002836,0.14135823954322133,0.10121700167655945,6,[ 6 28 27 28]
7,436428,5.500974540844191,0.3801030674728038,0.09229714423418045,7,[17 25 27  7]
8,144217,5.366994671155303,0.382585122629442,0.09723740816116333,8,[ 5 26 14  0]
9,63901,5.855407602763157,0.3500149945568813,0.13250018656253815,9,[ 2 17 28 14]
10,173070,6.0212869757528615,0.2880138209751854,0.1037200465798378,10,[ 7  2 22 27]
11,28475,6.235012861348142,0.2691156470247677,0.09682948142290115,11,[ 1  4 24 26]
12,671405,6.648648179811168,0.24472581685462855,0.11007466912269592,12,[27 15  9 26]
13,47747,6.984632421974419,0.22510729687721687,0.08278459310531616,13,[ 1 27 22 13]
14,130066,6.984423902642848,0.22507453790725096,0.0830988734960556,14,[ 5  9 19  1]
15,247684,6.996630933108488,0.22459679026953505,0.0848512127995491,15,[10  4 14 24]
16,340551,7.607061574151787,0.19581573036324543,0.11254391074180603,16,[13 27 27  4]
17,158062,7.612909957974794,0.1947463286228299,0.1073475033044815,17,[ 6 13 27 12]
18,5008,7.645045591419856,0.1927128119795239,0.1052136942744255,18,[ 0  5 27 20]
19,62959,7.665257696180669,0.18798536710081273,0.07879605144262314,19,[ 2 16 25  0]
20,410967,7.726402544861335,0.18594945006268235,0.0832546278834343,20,[16 24 19  8]
21,97932,8.00993171503778,0.17064747325689011,0.09322410076856613,21,[ 4  0 12 28]
22,97197,8.069739631701765,0.16806651252694577,0.09728428721427917,22,[ 3 28 16 18]
23,151245,8.120924839035276,0.16635309103003967,0.09479008615016937,23,[ 6  5 24 10]
24,614819,8.116313937328542,0.16655389013042954,0.09490454941987991,24,[25  6  1 19]
25,51261,8.143859879622031,0.1656253166158176,0.09666702896356583,25,[ 2  2 27 18]
26,41069,8.148557551613147,0.16525039064005248,0.09649568796157837,26,[ 1 19 24  5]
27,167796,8.15529583438118,0.1647182771250809,0.0952831581234932,27,[ 6 25 15  2]
28,65417,8.187440515125228,0.16405306745528367,0.09821432828903198,28,[ 2 19 22 22]
29,339503,8.138363503425172,0.16625446200177263,0.0964285284280777,29,[13 26 20  0]
30,97382,8.148371898972977,0.16744475170627568,0.0966319590806961,30,[ 3 28 23  0]
31,67129,8.143556373769524,0.16734164816369482,0.09096278995275497,31,[ 2 21 23 23]
32,85610,8.345055975231368,0.15664821867551051,0.09656330943107605,32,[ 3 14 23  2]
33,67133,8.357692606306186,0.15619405180556947,0.09295455366373062,33,[ 2 21 23 27]
34,97066,8.604118992352563,0.146329353805839,0.11154189705848694,34,[ 3 28 12  3]
35,169809,8.60638061061638,0.14648817762092037,0.1132672056555748,35,[ 6 27 26 14]
36,123538,8.597243840652604,0.1468512656467843,0.11319238692522049,36,[ 5  1 25 27]
