step,action,psnr_value,mse_value,ssim_value,rank,action
1,165673,7.800243317232042,0.1660554968541451,0.29209479689598083,1,[ 6 22 28 25]
2,630315,7.811374915563672,0.16561189760136633,0.28174883127212524,2,[25 24 14  0]
3,34397,7.866567915353617,0.16348024263666042,0.21130622923374176,3,[ 1 11 26  3]
4,389298,7.884138922431338,0.16279204265129477,0.19980524480342865,4,[15 27 26  2]
5,210226,7.883876058757268,0.16280196871267022,0.2000647783279419,5,[ 8 17 28  5]
6,94020,7.935445076373515,0.16092085181760676,0.1618230640888214,6,[ 3 24 23  2]
7,21808,7.936170434194024,0.1608881036224222,0.15499834716320038,7,[ 0 25 27  0]
8,221674,7.946347951755527,0.160532308611482,0.1436411738395691,8,[ 9  2 16 27]
9,146309,8.0206069456612,0.15776706448949673,0.13098368048667908,9,[ 5 28 28  4]
10,148835,8.040525340180414,0.15705798380886327,0.11124320328235626,10,[ 6  2 28  7]
11,26014,8.040960028127168,0.15704219247310658,0.11144638061523438,11,[ 1  1 27  1]
12,100852,8.049777919444422,0.15672103350733485,0.10911673307418823,12,[ 4  3 26 19]
13,249639,8.050773911750463,0.15668527460693477,0.10750843584537506,13,[10  6 24  7]
14,672015,8.052661599826537,0.15661662709193067,0.10557615011930466,14,[27 16  1 27]
15,693106,8.052450621303926,0.15671341943727,0.10769183188676834,15,[28 12  4  6]
16,109264,8.050936262825394,0.15674349824190842,0.10775989294052124,16,[ 4 13 26 21]
17,195743,8.071140764291181,0.1560922294312689,0.09304210543632507,17,[ 8  0 21 22]
18,170346,8.07003757175629,0.15630323069409094,0.1008305773139,18,[ 6 28 16  0]
19,118901,8.078190353759696,0.156103646943123,0.097802072763443,19,[ 4 25 11  1]
20,38670,8.080988952166372,0.15597194805696857,0.10600654035806656,20,[ 1 16 28 13]
21,148591,8.268789517151296,0.14924319398120228,0.11829587817192078,21,[ 6  2 19 24]
22,291972,8.26581085596731,0.14937389952533855,0.11863110959529877,22,[11 28  5  0]
23,136890,8.263084707679328,0.1494701088459368,0.1161491796374321,23,[ 5 17 22 10]
