step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,7.694287550393688,0.17019366296905444,0.28861674666404724,1,[0 0 0 0]
2,0,7.720598037022058,0.16916572376812042,0.2886847257614136,2,[0 0 0 0]
3,0,7.72060223817679,0.16916556026572757,0.28868401050567627,2,[0 0 0 0]
4,0,7.720602376165201,0.16916555489549082,0.2886839210987091,2,[0 0 0 0]
5,0,7.720602224241234,0.16916556080820655,0.2886837124824524,2,[0 0 0 0]
6,0,7.720602315338988,0.16916555726271937,0.2886839807033539,2,[0 0 0 0]
7,0,7.720602189575631,0.1691655621572424,0.28868407011032104,2,[0 0 0 0]
8,0,7.720602382345351,0.16916555465500138,0.2886839210987091,2,[0 0 0 0]
9,0,7.7206023498033876,0.1691655559215487,0.2886839509010315,2,[0 0 0 0]
10,0,7.720602336818885,0.16916555642680167,0.2886839509010315,2,[0 0 0 0]
11,0,7.720602176021698,0.16916556268488803,0.28868407011032104,2,[0 0 0 0]
12,0,7.720602338170046,0.16916555637423997,0.2886839509010315,2,[0 0 0 0]
13,0,7.720602374057469,0.16916555497757288,0.2886839210987091,2,[0 0 0 0]
14,0,7.72060237959813,0.16916555476191553,0.2886839210987091,2,[0 0 0 0]
15,0,7.7206023795670475,0.169165554763047,0.28868386149406433,2,[0 0 0 0]
16,0,7.720602367297954,0.1691655552405794,0.28868383169174194,2,[0 0 0 0]
17,0,7.720602384104853,0.16916555458650426,0.28868386149406433,2,[0 0 0 0]
18,0,7.720602384777074,0.1691655545602978,0.28868386149406433,2,[0 0 0 0]
19,0,7.720602360745938,0.16916555549557954,0.28868383169174194,2,[0 0 0 0]
20,0,7.720602330276417,0.16916555668137664,0.28868380188941956,2,[0 0 0 0]
21,0,7.720602349446219,0.16916555593523452,0.28868380188941956,2,[0 0 0 0]
22,0,7.720602366013075,0.16916555529050503,0.28868383169174194,2,[0 0 0 0]
23,0,7.720602387193793,0.16916555446626383,0.28868386149406433,2,[0 0 0 0]
24,0,7.720602387775591,0.16916555444364947,0.2886838912963867,2,[0 0 0 0]
25,0,7.720602384165813,0.1691655545840899,0.28868386149406433,2,[0 0 0 0]
26,0,7.720602386323802,0.16916555450013684,0.28868386149406433,2,[0 0 0 0]
27,0,7.720602384589874,0.16916555456760132,0.28868386149406433,2,[0 0 0 0]
28,0,7.720602368031535,0.16916555521202495,0.28868383169174194,2,[0 0 0 0]
29,0,7.720602359757105,0.16916555553404866,0.28868383169174194,2,[0 0 0 0]
30,0,7.720602386025276,0.16916555451174603,0.28868386149406433,2,[0 0 0 0]
31,0,7.720602387720951,0.1691655544457671,0.2886838912963867,2,[0 0 0 0]
32,0,7.720602385100694,0.16916555454775337,0.2886838912963867,2,[0 0 0 0]
33,0,7.720602387771493,0.16916555444380882,0.2886838912963867,2,[0 0 0 0]
34,0,7.72060238626146,0.1691655545025552,0.28868386149406433,2,[0 0 0 0]
35,0,7.720602378691056,0.16916555479715628,0.28868386149406433,2,[0 0 0 0]
36,0,7.720602388152827,0.16916555442895634,0.2886838912963867,2,[0 0 0 0]
37,0,7.720602387094758,0.16916555447012915,0.28868386149406433,2,[0 0 0 0]
38,0,7.7206023854831685,0.16916555453283938,0.28868386149406433,2,[0 0 0 0]
39,0,7.72060238617129,0.16916555450604903,0.28868386149406433,2,[0 0 0 0]
40,0,7.720602382550776,0.16916555464697527,0.28868386149406433,2,[0 0 0 0]
41,0,7.720602387818605,0.16916555444196518,0.2886838912963867,2,[0 0 0 0]
42,0,7.720602387320098,0.16916555446136947,0.28868386149406433,2,[0 0 0 0]
43,0,7.720602386839346,0.16916555448005857,0.28868386149406433,2,[0 0 0 0]
44,0,7.720602385527303,0.16916555453112816,0.28868386149406433,2,[0 0 0 0]
