step,action,psnr_value,mse_value,ssim_value,rank,action
1,6889,4.401546589463346,1.0258144736569375,-0.02020377852022648,1,[6 8 8 9]
2,3266,3.5714001030238585,1023.7010945052016,-0.029867833480238914,2,[3 2 6 6]
3,8456,3.8046792680083907,161.0199925680277,-0.015830490738153458,3,[8 4 5 6]
4,4878,3.830881038666546,37.464462973620684,-0.04504997655749321,4,[4 8 7 8]
5,5184,4.054075190769914,369.0682644668293,-0.0220708716660738,5,[5 1 8 4]
6,7409,4.500783178664954,0.9937009665247387,-0.05664326995611191,6,[7 4 0 9]
7,655,4.158891156768154,1.565260381678563,-0.07147727906703949,7,[0 6 5 5]
8,839,4.33962053471753,2.8336438547394938,-0.016493957489728928,8,[0 8 3 9]
9,756,4.322403038342264,1.2343034461468414,-0.047700293362140656,9,[0 7 5 6]
10,9037,4.334789413400253,0.47400425261352214,-0.06739622354507446,10,[9 0 3 7]
11,4856,4.331818162283762,0.514886717611962,-0.043763723224401474,11,[4 8 5 6]
12,7788,4.088707776773412,0.6970563805243001,-0.02975958213210106,12,[7 7 8 8]
13,7787,4.71101643915866,0.5309228221775265,0.04245825111865997,13,[7 7 8 7]
14,7968,4.7359582805550025,0.5779464705369901,0.07561435550451279,14,[7 9 6 8]
15,7492,4.441576129576529,0.5823453604122096,0.05997609347105026,15,[7 4 9 2]
16,3208,4.61882522344446,0.620400529390754,0.06578011065721512,16,[3 2 0 8]
17,7584,4.406667904878833,0.7526591420016484,0.03294650465250015,17,[7 5 8 4]
18,6708,4.498699915406336,0.7919122570229229,0.020493093878030777,18,[6 7 0 8]
19,9,4.000924870361276,3.228772838146542,0.03480249270796776,19,[0 0 0 9]
20,8589,4.07937575698326,3.5009819374194193,0.037019994109869,20,[8 5 8 9]
21,3483,4.073291960883572,3.7451974817598237,0.05908868461847305,21,[3 4 8 3]
22,8519,4.050888229989642,3.266092702478636,0.04210875183343887,22,[8 5 1 9]
23,1144,3.968314938865473,2.9150164453400067,0.029395613819360733,23,[1 1 4 4]
24,7375,3.9127490300117618,3.0255404432234356,0.014478449709713459,24,[7 3 7 5]
25,5780,3.9628122453889887,2.887898088371594,0.02103489451110363,25,[5 7 8 0]
26,4089,3.9377726508177036,2.9985100213071565,0.012826802209019661,26,[4 0 8 9]
27,2446,3.9473281426519877,2.674494280288127,0.0037565664388239384,27,[2 4 4 6]
28,6878,3.937740202514001,2.784911582969944,-0.00028484687209129333,28,[6 8 7 8]
29,3151,4.487281495662474,2.1358601475417434,0.09018011391162872,29,[3 1 5 1]
30,3218,4.512132616608442,2.3256717398307867,0.12070872634649277,30,[3 2 1 8]
31,4117,3.875733952167588,5.325223289622954,0.02529224194586277,31,[4 1 1 7]
32,7094,4.185797099035401,2.896006512876793,0.08650077879428864,32,[7 0 9 4]
33,7777,3.8480500316864457,3.521893086885102,0.04325716942548752,33,[7 7 7 7]
34,7964,3.8358252442077507,3.4743564075246103,0.046916525810956955,34,[7 9 6 4]
35,2333,4.078994878289239,2.644454417474044,0.09060226380825043,35,[2 3 3 3]
36,9551,3.812473766215291,2.5253489269777494,0.06689967960119247,36,[9 5 5 1]
37,6417,4.01897332389323,2.388691321818624,0.030687104910612106,37,[6 4 1 7]
38,8290,4.092574008997007,2.4012349474360235,0.05952225998044014,38,[8 2 9 0]
39,7768,4.309259499447404,2.3718635840612112,0.08077187091112137,39,[7 7 6 8]
40,1714,4.25608546602395,2.3030067716398843,0.06846155226230621,40,[1 7 1 4]
41,1283,4.764028083991145,0.7754283716659848,0.09101341664791107,41,[1 2 8 3]
42,200,4.715185958477553,0.7715107734099729,0.08106139302253723,42,[0 2 0 0]
43,1507,4.714423365052674,0.7881439217348816,0.08018633723258972,43,[1 5 0 7]
44,3264,4.767739575979245,0.8134709631006263,0.08368834108114243,44,[3 2 6 4]
45,9834,4.730519979763107,0.8144809176837953,0.08212168514728546,45,[9 8 3 4]
46,6349,4.746251687224154,0.8206666914357902,0.08323530852794647,46,[6 3 4 9]
47,4598,4.37838476629108,0.995945714518748,0.0651368647813797,47,[4 5 9 8]
48,9272,4.327059816791966,0.9592938799827243,0.06407077610492706,48,[9 2 7 2]
49,5277,4.556160848780513,1.150229853289129,0.06361167132854462,49,[5 2 7 7]
50,5435,4.561177057772616,1.1438994627237844,0.0625789612531662,50,[5 4 3 5]
51,510,4.2001466089290815,0.9248007378564216,0.008175422437489033,51,[0 5 1 0]
52,5451,4.4995435617418,0.8833546282485076,0.025362053886055946,52,[5 4 5 1]
53,172,4.847500209002643,0.9215033009218314,0.19087478518486023,53,[0 1 7 2]
54,2697,4.527590186136463,0.9877810311981011,0.12416388094425201,54,[2 6 9 7]
55,7582,4.5434026806572705,0.9955510293403677,0.124320849776268,55,[7 5 8 2]
56,7063,4.55867556928707,0.9689089865085407,0.1338697373867035,56,[7 0 6 3]
57,9699,4.630020686055851,1.023036887426133,0.15443697571754456,57,[9 6 9 9]
58,2559,4.707069547196946,1.0428007210247596,0.14787527918815613,58,[2 5 5 9]
59,8697,4.808865317463498,0.9297180849511641,0.10599909722805023,59,[8 6 9 7]
