step,action,psnr_value,mse_value,ssim_value,rank,action
1,4912,3.1026794085196823,1.9569116056608253,-0.06209328770637512,1,[4 9 1 2]
2,9197,3.2803967123997184,41.01578913262812,-0.0003628060221672058,2,[9 1 9 7]
3,4785,3.2994453415129628,265.215462872982,0.0037056542932987213,3,[4 7 8 5]
4,7913,3.3493574688486536,185.5495630196482,2.1377205484895967e-05,4,[7 9 1 3]
5,6010,3.2250876571408775,16.876744133755565,-0.028765374794602394,5,[6 0 1 0]
6,6582,3.177240803359892,23.629753185421905,-0.04874343425035477,6,[6 5 8 2]
7,3316,3.5112816698924525,19.920481209708377,-0.004511993378400803,7,[3 3 1 6]
8,2574,3.390963294098129,19.739843203127386,-0.028506126254796982,8,[2 5 7 4]
9,1969,3.449255230683845,20.393890830129386,-0.024188566952943802,9,[1 9 6 9]
10,8511,3.15165134319886,18.28120191130787,-0.030590644106268883,10,[8 5 1 1]
11,4183,3.224576658362777,21.709254499811212,-0.014950446784496307,11,[4 1 8 3]
12,6963,3.2935129772326714,18.773000342417507,-0.02357521280646324,12,[6 9 6 3]
13,635,3.562884695470965,18.18636145081371,0.03179895877838135,13,[0 6 3 5]
14,2381,3.5165882413177085,18.89819431229116,0.01925642043352127,14,[2 3 8 1]
15,4735,3.3386033929248455,13.01906731205847,-0.022776048630475998,15,[4 7 3 5]
16,4301,3.3939736191925314,13.391642057709396,-0.018142398446798325,16,[4 3 0 1]
17,28,3.3397104422254835,12.846823859029355,-0.017915431410074234,17,[0 0 2 8]
18,6009,3.4062959870255405,13.134436714597978,-0.01430635154247284,18,[6 0 0 9]
19,7075,3.49511797592357,10.791279267332248,-0.002387575339525938,19,[7 0 7 5]
20,9927,3.4960140550585854,9.841930055465783,0.02406487986445427,20,[9 9 2 7]
21,7752,3.5066741322881128,10.278683271540794,0.022738587111234665,21,[7 7 5 2]
22,1205,3.461564746732988,8.943012392055097,-0.0245499350130558,22,[1 2 0 5]
23,1810,3.4742492012046258,8.926974853536812,-0.01243993267416954,23,[1 8 1 0]
24,2662,3.535284158114709,7.7995072188042105,0.00569263007491827,24,[2 6 6 2]
25,2837,3.80987468426067,7.274923815540969,0.0655156597495079,25,[2 8 3 7]
26,5955,3.4053283132605423,7.439588417561499,-0.014631514437496662,26,[5 9 5 5]
27,5984,3.380644383547669,18.79636859401129,0.006268307566642761,27,[5 9 8 4]
28,7052,3.3476294114190157,16.255128447190074,0.000844331574626267,28,[7 0 5 2]
29,9267,3.3690875839053103,23.418316100328813,-0.009295368567109108,29,[9 2 6 7]
30,3521,3.2538776526387743,20.40176139130723,-0.04195528104901314,30,[3 5 2 1]
31,4908,3.2178057472444523,20.636005034784322,-0.03845744952559471,31,[4 9 0 8]
32,6489,3.2182052340775624,21.01350407017628,-0.031325481832027435,32,[6 4 8 9]
33,5260,3.3677135843114074,22.698958815268707,-0.019073447212576866,33,[5 2 6 0]
34,3401,3.493197439953979,16.863768994617274,-0.015210077166557312,34,[3 4 0 1]
35,9310,3.1715249252150968,10.35691671177745,-0.04220784455537796,35,[9 3 1 0]
36,9743,3.621849123026302,10.317241872092708,0.03154350072145462,36,[9 7 4 3]
37,8425,3.6865535621705883,11.606895136696112,0.036674849689006805,37,[8 4 2 5]
38,8974,3.493433307931317,12.922342537842342,-0.012519191019237041,38,[8 9 7 4]
39,6935,3.4970410018383835,12.917914442239562,-0.012313617393374443,39,[6 9 3 5]
40,9297,3.503928014283569,12.079915363711626,-0.0064551569521427155,40,[9 2 9 7]
41,4539,3.5865824058628664,12.141098986957223,-0.0002653328701853752,41,[4 5 3 9]
42,7602,3.6966887353662683,13.668977750214982,0.014789742417633533,42,[7 6 0 2]
43,8073,3.588700604330568,14.395199229403588,-0.014200462028384209,43,[8 0 7 3]
44,8928,3.8503617515476254,13.989898328866229,0.05364357680082321,44,[8 9 2 8]
45,9341,3.8765896579419117,12.989867141553113,0.08325938880443573,45,[9 3 4 1]
46,7921,4.044168939284257,12.392629988081058,0.13536430895328522,46,[7 9 2 1]
47,6254,4.182993082859957,10.979657425725309,0.16064658761024475,47,[6 2 5 4]
48,5746,4.078634634262009,7.380723554305733,0.09807883203029633,48,[5 7 4 6]
49,7625,4.32036995668442,7.014648226273421,0.13674573600292206,49,[7 6 2 5]
50,1476,3.9982113890222504,7.024120320256333,0.09026724845170975,50,[1 4 7 6]
51,6921,3.871273105991762,6.61640231014404,0.10585542768239975,51,[6 9 2 1]
52,5992,3.963532106670957,6.2967830978799615,0.09572775661945343,52,[5 9 9 2]
53,1881,3.8917169445107627,6.387589210029692,0.08576005697250366,53,[1 8 8 1]
54,7771,3.820666783678023,5.815761533286422,0.06558950245380402,54,[7 7 7 1]
55,7610,3.6605674509094444,6.016223821965977,0.0641755536198616,55,[7 6 1 0]
56,5905,3.8041186393763953,6.4556212253577545,0.07051485776901245,56,[5 9 0 5]
57,7284,3.810918580521654,5.970143045461737,0.033422473818063736,57,[7 2 8 4]
58,2873,3.8303090035906235,5.8666417442972305,0.041503019630908966,58,[2 8 7 3]
59,7721,3.8559055551252492,5.891480023823679,0.03912380710244179,59,[7 7 2 1]
60,3844,3.8636511622270078,5.9174579245791845,0.03746974840760231,60,[3 8 4 4]
61,6043,3.5773306009335726,6.218287365894066,-0.010200281627476215,61,[6 0 4 3]
62,1355,3.7551288980791524,5.367025042629102,0.007593339774757624,62,[1 3 5 5]
63,1285,3.7056194658792805,5.370148995164782,0.0051291328854858875,63,[1 2 8 5]
64,2819,4.328269473751502,3.867701328029507,0.07542409002780914,64,[2 8 1 9]
65,4259,4.156817281781432,4.1331649575755,0.07446664571762085,65,[4 2 5 9]
66,8576,4.185046853005121,4.95731819295921,0.10836833715438843,66,[8 5 7 6]
67,1167,4.505768346500773,3.9565026788310935,0.10139419883489609,67,[1 1 6 7]
68,5359,4.822338947888011,3.700996622866951,0.10970602929592133,68,[5 3 5 9]
69,2671,4.746799358229017,3.6254684417604586,0.11839624494314194,69,[2 6 7 1]
70,8730,4.751570372516329,3.588378389761443,0.12224899232387543,70,[8 7 3 0]
71,9813,4.777207028160435,3.1995161982804894,0.13564422726631165,71,[9 8 1 3]
72,7613,4.795619115719017,3.3670473723619945,0.13910679519176483,72,[7 6 1 3]
73,5050,4.797405640891098,3.374088690747885,0.1394333392381668,73,[5 0 5 0]
74,6785,4.603379269258399,2.9485854818928785,0.10923433303833008,74,[6 7 8 5]
75,7360,4.56898849209071,2.7437059887411306,0.12075003236532211,75,[7 3 6 0]
76,876,4.58180272447175,2.699750932978641,0.12451429665088654,76,[0 8 7 6]
77,9262,4.8641987956095845,2.71767876763246,0.15786966681480408,77,[9 2 6 2]
78,5638,4.860992775461364,2.7863174251629244,0.15644334256649017,78,[5 6 3 8]
79,334,4.8860041590081105,2.667408977288287,0.156845360994339,79,[0 3 3 4]
80,4005,4.844736040198021,2.7610737340936664,0.15755824744701385,80,[4 0 0 5]
81,9142,4.88215400786449,2.964381941945467,0.1702941656112671,81,[9 1 4 2]
82,8620,4.955967701965262,2.8983706764937414,0.18616999685764313,82,[8 6 2 0]
83,8145,4.899031640431645,2.7411980865488292,0.18331819772720337,83,[8 1 4 5]
84,9727,4.89533834782489,2.757712006228976,0.17882338166236877,84,[9 7 2 7]
85,3188,4.481495058074499,2.4356523630630136,0.17061010003089905,85,[3 1 8 8]
86,9934,4.749452069511573,1.6494676683548095,0.17891821265220642,86,[9 9 3 4]
87,9430,4.764295632953932,1.6828041105350804,0.17663875222206116,87,[9 4 3 0]
88,6723,4.952476695742989,1.4673113236382778,0.18801939487457275,88,[6 7 2 3]
89,4300,5.044096583701874,1.3284362102637532,0.20814403891563416,89,[4 3 0 0]
90,3736,5.172077872851279,1.2981307046965684,0.2208510935306549,90,[3 7 3 6]
91,3152,5.5480127572938205,1.159638576912621,0.2557864785194397,91,[3 1 5 2]
92,5391,5.7237447872054625,1.084829540571227,0.27476754784584045,92,[5 3 9 1]
93,2259,6.167480393200525,0.899394933655276,0.31569164991378784,93,[2 2 5 9]
94,181,6.221235509529233,0.8814594745710201,0.31805938482284546,94,[0 1 8 1]
95,2708,6.278683882022909,0.892904863439644,0.30531853437423706,95,[2 7 0 8]
96,4472,6.350766742483039,0.8971437651037649,0.30673786997795105,96,[4 4 7 2]
97,349,6.333888281807187,0.8706601300516513,0.3140394389629364,97,[0 3 4 9]
98,2456,6.401161340884638,0.8726601017056987,0.3081890940666199,97,[2 4 5 6]
99,8358,6.5518919433811575,0.7954471166592156,0.31959298253059387,97,[8 3 5 8]
100,1450,6.610115271235378,0.7851552739755425,0.33191001415252686,97,[1 4 5 0]
101,892,6.586106794052883,0.761210751431936,0.3305598199367523,97,[0 8 9 2]
102,2250,6.565676475005335,0.719904390279844,0.3490878939628601,97,[2 2 5 0]
103,3776,6.667304952983887,0.7032764790000511,0.35581791400909424,97,[3 7 7 6]
104,2079,6.678175958192996,0.696942001714815,0.35843053460121155,97,[2 0 7 9]
105,2301,6.765087857576805,0.687282227351825,0.37082844972610474,97,[2 3 0 1]
106,7789,6.759120407987492,0.6898670222863439,0.3707432448863983,97,[7 7 8 9]
107,1321,6.788170583380044,0.671446180398043,0.3715769052505493,97,[1 3 2 1]
108,808,6.902937976777405,0.6138059629071537,0.3626251816749573,97,[0 8 0 8]
109,2989,6.977169115300738,0.6018556731290596,0.37079691886901855,97,[2 9 8 9]
110,4179,6.955141848234232,0.602740684268316,0.36844736337661743,97,[4 1 7 9]
111,9046,7.250929887799358,0.533657486884913,0.42803263664245605,97,[9 0 4 6]
112,4097,7.132268464507337,0.5049810503411573,0.41364535689353943,98,[4 0 9 7]
113,4531,6.793676901841243,0.5110213450336596,0.392669677734375,98,[4 5 3 1]
114,2207,6.858344264237752,0.5025392548320815,0.39211151003837585,98,[2 2 0 7]
115,9607,7.312886929982816,0.33650111812319666,0.41110044717788696,99,[9 6 0 7]
116,1705,7.511979827108654,0.3180652940326854,0.4338441789150238,100,[1 7 0 5]
117,957,7.625258820394658,0.3077019645611472,0.4402720034122467,100,[0 9 5 7]
118,10,7.9228333624449485,0.27465795056600656,0.469041645526886,100,[0 0 1 0]
119,9734,7.9355452742863966,0.27544007591895936,0.46816182136535645,100,[9 7 3 4]
120,1508,7.991033279994809,0.2668932125112042,0.47057610750198364,100,[1 5 0 8]
121,3105,8.08232804188389,0.26062885208113584,0.47826093435287476,100,[3 1 0 5]
122,5048,8.314183651316975,0.24213669807941188,0.4985380172729492,100,[5 0 4 8]
123,1718,8.469518939616236,0.21706499141720997,0.507830023765564,100,[1 7 1 8]
124,1073,8.514270493166698,0.2149551284568224,0.5093751549720764,100,[1 0 7 3]
125,2097,8.511825123767503,0.21455696810022346,0.5080214142799377,100,[2 0 9 7]
126,5228,8.718866514607901,0.20292386286739203,0.5205090641975403,100,[5 2 2 8]
127,368,8.763932420110756,0.20016485101114084,0.520702064037323,100,[0 3 6 8]
128,2223,9.105238329811726,0.18119999211001414,0.5381277203559875,100,[2 2 2 3]
129,6064,9.175088081354035,0.1829160647927813,0.542436957359314,100,[6 0 6 4]
130,9369,9.96053994436039,0.14082730584145906,0.6040656566619873,100,[9 3 6 9]
131,1891,10.115848443142603,0.14381948813897907,0.611598014831543,100,[1 8 9 1]
132,6805,10.091787735559716,0.13689768727558943,0.6140671968460083,100,[6 8 0 5]
133,3469,10.094635362019549,0.13667158330914844,0.6150686144828796,100,[3 4 6 9]
134,7218,10.24334303400132,0.13168761175860028,0.6196373701095581,100,[7 2 1 8]
135,8553,10.22261442195737,0.13099314667420914,0.6176903247833252,100,[8 5 5 3]
136,3917,10.222205565304618,0.13086830786664905,0.6177062392234802,100,[3 9 1 7]
137,6561,10.19647019200052,0.13004016445520392,0.6238088011741638,100,[6 5 6 1]
138,7090,10.377883826452589,0.1294847902327251,0.6276824474334717,100,[7 0 9 0]
139,4219,11.335869325689046,0.1103060299025492,0.6551389098167419,100,[4 2 1 9]
140,5251,11.270185580149885,0.11214740486560004,0.6556493043899536,100,[5 2 5 1]
141,4949,11.42913746389297,0.10875640136962829,0.663164496421814,100,[4 9 4 9]
142,6717,11.719764289538116,0.10445891724048124,0.6692297458648682,100,[6 7 1 7]
143,6372,11.75992051626588,0.1020888882300278,0.6680794954299927,100,[6 3 7 2]
144,2779,11.76128175916088,0.10217719363645301,0.6682916879653931,100,[2 7 7 9]
145,9448,11.794737098275165,0.10019432963033523,0.6621338129043579,100,[9 4 4 8]
146,2453,11.894023223112939,0.10662319371050671,0.6693562269210815,100,[2 4 5 3]
147,552,12.285770114086205,0.09984056822198908,0.67434161901474,100,[0 5 5 2]
148,5332,12.33486237767879,0.10031453349432923,0.6778832674026489,100,[5 3 3 2]
149,7644,12.387589856797428,0.0973323896267675,0.6805566549301147,100,[7 6 4 4]
150,9840,12.74321500272589,0.09672646592000951,0.6968129873275757,100,[9 8 4 0]
