step,action,psnr_value,mse_value,ssim_value,rank,action
1,6316,3.3140675020900856,0.4666136365395552,-0.0007134154438972473,1,[6 3 1 6]
2,2048,3.4686214099886943,0.451689977381434,-0.012686416506767273,2,[2 0 4 8]
3,3762,3.5328246793164513,0.444689806243165,-0.018244756385684013,3,[3 7 6 2]
4,6296,3.726711430026672,0.42500884259619526,0.05477724224328995,4,[6 2 9 6]
5,4439,3.8362188063571514,0.41446970339840516,0.03301071748137474,5,[4 4 3 9]
6,451,3.882951839917311,0.4112055394318817,0.03301279991865158,6,[0 4 5 1]
7,9927,3.963553318417308,0.40317326668160275,0.034803181886672974,7,[9 9 2 7]
8,8954,4.113422942486879,0.3894703246150097,0.04225799813866615,8,[8 9 5 4]
9,3901,4.211760362235084,0.3807264019541607,0.026691284030675888,9,[3 9 0 1]
10,3404,4.213043918468945,0.3802783200193302,0.019016917794942856,10,[3 4 0 4]
11,6826,4.227019320868546,0.37840671189774766,0.012924511916935444,11,[6 8 2 6]
12,6087,4.227461980568606,0.3783695349142876,0.014485560357570648,12,[6 0 8 7]
13,2286,4.283924745766035,0.3734718930884777,-0.005022754427045584,13,[2 2 8 6]
14,9708,4.335395417214486,0.36931410892471506,-0.004172925837337971,14,[9 7 0 8]
15,8318,4.403048109687645,0.36371411777402685,-0.004872902762144804,15,[8 3 1 8]
16,2220,4.432051005225696,0.36125746111165613,-0.004039301071316004,16,[2 2 2 0]
17,5498,4.474232936976098,0.3580258554693792,0.01700231246650219,17,[5 4 9 8]
18,6240,4.501112250242031,0.35608526843914845,0.014252834022045135,18,[6 2 4 0]
19,8413,4.545075254228818,0.35223344478632457,0.01902008429169655,19,[8 4 1 3]
20,2298,4.593359131842753,0.34924585714477147,0.020103681832551956,20,[2 2 9 8]
21,3162,4.588111750260541,0.3489837905152599,0.013974112458527088,21,[3 1 6 2]
22,1894,4.658318724238838,0.3447812975743695,0.05122397467494011,22,[1 8 9 4]
23,5554,4.707573719389055,0.34073680590212135,0.03685719147324562,23,[5 5 5 4]
24,4527,4.785507391256011,0.3379056769399871,0.05043349415063858,24,[4 5 2 7]
25,6622,4.784980440248129,0.33790018616069245,0.051530759781599045,25,[6 6 2 2]
26,4790,4.8824921649385615,0.3292297426106201,0.07358161360025406,26,[4 7 9 0]
27,7565,4.944464180890817,0.3236858844298473,0.08803725987672806,27,[7 5 6 5]
28,1572,4.979651549272049,0.31982324291411257,0.08277671039104462,28,[1 5 7 2]
29,1990,5.130257949955124,0.3109158954876102,0.09033255279064178,29,[1 9 9 0]
