step,action,psnr_value,mse_value,ssim_value,rank,action
1,8985,3.2434912694299745,0.4742612307910858,0.02866869792342186,1,[8 9 8 5]
2,2174,3.343256744856805,0.4634852831853604,0.018966995179653168,2,[2 1 7 4]
3,9719,3.4717452088555403,0.449970023923448,0.040029264986515045,3,[9 7 1 9]
4,6976,3.713025194878892,0.42564043295236476,0.06507449597120285,4,[6 9 7 6]
5,1160,3.714849641947798,0.4254548011663573,0.06106000393629074,5,[1 1 6 0]
6,364,3.750410420075387,0.4219782119892042,0.043163470923900604,6,[0 3 6 4]
7,1985,3.975169804784585,0.4006897263501159,0.011590035632252693,7,[1 9 8 5]
8,7395,4.049632854259986,0.3938779401258361,0.020975500345230103,8,[7 3 9 5]
9,2111,4.185551587364347,0.38174096659205675,0.00374666228890419,9,[2 1 1 1]
10,2886,4.271029508671441,0.3749762235387024,0.021757757291197777,10,[2 8 8 6]
11,8799,4.349355536232635,0.3684067565089353,0.05254156142473221,11,[8 7 9 9]
12,5515,4.3523776194839625,0.3682222147300635,0.050517600029706955,12,[5 5 1 5]
13,6783,4.789485960592056,0.33304179569853287,0.03115052916109562,13,[6 7 8 3]
14,5850,4.816527885753433,0.3308531709309463,0.009211872704327106,14,[5 8 5 0]
15,7973,5.11773549979158,0.3096556541280151,0.16665875911712646,15,[7 9 7 3]
16,1036,5.137660321954352,0.30828168794892546,0.1649993658065796,16,[1 0 3 6]
17,6596,5.150645669358958,0.3070218955257005,0.16175375878810883,17,[6 5 9 6]
18,1122,5.485143136444068,0.2848813708865927,0.2179189920425415,18,[1 1 2 2]
19,7739,5.485291495961983,0.28487984434699315,0.21791668236255646,19,[7 7 3 9]
20,6458,5.576261201362551,0.2785527944169152,0.24270324409008026,20,[6 4 5 8]
21,9165,5.5755518224830345,0.2784844733599411,0.24569706618785858,21,[9 1 6 5]
22,9659,5.690819914217937,0.27152610092076057,0.2481764554977417,22,[9 6 5 9]
23,9734,5.726126697302293,0.2712779907861986,0.2521088719367981,23,[9 7 3 4]
24,1635,5.756523759386423,0.27002395396304196,0.25693362951278687,24,[1 6 3 5]
25,1650,5.757569190141265,0.26990494041091806,0.25883060693740845,25,[1 6 5 0]
26,1404,5.768029953343917,0.2691080571615251,0.25314971804618835,26,[1 4 0 4]
27,706,6.080159083432304,0.250717702463144,0.25334110856056213,27,[0 7 0 6]
28,3559,6.080181912693952,0.2507162250548777,0.2533227801322937,28,[3 5 5 9]
29,980,6.38535401255226,0.23382661397119592,0.3207116723060608,29,[0 9 8 0]
30,82,6.387860075099608,0.23346797160308597,0.31942081451416016,30,[0 0 8 2]
31,6434,6.452145380093776,0.23004863396252404,0.324218213558197,31,[6 4 3 4]
32,2888,6.716165692512313,0.21732916437081257,0.3273075222969055,32,[2 8 8 8]
33,4951,6.717590925861424,0.21726508916997544,0.3266676664352417,33,[4 9 5 1]
34,2508,6.921759611967692,0.20944403019360494,0.3822231888771057,34,[2 5 0 8]
35,5484,6.927223028956007,0.2094133001175504,0.3856683373451233,35,[5 4 8 4]
36,6199,6.949677206399706,0.20903254115940398,0.3847087621688843,36,[6 1 9 9]
37,1600,6.961528356423154,0.20861699460760974,0.38408198952674866,37,[1 6 0 0]
38,949,7.010976763987352,0.20685397996166102,0.3926112949848175,38,[0 9 4 9]
39,5699,7.206312633368425,0.19718137920423032,0.3913000524044037,39,[5 6 9 9]
40,4865,7.34879350600445,0.19111275366503833,0.40315771102905273,40,[4 8 6 5]
41,8903,7.348189453303791,0.19091563165824482,0.4039892256259918,41,[8 9 0 3]
42,5879,7.5276061737778726,0.18526072697419294,0.39471563696861267,42,[5 8 7 9]
43,4056,7.5434054620732365,0.18395566887053064,0.38563448190689087,43,[4 0 5 6]
44,3332,7.904256002888491,0.17222275160365824,0.4854355752468109,44,[3 3 3 2]
45,4831,7.92306946460993,0.17140974341584297,0.4864735007286072,45,[4 8 3 1]
46,9993,7.954161147637874,0.17085358457885377,0.48297318816185,46,[9 9 9 3]
