step,action,psnr_value,mse_value,ssim_value,rank,action
1,56809,6.145723101786677,0.24306081754912157,0.11939562857151031,1,[13 13 14  9]
2,16089,6.450483641035829,0.22658362717106684,0.12569940090179443,2,[ 3 14 13  9]
3,33092,6.7012703852954525,0.21386487604786453,0.09708596020936966,3,[8 1 4 4]
4,51796,6.800718950123269,0.20902234154527832,0.08292487263679504,4,[12 10  5  4]
5,60134,6.798255187526006,0.20914164292298665,0.08473330736160278,5,[14 10 14  6]
6,13225,6.815360951959988,0.2083801375914618,0.08864861726760864,6,[ 3  3 10  9]
7,31551,6.877003059439867,0.20539851131860587,0.05935104936361313,7,[ 7 11  3 15]
8,25623,6.86637023320052,0.20591419671652034,0.06457745283842087,8,[6 4 1 7]
9,48701,6.9831781438211,0.20045088773991893,0.09042932838201523,9,[11 14  3 13]
10,36150,7.0131285102534715,0.19903589704722435,0.08279233425855637,10,[ 8 13  3  6]
11,51909,7.071248906744785,0.19639903970485761,0.14243084192276,11,[12 10 12  5]
12,31121,7.151214700560886,0.19284612134755186,0.1504526138305664,12,[7 9 9 1]
13,21518,7.107424894722373,0.19480695185446706,0.18731297552585602,13,[ 5  4  0 14]
14,43312,7.350151492849102,0.184235772728373,0.21883785724639893,14,[10  9  3  0]
15,56279,7.347433495351167,0.18435986558804274,0.21900546550750732,15,[13 11 13  7]
16,9210,7.467965599110301,0.17927107814716692,0.22711052000522614,16,[ 2  3 15 10]
17,21808,7.441553229839983,0.18037351160741366,0.22726155817508698,17,[5 5 3 0]
18,58562,7.462568020540804,0.17954007233629454,0.22824685275554657,18,[14  4 12  2]
19,52377,7.87450382181942,0.1633155748709001,0.2528984248638153,19,[12 12  9  9]
20,47958,7.912212302660837,0.162069825092658,0.2646349370479584,20,[11 11  5  6]
21,54971,7.984059897129279,0.15954985714530778,0.27083444595336914,21,[13  6 11 11]
22,3107,7.990249912379933,0.15928219844396097,0.27136677503585815,22,[ 0 12  2  3]
23,58762,8.00609405234287,0.15869196230143245,0.27254199981689453,23,[14  5  8 10]
24,65342,8.00980709200143,0.15856811428454876,0.27299535274505615,24,[15 15  3 14]
25,30023,8.245517471555564,0.1502241122698944,0.2750348746776581,25,[7 5 4 7]
26,8346,8.248456400909784,0.15011514158751488,0.2755775451660156,26,[ 2  0  9 10]
27,13180,8.261343975066946,0.14966116440631438,0.2832913398742676,27,[ 3  3  7 12]
28,63050,8.39663343470903,0.14527249471695658,0.30030733346939087,28,[15  6  4 10]
29,7063,8.415013736140747,0.1446751071874246,0.30291250348091125,29,[ 1 11  9  7]
30,1231,8.658234979775498,0.13702977328981092,0.3357892632484436,30,[ 0  4 12 15]
31,40696,8.680338637298423,0.1363182780792938,0.33856093883514404,31,[ 9 14 15  8]
32,59667,8.665074562056137,0.13698394767548905,0.3386102616786957,32,[14  9  1  3]
33,11363,8.875480331522706,0.1306677195156034,0.34718799591064453,33,[ 2 12  6  3]
34,53865,8.88794702052259,0.13040642438357963,0.35003021359443665,34,[13  2  6  9]
35,7518,9.147940664045908,0.12312881146224619,0.3915547728538513,35,[ 1 13  5 14]
36,50697,9.241906471526125,0.12162352853233926,0.3987616300582886,36,[12  6  0  9]
37,64016,9.349624189671035,0.1188857597220121,0.3859337866306305,37,[15 10  1  0]
38,873,9.373622522954424,0.11771424308049738,0.37381911277770996,38,[0 3 6 9]
39,8733,9.37316633173827,0.11772981252607195,0.3735448122024536,39,[ 2  2  1 13]
40,16637,9.439075453744465,0.11639929771950364,0.3763608932495117,40,[ 4  0 15 13]
41,25825,9.438962091554968,0.11637112811168437,0.37880849838256836,41,[ 6  4 14  1]
42,5974,9.456746712144463,0.1159052931345857,0.38004136085510254,42,[1 7 5 6]
43,31682,9.492952393750935,0.1151599836135091,0.36694014072418213,43,[ 7 11 12  2]
44,56697,9.425923605080774,0.11679267173477026,0.36488449573516846,44,[13 13  7  9]
