step,action,psnr_value,mse_value,ssim_value,rank,action
1,40275,4.648061578479479,0.34300678754616565,0.013577627949416637,1,[ 9 13  5  3]
2,43840,5.380415724354302,0.28972717312740476,0.12074917554855347,2,[10 11  4  0]
3,64112,5.421245262317256,0.28701844230412477,0.12398791313171387,3,[15 10  7  0]
4,2865,5.822882449928359,0.26167608887747756,0.1404859870672226,4,[ 0 11  3  1]
5,28092,5.966228664555748,0.2531893827612333,0.10836769640445709,5,[ 6 13 11 12]
6,29378,5.990517682239904,0.2517801942166201,0.11275416612625122,6,[ 7  2 12  2]
7,62175,5.991558343177239,0.25172092973978266,0.11862023919820786,7,[15  2 13 15]
8,52167,6.086204101645593,0.24630558610992637,0.08644919097423553,8,[12 11 12  7]
9,16005,6.0946816692280965,0.24582492478121942,0.08936651051044464,9,[ 3 14  8  5]
10,46587,6.191143731708313,0.24043263409188675,0.08455817401409149,10,[11  5 15 11]
11,50817,6.203380964596431,0.23975662245689655,0.09550313651561737,11,[12  6  8  1]
12,30926,6.236436844079764,0.23794443843139668,0.12703099846839905,12,[ 7  8 12 14]
13,34371,6.239359277852485,0.23778477908098972,0.14049407839775085,13,[8 6 4 3]
14,63383,6.267244844732014,0.23626338929753032,0.1433693915605545,14,[15  7  9  7]
15,65000,6.605301149416758,0.21934178185506603,0.14575383067131042,15,[15 13 14  8]
16,25329,6.657592171869089,0.21707806772001081,0.15268385410308838,16,[ 6  2 15  1]
17,16040,6.69842725935497,0.2150383830494873,0.15219523012638092,17,[ 3 14 10  8]
18,52568,6.698096206810754,0.2150526612694652,0.15248718857765198,18,[12 13  5  8]
19,31985,6.69011699989497,0.21543739670445472,0.15087741613388062,19,[ 7 12 15  1]
20,19487,6.751642231819371,0.21179673021689638,0.1796017438173294,20,[ 4 12  1 15]
21,25694,6.742609958679921,0.21224030486071754,0.1640332192182541,21,[ 6  4  5 14]
22,13234,6.737652056567837,0.21294847889441826,0.202126145362854,22,[ 3  3 11  2]
23,22640,6.760064662410912,0.21192839587570234,0.20569202303886414,23,[5 8 7 0]
24,29664,6.91637207727887,0.2046275702186265,0.2281351387500763,24,[ 7  3 14  0]
