step,action,psnr_value,mse_value,ssim_value,rank,action
1,299686,7.4713552457070485,0.17901474164079423,0.18101786077022552,1,[19  4 12 11]
2,236163,7.49811733420478,0.17923333880683345,0.1948281079530716,2,[15  2 21 13]
3,380352,7.5016418710187915,0.17878584603187,0.19104956090450287,3,[24  8 14  2]
4,301884,7.444108675941532,0.18185762646097522,0.2248494029045105,4,[19  8  0  9]
5,187139,7.538827866408915,0.17636612955394454,0.11903855204582214,5,[11 24 10 14]
6,180240,7.593924877584179,0.17407322885701512,0.07322659343481064,6,[11 13  9 15]
7,94899,7.5524402474769206,0.1760952893830834,0.08345018327236176,7,[ 6  1 20 24]
8,82441,7.57381073279531,0.17538924023125982,0.08548960834741592,8,[ 5  6 22 16]
9,369744,7.589679864541372,0.1747366154372444,0.08745041489601135,9,[23 16 14 19]
10,188749,7.595288559763561,0.17585127255423036,0.10670078545808792,10,[12  1 24 24]
11,122786,7.601953227936171,0.17538644157869365,0.11079192906618118,11,[ 7 21 11 11]
12,22461,7.5927577031349465,0.1753052009455606,0.09294533729553223,12,[ 1 10 23 11]
13,338759,7.499008298876855,0.18205294051389437,0.10027589648962021,13,[21 17  0  9]
14,19308,7.431518902458078,0.18639258623707955,0.03939772769808769,14,[ 1  5 22  8]
15,3445,7.49623998374314,0.18478914213115036,0.04757138341665268,15,[ 0  5 12 20]
16,122590,7.456196689075795,0.18742296468997593,0.031485870480537415,16,[ 7 21  3 15]
17,240909,7.468673403582202,0.18775801669912182,0.04664625972509384,17,[15 10 11  9]
18,179629,7.508278756978106,0.18649893046098587,0.07329633086919785,18,[11 12 10  4]
19,304301,7.503549724602221,0.18653116387374394,0.06966780871152878,19,[19 11 22  1]
20,377217,7.532718625253835,0.1840422345296476,0.07030829787254333,20,[24  3 13 17]
21,375626,7.516788240845464,0.18484885697080872,0.07302114367485046,21,[24  1  0  1]
22,351570,7.519530015021035,0.18489782171623564,0.07356162369251251,22,[22 12 12 20]
23,178941,7.510023314440973,0.18491457354631952,0.07609322667121887,23,[11 11  7 16]
24,78624,7.529242716455748,0.18396672035497977,0.07311412692070007,24,[ 5  0 19 24]
25,90902,7.547728881741103,0.1833298412448925,0.07772943377494812,25,[ 5 20 11  2]
26,186799,7.578012321959494,0.18202495281501924,0.07729107141494751,26,[11 23 21 24]
27,245959,7.614727862413174,0.1810754516347425,0.050538696348667145,27,[15 18 13  9]
28,100598,7.5655774672244895,0.1814487451091769,0.03650839999318123,28,[ 6 10 23 23]
29,303978,7.5498467457128,0.18227633096153345,0.04668029770255089,29,[19 11  9  3]
30,164442,7.5623874808765645,0.18243045177200998,0.04633581265807152,30,[10 13  2 17]
31,356118,7.54683894435689,0.18441237896012652,0.05235094949603081,31,[22 19 19 18]
32,153056,7.545396765650468,0.18424364152798917,0.05195413902401924,32,[ 9 19 22  6]
33,376980,7.560732552748153,0.18322451769385006,0.05167663097381592,33,[24  3  4  5]
34,227572,7.556609395306712,0.18364103139325003,0.05067185312509537,34,[14 14  2 22]
35,303773,7.556181452928342,0.183718870885256,0.05061865225434303,35,[19 11  0 23]
36,284938,7.441046299711671,0.1924367279279235,0.03271884098649025,36,[18  5 22 13]
37,239232,7.519672207571448,0.18165091437971947,0.04352298751473427,37,[15  7 19  7]
38,15336,7.523523584643237,0.18151303993323564,0.047010648995637894,38,[ 0 24 13 11]
39,2238,7.570874227127008,0.17996729179458604,0.039372775703668594,39,[ 0  3 14 13]
40,30875,7.528707792250908,0.1829301204116706,0.049344826489686966,40,[ 1 24 10  0]
41,24098,7.534455968530441,0.1826855040292243,0.050213657319545746,41,[ 1 13 13 23]
42,239204,7.536943779361273,0.1834624897854199,0.05460811033844948,42,[15  7 18  4]
43,9472,7.550384626180532,0.18318865807186285,0.059295471757650375,43,[ 0 15  3 22]
44,220626,7.536242265971569,0.18352572047854337,0.06047698110342026,44,[14  3  0  1]
45,187519,7.545985868433909,0.1827338394289669,0.05855835974216461,45,[12  0  0 19]
46,14924,7.60341744654338,0.17979902632315015,0.05528584122657776,46,[ 0 23 21 24]
47,359454,7.539603547119142,0.1831600283295109,0.0627303496003151,47,[23  0  3  4]
48,324135,7.539339990142256,0.1831742347381747,0.06275830417871475,48,[20 18 15 10]
49,334250,7.71808992002449,0.1738211483304981,0.0922033041715622,49,[21  9 20  0]
50,317945,7.716022187258183,0.1741169730025589,0.09059784561395645,50,[20  8 17 20]
51,330950,7.7220107462292145,0.17382193260500886,0.08720056712627411,51,[21  4 13  0]
52,7551,7.723359905944822,0.1732261843473442,0.08739975094795227,52,[ 0 12  2  1]
53,46079,7.7167047752485285,0.17359799261104958,0.08824402838945389,53,[ 2 23 18  4]
54,46210,7.728588768631784,0.17302089002596177,0.08896112442016602,54,[ 2 23 23 10]
55,250689,7.730202396958145,0.17329848008286072,0.08829822391271591,55,[16  1  2 14]
56,102614,7.74264376117073,0.17269841647324646,0.09042255580425262,56,[ 6 14  4 14]
57,339987,7.742299224573693,0.1727119856277117,0.09023475646972656,57,[21 18 24 12]
58,72937,7.748779184802766,0.17216845731998984,0.08958439528942108,58,[ 4 16 17 12]
59,269836,7.747496813800798,0.17154640139783914,0.09715936332941055,59,[17  6 18 11]
60,345623,7.757300840518432,0.1711308938930135,0.10000654309988022,60,[22  2 24 23]
61,31672,7.928777214224379,0.16399490349234985,0.0982423797249794,61,[ 2  0 16 22]
62,19782,7.90967051354222,0.16466602354659698,0.0973949208855629,62,[ 1  6 16  7]
63,263843,7.910730168150258,0.16461608085071275,0.0974888727068901,63,[16 22  3 18]
64,285033,8.0522606598829,0.15866331014721727,0.09033817052841187,64,[18  6  1  8]
65,332362,8.051922106779353,0.15872039100434335,0.08926577866077423,65,[21  6 19 12]
66,8610,8.06102766358612,0.1587537147726729,0.09486502408981323,66,[ 0 13 19 10]
67,221430,8.134495323475793,0.15710508238417534,0.10228866338729858,67,[14  4  7  5]
68,277601,8.159291164725612,0.15632930881958856,0.11131234467029572,68,[17 19  4  1]
69,35097,8.13828170071877,0.15725200845544388,0.11255568265914917,69,[ 2  6  3 22]
70,388656,8.189650077354516,0.15576691608233104,0.11085444688796997,70,[24 21 21  6]
71,298741,8.227043759309588,0.154542474252637,0.11138371378183365,71,[19  2 24 16]
72,169675,8.255427769634931,0.1534723926491551,0.11509107798337936,72,[10 21 12  0]
73,208804,8.367602811472386,0.15019216266090477,0.15285810828208923,73,[13  9  2  4]
74,365002,8.367337245426462,0.15018195557322755,0.15218153595924377,74,[23  9  0  2]
75,309104,8.367708966733062,0.1501696369457622,0.1521797776222229,75,[19 19 14  4]
76,363972,8.369892837093106,0.15012825352101192,0.1543731391429901,76,[23  7  8 22]
77,279543,8.365682198814287,0.15060309056233817,0.1515301764011383,77,[17 22  6 18]
78,271642,8.430189613193445,0.14811201423152962,0.15230563282966614,78,[17  9 15 17]
79,79374,8.427080897615815,0.1481922274681976,0.15141114592552185,79,[ 5  1 24 24]
80,68483,8.433504375508187,0.14804003524710602,0.14935700595378876,80,[ 4  9 14  8]
81,234160,8.432958206301485,0.14807265051875096,0.14905846118927002,81,[14 24 16 10]
82,264608,8.439321834082907,0.14773592724351983,0.1528346836566925,82,[16 23  9  8]
83,142971,8.424170327634265,0.14840041677817958,0.15065358579158783,83,[ 9  3 18 21]
84,66677,8.391342741698752,0.15028241210430715,0.15598858892917633,84,[ 4  6 17  2]
85,45946,8.397548308833485,0.14992405237401493,0.1578432321548462,85,[ 2 23 12 21]
86,165541,8.657646680010862,0.14059459484525544,0.1493351012468338,86,[10 14 21 16]
87,198545,8.66410687370706,0.1404521672269172,0.1488637775182724,87,[12 17 16 20]
88,184892,8.670982388191003,0.14029841358259673,0.14976786077022552,88,[11 20 20 17]
89,9010,8.749889302904174,0.1373670670534926,0.16932910680770874,89,[ 0 14 10 10]
90,35771,8.745571129434763,0.13750202661720132,0.169170081615448,90,[ 2  7  5 21]
91,294983,8.747697488073422,0.1374471307079887,0.17055518925189972,91,[18 21 24  8]
92,252246,8.738589066817841,0.1377588089804007,0.17062972486019135,92,[16  3 14 21]
93,390592,8.756129385653061,0.1373423356358151,0.1746046394109726,93,[24 24 23 17]
94,177406,8.80389865389426,0.13577048541382283,0.1718759685754776,94,[11  8 21  6]
95,367120,8.78565450597614,0.13628020735294943,0.1663275510072708,95,[23 12  9 20]
96,311845,8.785407635954499,0.1362977581331479,0.1674090027809143,96,[19 23 23 20]
97,72432,9.011471394587126,0.1296368207586951,0.1820342242717743,97,[ 4 15 22  7]
98,55888,9.009655588979776,0.1297236935223462,0.1818743199110031,98,[ 3 14 10 13]
99,287128,9.009123710547101,0.1292498080686495,0.17888852953910828,99,[18  9 10  3]
100,6594,9.022990814863265,0.12879555450478347,0.17798423767089844,100,[ 0 10 13 19]
101,85264,9.001073673367321,0.12949243976887148,0.1767585575580597,101,[ 5 11 10 14]
102,43278,8.998298545665044,0.1295750568072821,0.17590336501598358,102,[ 2 19  6  3]
103,3901,9.019324181099778,0.1287297883869938,0.18014606833457947,103,[0 6 6 1]
104,22087,9.061513263016622,0.12743777544953847,0.1836036890745163,104,[ 1 10  8 12]
105,32250,9.051667470488876,0.12774127296472362,0.18410056829452515,105,[ 2  1 15  0]
