step,action,psnr_value,mse_value,ssim_value,rank,action
1,59758,7.2359617594666705,0.18901034225186542,0.2888171672821045,1,[ 3 20 15  8]
2,294703,7.545890089453744,0.17608764254268366,0.09577431529760361,2,[18 21 13  3]
3,27892,7.5412254628482085,0.17627093061132393,0.09766918420791626,3,[ 1 19 15 17]
4,117399,7.525128283271531,0.17697625479584408,0.11935112625360489,4,[ 7 12 20 24]
5,323468,7.48094982845126,0.18008846609687584,0.11483682692050934,5,[20 17 13 18]
6,175211,7.510330039338932,0.18120195016121257,0.10908561944961548,6,[11  5  8 11]
7,169184,7.51748939780706,0.1821272821010056,0.15598393976688385,7,[10 20 17  9]
8,133513,7.498398044448392,0.18191437117757683,0.1487455815076828,8,[ 8 13 15 13]
9,175367,7.458879313703268,0.1838958732024492,0.14567415416240692,9,[11  5 14 17]
10,225059,7.509501722271185,0.20862053588220397,0.22752344608306885,10,[14 10  2  9]
11,56579,7.500422802583097,0.20145433490240758,0.22843864560127258,11,[ 3 15 13  4]
12,129779,7.5742792528312854,0.19531094825236395,0.20464704930782318,12,[ 8  7 16  4]
13,72107,7.560725920584105,0.19512665555016068,0.21291182935237885,13,[ 4 15  9  7]
14,253020,7.589738235670499,0.19504402804417587,0.2181331068277359,14,[16  4 20 20]
15,99397,7.581098814991137,0.18211818438886004,0.19958259165287018,15,[ 6  9  0 22]
16,168599,7.587390358814881,0.1823383909992068,0.20224878191947937,16,[10 19 18 24]
17,142381,7.6026551963218285,0.18142979141773066,0.20534421503543854,17,[ 9  2 20  6]
18,364130,7.5903158331190035,0.1823216686754471,0.20667891204357147,18,[23  7 15  5]
19,236361,7.596555454307595,0.18161722100892688,0.20811797678470612,19,[15  3  4 11]
20,198002,7.604782649273424,0.18120205669120176,0.20812763273715973,20,[12 16 20  2]
21,26259,7.624563825583559,0.17975059686894593,0.20907393097877502,21,[ 1 17  0  9]
22,200561,7.605989497232494,0.18106301253263224,0.2015916109085083,22,[12 20 22 11]
23,307138,7.681423109923301,0.1774694219252944,0.19012796878814697,23,[19 16 10 13]
24,25415,7.686889564624048,0.17735302280334467,0.1899256557226181,24,[ 1 15 16 15]
25,187650,7.826897621948792,0.17004315471879558,0.19452713429927826,25,[12  0  6  0]
26,371563,6.795863811711621,0.23122268486135145,0.10461071878671646,26,[23 19 12 13]
27,249319,6.7728734621020825,0.23271928729644278,0.09772024303674698,27,[15 23 22 19]
28,148144,7.02098062074607,0.21679850636514475,0.1363394409418106,28,[ 9 12  0 19]
29,180551,7.052372259312833,0.215049862792359,0.12903815507888794,29,[11 13 22  1]
30,180765,7.035764710164578,0.21603929910624953,0.13043402135372162,30,[11 14  5 15]
31,284566,7.036261052668737,0.21612523994781377,0.12726794183254242,31,[18  5  7 16]
32,46530,7.064831053103644,0.21598082130105067,0.1383572220802307,32,[ 2 24 11  5]
33,325751,7.107611060242914,0.21129821627584489,0.11615218967199326,33,[20 21  5  1]
34,313117,7.707477720978831,0.1774038067000991,0.13524213433265686,34,[20  0 24 17]
35,138452,7.684841288104049,0.17709801349631235,0.1323525309562683,35,[ 8 21 13  2]
36,239683,7.740628110303823,0.17439328170934468,0.12870803475379944,36,[15  8 12  8]
37,11232,7.933068203965645,0.1657646785950463,0.1350366175174713,37,[ 0 17 24  7]
38,11226,7.961956704671329,0.16446590703472097,0.13512036204338074,38,[ 0 17 24  1]
39,340241,8.010914475627064,0.16265909017570676,0.1332266926765442,39,[21 19  9 16]
40,205538,8.032088654439043,0.1618193278412209,0.13899224996566772,40,[13  3 21 13]
41,283094,8.059695630378297,0.16087856984243043,0.14001913368701935,41,[18  2 23 19]
42,129144,8.07476566646806,0.16067528472210915,0.13855214416980743,42,[ 8  6 15 19]
43,58948,8.085086978961954,0.15985701913332379,0.1530889868736267,43,[ 3 19  7 23]
44,37387,8.086410851573834,0.15980596304843733,0.1542850136756897,44,[ 2  9 20 12]
45,270992,8.132626980317072,0.1587021360799359,0.15008874237537384,45,[17  8 14 17]
46,84847,8.139191187169404,0.15845040963337043,0.15193475782871246,46,[ 5 10 18 22]
47,98846,8.252416356289629,0.15396035606337385,0.1570628583431244,47,[ 6  8  3 21]
48,389433,8.248364144337444,0.1539489762544119,0.15736640989780426,48,[24 23  2  8]
49,275317,8.269857279171635,0.15262211794824254,0.15372012555599213,49,[17 15 12 17]
50,109523,8.26988953615081,0.15262078222662673,0.15370288491249084,50,[ 7  0  5 23]
51,150076,8.278223885228591,0.1529733460287776,0.15787988901138306,51,[ 9 15  3  1]
52,282902,8.263189322418128,0.15256332465950181,0.1408126801252365,52,[18  2 16  2]
53,2623,8.263429274591545,0.15255241854040638,0.14077556133270264,53,[ 0  4  4 23]
54,356383,8.265032961672413,0.15249260405705925,0.15354876220226288,54,[22 20  5  8]
55,302306,8.276546132550905,0.1520278258659584,0.16110548377037048,55,[19  8 17  6]
56,301266,8.301966482422625,0.15102062736060942,0.16768570244312286,56,[19  7  0 16]
57,196605,8.307489414580536,0.15050557387340913,0.16971300542354584,57,[12 14 14  5]
58,22565,8.308649559406492,0.15029998227767738,0.16877882182598114,58,[ 1 11  2 15]
59,116097,8.315934461040346,0.15000537427760027,0.1645105928182602,59,[ 7 10 18 22]
60,309150,8.298411284903867,0.1509610168931681,0.16992110013961792,60,[19 19 16  0]
61,226301,8.341982976923688,0.14915295424710176,0.17024928331375122,61,[14 12  2  1]
62,103109,8.35520314337648,0.14856535348856117,0.169911190867424,62,[ 6 14 24  9]
63,97070,8.352096376047704,0.14870333438735858,0.17121832072734833,63,[ 6  5  7 20]
64,158708,8.389764988624918,0.14688741625679122,0.16200058162212372,64,[10  3 23  8]
65,367976,8.391199620172136,0.14685048440507856,0.16172803938388824,65,[23 13 19  1]
66,389195,8.393196679067543,0.1469331045599989,0.161808580160141,66,[24 22 17 20]
67,17787,8.41229575282664,0.14609513987669498,0.16140303015708923,67,[ 1  3 11 12]
68,68505,8.414808013878668,0.1459723448140632,0.15899506211280823,68,[ 4  9 15  5]
69,307458,8.412930883913688,0.1460659954660292,0.15821203589439392,69,[19 16 23  8]
70,14540,8.413065467453388,0.14607449409520323,0.15845555067062378,70,[ 0 23  6 15]
71,245,8.411312587303371,0.14613495358054318,0.15856342017650604,71,[ 0  0  9 20]
72,321579,8.393274779546449,0.1469394186870044,0.1430206149816513,72,[20 14 13  4]
73,5681,8.407568029080931,0.14643735470132674,0.1450878530740738,73,[0 9 2 6]
74,244150,8.409320953560215,0.14636500912064285,0.1440066397190094,74,[15 15 16  0]
75,199890,8.402835806348483,0.14667093146247354,0.13912925124168396,75,[12 19 20 15]
76,385184,8.396861244089934,0.14684604342063065,0.1395208090543747,76,[24 16  7  9]
77,51508,8.39650011001947,0.1468611205472565,0.13917066156864166,77,[ 3  7 10  8]
78,335803,8.40012942403713,0.1466289229479189,0.1392233818769455,78,[21 12  7  3]
79,196499,8.393268321396652,0.14687734461641522,0.13753361999988556,79,[12 14  9 24]
80,157889,8.393543054256032,0.1469060878980357,0.13998189568519592,80,[10  2 15 14]
81,51042,8.392778669002672,0.14701298461458567,0.13980509340763092,81,[ 3  6 16 17]
82,179914,8.396689031309387,0.14689310640851427,0.1425197273492813,82,[11 12 21 14]
83,345222,8.409977208465575,0.14642252650100876,0.14177826046943665,83,[22  2  8 22]
84,102262,8.476617495042245,0.14426924460804386,0.1482076793909073,84,[ 6 13 15 12]
85,196105,8.51363626540784,0.14312691464121563,0.1473606526851654,85,[12 13 19  5]
86,5592,8.520452826775385,0.14314208553425073,0.14755010604858398,86,[ 0  8 23 17]
87,199407,8.505968401584536,0.1436838915480458,0.14461402595043182,87,[12 19  1  7]
88,382490,8.503366740909135,0.14372721428283572,0.1434018462896347,88,[24 11 24 15]
89,364875,8.522345066623627,0.14497796627062184,0.1469050943851471,89,[23  8 20  0]
90,244309,8.5332109577185,0.14429294715373672,0.14703182876110077,90,[15 15 22  9]
91,75239,8.580042801824879,0.14292237519787815,0.14857274293899536,91,[ 4 20  9 14]
92,106067,8.578055492077608,0.14299454561609581,0.14728227257728577,92,[ 6 19 17 17]
93,208881,8.577069476568619,0.14304337466200406,0.14577952027320862,93,[13  9  5  6]
94,273266,8.600042726070559,0.14211890945420164,0.147287517786026,94,[17 12  5 16]
95,235260,8.702550721340055,0.13894540207867412,0.14743509888648987,95,[15  1 10 10]
96,327656,8.697566853882437,0.13906135945468637,0.14310932159423828,96,[20 24  6  6]
97,94705,8.7019855164146,0.13895550672356705,0.14381936192512512,97,[ 6  1 13  5]
98,120691,8.774529720763386,0.13671788313811703,0.1468740999698639,98,[ 7 18  2 16]
99,387460,8.79172958936053,0.13633304496412993,0.1507682353258133,99,[24 19 23 10]
100,77274,8.804140546399776,0.13624801195998806,0.1517074555158615,100,[ 4 23 15 24]
101,194082,8.946776547512544,0.13213914012512104,0.14880117774009705,101,[12 10 13  7]
102,196370,8.970492555619042,0.1313085201249778,0.1573888659477234,102,[12 14  4 20]
103,371932,9.014119806967496,0.1302352733944519,0.16396023333072662,103,[23 20  2  7]
104,264081,9.018262877200414,0.1302968647500155,0.16141453385353088,104,[16 22 13  6]
105,204669,9.121708679410434,0.1278629411772186,0.18652135133743286,105,[13  2 11 19]
106,51810,9.221669835008523,0.1254976716500729,0.20710304379463196,106,[ 3  7 22 10]
107,43494,9.220498871858299,0.12553625565154872,0.20782268047332764,107,[ 2 19 14 19]
108,24794,9.220356484913516,0.12555286161985296,0.20775872468948364,108,[ 1 14 16 19]
109,202261,9.224923913020804,0.1254729673301288,0.20803704857826233,109,[12 23 15 11]
110,328706,9.22242610853066,0.12554145120627702,0.20849838852882385,110,[21  0 23  6]
111,367845,9.195563811166522,0.12644280948510556,0.20621740818023682,111,[23 13 13 20]
112,142057,9.270173652786253,0.12404237629562226,0.20997996628284454,112,[9 2 7 7]
113,65717,9.274983377629308,0.1238572127388205,0.21309907734394073,113,[ 4  5  3 17]
114,201563,9.274368553027282,0.12360380763854661,0.2189369797706604,114,[12 22 12 13]
115,272681,9.278213543347967,0.12490389013175084,0.2774777114391327,115,[17 11  7  6]
116,291686,9.26919955964099,0.1253443770430973,0.27538999915122986,116,[18 16 17 11]
117,75726,9.269050088969376,0.1252620885143236,0.27556243538856506,117,[ 4 21  4  1]
118,111908,9.270286328875473,0.12524913016928677,0.27611473202705383,118,[7 4 1 8]
119,243142,9.269924325943391,0.12522916476937043,0.2762131989002228,119,[15 14  0 17]
120,315900,9.280751485448572,0.12555830735605158,0.27286458015441895,120,[20  5 11  0]
121,334271,9.280862708475311,0.12482872040400743,0.2733367681503296,121,[21  9 20 21]
122,71235,9.278119932291592,0.12507232490209266,0.2722622752189636,122,[ 4 13 24 10]
123,164191,9.276295936734144,0.12512681806416434,0.27157580852508545,123,[10 12 17 16]
124,180410,9.26383609245038,0.12594842782381194,0.2701393663883209,124,[11 13 16 10]
125,236978,9.263504872115163,0.12601940735293815,0.270143061876297,125,[15  4  4  3]
126,323296,9.271980580449569,0.12507822741972252,0.2629716992378235,126,[20 17  6 21]
127,110549,9.27503902727581,0.12506163989288396,0.2641173303127289,127,[ 7  1 21 24]
128,59943,9.333675131501483,0.12350512011805459,0.2697668671607971,128,[ 3 20 22 18]
129,384199,9.325136831496637,0.12367863937573229,0.26914215087890625,129,[24 14 17 24]
130,95191,9.342220070540904,0.12325334722085259,0.26852935552597046,130,[ 6  2  7 16]
131,77297,9.346207605166603,0.12323090739072434,0.2691227197647095,131,[ 4 23 16 22]
132,374161,9.518328990970378,0.11855726125502843,0.2823629379272461,132,[23 23 16 11]
133,189545,9.517376955871978,0.11873564486554887,0.2832581102848053,133,[12  3  6 20]
134,235571,9.538986542329543,0.11824774739656559,0.2872372567653656,134,[15  1 22 21]
135,173172,9.540843778657846,0.11822297256394895,0.2877381443977356,135,[11  2  1 22]
136,187789,9.578992264301178,0.11767535022184565,0.2861369848251343,136,[12  0 11 14]
137,300769,9.589265927719712,0.1177770472121103,0.28993168473243713,137,[19  6  5 19]
138,194215,9.587840042483327,0.11778855470986482,0.2899837791919708,138,[12 10 18 15]
139,180797,9.62343245570085,0.11682477319233585,0.2880057394504547,139,[11 14  6 22]
140,276996,9.6237127871237,0.11677701871930804,0.28931012749671936,140,[17 18  4 21]
141,33057,9.621238770212713,0.11684165414485938,0.28907090425491333,141,[ 2  2 22  7]
142,213107,9.616411749861552,0.116842032116474,0.2909495234489441,142,[13 15 24  7]
143,317592,9.61910045554767,0.11635616000792179,0.28873467445373535,143,[20  8  3 17]
144,277911,9.619976392857199,0.11639028384528137,0.28968292474746704,144,[17 19 16 11]
145,93964,9.628504507987595,0.11627661372434596,0.2917020320892334,145,[ 6  0  8 14]
146,308284,9.650252689207852,0.11549672564104513,0.2923292815685272,146,[19 18  6  9]
147,242961,9.655892287639144,0.11533338006810245,0.2931835651397705,147,[15 13 18 11]
148,193586,9.658284213876216,0.11512728801748372,0.29267024993896484,148,[12  9 18 11]
149,16862,9.658188378616032,0.11516776661248225,0.2917250692844391,149,[ 1  1 24 12]
150,193051,9.67705514830753,0.11442983635060738,0.2914074659347534,150,[12  8 22  1]
151,280266,9.660706796173269,0.11442809741916317,0.2911982834339142,151,[17 23 10 16]
152,90340,9.66241214067438,0.1143485246128088,0.2912476062774658,152,[ 5 19 13 15]
153,51235,9.663636588586588,0.11434417721355053,0.2915182113647461,153,[ 3  6 24 10]
154,291217,9.66593001516015,0.1142606571390088,0.29179784655570984,154,[18 15 23 17]
155,309498,9.654659245009624,0.11470070176242007,0.2915501296520233,155,[19 20  4 23]
156,51314,9.652227040397584,0.11496895968362908,0.2939871549606323,156,[ 3  7  2 14]
157,242945,9.657574928346992,0.11484861441227621,0.2936859726905823,157,[15 13 17 20]
158,201513,9.658301043361565,0.11481773310277313,0.29376736283302307,158,[12 22 10 13]
159,93575,9.68039424520425,0.11412173975352502,0.2933483421802521,159,[ 5 24 18  0]
160,57300,9.720879261426859,0.11305391959054269,0.29060664772987366,160,[ 3 16 17  0]
161,386852,9.719973341649478,0.11300910730620745,0.29081252217292786,161,[24 18 24  2]
162,210361,10.031303548300736,0.10755299105333015,0.30971089005470276,162,[13 11 14 11]
163,949,9.995693155730507,0.10817170992563806,0.3020421862602234,163,[ 0  1 12 24]
164,383031,10.041818207089664,0.10706263971853637,0.3022807836532593,164,[24 12 21  6]
165,101027,10.106135286214393,0.10472920505213056,0.30618399381637573,165,[ 6 11 16  2]
166,248033,10.14557820009152,0.10364414667404216,0.31008508801460266,166,[15 21 21  8]
167,118532,10.150532660013809,0.10264588134268997,0.31788209080696106,167,[ 7 14 16  7]
168,359111,10.149296590315792,0.10271277126980731,0.31814759969711304,168,[22 24 14 11]
169,385750,10.178875972335906,0.10198381823956727,0.321898877620697,169,[24 17  5  0]
170,7588,10.177427896123788,0.10206253982895871,0.32154324650764465,170,[ 0 12  3 13]
171,260373,10.249256747983324,0.10071204059675531,0.32032307982444763,171,[16 16 14 23]
172,299378,10.238073057098418,0.1009573841060761,0.3208991289138794,172,[19  4  0  3]
173,200839,10.233543734309322,0.10109395192880068,0.32071247696876526,173,[12 21  8 14]
174,288846,10.23531758096892,0.10098646417871769,0.322332501411438,174,[18 12  3 21]
