step,action,psnr_value,mse_value,ssim_value,rank,action
1,314911,5.503084110236298,0.28181609671400804,0.06781136989593506,1,[20  3 21 11]
2,381041,5.780678051552151,0.2644157559968764,0.06355369836091995,2,[24  9 16 16]
3,87748,5.879980254189265,0.25840740269576784,0.06219414621591568,3,[ 5 15  9 23]
4,59781,6.376010283707375,0.2305433110791717,0.06782079488039017,4,[ 3 20 16  6]
5,340528,6.751122336344402,0.2117111034465769,0.0533173643052578,5,[21 19 21  3]
6,273726,6.946547682229647,0.20241818261004527,0.0551745779812336,6,[17 12 24  1]
7,107864,7.004432445496038,0.1997948097857792,0.059306517243385315,7,[ 6 22 14 14]
8,366773,7.1806476102891,0.19176546814580214,0.05181802809238434,8,[23 11 20 23]
9,326181,7.365438597756336,0.18371558377193142,0.05113841965794563,9,[20 21 22  6]
10,278755,7.4168720813708,0.1815492182964197,0.053215574473142624,10,[17 21  0  5]
11,371747,7.861544014105081,0.16395286893026242,0.05480050668120384,11,[23 19 19 22]
12,228195,7.9053584518730124,0.16241889539679846,0.05607482045888901,12,[14 15  2 20]
13,389961,7.917829949102821,0.1622301328255824,0.05759875476360321,13,[24 23 23 11]
14,1770,7.960822544080765,0.1608721994884825,0.05988254398107529,14,[ 0  2 20 20]
15,289891,8.352251296758862,0.14719696421242606,0.06409347802400589,15,[18 13 20 16]
16,294750,8.418627388617594,0.14500446073577622,0.06753155589103699,16,[18 21 15  0]
17,252801,8.629368025696136,0.13839105046767364,0.08881718665361404,17,[16  4 12  1]
18,18293,8.668757986802152,0.1371195608028036,0.08700849860906601,18,[ 1  4  6 18]
19,99716,8.790739367449095,0.13329657160032438,0.08848513662815094,19,[ 6  9 13 16]
20,53203,8.83337250038689,0.1319698470203133,0.09231244772672653,20,[ 3 10  3  3]
21,123064,8.903597415001974,0.1297792689014772,0.09170348942279816,21,[ 7 21 22 14]
22,109844,8.9551772198498,0.1281854629383314,0.09326884150505066,22,[ 7  0 18 19]
23,302405,9.134919402395138,0.12311906668552401,0.09075386822223663,23,[19  8 21  5]
24,324607,9.13479741256524,0.12311950360642368,0.09071972966194153,24,[20 19  9  7]
25,14006,9.162908148599037,0.1222659225213476,0.09109174460172653,25,[ 0 22 10  6]
26,297884,9.56787227540319,0.11134007505132432,0.10514488816261292,26,[19  1 15  9]
27,171481,9.612688015959549,0.11013967074739012,0.10682149231433868,27,[10 24  9  6]
28,142338,9.674027686932996,0.10849229895810818,0.11297253519296646,28,[ 9  2 18 13]
29,359202,9.681473476451476,0.10827341161325311,0.10844089835882187,29,[22 24 18  2]
30,284141,9.681016612418961,0.10825960638838442,0.10852157324552536,30,[18  4 15 16]
31,357193,9.676917466662811,0.10834363833848765,0.11168977618217468,31,[22 21 12 18]
32,324492,9.678559174826228,0.10831322474807457,0.1115335151553154,32,[20 19  4 17]
33,17984,9.680786502259743,0.10825331584165869,0.11138541996479034,33,[ 1  3 19  9]
34,129564,9.786563108129583,0.10570528449074977,0.11170411854982376,34,[ 8  7  7 14]
35,368960,9.788339555756858,0.10566313883564976,0.11102765053510666,35,[23 15  8 10]
36,233641,9.801558219790385,0.1053900647583222,0.11133851110935211,36,[14 23 20 16]
37,117669,9.87531847664061,0.10363623048239588,0.11715119332075119,37,[ 7 13  6 19]
38,111437,9.871041551300088,0.10376325172485512,0.11783461272716522,38,[ 7  3  7 12]
39,284689,9.945404056517273,0.10198811789639012,0.12378056347370148,39,[18  5 12 14]
40,57813,9.949145248206541,0.10190709776411058,0.12352266162633896,40,[ 3 17 12 13]
