step,action,psnr_value,mse_value,ssim_value,rank,action
1,343267,4.697998630823777,31.04861605273851,0.033512961119413376,1,[14  2  4 23]
2,418343,3.2352472414152307,4942703.23442522,0.00795691553503275,2,[17  4 12 18]
3,275787,3.186617621636631,646039.5633683117,0.0010391083778813481,3,[11  8 26 26]
4,328404,3.2019799744646122,126746.04042479453,-0.014696083962917328,4,[13 13 14  8]
5,276494,3.294833779908931,120743.30522998134,-0.012378453277051449,5,[11  9 22  8]
6,325930,3.1993297831873244,196193.28781889746,-0.015008705668151379,6,[13 10 15 28]
7,272415,3.2289714587656504,3727.5677396046653,0.010346553288400173,7,[11  4 26 18]
8,105182,3.1736705644460974,18317.552241370267,-0.01714099943637848,8,[ 4  9  1 28]
9,350549,3.5987845702413326,7535.685173892889,-0.001635643420740962,9,[14 10 23 26]
10,348618,3.365035414366053,1893.1244991411036,-0.00856374017894268,10,[14  8 15  9]
11,700296,3.4192380692712225,4824.939370710944,0.00299652642570436,11,[28 20 20  4]
12,305879,3.2180064823162633,7542.517583179053,-0.012477518059313297,12,[12 15 20 16]
13,219360,3.182566700304164,2149.546202914983,-0.019891943782567978,13,[ 8 28 24  4]
14,85981,3.3419109986963393,357.6288394203871,0.0006150576518848538,14,[ 3 15  6 25]
15,289832,3.1984114329487676,14157.134263176276,-0.010735319927334785,15,[11 25 18  6]
16,35199,3.5192429602000654,252.22584527222415,-0.012209247797727585,16,[ 1 12 24 22]
17,383113,3.2584720784658403,449.70796069904515,-0.010321400128304958,17,[15 20 15 23]
18,346790,3.3058842014975776,127.59539353180317,-0.017331989482045174,18,[14  6 10  8]
19,166912,3.2888025971130035,968.7230854352767,-0.016496824100613594,19,[ 6 24 13 17]
20,581461,3.334909083850475,205.759067278971,-0.005605315789580345,20,[23 24 11 11]
21,607969,3.474229065966718,60.60639361464373,-0.01083064079284668,21,[24 26 26 13]
22,5575,3.276123293524865,438.36140832134373,-0.004671892616897821,22,[ 0  6 18  7]
23,72728,3.5781354382403614,117.0040115115303,-0.018900040537118912,23,[ 2 28 13 25]
24,413450,3.3396029722829694,531.8713052107335,-0.015421558171510696,24,[16 27 17 26]
25,253650,3.4915845799249223,563.9398151850227,-0.014416518621146679,25,[10 11 17 16]
26,576010,3.4858009204951297,742.3171849626676,-0.01229581143707037,26,[23 17 26 12]
27,316764,3.468681920036981,72.10864704733646,-0.013231107965111732,27,[12 28 18 26]
28,350271,3.662049921801422,771.3908048106819,-0.0074587734416127205,28,[14 10 14  9]
29,96339,3.591861690955943,111.02318780510689,-0.006991897244006395,29,[ 3 27 16  1]
30,65429,3.563681565071782,683.1296454263346,0.004229675978422165,30,[ 2 19 23  5]
31,87319,3.6005902539560903,292.5860500710505,0.0028393941465765238,31,[ 3 16 24  0]
32,185787,3.699587184055362,319.82459249784347,-0.004417916294187307,32,[ 7 17 26 13]
33,525124,3.5065668545309627,6549.7914150404795,0.01482667401432991,33,[21 15 11 21]
34,670341,3.5504922115952224,139.4827441302396,-0.00694933719933033,34,[27 14  2  6]
35,81504,3.4911710536967915,243.58276402329798,0.0071393162943422794,35,[ 3  9 26 14]
36,217339,3.676583653577685,17.490758491421513,-0.006970630958676338,36,[ 8 26 12 13]
37,194235,3.637440464660393,32.07946315354435,0.005298766307532787,37,[ 7 27 27 22]
38,458539,3.763173461176741,43.653677073113705,0.011920083314180374,38,[18 23  6 20]
