step,action,psnr_value,mse_value,ssim_value,rank,action
1,648881,7.4940157504414024,0.17820366207732855,0.04415572062134743,1,[26 17 16  6]
2,192190,8.22187723324853,0.15246108760903512,0.0594177320599556,2,[ 7 25 15  7]
3,427928,8.166659328513315,0.15336879597423708,0.06228736788034439,3,[17 15 24  4]
4,643547,8.166151681509175,0.1534894658918699,0.06280751526355743,4,[26 11  6  8]
5,670383,8.151375112939423,0.154365174053731,0.061722539365291595,5,[27 14  3 19]
6,334715,8.178250347747795,0.1538155813451052,0.0638064444065094,6,[13 20 28 26]
7,271960,8.4683034871674,0.14416943640404575,0.06978140771389008,7,[11  4 10 27]
8,267914,8.727647305731645,0.13557242392785188,0.07298940420150757,8,[10 28 16 12]
9,507015,9.188802885142072,0.1228429189293986,0.09807438403367996,9,[20 22 25  8]
10,326120,9.1665510320027,0.12367593853345522,0.0952453762292862,10,[13 10 22 15]
11,701360,9.792646753065505,0.10679971400926964,0.11747238785028458,11,[28 21 27 24]
12,192576,9.74882955871221,0.10799824831300402,0.11718830466270447,12,[ 7 25 28 16]
13,444512,9.927490459417335,0.10379353279544117,0.12918999791145325,13,[18  6 16  0]
14,289847,9.91733960182328,0.10665352214908667,0.13053546845912933,14,[11 25 18 21]
15,648690,9.923110193989551,0.10689529175773357,0.13664019107818604,15,[26 17  9 18]
16,353144,9.830923761249146,0.10943037254741572,0.13487499952316284,16,[14 13 26 11]
17,444398,9.647070474748494,0.11149426133111855,0.11465661227703094,17,[18  6 12  2]
18,240267,9.626859263512893,0.11009161844279561,0.12095125764608383,18,[ 9 24 20  2]
19,469817,9.592847602964305,0.1111964046474585,0.12661689519882202,19,[19  7 18 17]
20,450662,9.59199888128959,0.11121704637161665,0.1266980618238449,20,[18 13 25  2]
21,180605,9.70439253374931,0.1087585142667407,0.1377151757478714,21,[ 7 11 21 22]
22,658895,9.791214909421681,0.1065529073576189,0.14021606743335724,22,[27  0 13 15]
23,94655,9.794452026815542,0.10646165560017273,0.14040140807628632,23,[ 3 25 15 28]
24,572820,10.264242681605197,0.09619972060565916,0.16131524741649628,24,[23 14  3 12]
25,595380,10.048330227293986,0.10085498205128667,0.15672554075717926,25,[24 11 27 10]
26,341744,10.043033706930753,0.10096807713482304,0.1562357395887375,26,[14  0 10  8]
27,484729,10.016751387701973,0.10142543204764999,0.15954150259494781,27,[19 25 10 23]
28,508669,10.031315179254998,0.10101268736879578,0.16151553392410278,28,[20 24 24  9]
29,123551,10.030462186757047,0.10104518273543027,0.16298706829547882,29,[ 5  1 26 11]
30,199018,10.253963719131953,0.09634476906886569,0.17033396661281586,30,[ 8  4 18 20]
31,31274,10.254273081984298,0.09628705715390946,0.17059484124183655,31,[ 1  8  5 12]
32,187078,10.602218296988973,0.09085451085528598,0.2014724463224411,32,[ 7 19 12 28]
33,545640,10.583588754277788,0.09099948181018862,0.197627454996109,33,[22 10 23  5]
34,60881,10.58374632507366,0.090994511750585,0.1976214349269867,34,[ 2 14 11 10]
35,521517,10.635034820773042,0.08952797388742165,0.202023446559906,35,[21 11  3 10]
36,398233,10.653620927699874,0.08935885291187012,0.2065732628107071,36,[16  9 15  5]
37,522851,10.640759569158142,0.08854035473553001,0.21298465132713318,37,[21 12 20 10]
38,14551,10.639461775286899,0.08860956780637867,0.21286895871162415,38,[ 0 17  8 22]
39,110166,10.704067796497611,0.087941472703479,0.2304183840751648,39,[ 4 14 28 24]
40,434690,10.669297047825863,0.0888160188619902,0.22223897278308868,40,[17 23 25  9]
41,334130,10.686017689604576,0.08836493559803299,0.22403927147388458,41,[13 20  8 21]
42,655851,10.671214058938236,0.08879694468072787,0.22296078503131866,42,[26 25 24 16]
43,405241,10.802217376500833,0.08662960617462231,0.23146547377109528,43,[16 17 24 24]
44,601148,10.810087723385049,0.08642858081068201,0.23628507554531097,44,[24 18 23  7]
45,149593,10.81134650587096,0.08682279800907154,0.23420974612236023,45,[ 6  3 25 11]
46,512302,10.819509161480026,0.08593398222203959,0.23167668282985687,46,[21  0  4 17]
47,648610,10.84728939971595,0.08525391408534469,0.23470452427864075,47,[26 17  6 25]
48,57132,10.85097458779138,0.08528785492825328,0.2360938936471939,48,[ 2  9 27  2]
49,521685,10.831205600346305,0.08503653648697768,0.20951689779758453,49,[21 11  9  4]
50,280114,10.841678634119905,0.08484321213163076,0.2123473435640335,50,[11 14  2  3]
51,664476,10.876897370061698,0.08418379132546364,0.2188810408115387,51,[27  7  2 28]
52,18579,10.886396668009342,0.0841127668757332,0.2242225706577301,52,[ 0 22  2 19]
53,592760,10.888039462652575,0.08402873461289376,0.22222524881362915,53,[24  8 24  0]
54,384406,10.882870228198279,0.08415969219329178,0.22152088582515717,54,[15 22  2 11]
55,99744,10.866829716727779,0.08442006831641044,0.22486695647239685,55,[ 4  2 17 13]
56,702046,10.891460751876572,0.0841233100988313,0.22558161616325378,56,[28 22 22 14]
57,398770,10.90436151911572,0.08375709159130092,0.2268407791852951,57,[16 10  4 20]
58,252183,10.905388949359544,0.08376603016873116,0.22609928250312805,58,[10  9 24 28]
59,496777,10.89865524339887,0.08388346490342127,0.22766637802124023,59,[20 10 20  7]
60,319435,10.901247269888795,0.08380302723744931,0.22782006859779358,60,[13  2 24  0]
61,449037,10.901939039789815,0.08383176198293046,0.224472314119339,61,[18 11 27  1]
62,290819,10.909967579228235,0.08350839971813089,0.22371473908424377,62,[11 26 23  7]
63,40812,10.907465389286152,0.08340061634395053,0.2204226553440094,63,[ 1 19 15  9]
64,392793,10.942492798704526,0.08215835275949857,0.21952109038829803,64,[16  3  1 17]
65,25129,10.934736317115597,0.08214302824800164,0.21832814812660217,65,[ 1  0 25 15]
66,212096,10.927022322771053,0.08234775002816051,0.21858027577400208,66,[ 8 20  5 19]
67,109092,10.92842552696482,0.08222679417645279,0.22039419412612915,67,[ 4 13 20 23]
68,380458,10.933074464735846,0.08211260422022049,0.22111289203166962,68,[15 17 11  7]
69,648604,10.904919495847363,0.08269617564804461,0.20923906564712524,69,[26 17  6 19]
70,409115,10.904997747643954,0.08269269597512843,0.20884518325328827,70,[16 22 13 12]
71,655584,10.905300894682778,0.08268835465430076,0.208884134888649,71,[26 25 15 10]
72,518166,10.905530358520451,0.08266835854577669,0.2089335322380066,72,[21  7  3 23]
73,209899,10.89886134625595,0.0827205038811102,0.20821334421634674,73,[ 8 17 16 26]
74,227750,10.903259421604357,0.08263848537209893,0.20829886198043823,74,[ 9  9 23 13]
75,637908,10.891543369982388,0.0828923153613078,0.2050587236881256,75,[26  4 14 24]
76,419612,10.890931720161722,0.0829080195470405,0.20504353940486908,76,[17  5 27 11]
77,153859,10.893639139051107,0.08277099543646109,0.20304682850837708,77,[ 6  8 27 14]
78,322992,10.915082819509825,0.08236909605889206,0.20272958278656006,78,[13  7  1 19]
