step,action,psnr_value,mse_value,ssim_value,rank,action
1,452950,8.059561275084477,0.15685604882878146,0.03906763717532158,1,[18 16 16 28]
2,374022,8.067133988954149,0.15801860533657644,0.04654876887798309,2,[15  9 21  9]
3,577940,8.10395321101987,0.1577393681782351,0.05136212706565857,3,[23 20  5 28]
4,370320,8.4209903254056,0.14666733462191764,0.05973625183105469,4,[15  5  9 19]
5,129991,8.289483479664348,0.14948649436077474,0.06703002750873566,5,[ 5  9 16 13]
6,427266,8.525694904583336,0.14163748677557142,0.07374978810548782,6,[17 15  1  9]
7,540136,8.392432206111135,0.14527190781824253,0.0630856454372406,7,[22  4  7 11]
8,630943,8.738122340432454,0.13386292944592942,0.058530233800411224,8,[25 25  6 19]
9,527608,9.148695644426342,0.12231035988950595,0.0808727815747261,9,[21 18 10 11]
10,653223,9.199958891371985,0.1209083409959066,0.07807453721761703,10,[26 22 20 27]
11,411561,8.976134546511517,0.12739030289103245,0.09516200423240662,11,[16 25 10 22]
12,429923,8.976469755866143,0.1273851382467174,0.09519058465957642,12,[17 18  5 27]
13,503614,9.280583090974089,0.1186256831443547,0.09279398620128632,13,[20 18 24  0]
14,197505,9.492769850230175,0.11295474200825593,0.11382490396499634,14,[ 8  2 24 15]
15,106203,9.492912419795406,0.11291059954883122,0.11440736800432205,15,[ 4 10  8  5]
16,660634,9.609509932098506,0.11004909456622203,0.1228945180773735,16,[27  2 15 14]
17,233919,9.645009372707886,0.10919522014954333,0.11492273211479187,17,[ 9 17  4  5]
18,608289,9.745651794875647,0.10663741238489612,0.1197357028722763,18,[24 27  8 14]
19,513805,9.918977218496124,0.10227511411999278,0.12861321866512299,19,[21  1 27 12]
20,139675,9.970379258394507,0.1013938719220116,0.13664719462394714,20,[ 5 21  2 11]
21,221862,10.086389929327922,0.09868773227278455,0.13664254546165466,21,[ 9  2 23 12]
22,667019,10.099800903938531,0.09847031657454115,0.1365686058998108,22,[27 10  3 19]
