step,action,psnr_value,mse_value,ssim_value,rank,action
1,182181,7.703976053097735,0.16980063308892937,0.31882914900779724,1,[ 7 13 18  3]
2,305940,7.736017369509431,0.16850885481289044,0.3056747317314148,2,[12 15 22 19]
3,517464,7.770464017654255,0.16716361172559566,0.30340975522994995,3,[21  6  8 17]
4,662389,7.8286398715363825,0.16493930273949273,0.2525893747806549,4,[27  4 18  0]
5,639910,7.862744676413759,0.1636466046468686,0.22933831810951233,5,[26  6 25 25]
6,105111,7.880101213896959,0.1629786898672225,0.21592435240745544,6,[ 4  8 28 15]
7,628917,7.9244590528962195,0.16132229018275956,0.2060944139957428,7,[25 22 23 23]
8,389258,7.924422332039974,0.1613234394031013,0.20653803646564484,8,[15 27 24 20]
9,484353,7.925472829441558,0.16127405755580967,0.2118852287530899,9,[19 24 26 24]
10,77691,7.925469590335443,0.16127405445089857,0.21195659041404724,10,[ 3  5 11  0]
11,413972,7.926405569395546,0.16123701464032358,0.2123681902885437,11,[16 28  6 26]
12,384744,8.017196052131482,0.15789689124600734,0.17294056713581085,12,[15 22 14  1]
13,678532,8.215719552053132,0.15121615560644003,0.2503049373626709,13,[27 23 23 19]
14,336252,8.21638512840565,0.15118784941254082,0.2501632571220398,14,[13 22 23 26]
15,163911,8.220051792351533,0.1510631757927864,0.24914045631885529,15,[ 6 20 26  3]
16,639498,8.23355005320255,0.15067577764775905,0.2516734004020691,16,[26  6 11 19]
17,309878,8.233409226211418,0.15068046585696945,0.2523895800113678,17,[12 20 13 13]
18,192070,8.233703395656889,0.15067127804067135,0.2524486482143402,18,[ 7 25 11  3]
19,162848,8.233729211757614,0.1506033663489742,0.25057604908943176,19,[ 6 19 18 13]
20,367914,8.257102569463708,0.14988977018557487,0.25464290380477905,20,[15  2 13 20]
21,146951,8.258319474231211,0.15002677013644836,0.258205384016037,21,[ 6  0 21  8]
22,286961,8.258652104772452,0.15003180510765818,0.2567548155784607,22,[11 22  6  6]
23,568725,8.260976950279211,0.14976618504941624,0.2522340714931488,23,[23  9  7  6]
24,636485,8.268035205190113,0.14951076980115802,0.2573164999485016,24,[26  2 23 22]
25,80197,8.268690626168224,0.14947644383057831,0.25671645998954773,25,[ 3  8 10 12]
26,132230,8.270650177552932,0.1494688548058738,0.2543097734451294,26,[ 5 12  6 19]
27,200227,8.289523991378388,0.1486453321114211,0.24608364701271057,27,[ 8  6  2 11]
28,206029,8.289550486876294,0.1486427122590615,0.24524997174739838,28,[ 8 12 28 13]
29,622284,8.258180285759567,0.15000222121428805,0.24450397491455078,29,[25 14 27  2]
30,24278,8.262786650798553,0.14985386078231344,0.24437205493450165,30,[ 0 28 25  5]
31,83817,8.268223601056363,0.14963416081041503,0.22834062576293945,31,[ 3 12 19  7]
32,389131,8.284768747228053,0.14929166300020305,0.2379668802022934,32,[15 27 20  9]
33,325634,8.284060248255187,0.14929394990618342,0.2402130663394928,33,[13 10  5 22]
34,32388,8.283718337860494,0.14927995400718727,0.24290214478969574,34,[ 1  9 14 24]
35,203009,8.303751498027623,0.14848220889468422,0.25028035044670105,35,[ 8  9 11  9]
