step,action,psnr_value,mse_value,ssim_value,rank,action
1,154837,5.207350804395831,0.30165895770052525,0.05794548988342285,1,[ 6 10  3  6]
2,311772,5.230531635247244,0.30005322377043514,0.056146375834941864,2,[12 22 20 22]
3,104771,5.2669158646134315,0.2975497637807827,0.054821401834487915,3,[ 4  8 16 23]
4,695567,5.298178131100499,0.2954460687970789,0.04971522465348244,4,[28 15  2  2]
5,267128,5.395898443696536,0.2888716793321206,0.04510406032204628,5,[10 27 18  9]
6,687117,5.437683952166575,0.28615462231393307,0.03326139971613884,6,[28  5  0 20]
7,152262,5.502663449130434,0.28221683055976365,0.03317645192146301,7,[ 6  7  1 12]
8,213406,5.521427177327607,0.2810298411897148,0.0323345847427845,8,[ 8 21 21 24]
9,667583,5.567219132920705,0.2783471068607737,0.03121519461274147,9,[27 10 23  3]
10,276645,5.612129013694849,0.2755094504915939,0.03155606612563133,10,[11  9 27 14]
11,76481,5.625169218386873,0.27466064777275295,0.0317377895116806,11,[ 3  3 27  8]
12,696683,5.73084561119413,0.2682899975165156,0.0323161706328392,12,[28 16 11 16]
13,164158,5.810145646046383,0.2634321836179723,0.03229505568742752,13,[ 6 21  5 18]
14,372570,5.837156710842553,0.2618042760036723,0.03247649967670441,14,[15  8  0  7]
15,269211,5.908154744510814,0.25784031859113254,0.031211020424962044,15,[11  1  3  4]
16,265855,5.954324535668281,0.2552010676011764,0.031944818794727325,16,[10 26  3 12]
17,39950,6.016415284664587,0.2517410178586166,0.030770806595683098,17,[ 1 18 14 17]
18,687641,6.054441468811315,0.24964735193204912,0.030119426548480988,18,[28  5 18 22]
19,703391,6.091932937003519,0.2476588941148624,0.02737954631447792,19,[28 24 10 25]
20,220059,6.155677644794891,0.2440036208525542,0.02727605774998665,20,[ 9  0 19  7]
21,12246,6.169895535571257,0.24315656931469376,0.025191612541675568,21,[ 0 14 16  8]
22,277577,6.220974447261257,0.24029016980194037,0.023677214980125427,22,[11 11  1 18]
23,211232,6.245416902872412,0.2389058277015851,0.024486107751727104,23,[ 8 19  4 25]
24,371001,6.28894659140156,0.23654586373211833,0.02444029226899147,24,[15  6  4  4]
25,238582,6.308477877810759,0.2354121873959635,0.024181770160794258,25,[ 9 22 19 28]
26,277956,6.352068359880282,0.233394635447762,0.019353371113538742,26,[11 11 14 20]
27,78534,6.353429917014965,0.23330188720931214,0.018884338438510895,27,[ 3  6 11  2]
28,383748,6.401372060216927,0.2307836063477903,0.020954357460141182,28,[15 21  8 20]
29,353211,6.4323723268979816,0.2292110143348061,0.019989309832453728,29,[14 13 28 20]
30,138157,6.457732384685167,0.22788680708334674,0.017737548798322678,30,[ 5 19  8  1]
31,28464,6.485863179921397,0.2265553098119495,0.017929483205080032,31,[ 1  4 24 15]
32,411754,6.556897456327687,0.2229251343387311,0.01971314288675785,32,[16 25 17 12]
33,695930,6.599133733594553,0.22086901171625792,0.02439199760556221,33,[28 15 14 17]
34,670647,6.608438892949914,0.22048159461909161,0.02347542531788349,34,[27 14 12 22]
35,158747,6.628870421965728,0.21975229990951098,0.02510276809334755,35,[ 6 14 22  1]
36,222846,6.682849060196455,0.21807657504854644,0.02661985717713833,36,[ 9  3 28 10]
37,403376,6.699430982963945,0.2171949539873383,0.025589043274521828,37,[16 15 18 15]
38,163705,6.7108272708242565,0.2166179322998425,0.026455599814653397,38,[ 6 20 19  0]
39,637200,6.738974301817425,0.21567604850397845,0.022860663011670113,39,[26  3 19 12]
40,334505,6.783661315063306,0.2134319639117237,0.02360694110393524,40,[13 20 21 19]
41,186273,6.8009289121772065,0.21243121166755458,0.021195748820900917,41,[ 7 18 14  6]
42,253467,6.800820550624623,0.21239908523110027,0.02089007757604122,42,[10 11 11  7]
43,173594,6.813160729914513,0.2116132210796356,0.022468313574790955,43,[ 7  3 12  0]
44,227959,6.813534821155132,0.21158773565563174,0.0213946420699358,44,[ 9 10  1 19]
45,437477,6.828418113418191,0.21068551608471925,0.022158727049827576,45,[17 27  5 12]
46,155470,6.8434196055075045,0.2097142429144945,0.02242916077375412,46,[ 6 10 25  1]
47,193436,6.900129682484748,0.2068389893684698,0.021253323182463646,47,[ 7 27  0  6]
48,474501,7.003013274266239,0.20230700372372334,0.021553581580519676,48,[19 13  6  3]
49,641635,7.004290509455853,0.20223169816735026,0.0208410806953907,49,[26  8 27 10]
50,4867,7.006256634716369,0.2020615379709203,0.020797889679670334,50,[ 0  5 22 24]
51,498055,7.0359779855372455,0.20097728901618667,0.022614501416683197,51,[20 12  6  9]
52,621565,7.048628723523392,0.20035327088293395,0.022719526663422585,52,[25 14  2  8]
53,188092,7.065626707081934,0.19951934838003782,0.02201453596353531,53,[ 7 20 18 27]
54,334690,7.076436830653249,0.1990224657913545,0.02163291536271572,54,[13 20 28  1]
55,545226,7.089403958423034,0.1984217323917325,0.021055888384580612,55,[22 10  8 26]
56,620960,7.104885422113071,0.19768886177181974,0.020916124805808067,56,[25 13 10 12]
57,520911,7.133266519226092,0.19664627678434385,0.021190905943512917,57,[21 10 11 13]
58,402498,7.137241609650866,0.19638084760462293,0.020976413041353226,58,[16 14 17  7]
59,506028,7.149656742752439,0.19585805728738018,0.02308730036020279,59,[20 21 20  7]
60,172242,7.17847500655057,0.19481818776407328,0.02428671158850193,60,[ 7  1 23 11]
61,155279,7.208492049569475,0.1937605531482493,0.02542620338499546,61,[ 6 10 18 13]
62,563478,7.213853523272098,0.19350890042321095,0.025491375476121902,62,[23  3  0  8]
63,326952,7.246133149073673,0.1922491591230353,0.02682890184223652,63,[13 11 22  6]
64,387986,7.24949041819748,0.19202923059740473,0.0257892869412899,64,[15 26  9 24]
65,158541,7.255852605777784,0.19171915205411114,0.02631884254515171,65,[ 6 14 14 27]
66,188267,7.276473911350622,0.1909809514500607,0.02662588469684124,66,[ 7 20 24 28]
67,189324,7.293237971469512,0.1903663884396569,0.022867100313305855,67,[ 7 22  3 12]
68,118260,7.3020719086962345,0.1899050547360954,0.023125236853957176,68,[ 4 24 17 27]
69,319945,7.352772783682957,0.18784515584076372,0.022371310740709305,69,[13  3 12 17]
70,204698,7.371304802446643,0.1869926917821314,0.028703514486551285,70,[ 8 11 11 16]
71,670407,7.370905376834182,0.18696442946406808,0.028908632695674896,71,[27 14  4 14]
72,349601,7.6953408440293805,0.17488946244619077,0.030529404059052467,72,[14  9 20  6]
73,359788,7.712043829130163,0.17418553253907332,0.028327809646725655,73,[14 21 23 14]
74,347578,7.7176618080035375,0.17413084701161988,0.02924361638724804,74,[14  7  8 13]
75,143174,7.723624364873296,0.17396848750024296,0.03041943535208702,75,[ 5 25  7  1]
76,232283,7.744940958231327,0.1731491395344091,0.031340330839157104,76,[ 9 15  5 22]
77,682064,7.74533359886699,0.17304430758498468,0.032185714691877365,77,[27 28  0 13]
78,451207,7.79472493509499,0.17158500441967894,0.034381601959466934,78,[18 14 14 25]
79,422661,7.7950999465178485,0.17157969666324752,0.03460247814655304,79,[17  9 16 15]
80,187752,7.796114406216878,0.17155932622999348,0.03497444465756416,80,[ 7 20  7  6]
81,645534,7.802109888457669,0.17122696284102568,0.035166654735803604,81,[26 13 16 23]
82,424458,7.814281326189474,0.17075428509423488,0.03508181869983673,82,[17 11 20 14]
83,163776,7.814311735436631,0.17075491773616056,0.03504256531596184,83,[ 6 20 21 13]
84,411366,7.824924802153767,0.1704870238567942,0.0342007577419281,84,[16 25  4  1]
85,500940,7.847084311073262,0.16989447749419045,0.034361831843853,85,[20 15 18 23]
86,704822,7.857005166451808,0.16949460601203795,0.03539581224322319,86,[28 26  2  6]
87,663664,7.907732518137484,0.16734569961856138,0.03635048493742943,87,[27  6  3 28]
88,156356,7.983044181367775,0.16450726109536326,0.03370937705039978,88,[ 6 11 26 17]
89,416510,7.997467626936982,0.16389455302815967,0.033515796065330505,89,[17  2  7 12]
90,64354,8.004487993338499,0.16385002220978367,0.03391290083527565,90,[ 2 18 15  3]
91,589307,8.004839620240995,0.16381757033134575,0.032711539417505264,91,[24  4 20 27]
92,650608,8.093486435307298,0.16075305509771087,0.03583749383687973,92,[26 19 17 22]
93,308859,8.13353831543201,0.15947793311697098,0.03668735921382904,93,[12 19  7  9]
94,396234,8.155302632973633,0.1586184231156715,0.03864176571369171,94,[16  7  4  7]
95,529106,8.163341853953703,0.15819651445732552,0.03881056234240532,95,[21 20  4  1]
96,466458,8.176790785826164,0.1577763917957506,0.038423940539360046,96,[19  3 18 22]
97,694026,8.22434321284894,0.15605511979116446,0.043679799884557724,97,[28 13  6 27]
98,196579,8.23899722909236,0.15545399777818364,0.04299301281571388,98,[ 8  1 21 17]
99,310220,8.238570338016126,0.15544956447211894,0.04302119091153145,99,[12 20 25  7]
100,151238,8.238730633594253,0.1554392628776762,0.04311496391892433,100,[ 6  5 24  3]
101,159113,8.268280016337343,0.1542404564699867,0.04389481619000435,101,[ 6 15  5 19]
102,289286,8.268823598039068,0.15421004308902506,0.04389140009880066,102,[11 24 28 11]
103,152062,8.278695067064696,0.15377442000268465,0.04415282979607582,103,[ 6  6 23 15]
104,309297,8.294572673461397,0.15309530726543316,0.045314863324165344,104,[12 19 22 12]
105,481591,8.294623658478697,0.15307554865681405,0.04530268535017967,105,[19 21 18 17]
106,246107,8.294827242805903,0.15306052443344417,0.04536997899413109,106,[10  2 18 13]
107,240801,8.296585486916733,0.15304602607684442,0.045374080538749695,107,[ 9 25  9 14]
108,308213,8.316213643430276,0.15222433995546025,0.04772098362445831,108,[12 18 14  1]
109,626515,8.329134764727865,0.151758352015751,0.05283277854323387,109,[25 19 27 28]
110,191427,8.383948801750039,0.14988816072909317,0.05314230918884277,110,[ 7 24 17 27]
111,54026,8.386159364182575,0.14986034482728727,0.053370896726846695,111,[ 2  6  6 28]
112,185808,8.40616163630999,0.14920236286328312,0.05046851560473442,112,[ 7 17 27  5]
113,260433,8.421335964986252,0.14862262894255704,0.051296792924404144,113,[10 19 19 13]
114,265531,8.423771630807886,0.1485347619167641,0.0510314479470253,114,[10 25 21  7]
115,19761,8.424124221209386,0.14852929611345905,0.051054246723651886,115,[ 0 23 14 12]
116,274279,8.430077405719977,0.14830754307217794,0.05010132119059563,116,[11  7  3 26]
117,516765,8.458993602580442,0.14743241488746262,0.051041241735219955,117,[21  5 13 14]
118,525907,8.45950188320574,0.14741477651600896,0.05049658566713333,118,[21 16  9 21]
119,491348,8.46120538883645,0.14728386105158728,0.05074151232838631,119,[20  4  7  1]
120,116829,8.525611617268074,0.1453854556777308,0.05309651792049408,120,[ 4 22 26 17]
121,245354,8.54996306321095,0.14455334896276248,0.05187055096030235,121,[10  1 21 14]
122,690461,8.550033673218211,0.14455760442432847,0.051729943603277206,122,[28  9  0  0]
123,21112,8.581205452494915,0.14353081341853352,0.05223597213625908,123,[ 0 25  3  0]
124,627139,8.59883834348251,0.14284340526343406,0.050500672310590744,124,[25 20 20 14]
125,53762,8.622670565385329,0.1422907230440769,0.051321711391210556,125,[ 2  5 26 25]
126,81301,8.644114014453868,0.14170057988371734,0.052468232810497284,126,[ 3  9 19 14]
127,435886,8.658114847115556,0.14137193112100352,0.053019143640995026,127,[17 25  8 16]
128,468452,8.658634884042364,0.1413188213399345,0.052658308297395706,128,[19  6  0 15]
129,103586,8.658435079769792,0.1413163901893975,0.05257365107536316,129,[ 4  7  4 27]
130,55299,8.72019899419978,0.13948453466080044,0.05473312363028526,130,[ 2  7 21 25]
131,312161,8.74191494660494,0.1387618988230478,0.05524495244026184,131,[12 23  5  5]
132,114248,8.747877481306704,0.13855048258628924,0.056749679148197174,132,[ 4 19 24 17]
133,598735,8.760642393396092,0.13802102084721332,0.05728752166032791,133,[24 15 27  1]
134,299881,8.861957904869758,0.13527356890570738,0.059373535215854645,134,[12  8 16 21]
135,624738,8.860902571654508,0.13524082764049813,0.058586038649082184,135,[25 17 24 20]
136,195723,8.878821318630584,0.13460989730294348,0.059382446110248566,136,[ 8  0 21  2]
137,696184,8.980474363509911,0.13158131053541827,0.06752302497625351,137,[28 15 23 10]
138,698419,8.981210712725057,0.1315287246262723,0.06745167076587677,138,[28 18 13 12]
139,681459,8.981259605298238,0.13152908984775474,0.06744593381881714,139,[27 27  8 17]
140,442225,9.01638771803439,0.130646779184215,0.06799156218767166,140,[18  3 24  4]
141,551070,9.039591637963763,0.1298890239127997,0.06815895438194275,141,[22 17  7 12]
142,354900,9.055736418988456,0.12946026674702515,0.07133364677429199,142,[14 15 28 27]
143,109007,9.056104613670685,0.12942420816540773,0.07102978974580765,143,[ 4 13 17 25]
144,149145,9.056693713639016,0.12939691606726955,0.07121262699365616,144,[ 6  3  9 27]
145,689614,9.085550871490165,0.12883687140961705,0.07198373973369598,145,[28  7 28 23]
146,575946,9.212618435473052,0.12533822577590883,0.0769428089261055,146,[23 17 24  6]
147,575087,9.233569304926005,0.12455747246136221,0.07795237004756927,147,[23 16 23 17]
148,599348,9.237035975591906,0.12446684418907898,0.07793854176998138,148,[24 16 19  5]
149,370777,9.24178445750735,0.12437498343704931,0.07853873819112778,149,[15  5 25 12]
150,12590,9.257823862818174,0.12386981876264086,0.08007004857063293,150,[ 0 14 28  4]
151,46588,9.270737205767423,0.12357927219870728,0.08143299072980881,151,[ 1 26 11 14]
152,619598,9.296716393064614,0.12299042019632288,0.08200599998235703,152,[25 11 21 13]
153,395605,9.299965742984371,0.12284610398213454,0.0816626027226448,153,[16  6 11 16]
154,307994,9.300119464282517,0.12282306283467474,0.08125516772270203,154,[12 18  6 14]
155,204725,9.305296679599065,0.12265470669419218,0.0819922462105751,155,[ 8 11 12 14]
156,366109,9.307688977483187,0.12257701793147413,0.08142901957035065,156,[15  0  9 13]
157,482766,9.308855155979211,0.12252679020469262,0.08046606183052063,157,[19 23  1  3]
158,360463,9.317354409518906,0.12229499361232676,0.08004816621541977,158,[14 22 17 22]
159,43940,9.32170132148549,0.12221674876890769,0.0809306874871254,159,[ 1 23  7  5]
160,20135,9.37950628086692,0.1208119644163889,0.08189386129379272,160,[ 0 23 27  9]
161,560686,9.389483810683352,0.12046090373005308,0.08151386678218842,161,[22 28 20  0]
162,140469,9.454139147149924,0.11872017873175307,0.07954514771699905,162,[ 5 22  0 22]
163,418603,9.45639096266325,0.11867157271050653,0.07954661548137665,163,[17  4 21 17]
164,690322,9.462031443838747,0.11851475159179965,0.08107593655586243,164,[28  8 24  6]
165,144762,9.465922625867082,0.11840709447098073,0.08132217824459076,165,[ 5 27  3 23]
166,388566,9.482185148053144,0.11799940209673823,0.08142206072807312,166,[15 27  0 24]
167,142437,9.535154661774417,0.11656389087084483,0.08118952065706253,167,[ 5 24 10 18]
168,54135,9.544298668682357,0.11629095011958124,0.08179131150245667,168,[ 2  6 10 21]
169,196328,9.548995758835437,0.11611424716867685,0.08220906555652618,169,[ 8  1 12 27]
170,346862,9.607512178669516,0.11457856729509237,0.08944795280694962,170,[14  6 12 22]
171,365190,9.610568745948935,0.11451627507001876,0.0910780280828476,171,[14 28  6 22]
172,523237,9.626338780603236,0.11410809051955206,0.08762576431035995,172,[21 13  4 19]
173,379744,9.625907319281414,0.11410045187689491,0.0877336785197258,173,[15 16 15 18]
174,462591,9.628188527632261,0.11404640302365791,0.08882349729537964,174,[18 28  1 12]
175,101668,9.627802931315898,0.1140463832551644,0.08916154503822327,175,[ 4  4 25 23]
176,379683,9.662008898034639,0.11307423814936227,0.08985641598701477,176,[15 16 13 15]
177,105483,9.661962897749124,0.11307383867085952,0.08967950940132141,177,[ 4  9 12 10]
178,201871,9.66285026149395,0.1130640443630386,0.09010773152112961,178,[8 8 1 2]
179,640654,9.673853908621693,0.11280684256917381,0.08895280212163925,179,[26  7 22 15]
180,703218,9.676099055666974,0.11274612624806685,0.08957212418317795,180,[28 24  4 26]
181,288818,9.70774998775587,0.11184308406399256,0.08994386345148087,181,[11 24 12  7]
182,340437,9.714055090294018,0.11173970243191463,0.0911601185798645,182,[13 27 23  6]
183,281177,9.72289981685667,0.11150945217012512,0.09131249040365219,183,[11 15  9 22]
184,495580,9.73120422487609,0.11136113521341319,0.09221251308917999,184,[20  9  7 28]
185,633759,9.741725348392052,0.11111087953152227,0.0946364626288414,185,[25 28 16 22]
186,364521,9.7794382585458,0.11012888627641174,0.09556854516267776,186,[14 27 12 20]
187,215708,9.779282731931904,0.11012875586204908,0.09548309445381165,187,[ 8 24 14  6]
188,681296,9.78473429940158,0.10998839711604859,0.09723758697509766,188,[27 27  2 28]
189,669623,9.789636761135931,0.10990248025225156,0.09681450575590134,189,[27 13  6 13]
190,434121,9.801745365338434,0.10963721035245785,0.09708970040082932,190,[17 23  5 20]
191,666618,9.80610510063584,0.1095141629965446,0.09709765762090683,191,[27  9 18 24]
192,319038,9.826849697152195,0.1090150234349092,0.09641161561012268,192,[13  2 10  9]
193,91141,9.835006207529934,0.10879076136417483,0.09715374559164047,193,[ 3 21 10 23]
194,217279,9.85779442646172,0.10830961891520235,0.09788148105144501,194,[ 8 26 10 11]
195,388672,9.864591767589673,0.1081984770325561,0.0982217863202095,195,[15 27  4 14]
196,598145,9.86775633559097,0.10808229036926202,0.09817933291196823,196,[24 15  6 20]
197,469763,9.868654663469346,0.1080520409415178,0.09815819561481476,197,[19  7 16 21]
198,651640,9.875933707988679,0.1079096514301629,0.09957322478294373,198,[26 20 24 10]
199,557774,9.92737974179101,0.10675938185734382,0.09880103170871735,199,[22 25  6 17]
200,4404,9.937559215150252,0.10649449031289616,0.09951856732368469,200,[ 0  5  6 25]
201,164282,9.937669608913334,0.1064902993671093,0.0995180606842041,201,[ 6 21  9 26]
202,187613,9.957270704752624,0.10597702368402377,0.10047172009944916,202,[ 7 20  2 12]
203,672942,9.95714990898774,0.10597701029884081,0.10048168152570724,203,[27 17  4 26]
204,271868,10.000512376009345,0.10503931101914117,0.10201037675142288,204,[11  4  7 22]
205,177962,10.008169944967303,0.10488749128477012,0.10252673923969269,205,[ 7  8 17 18]
206,316839,10.008290746808537,0.10487292808974998,0.10274643450975418,206,[12 28 21 14]
207,412639,10.011784242611991,0.10480929475486259,0.10487019270658493,207,[16 26 18 27]
208,128428,10.026594685177807,0.10442925872115141,0.10644378513097763,208,[ 5  7 20 16]
209,219714,10.026809131121087,0.10438353798526252,0.10690419375896454,209,[ 9  0  7 10]
210,27900,10.026680874449738,0.10437763764926197,0.10694219917058945,210,[1 4 5 2]
211,464616,10.03151721146297,0.10420624260862268,0.10741640627384186,211,[19  1 13  7]
212,99118,10.034326506948293,0.10410376726182316,0.10700882971286774,212,[ 4  1 24 25]
213,601179,10.039994205196457,0.10399829326892461,0.10721792280673981,213,[24 18 24  9]
214,424009,10.041481634718888,0.10398648153475105,0.10741503536701202,214,[17 11  5  0]
215,8143,10.053954594404992,0.1036766039442716,0.10733931511640549,215,[ 0  9 19 23]
216,170269,10.071149649517029,0.10338651962511254,0.10864195227622986,216,[ 6 28 13 10]
217,570283,10.078663274548834,0.10317114757816895,0.10933727025985718,217,[23 11  2 27]
218,419395,10.084277555157486,0.10302500493834083,0.10964745283126831,218,[17  5 19 26]
219,316062,10.10692063783713,0.10244332646990974,0.11201963573694229,219,[12 27 23 20]
220,77986,10.111501013400893,0.10234210942944906,0.11147157847881317,220,[ 3  5 21  5]
221,151147,10.118330351977285,0.1022255370417534,0.11159402132034302,221,[ 6  5 20 28]
222,534021,10.125334335415895,0.10210157526730881,0.11301583051681519,222,[21 25 28 15]
223,129801,10.149585768115612,0.10162239651697677,0.1132894977927208,223,[ 5  9  9 26]
224,450847,10.154793661372391,0.10150247243912117,0.11311143636703491,224,[18 14  2 13]
225,668920,10.156545210697203,0.10147549343596395,0.11290258169174194,225,[27 12 11  6]
226,302591,10.19566215744754,0.10082396617586108,0.1133679449558258,226,[12 11 23  5]
227,601754,10.205615743681546,0.1006676602674534,0.11222971975803375,227,[24 19 15  4]
228,162474,10.21321389788185,0.10053962341320552,0.11324024200439453,228,[ 6 19  5 16]
229,539200,10.223488026432705,0.10023368407637248,0.11366893351078033,229,[22  3  4  3]
230,109033,10.239182678864495,0.0998801856252578,0.11447004973888397,230,[ 4 13 18 22]
231,343594,10.242072835925448,0.09980392902912949,0.11493274569511414,231,[14  2 16  2]
232,167984,10.265455943189927,0.09931299433146792,0.11563997715711594,232,[ 6 25 21 16]
233,57888,10.270222892727109,0.09923591388898147,0.11628755927085876,233,[ 2 10 24  4]
234,62329,10.287376946062277,0.09885586955523729,0.11733870953321457,234,[ 2 16  3  8]
235,504184,10.320359977226033,0.0980491174614364,0.11856508255004883,235,[20 19 14 19]
236,353446,10.322310864202215,0.09799111438136891,0.11869620531797409,236,[14 14  7 23]
237,109295,10.34147547924118,0.09754677449391187,0.12178269773721695,237,[ 4 13 27 23]
238,400313,10.373922734247113,0.09682272669018749,0.11983869969844818,238,[16 11 28 26]
239,439370,10.390316616401595,0.09646638588850898,0.12067461013793945,239,[18  0 12 20]
240,630214,10.395379850818298,0.09637320697637787,0.12120234221220016,240,[25 24 10 15]
241,91840,10.401992369427974,0.09619780476786473,0.12106306850910187,241,[ 3 22  5 26]
242,570965,10.402765511582736,0.09619390797418402,0.12107338011264801,242,[23 11 26 13]
243,530091,10.403166894835856,0.09616546001588394,0.12103217095136642,243,[21 21  9  0]
244,604885,10.403150773571737,0.0961660990746269,0.12103177607059479,244,[24 23  7  3]
245,471540,10.41175650494818,0.09588837811020125,0.12120284140110016,245,[19  9 20  0]
246,608158,10.411665136764514,0.09587709556356866,0.12091091275215149,246,[24 27  3 28]
247,206695,10.426071395254162,0.09559283401613183,0.1188339963555336,247,[ 8 13 22 12]
248,424788,10.426046641734146,0.09559381803354022,0.11885008960962296,248,[17 12  2 25]
249,581342,10.426090982845373,0.09558561463271877,0.11855600774288177,249,[23 24  7  8]
250,625556,10.42591155570275,0.09555074810824737,0.11822287738323212,250,[25 18 23 26]
251,655844,10.455601599350029,0.09487684755717574,0.11891787499189377,251,[26 25 24  9]
252,70345,10.458184960622043,0.09487447953913626,0.1188022568821907,252,[ 2 25 18 20]
253,352294,10.461808958503237,0.09478883299255106,0.11878930777311325,253,[14 12 26  2]
254,395471,10.49352983254729,0.09422964270699158,0.11770997196435928,254,[16  6  6 27]
255,465576,10.494766160804211,0.09422412569015078,0.11772909760475159,255,[19  2 17 10]
256,646590,10.501744503323959,0.09406085193012893,0.11813059449195862,256,[26 14 24  6]
257,442432,10.506049105970405,0.09400162693447914,0.11813902109861374,257,[18  4  2  8]
258,239320,10.50665289601001,0.09399855904201893,0.1182180866599083,258,[ 9 23 16 12]
259,553267,10.510888286970022,0.09384900243551468,0.11934058368206024,259,[22 19 25  5]
260,500673,10.519929051518504,0.09366519621872693,0.11947693675756454,260,[20 15  9 17]
261,655424,10.519819901963793,0.09366312056283393,0.11965513974428177,261,[26 25  9 24]
262,674992,10.556388874321252,0.09283215328595948,0.12212152034044266,262,[27 19 17 17]
263,486255,10.579908292732982,0.09233869434962927,0.12308169901371002,263,[19 27  5 12]
264,408752,10.585378656620026,0.09224930468226421,0.12317785620689392,264,[16 22  0 26]
265,90481,10.585675352274432,0.09223729213656874,0.12351109087467194,265,[ 3 20 17  1]
266,116711,10.593446380301009,0.09211775731423931,0.1237231120467186,266,[ 4 22 22 15]
267,490876,10.592412034180672,0.09212208115729248,0.12366502732038498,267,[20  3 19 22]
268,643093,10.60409753410912,0.09188964942694648,0.12513121962547302,268,[26 10 19 18]
269,222239,10.61254670170853,0.0916773467762555,0.12588614225387573,269,[ 9  3  7 12]
270,104002,10.621199593336051,0.09153994637611128,0.12591223418712616,270,[ 4  7 19  8]
271,690249,10.621395111667908,0.09153765656722751,0.12592464685440063,271,[28  8 21 20]
272,381973,10.621666360593991,0.09153879415526271,0.12571893632411957,272,[15 19  5 14]
273,613028,10.639391498660519,0.09108752856800385,0.12686166167259216,273,[25  3 26 26]
274,599105,10.687763124999346,0.09005611185632956,0.1279226839542389,274,[24 16 10 23]
275,696137,10.701490075397047,0.0897175560700806,0.12889984250068665,275,[28 15 21 21]
276,370111,10.709028170182197,0.08951703286290187,0.13007424771785736,276,[15  5  2 13]
277,594785,10.708232725009086,0.08950246224137727,0.12996450066566467,277,[24 11  6 24]
