step,action,psnr_value,mse_value,ssim_value,rank,action
1,182372,5.126021751895356,0.3073723789229192,0.055344268679618835,1,[ 7 13 24 20]
2,354217,5.1781654021374095,0.30370823500564986,0.05010579526424408,2,[14 15  5 11]
3,13083,5.189551058962774,0.3030009006131241,0.0482395775616169,3,[ 0 15 16  4]
4,111113,5.2258878002296,0.3004574237079066,0.0429764986038208,4,[ 4 16  3 14]
5,343845,5.229713015625284,0.30019316321081624,0.042849015444517136,5,[14  2 24 21]
6,633764,5.309242377939956,0.29481041209725717,0.036225806921720505,6,[25 28 16 27]
7,105684,5.3117095540079,0.2946429377782749,0.03165444731712341,7,[ 4  9 19  8]
8,44497,5.379700241724494,0.2904310032302308,0.03183145821094513,8,[ 1 23 26 11]
9,484814,5.47775660498563,0.2845239772077224,0.032133180648088455,9,[19 25 13 21]
10,364189,5.505075828220423,0.2827462738001242,0.03030853159725666,10,[14 27  1  7]
11,48567,5.59182969183092,0.2772594483958204,0.0290268175303936,11,[ 1 28 21 21]
12,293621,5.662563049684843,0.2729355302602727,0.026191776618361473,12,[12  1  3 25]
13,14513,5.774660773707774,0.26642905509483633,0.028463033959269524,13,[ 0 17  7 13]
14,365365,5.7849942303427895,0.2659473444817262,0.028745776042342186,14,[14 28 12 23]
15,162606,5.786437177167885,0.26587385540364317,0.028782881796360016,15,[ 6 19 10  3]
16,158977,5.8057730028394445,0.2646616791309506,0.029433632269501686,16,[ 6 15  0 28]
17,564835,5.836351658917169,0.26271223800597926,0.029725925996899605,17,[23  4 18  2]
18,234838,5.878418698721966,0.26019569858663383,0.03016454167664051,18,[ 9 18  6 25]
19,348380,5.915934918780491,0.258232638310773,0.03093499131500721,19,[14  8  7  3]
20,222656,5.952112014715176,0.25693665855893644,0.03310466185212135,20,[ 9  3 21 23]
21,104020,5.9946488050153235,0.2541446572256359,0.03036506101489067,21,[ 4  7 19 26]
22,451422,6.066286670354807,0.25035534090313266,0.0320499911904335,22,[18 14 22  8]
23,697447,6.089820814578047,0.24901874413327482,0.032673515379428864,23,[28 17  8 26]
24,380326,6.1265347469885425,0.24702304315574586,0.03294400870800018,24,[15 17  6 20]
25,422223,6.132490887487879,0.24668235173158423,0.03209641948342323,25,[17  9  1 12]
26,615146,6.1842688189441155,0.2437354347847544,0.033029019832611084,26,[25  6 12 27]
27,282173,6.26475520352897,0.24090772568422827,0.03243517130613327,27,[11 16 15  3]
28,109615,6.265600623463072,0.2407750635116247,0.031225886195898056,28,[ 4 14  9 24]
29,168823,6.292161862845001,0.23936013959618505,0.03148789331316948,29,[ 6 26 21 14]
30,323809,6.330210992848553,0.23728157294305183,0.03226432204246521,30,[13  8  0 24]
31,98972,6.353507674904563,0.23590272119640168,0.034492798149585724,31,[ 4  1 19 24]
32,508583,6.413247671534247,0.233121135694612,0.03490031883120537,32,[20 24 21 10]
33,350662,6.439727382439103,0.23167068682720338,0.03497456759214401,33,[14 10 27 23]
34,150702,6.471686551458009,0.23028757771391273,0.035377781838178635,34,[ 6  5  5 18]
35,241574,6.495425250774453,0.2291540800408999,0.03579248487949371,35,[ 9 26  7  4]
36,278451,6.535808036743937,0.22710321748280032,0.036494385451078415,36,[11 12  2 22]
37,210528,6.548964184849611,0.22649517178574186,0.03707509860396385,37,[ 8 18  9 17]
38,622754,6.554809084642718,0.22626961356636432,0.03742624446749687,38,[25 15 14  8]
39,474415,6.562908843006844,0.2259899114441478,0.03668581321835518,39,[19 13  3  4]
40,661974,6.612353009996496,0.22403469835253448,0.039941977709531784,40,[27  4  3 20]
41,610655,6.687862245632922,0.22041058419071932,0.04109645262360573,41,[25  1  3  2]
42,132143,6.845516777472669,0.21274589908340283,0.04375087469816208,42,[ 5 12  3 19]
43,504539,6.860137495246264,0.212059771182727,0.04462718218564987,43,[20 19 26 26]
44,196485,6.9038078629462944,0.20990541482874953,0.04171748086810112,44,[ 8  1 18 10]
45,309520,6.929415312644517,0.20870524656848774,0.04115655645728111,45,[12 20  1  3]
46,258765,6.994422463405883,0.20598418214727265,0.04231975972652435,46,[10 17 19 27]
47,568062,7.003335451472514,0.20542228429381942,0.039667993783950806,47,[23  8 13 10]
48,48041,7.012218991518879,0.205259131497625,0.04018629714846611,48,[ 1 28  3 17]
49,167979,7.044758569092867,0.20367063706214444,0.04012846574187279,49,[ 6 25 21 11]
50,419917,7.064583833156907,0.20262832150183438,0.03925235942006111,50,[17  6  8 26]
51,284761,7.068039773384365,0.2019698113506943,0.0369986817240715,51,[11 19 17 10]
52,316824,7.070365364434586,0.2017239661930131,0.03742479905486107,52,[12 28 20 28]
53,366727,7.10073420100845,0.2003084790640557,0.0301866102963686,53,[15  1  1 22]
54,647821,7.1046005250959325,0.20009392809575074,0.02883298322558403,54,[26 16  8 19]
55,488080,7.129978420407976,0.1990104404562512,0.028938814997673035,55,[20  0 10 10]
56,384101,7.130168861914715,0.1989257233000228,0.025515254586935043,56,[15 21 20 25]
57,2622,7.14849029308816,0.19812522333621324,0.02715325728058815,57,[ 0  3  3 12]
58,158453,7.191166864252995,0.19611147349728245,0.024995746091008186,58,[ 6 14 11 26]
59,205091,7.192827912593568,0.19593533170749114,0.02520769275724888,59,[ 8 11 25  3]
60,83271,7.2418015788274195,0.19440426730198324,0.028514070436358452,60,[ 3 12  0 12]
61,700113,7.2559986753523775,0.19372055705917166,0.027752123773097992,61,[28 20 13 24]
62,504903,7.268027936196713,0.19304531738347394,0.025325702503323555,62,[20 20 10 13]
63,409704,7.276093379236528,0.1926830726182187,0.0261341892182827,63,[16 23  4 21]
64,565839,7.2932748931305404,0.1922987015217155,0.02658604271709919,64,[23  5 23 20]
65,237283,7.345230345686713,0.1898141208035199,0.027113553136587143,65,[ 9 21  4  5]
66,131768,7.349550516624461,0.18962124259431573,0.02648678794503212,66,[ 5 11 19 21]
67,699687,7.368207589814471,0.18859883492445012,0.02524779923260212,67,[28 19 28  4]
68,250430,7.433923491869697,0.1859142019662239,0.03073981963098049,68,[10  7 22 15]
69,329249,7.43054616577703,0.18584856031283084,0.030097251757979393,69,[13 14 14 12]
70,300575,7.4418280978404105,0.18551799742366182,0.03326001018285751,70,[12  9 11 19]
71,569019,7.457356923535272,0.18517042412997353,0.03613102808594704,71,[23  9 17 10]
72,572990,7.472770952715649,0.18460070866813727,0.036204706877470016,72,[23 14  9  8]
73,442370,7.484001418993492,0.18418622312100494,0.03631366044282913,73,[18  4  0  4]
74,530315,7.549415402949272,0.18120564659487315,0.03837648034095764,74,[21 21 16 21]
75,145448,7.558560487378817,0.1808379699243198,0.0420575886964798,75,[ 5 27 27 13]
76,8530,7.602724764206576,0.1790798242525822,0.043403491377830505,76,[ 0 10  4  4]
77,470620,7.657750576960071,0.17694219639304604,0.044026248157024384,77,[19  8 17  8]
78,313641,7.660300227731928,0.17671095121015945,0.04370824992656708,78,[12 24 27  6]
79,256596,7.682579990398734,0.17591757727873447,0.040982455015182495,79,[10 15  3  4]
80,114329,7.687406290963887,0.17575311924234835,0.041182760149240494,80,[ 4 19 27 11]
81,556662,7.6988533859875385,0.1754575894656038,0.040789440274238586,81,[22 23 26  7]
82,561031,7.745518496731149,0.17384456691914998,0.03977937996387482,82,[23  0  2 26]
83,651303,7.782287003142079,0.17245942305916645,0.036623649299144745,83,[26 20 12 21]
84,316941,7.795845057032955,0.17206484287639318,0.03723549470305443,84,[12 28 25  0]
85,205124,7.804307264656192,0.17187653060408387,0.03711283579468727,85,[ 8 11 26  7]
86,556618,7.830487265156549,0.17077255542948516,0.03775104135274887,86,[22 23 24 21]
87,244519,7.833026573676588,0.1705763479664543,0.03881296515464783,87,[10  0 21 20]
88,526608,7.842444955529909,0.17042307808879664,0.03969137743115425,88,[21 17  4 26]
89,128994,7.86846128159037,0.16960741325140116,0.04203393682837486,89,[ 5  8 11  2]
90,207443,7.878258025749276,0.16918653591056204,0.04246170446276665,90,[ 8 14 19  6]
91,480200,7.880700292921334,0.16914543397077322,0.04232284054160118,91,[19 19 28 18]
92,592384,7.911620977739715,0.16818319025310383,0.04452976584434509,92,[24  8 11  1]
93,131781,7.9447997156300465,0.16700485284843086,0.044074803590774536,93,[ 5 11 20  5]
94,634780,7.95662061526132,0.16619785860601996,0.044999293982982635,94,[26  0 22 28]
95,344284,8.024051918919309,0.1638559038836784,0.04477005824446678,95,[14  3 10 25]
96,573966,8.031145560971424,0.16362600153629062,0.04375045374035835,96,[23 15 13 27]
97,691105,8.043314994016843,0.1631396855598726,0.042654648423194885,97,[28  9 22  6]
98,532780,8.059269881567058,0.16258680223490055,0.04327665641903877,98,[21 24 14 21]
99,550566,8.060392964330813,0.16258753732522113,0.043225403875112534,99,[22 16 19  1]
100,481104,8.090365354329377,0.16143388098331757,0.04402163624763489,100,[19 21  1 23]
101,80915,8.097088393069484,0.16102439555999437,0.04111127555370331,101,[3 9 6 5]
102,197684,8.123998886809247,0.16001766350690466,0.041751109063625336,102,[ 8  3  1 20]
103,465619,8.20257655858226,0.15737876525317304,0.042235422879457474,103,[19  2 18 24]
104,575821,8.232142561704341,0.15646083527207252,0.04486163705587387,104,[23 17 19 26]
105,476123,8.263996249591813,0.15513507315743516,0.04744481295347214,105,[19 15  4  1]
106,377361,8.288004355198563,0.15457398985063858,0.04856543242931366,106,[15 13 20 13]
107,110176,8.307846814476834,0.15366102548306007,0.04994436353445053,107,[ 4 15  0  5]
108,229628,8.30837022751677,0.15363977444059734,0.05005282908678055,108,[ 9 12  1  6]
109,90858,8.318014526070016,0.15342243625052543,0.0499495305120945,109,[ 3 21  1  1]
110,420031,8.376757739384718,0.15148242190785632,0.05091802030801773,110,[17  6 12 24]
111,115489,8.376930042402822,0.15145919072765796,0.05058746784925461,111,[ 4 21  9 11]
112,12418,8.376605974237796,0.15147493074689541,0.05058884620666504,112,[ 0 14 22  6]
113,137697,8.384606066965306,0.15107368537040805,0.05027987062931061,113,[ 5 18 21  5]
114,512998,8.396978586721055,0.1506528716004073,0.04994611069560051,114,[21  0 28 17]
115,478303,8.430448468768606,0.14954094744991678,0.05052059516310692,115,[19 17 21  6]
116,89839,8.44133449232632,0.14897166737198472,0.051366619765758514,116,[ 3 19 23 26]
117,666070,8.46491095609579,0.1483320492627776,0.05302460491657257,117,[27  8 28 27]
118,323007,8.465493024090383,0.1482974251286546,0.052693381905555725,118,[13  7  2  5]
119,598939,8.484623075193554,0.14769576537023937,0.05529797077178955,119,[24 16  5  2]
120,580986,8.518077536847771,0.1467643575833872,0.05614051967859268,120,[23 23 24  0]
121,341980,8.530080508627883,0.14646526220303727,0.055420469492673874,121,[14  0 18 12]
122,455987,8.550075425009034,0.14591868007765185,0.05542569234967232,122,[18 20  5 20]
123,171301,8.56134612379196,0.14543615984680866,0.05514013394713402,123,[ 7  0 19 27]
124,26914,8.583776337023767,0.14451366466781174,0.05513397604227066,124,[1 3 0 2]
125,104350,8.585258102297871,0.14447836429536456,0.055369727313518524,125,[4 8 2 8]
126,434134,8.586210174541248,0.14445823053892073,0.055296629667282104,126,[17 23  6  4]
127,509975,8.585686228467605,0.1444725552778078,0.055189765989780426,127,[20 26 11 10]
128,593753,8.589344804444893,0.14431478115618096,0.05509538948535919,128,[24 10  0  7]
129,379618,8.616570319725843,0.1434623560725336,0.05465979874134064,129,[15 16 11  8]
130,319689,8.622097844424042,0.14329095539641434,0.05451594665646553,130,[13  3  3 22]
131,127875,8.637693927081036,0.1427242294716216,0.05726805329322815,131,[ 5  7  1 14]
132,143652,8.644124844766681,0.14258452812124406,0.05738026648759842,132,[ 5 25 23 15]
133,306188,8.648058045205575,0.14233676248301133,0.05727585405111313,133,[12 16  2  6]
134,685483,8.648442417314119,0.14230362668208518,0.0575505793094635,134,[28  3  2 10]
135,323090,8.692417176628405,0.14104957762908285,0.058868158608675,135,[13  7  5  1]
136,104982,8.730429275274282,0.13999602782107073,0.06308962404727936,136,[ 4  8 24  2]
137,193467,8.753994790469346,0.13926130226315184,0.06395061314105988,137,[ 7 27  1  8]
138,490507,8.792881442620333,0.13816277509264727,0.0638861209154129,138,[20  3  7  1]
139,639921,8.837254117278054,0.13681551107535378,0.06156999617815018,139,[26  6 26  7]
140,444494,8.849343052866617,0.13640291201600746,0.06229351833462715,140,[18  6 15 11]
141,145843,8.848908455800395,0.13638299382030886,0.06191910803318024,141,[ 5 28 12  2]
142,440420,8.857898977473198,0.13618013460881842,0.060621391981840134,142,[18  1 19 26]
143,689499,8.87858374598743,0.13546223365956453,0.06452303379774094,143,[28  7 24 24]
144,317160,8.954169881558743,0.13313235282718497,0.06602230668067932,144,[13  0  3 16]
145,463170,8.95693838122792,0.1330183499938698,0.06601881980895996,145,[18 28 21 11]
146,546732,8.96511538450948,0.13282929188238043,0.06559126824140549,146,[22 12  2 24]
147,443123,8.968703345388233,0.1327726674199045,0.06588708609342575,147,[18  4 26  3]
148,580207,9.000694172153977,0.13187467783405707,0.06646735221147537,148,[23 22 26  4]
149,666749,9.004004229434445,0.13177276304497873,0.06583631038665771,149,[27  9 23 10]
150,164818,9.022550455673585,0.13121660969867566,0.06701690703630447,150,[ 6 21 28 11]
151,345722,9.030134406061453,0.13094201145565432,0.06749480962753296,151,[14  5  2 13]
152,296960,9.040337765749008,0.1306101458348465,0.0673132985830307,152,[12  5  3  0]
153,383644,9.040940087752176,0.13060318981581978,0.06633975356817245,153,[15 21  5  3]
154,14140,9.056646988147103,0.13027898176358232,0.06635116040706635,154,[ 0 16 23 17]
155,415558,9.082400248958466,0.12956455217781898,0.06513360887765884,155,[17  1  3 17]
156,693077,9.098081166205404,0.12907116480945863,0.064972884953022,156,[28 12  3  6]
157,543159,9.108297367841216,0.12873233678436036,0.06540195643901825,157,[22  7 24 18]
158,413047,9.108187922147017,0.12861566684696266,0.06618008017539978,158,[16 27  4  0]
159,566618,9.129824561562788,0.1281908126856431,0.0693078488111496,159,[23  6 21 16]
160,418606,9.158422473598414,0.12731167436524243,0.06894298642873764,160,[17  4 21 20]
161,372619,9.14024467168132,0.12809311058472098,0.06979301571846008,161,[15  8  1 27]
162,300248,9.177889098969658,0.12659830932705915,0.06901098787784576,162,[12  9  0 11]
163,577358,9.179868048705805,0.12659971531427436,0.06652764976024628,163,[23 19 14 26]
164,656881,9.122762240345503,0.12824288068961484,0.06773603707551956,164,[26 27  2  2]
165,46816,9.214089439214373,0.12562523948175514,0.06668771803379059,165,[ 1 26 19 10]
166,514434,9.21205220363686,0.12586028197762283,0.07193829864263535,166,[21  2 20  3]
167,18971,9.259589381468903,0.1243284134389122,0.07130223512649536,167,[ 0 22 16  5]
168,485494,9.25987597558923,0.12427018392818986,0.07193665951490402,168,[19 26  8  5]
169,142464,9.274344111121296,0.12420971846373609,0.07169640809297562,169,[ 5 24 11 16]
170,31669,9.286818776291469,0.12359823682292675,0.07219802588224411,170,[ 1  8 19  1]
171,144375,9.279180679728457,0.12392001970938163,0.07343681156635284,171,[ 5 26 19 13]
172,408227,9.278974958823571,0.12435252849833663,0.07346177846193314,172,[16 21 11 23]
173,613503,9.317788994179939,0.1227515689369977,0.07251252979040146,173,[25  4 14  8]
174,553805,9.280935494186085,0.12380011988526544,0.07223868370056152,174,[22 20 14 21]
175,204985,9.318738816005572,0.12289583441752237,0.0773891881108284,175,[ 8 11 21 13]
176,158226,9.297857799563719,0.12350795647636456,0.07587035000324249,176,[ 6 14  4  2]
177,182191,9.258109615830056,0.1252411816438479,0.07343079149723053,177,[ 7 13 18 13]
178,583104,9.261755440334786,0.12520359269015405,0.07585421204566956,178,[23 26 10  1]
179,467084,9.349456592449945,0.12240958148109081,0.07636266201734543,179,[19  4 11 10]
180,56457,9.312474248253572,0.12347521038896485,0.07477425038814545,180,[ 2  9  3 23]
181,402169,9.398870012368599,0.12095928547586718,0.07788492739200592,181,[16 14  5 26]
182,243598,9.39435023042436,0.12087017487188222,0.07937858253717422,182,[ 9 28 18 27]
183,691152,9.379949576906007,0.12161971448508606,0.07566998898983002,183,[28  9 23 24]
184,6829,9.36052857813719,0.12229864562032151,0.07275904715061188,184,[ 0  8  3 14]
185,487660,9.39229028566531,0.12104909239920304,0.0753452330827713,185,[19 28 24 25]
186,469834,9.410513398928687,0.1205435762810649,0.07462245970964432,186,[19  7 19  5]
187,677329,9.425211253892128,0.11993692083559593,0.07637804746627808,187,[27 22 11  5]
188,98176,9.420273965433703,0.12010185612736339,0.07677814364433289,188,[ 4  0 21 11]
189,580735,9.442233479758883,0.11989430854684735,0.08087532222270966,189,[23 23 15 10]
190,313026,9.416561651090866,0.12061005772332789,0.08080141246318817,190,[12 24  6  0]
191,524790,9.41363889644341,0.12022199192394029,0.07697376608848572,191,[21 15  0  6]
192,73830,9.432672535155897,0.1194649589509898,0.07838883996009827,192,[ 3  0 22 25]
193,677758,9.461017104182075,0.11885110933419742,0.0800517201423645,193,[27 22 25 28]
194,495934,9.514799641936573,0.11772319537444549,0.08402860909700394,194,[20  9 20  5]
195,305875,9.472311191528535,0.11870668271259174,0.07834099233150482,195,[12 15 20 12]
