step,action,psnr_value,mse_value,ssim_value,rank,action
1,201742,7.7838396427746765,0.16671965533794017,0.3366386294364929,1,[ 8  7 25 18]
2,192498,7.790464734765402,0.166464665733487,0.31258314847946167,2,[ 7 25 25 25]
3,453522,7.792378749560168,0.1663908941536739,0.30271464586257935,3,[18 17  7 20]
4,321996,7.794878558601522,0.16629492246013827,0.2851317226886749,4,[13  5 25  9]
5,293054,7.7970709523417225,0.1662105952590865,0.2705162763595581,5,[12  0 13  9]
6,351250,7.80234368308437,0.16600823599155554,0.26561447978019714,6,[14 11 19  2]
7,620168,7.80428337605389,0.16593448190718382,0.26151353120803833,7,[25 12 12  3]
8,51073,7.80511171815057,0.16590207014579939,0.25953829288482666,8,[ 2  2 21  4]
9,600867,7.806087593808577,0.16586412188404656,0.255066841840744,9,[24 18 13 16]
10,510650,7.808279125805845,0.16577978623279394,0.25352129340171814,10,[20 27  5 18]
11,78380,7.809588923923966,0.16572940693981425,0.24107451736927032,11,[ 3  6  5 22]
12,383327,7.811631203646309,0.16565091805042736,0.2390671968460083,12,[15 20 23  5]
13,64100,7.812735287259072,0.1656080761372391,0.2299828678369522,13,[ 2 18  6 10]
14,71775,7.815414602166152,0.16550607463172784,0.2212095558643341,14,[ 2 27 10  0]
15,678258,7.816310388677385,0.1654713147373301,0.21875257790088654,15,[27 23 14  6]
16,157473,7.820001144523375,0.16533061209677088,0.206592857837677,16,[ 6 13  7  3]
17,369676,7.820078922307663,0.1653293335925569,0.2065167874097824,17,[15  4 16 13]
18,275236,7.820543481949542,0.1653173279650083,0.20612044632434845,18,[11  8  7 26]
19,339234,7.821602087920071,0.1652762648289135,0.19807443022727966,19,[13 26 10 21]
20,640888,7.821738944031107,0.16527388056047201,0.1984318494796753,20,[26  8  1 17]
21,248369,7.835279622898668,0.16476174207319028,0.19782742857933044,21,[10  5  9 13]
22,615866,7.835317696250389,0.1647608868426851,0.19785107672214508,22,[25  7  8 22]
23,243060,7.838598640564034,0.16463439737129262,0.19242161512374878,23,[ 9 28  0 11]
24,37193,7.8539495078077515,0.16405036380894372,0.16979999840259552,24,[ 1 15  6 15]
25,703440,7.854726054876991,0.16403466344895823,0.16896489262580872,25,[28 24 12 16]
26,198039,7.860816153586877,0.16380518782281622,0.1480204463005066,26,[ 8  3 13 27]
