step,action,psnr_value,mse_value,ssim_value,rank
1,4723,5.907504523443716,0.25663571791406464,0.02621498890221119,1
2,597,5.927017331280821,0.2555003501063622,0.018100352957844734,2
3,8311,5.942497498405075,0.2545877755198286,0.006180144846439362,3
4,5599,5.875289533032855,0.2588509491487316,0.0013190418248996139,4
5,5350,5.8661996159720475,0.2594149140719148,0.0020267998334020376,5
6,6263,5.844238193227371,0.26647294529985716,-0.015891607850790024,6
7,13229,5.858385330327126,0.26372390422799835,-0.012562942691147327,7
8,17099,5.90466628126975,0.2581698939133235,-0.01647905819118023,8
9,13485,6.013919976180202,0.25515940430211687,0.00048350199358537793,9
10,666,6.042491845378403,0.25107706240690275,0.013996166177093983,10
11,6254,6.042436098209406,0.25108069905701186,0.013967531733214855,11
12,3015,6.066604382151724,0.26020751873023173,0.01479095034301281,12
13,9661,6.051455665883715,0.25276912529194207,0.029553953558206558,13
14,9167,5.998042830827181,0.2567240103661172,0.010320663452148438,14
15,13633,5.961977312154536,0.25906981496475057,0.0191741194576025,15
16,10105,5.9841750203790145,0.25538867441879926,-0.029334018006920815,16
17,6715,6.006026600807522,0.25521244674411314,-0.012753546237945557,17
18,6673,6.00686451838528,0.25638684842057047,-0.0038419568445533514,18
19,4946,6.296690551746104,0.24422606322344412,0.025891881436109543,19
20,3579,6.316198547484502,0.24039315788003376,0.020495135337114334,20
21,10273,6.313920906849467,0.24055545504663364,0.018664397299289703,21
22,6690,6.433282799007803,0.23266579724543487,0.04380852356553078,22
23,440,6.4502032638373565,0.23448882237907837,0.05116457864642143,23
24,1118,6.451235938939945,0.23399139980626085,0.0491291768848896,24
25,20025,6.551356797472289,0.23040712457028753,0.05715974047780037,25
26,1860,6.566853020147784,0.22939998581469828,0.05856800451874733,26
27,3075,6.569034015261346,0.23016516160997383,0.06089091673493385,27
28,764,6.58351233113351,0.22908936855020323,0.06719733774662018,28
29,11003,6.568107529738616,0.22965974248111037,0.06357259303331375,29
30,6914,6.611519360300377,0.22692836122918783,0.06835446506738663,30
31,16846,6.579490612285489,0.22911341537268728,0.05395064875483513,31
32,829,6.597555951876329,0.22843069453710793,0.05393746867775917,32
33,4846,6.664569367665428,0.2239008483812682,0.049447957426309586,33
34,1788,6.738453414450567,0.21666818918477979,0.015181169845163822,34
35,5581,6.764330083843473,0.21581178952019753,0.02411985769867897,35
36,2246,6.736851763133327,0.21795639590676325,0.025586290284991264,36
37,23370,6.7526254684961025,0.2155725065362963,0.04478944092988968,37
38,20190,6.90067902393452,0.20717164916725272,0.05940287932753563,38
39,3258,6.907811809522901,0.2069601434524197,0.06286182999610901,39
40,19770,6.8757759648613455,0.20879691831017327,0.06613718718290329,40
41,668,6.879822561116338,0.20840819058002025,0.07323416322469711,41
42,599,6.945177452475973,0.20437416084981122,0.09008229523897171,42
43,6690,6.958722475015082,0.20369791103893475,0.09313256293535233,43
44,3432,6.958738363099539,0.20370518509724256,0.09313611686229706,43
45,17264,6.952137059382434,0.2045608860798691,0.06662905961275101,44
46,893,7.104174082899517,0.1969702051692002,0.11456276476383209,45
47,882,7.093323534872122,0.19746696049928233,0.10976757854223251,46
48,3658,7.242078101692101,0.19132271447644597,0.13340561091899872,47
49,2235,7.2443270033345115,0.19118728556819,0.1357874870300293,48
50,6928,7.588944859310849,0.17737877918675723,0.16665118932724,49
51,13918,7.736990251322062,0.17324600552534927,0.2192133069038391,50
52,3593,7.705998386161324,0.17368214310893867,0.19923345744609833,51
53,1304,7.7050903313091705,0.17373096904731938,0.19941683113574982,52
54,989,7.698171454440849,0.1739902968709066,0.19710558652877808,53
55,23567,7.7012799032100485,0.17382396540064898,0.19826224446296692,54
56,1754,7.704615532408898,0.17366242914274657,0.19820775091648102,55
57,13463,7.7341116201451054,0.1723448170847971,0.20821096003055573,56
58,2020,7.726202607654961,0.172750705033088,0.2040507197380066,57
59,897,7.72148097959886,0.17369359825057068,0.19806398451328278,58
60,13381,7.708928260958712,0.17417642699028218,0.19298473000526428,59
61,20413,7.709452986879653,0.17402890302565374,0.19031736254692078,60
62,2010,7.84143464090816,0.1692932351751531,0.26807326078414917,61
63,6125,7.930274112581164,0.1658779963244544,0.26485705375671387,62
64,13682,7.912209178614679,0.16718302992783113,0.2716255187988281,63
65,3256,8.071602397538404,0.1598138602135077,0.2643064260482788,64
66,602,8.073745260318193,0.15963130067074657,0.26519638299942017,65
67,3340,8.107208316367922,0.15838345823326058,0.27173009514808655,66
68,4888,8.116545275554572,0.15812385913860957,0.2727294862270355,67
69,2906,8.138218275899527,0.15731985492683534,0.2738061845302582,68
70,2904,8.168412229816926,0.15579229805262812,0.2906396687030792,69
71,13173,8.1415564449262,0.15637752280935982,0.28903910517692566,70
72,2232,8.139132938776754,0.1564192494228741,0.28548887372016907,71
73,9444,8.154058452273972,0.15594306984188733,0.2864532172679901,72
74,16775,8.151862422346367,0.15596513268617046,0.28585541248321533,73
75,2879,8.110261803305876,0.15706693830036278,0.2712557017803192,74
76,18196,8.104230914261919,0.15714458865684314,0.2691395878791809,75
77,16321,8.159122702432386,0.15536316318313767,0.2738364636898041,76
78,16096,8.170789721687967,0.15504462827431578,0.2785908281803131,77
79,23741,8.20129172125205,0.15383187043661667,0.283283531665802,78
80,15497,8.816656796349434,0.13740688374410334,0.5132969617843628,79
81,2679,8.841768292038028,0.13668740122663683,0.5146036744117737,80
82,5597,8.840522654731464,0.1367512081081476,0.5149032473564148,81
83,2672,8.84836811509948,0.13660416574892023,0.5159634947776794,82
84,3180,8.855518097368225,0.13637222321184456,0.5164952278137207,83
85,12368,8.855145631146646,0.13633772451707651,0.5166685581207275,84
86,2834,8.910996309185503,0.1349002752736532,0.5246071219444275,85
87,328,8.90820522204023,0.1347683322396809,0.5233004689216614,86
88,8082,8.89275331698937,0.1351857191278557,0.5215781331062317,87
89,16500,8.984226467627838,0.13289143398101827,0.523904025554657,88
90,8083,8.997141806189928,0.1326634597201428,0.5270215272903442,89
91,4450,9.166604477458787,0.1278925727589184,0.5315271019935608,90
92,1230,9.335036463096316,0.12210068857465457,0.5433524250984192,91
93,1245,9.372213050299866,0.12112200362702424,0.5450591444969177,92
94,3447,9.368540984696427,0.12120264435262572,0.5451946258544922,93
95,20622,9.561898109736926,0.1167150354206913,0.561414897441864,94
96,10257,9.527393772671473,0.11749396067921251,0.5621557831764221,95
97,5087,9.555719196215193,0.11705100736503128,0.5636166930198669,96
98,23788,9.6951233227221,0.1132350851004258,0.5726019144058228,97
99,6630,9.691519838131393,0.1133604110131556,0.5783401131629944,98
100,9975,9.700640143622426,0.11318937080558397,0.5806767344474792,99
101,10560,9.756401594486166,0.11214201449273484,0.5868622660636902,100
102,20163,9.833302483310405,0.11093271548663021,0.5782855153083801,101
