step,action,psnr_value,mse_value,ssim_value,rank
1,0,5.885144649304399,0.2580652383218209,0.08721072226762772,1
2,0,5.892332760051831,0.2576387014074458,0.08774331212043762,2
3,0,5.893729145482887,0.25755592281205786,0.08791527897119522,2
4,0,5.894225232541242,0.25752652088801065,0.08799851685762405,2
5,0,5.894470628675917,0.2575119780542122,0.08805061876773834,2
6,0,5.894581658073764,0.2575053984319998,0.08807890862226486,2
7,0,5.894649903295077,0.2575013542930699,0.08809878677129745,2
8,0,5.894712231936006,0.2574976608219246,0.0881195068359375,2
9,0,5.894751899327975,0.2574953102330781,0.08813462406396866,2
10,0,5.894786136778542,0.25749328142394207,0.0881495475769043,2
11,0,5.8948014131633775,0.2574923762042696,0.08815702795982361,2
12,0,5.894821422240176,0.2574911905369825,0.0881679356098175,2
13,0,5.894834063650461,0.2574904414548332,0.08817575126886368,2
14,0,5.894842135082645,0.25748996317748807,0.088181272149086,2
15,0,5.894844084183237,0.2574898476722754,0.08818268030881882,2
16,0,5.894847497188245,0.2574896454376479,0.08818523585796356,2
17,0,5.894848573044028,0.2574895816864187,0.08818607032299042,2
18,0,5.8948538456168444,0.25748926925654003,0.08819033950567245,2
19,0,5.8948547217626155,0.25748921733750546,0.08819108456373215,2
20,0,5.894856896647003,0.25748908846794316,0.08819299191236496,2
21,0,5.894858220743884,0.2574890100054391,0.08819419890642166,2
22,0,5.894858891238561,0.2574889702693973,0.08819480985403061,2
23,0,5.894862445238298,0.25748875967770196,0.08819825202226639,2
24,0,5.894864735571219,0.2574886239643416,0.08820062130689621,2
25,0,5.894864085591358,0.25748866247653496,0.08819993585348129,2
26,0,5.894864867091856,0.2574886161689776,0.08820077031850815,2
27,0,5.8948673939532314,0.25748846643850104,0.08820357918739319,2
28,0,5.894868637494099,0.2574883927534878,0.08820505440235138,2
29,0,5.894870389484876,0.25748828893449777,0.08820724487304688,2
30,0,5.894871153865482,0.25748824363962436,0.08820824325084686,2
31,0,5.894871679159004,0.25748821251294834,0.08820895105600357,2
32,0,5.8948718309932,0.2574882035195414,0.08820915967226028,2
33,0,5.8948727287980045,0.257488150318386,0.08821042627096176,2
34,0,5.894872471903286,0.25748816554182363,0.08821006119251251,2
35,0,5.894873125973252,0.2574881267861929,0.08821099251508713,2
36,0,5.894873204188361,0.25748812214613687,0.08821111172437668,2
37,0,5.89487372380042,0.25748809136091344,0.08821189403533936,2
38,0,5.894874228367277,0.2574880614614813,0.08821267634630203,2
39,0,5.894874119339997,0.25748806791884515,0.0882125049829483,2
40,0,5.894874228741291,0.25748806143936237,0.08821267634630203,2
41,0,5.894874499101171,0.25748804541589276,0.08821309357881546,2
42,0,5.894874501585612,0.2574880452692418,0.08821310102939606,2
43,0,5.8948747872311325,0.2574880283447177,0.08821355551481247,2
44,0,5.894875288595893,0.257487998636724,0.08821438252925873,2
45,0,5.894875792632712,0.2574879687700175,0.08821523934602737,2
46,0,5.894876381075791,0.2574879339017207,0.08821628987789154,2
47,0,5.894877059408872,0.2574878937071642,0.08821756392717361,2
48,0,5.894877513468238,0.25748786680180474,0.08821845054626465,2
49,0,5.894877516650109,0.25748786660971945,0.08821846544742584,2
50,0,5.894878179156784,0.25748782735358366,0.08821984380483627,2
51,0,5.894878469578655,0.25748781014542654,0.08822048455476761,2
52,0,5.894878655035606,0.25748779915363734,0.08822090923786163,2
53,0,5.894878723946382,0.2574877950713724,0.08822106570005417,2
54,0,5.89487876121774,0.2574877928640894,0.08822115510702133,2
55,0,5.894879014549794,0.25748777785348165,0.08822175860404968,2
56,0,5.894879138568849,0.2574877705017085,0.08822205662727356,2
57,0,5.894879172778795,0.2574877684755484,0.08822213858366013,2
58,0,5.8948792323405925,0.25748776494615916,0.08822228759527206,2
59,0,5.894879289730907,0.25748776154508557,0.0882224291563034,2
60,0,5.894879341851469,0.25748775845855965,0.08822257071733475,2
61,0,5.894879467193885,0.25748775103025967,0.08822288364171982,2
62,0,5.894879654107611,0.25748773995558927,0.08822337538003922,2
63,0,5.894879739091125,0.25748773492048105,0.08822361379861832,2
64,0,5.8948796935969385,0.2574877376152047,0.08822348713874817,2
65,0,5.894879831952045,0.25748772941759346,0.08822386711835861,2
66,0,5.894879756648904,0.2574877338778525,0.0882236659526825,2
67,0,5.894879602155352,0.2574877430348877,0.08822324126958847,2
68,0,5.894879664223053,0.2574877393553389,0.0882234126329422,2
69,0,5.894879630558726,0.2574877413487573,0.08822331577539444,2
70,0,5.894879643756486,0.2574877405697609,0.08822335302829742,2
71,0,5.894879795544484,0.2574877315726998,0.08822377026081085,2
72,0,5.894879958596924,0.2574877219119581,0.08822421729564667,2
73,0,5.894880081122562,0.2574877146531879,0.08822457492351532,2
74,0,5.894880072860554,0.25748771514085494,0.08822455257177353,2
75,0,5.894880234042521,0.25748770558968925,0.08822502940893173,2
76,0,5.894880336946978,0.25748769949343114,0.0882253497838974,2
