step,action,psnr_value,mse_value,ssim_value,rank
1,0,5.432179854701484,0.2865200597655164,0.026313651353120804,1
2,0,5.4918865081469015,0.28260803406577684,0.026995640248060226,2
3,0,5.491886958652698,0.2826080047756318,0.02699177712202072,2
4,0,5.491886857786763,0.282608011332975,0.02699476294219494,2
5,0,5.491886834774098,0.28260801282973286,0.0269913449883461,2
6,0,5.491887018449271,0.2826080008882767,0.02699204720556736,2
7,0,5.4918869420896215,0.28260800585245893,0.0269917119294405,2
8,0,5.491887089846815,0.28260799624601957,0.026992512866854668,2
9,0,5.491887066007875,0.2826079977958213,0.026992324739694595,2
10,0,5.491886890823061,0.2826080091863987,0.026991525664925575,2
11,0,5.491886759651492,0.2826080177144854,0.02699113078415394,2
12,0,5.491886512915012,0.28260803375697713,0.02699054591357708,2
13,0,5.491886725129237,0.2826080199589623,0.026991039514541626,2
14,0,5.491886802654758,0.282608014918771,0.02699124999344349,2
15,0,5.491886841962858,0.2826080123630873,0.02699136920273304,2
16,0,5.491885721030155,0.28260808524313263,0.026989227160811424,2
17,0,5.491885141121669,0.28260812294691057,0.026988497003912926,2
18,0,5.491885050867404,0.28260812881514014,0.02698839269578457,2
19,0,5.491885650292074,0.28260808984135194,0.026989132165908813,2
20,0,5.491885785617747,0.2826080810436626,0.026989318430423737,2
21,0,5.49188580909008,0.2826080795164932,0.026989351958036423,2
22,0,5.491886101409772,0.2826080605107622,0.02698979526758194,2
23,0,5.491885910353717,0.2826080729333199,0.026989499107003212,2
24,0,5.491886216193304,0.28260805304918685,0.02698998712003231,2
25,0,5.4918862011285965,0.28260805402870454,0.02698996104300022,2
26,0,5.491886300458867,0.28260804756929125,0.02699013613164425,2
27,0,5.491886341130701,0.28260804492618247,0.02699020877480507,2
28,0,5.491886390670925,0.2826080417054434,0.02699030190706253,2
29,0,5.491886595309015,0.28260802839953436,0.026990724727511406,2
30,0,5.4918866987902115,0.2826080216712477,0.026990972459316254,2
31,0,5.491886778074746,0.28260801651652123,0.026991181075572968,2
32,0,5.491886763629179,0.2826080174556614,0.026991140097379684,2
