step,action,psnr_value,mse_value,ssim_value,rank
1,37102,nan,nan,nan,1
2,44683,nan,nan,nan,2
3,38808,nan,nan,nan,3
4,4736,nan,nan,nan,4
5,45376,nan,nan,nan,5
6,31012,nan,nan,nan,6
7,45160,nan,nan,nan,7
8,33673,nan,nan,nan,8
9,49733,nan,nan,nan,9
10,17457,nan,nan,nan,10
11,46127,nan,nan,nan,11
12,15341,nan,nan,nan,12
13,35715,nan,nan,nan,13
14,11348,nan,nan,nan,14
15,17254,nan,nan,nan,15
16,49504,nan,nan,nan,16
17,31444,nan,nan,nan,17
18,20560,nan,nan,nan,18
19,42897,nan,nan,nan,19
20,2809,nan,nan,nan,20
21,2202,nan,nan,nan,21
22,41611,nan,nan,nan,22
23,2102,nan,nan,nan,23
24,25173,nan,nan,nan,24
25,43337,nan,nan,nan,25
26,44384,nan,nan,nan,26
27,18477,nan,nan,nan,27
28,33267,nan,nan,nan,28
29,43939,nan,nan,nan,29
30,43342,nan,nan,nan,30
31,30569,nan,nan,nan,31
32,11693,nan,nan,nan,32
33,49066,nan,nan,nan,33
34,11238,nan,nan,nan,34
35,24445,nan,nan,nan,35
36,22307,nan,nan,nan,36
37,19730,nan,nan,nan,37
38,37034,nan,nan,nan,38
39,22096,nan,nan,nan,39
40,7636,nan,nan,nan,40
41,43099,nan,nan,nan,41
42,49049,nan,nan,nan,42
43,48034,nan,nan,nan,43
44,21277,nan,nan,nan,44
45,43929,nan,nan,nan,45
46,23216,nan,nan,nan,46
47,13338,nan,nan,nan,47
48,10665,nan,nan,nan,48
49,18367,nan,nan,nan,49
50,12920,nan,nan,nan,50
51,26792,nan,nan,nan,51
52,41343,nan,nan,nan,52
53,31994,nan,nan,nan,53
54,14766,nan,nan,nan,54
55,7086,nan,nan,nan,55
56,40360,nan,nan,nan,56
57,42948,nan,nan,nan,57
58,25990,nan,nan,nan,58
59,31977,nan,nan,nan,59
60,47529,nan,nan,nan,60
61,44484,nan,nan,nan,61
62,49157,nan,nan,nan,62
63,46005,nan,nan,nan,63
64,814,nan,nan,nan,64
65,44327,nan,nan,nan,65
66,18415,nan,nan,nan,66
67,27872,nan,nan,nan,67
68,50011,nan,nan,nan,68
69,42061,nan,nan,nan,69
70,19919,nan,nan,nan,70
71,45655,nan,nan,nan,71
72,50345,nan,nan,nan,72
73,14029,nan,nan,nan,73
74,37219,nan,nan,nan,74
75,9387,nan,nan,nan,75
76,28237,nan,nan,nan,76
77,49453,nan,nan,nan,77
78,45078,nan,nan,nan,78
79,30267,nan,nan,nan,79
80,42718,nan,nan,nan,80
81,35657,nan,nan,nan,81
82,17506,nan,nan,nan,82
83,9706,nan,nan,nan,83
84,42491,nan,nan,nan,84
85,45037,nan,nan,nan,85
86,23140,nan,nan,nan,86
87,40087,nan,nan,nan,87
88,28143,nan,nan,nan,88
89,8799,nan,nan,nan,89
90,3648,nan,nan,nan,90
91,27978,nan,nan,nan,91
92,46623,nan,nan,nan,92
93,15807,nan,nan,nan,93
94,8967,nan,nan,nan,94
95,13532,nan,nan,nan,95
96,21914,nan,nan,nan,96
97,10492,nan,nan,nan,97
98,29991,nan,nan,nan,98
99,2975,nan,nan,nan,99
100,41409,nan,nan,nan,100
101,29393,nan,nan,nan,101
102,15986,nan,nan,nan,102
103,21278,nan,nan,nan,103
104,26683,nan,nan,nan,104
105,43752,nan,nan,nan,105
106,3591,nan,nan,nan,106
107,41778,nan,nan,nan,107
108,20525,nan,nan,nan,108
109,7329,nan,nan,nan,109
110,12675,nan,nan,nan,110
111,25927,nan,nan,nan,111
112,858,nan,nan,nan,112
113,27262,nan,nan,nan,113
114,31019,nan,nan,nan,114
115,27663,nan,nan,nan,115
116,28982,nan,nan,nan,116
117,35198,nan,nan,nan,117
118,1138,nan,nan,nan,118
119,34193,nan,nan,nan,119
120,8504,nan,nan,nan,120
121,30364,nan,nan,nan,121
122,28593,nan,nan,nan,122
123,23354,nan,nan,nan,123
124,31467,nan,nan,nan,124
125,47822,nan,nan,nan,125
126,42290,nan,nan,nan,126
127,16354,nan,nan,nan,127
128,29544,nan,nan,nan,128
129,48787,nan,nan,nan,129
130,40167,nan,nan,nan,130
131,50344,nan,nan,nan,131
132,15014,nan,nan,nan,132
133,5344,nan,nan,nan,133
134,35812,nan,nan,nan,134
135,20238,nan,nan,nan,135
136,35109,nan,nan,nan,136
137,31141,nan,nan,nan,137
138,33507,nan,nan,nan,138
139,4280,nan,nan,nan,139
140,44441,nan,nan,nan,140
141,34547,nan,nan,nan,141
142,25494,nan,nan,nan,142
143,20959,nan,nan,nan,143
144,630,nan,nan,nan,144
145,47943,nan,nan,nan,145
146,34396,nan,nan,nan,146
147,10818,nan,nan,nan,147
148,36802,nan,nan,nan,148
149,46611,nan,nan,nan,149
150,42968,nan,nan,nan,150
151,14417,nan,nan,nan,151
152,14697,nan,nan,nan,152
153,35755,nan,nan,nan,153
154,47147,nan,nan,nan,154
155,5054,nan,nan,nan,155
156,7519,nan,nan,nan,156
157,15023,nan,nan,nan,157
158,30109,nan,nan,nan,158
159,4789,nan,nan,nan,159
160,13566,nan,nan,nan,160
161,43191,nan,nan,nan,161
162,18298,nan,nan,nan,162
163,12481,nan,nan,nan,163
164,34129,nan,nan,nan,164
