step,action,psnr_value,mse_value,ssim_value,rank
1,7735,nan,nan,nan,1
2,2022,nan,nan,nan,2
3,50025,nan,nan,nan,3
4,34442,nan,nan,nan,4
5,4463,nan,nan,nan,5
6,41114,nan,nan,nan,6
7,3108,nan,nan,nan,7
8,25424,nan,nan,nan,8
9,33060,nan,nan,nan,9
10,34462,nan,nan,nan,10
11,26819,nan,nan,nan,11
12,10549,nan,nan,nan,12
13,6947,nan,nan,nan,13
14,22230,nan,nan,nan,14
15,6235,nan,nan,nan,15
16,41633,nan,nan,nan,16
17,22558,nan,nan,nan,17
18,10064,nan,nan,nan,18
19,6403,nan,nan,nan,19
20,15475,nan,nan,nan,20
21,39759,nan,nan,nan,21
22,17157,nan,nan,nan,22
23,20280,nan,nan,nan,23
24,35678,nan,nan,nan,24
25,13161,nan,nan,nan,25
26,47176,nan,nan,nan,26
27,24184,nan,nan,nan,27
28,24388,nan,nan,nan,28
29,15876,nan,nan,nan,29
30,26027,nan,nan,nan,30
31,28490,nan,nan,nan,31
32,39135,nan,nan,nan,32
33,22280,nan,nan,nan,33
34,22164,nan,nan,nan,34
35,6285,nan,nan,nan,35
36,26168,nan,nan,nan,36
37,6324,nan,nan,nan,37
38,44649,nan,nan,nan,38
39,14568,nan,nan,nan,39
40,26192,nan,nan,nan,40
41,625,nan,nan,nan,41
42,6855,nan,nan,nan,42
43,43404,nan,nan,nan,43
44,14234,nan,nan,nan,44
45,42876,nan,nan,nan,45
46,39772,nan,nan,nan,46
47,10257,nan,nan,nan,47
48,19329,nan,nan,nan,48
49,27429,nan,nan,nan,49
50,42525,nan,nan,nan,50
51,29984,nan,nan,nan,51
52,3025,nan,nan,nan,52
53,49476,nan,nan,nan,53
54,7313,nan,nan,nan,54
55,7020,nan,nan,nan,55
56,25325,nan,nan,nan,56
57,29866,nan,nan,nan,57
58,23295,nan,nan,nan,58
59,21524,nan,nan,nan,59
60,26215,nan,nan,nan,60
61,5136,nan,nan,nan,61
62,49444,nan,nan,nan,62
63,38000,nan,nan,nan,63
64,27337,nan,nan,nan,64
65,49779,nan,nan,nan,65
66,7034,nan,nan,nan,66
67,34627,nan,nan,nan,67
68,4915,nan,nan,nan,68
69,30986,nan,nan,nan,69
70,34652,nan,nan,nan,70
71,19308,nan,nan,nan,71
72,10131,nan,nan,nan,72
73,8104,nan,nan,nan,73
74,30480,nan,nan,nan,74
75,33172,nan,nan,nan,75
76,29141,nan,nan,nan,76
77,10153,nan,nan,nan,77
78,43503,nan,nan,nan,78
79,42272,nan,nan,nan,79
80,31351,nan,nan,nan,80
81,18350,nan,nan,nan,81
82,16983,nan,nan,nan,82
83,242,nan,nan,nan,83
84,35149,nan,nan,nan,84
85,28577,nan,nan,nan,85
86,8649,nan,nan,nan,86
87,28938,nan,nan,nan,87
88,41163,nan,nan,nan,88
89,33470,nan,nan,nan,89
90,49269,nan,nan,nan,90
91,26826,nan,nan,nan,91
92,12521,nan,nan,nan,92
93,1992,nan,nan,nan,93
94,44047,nan,nan,nan,94
95,7382,nan,nan,nan,95
96,36085,nan,nan,nan,96
97,13334,nan,nan,nan,97
98,36976,nan,nan,nan,98
99,4372,nan,nan,nan,99
100,38612,nan,nan,nan,100
101,37994,nan,nan,nan,101
102,35713,nan,nan,nan,102
103,24094,nan,nan,nan,103
104,5116,nan,nan,nan,104
105,24576,nan,nan,nan,105
106,45489,nan,nan,nan,106
107,49850,nan,nan,nan,107
108,10498,nan,nan,nan,108
109,28881,nan,nan,nan,109
110,9618,nan,nan,nan,110
111,17121,nan,nan,nan,111
112,28665,nan,nan,nan,112
113,39164,nan,nan,nan,113
114,38578,nan,nan,nan,114
115,43410,nan,nan,nan,115
116,3272,nan,nan,nan,116
117,47628,nan,nan,nan,117
118,438,nan,nan,nan,118
119,23661,nan,nan,nan,119
120,25941,nan,nan,nan,120
121,12604,nan,nan,nan,121
122,11198,nan,nan,nan,122
123,10467,nan,nan,nan,123
124,9106,nan,nan,nan,124
125,40689,nan,nan,nan,125
126,37483,nan,nan,nan,126
127,1333,nan,nan,nan,127
128,19965,nan,nan,nan,128
129,47212,nan,nan,nan,129
130,30930,nan,nan,nan,130
131,23457,nan,nan,nan,131
132,5775,nan,nan,nan,132
133,21046,nan,nan,nan,133
134,22466,nan,nan,nan,134
135,28526,nan,nan,nan,135
136,34529,nan,nan,nan,136
137,35761,nan,nan,nan,137
138,31423,nan,nan,nan,138
139,29452,nan,nan,nan,139
140,5838,nan,nan,nan,140
141,18814,nan,nan,nan,141
142,38301,nan,nan,nan,142
143,9466,nan,nan,nan,143
144,11838,nan,nan,nan,144
145,912,nan,nan,nan,145
146,14844,nan,nan,nan,146
147,20353,nan,nan,nan,147
148,5532,nan,nan,nan,148
149,18002,nan,nan,nan,149
150,11003,nan,nan,nan,150
151,36661,nan,nan,nan,151
152,20798,nan,nan,nan,152
153,5635,nan,nan,nan,153
154,39574,nan,nan,nan,154
155,35394,nan,nan,nan,155
156,27021,nan,nan,nan,156
157,10705,nan,nan,nan,157
158,6734,nan,nan,nan,158
159,38438,nan,nan,nan,159
160,45952,nan,nan,nan,160
161,50184,nan,nan,nan,161
162,28370,nan,nan,nan,162
163,13609,nan,nan,nan,163
164,30929,nan,nan,nan,164
165,41728,nan,nan,nan,165
166,5973,nan,nan,nan,166
167,30551,nan,nan,nan,167
168,46216,nan,nan,nan,168
169,20371,nan,nan,nan,169
170,31943,nan,nan,nan,170
171,44809,nan,nan,nan,171
172,22328,nan,nan,nan,172
173,36021,nan,nan,nan,173
174,5371,nan,nan,nan,174
175,45241,nan,nan,nan,175
176,20841,nan,nan,nan,176
177,39329,nan,nan,nan,177
178,1214,nan,nan,nan,178
179,18908,nan,nan,nan,179
180,38747,nan,nan,nan,180
181,20861,nan,nan,nan,181
182,31251,nan,nan,nan,182
183,19236,nan,nan,nan,183
184,14874,nan,nan,nan,184
185,40773,nan,nan,nan,185
186,10853,nan,nan,nan,186
187,10041,nan,nan,nan,187
188,16767,nan,nan,nan,188
189,16621,nan,nan,nan,189
190,32891,nan,nan,nan,190
191,27769,nan,nan,nan,191
192,33924,nan,nan,nan,192
193,1561,nan,nan,nan,193
194,17389,nan,nan,nan,194
195,50445,nan,nan,nan,195
196,6243,nan,nan,nan,196
197,43787,nan,nan,nan,197
198,47067,nan,nan,nan,198
199,24125,nan,nan,nan,199
200,9893,nan,nan,nan,200
201,29443,nan,nan,nan,201
202,23017,nan,nan,nan,202
203,12877,nan,nan,nan,203
204,37887,nan,nan,nan,204
205,41486,nan,nan,nan,205
206,34007,nan,nan,nan,206
207,43874,nan,nan,nan,207
208,49518,nan,nan,nan,208
209,13796,nan,nan,nan,209
210,45243,nan,nan,nan,210
211,7712,nan,nan,nan,211
212,8442,nan,nan,nan,212
213,31396,nan,nan,nan,213
214,8542,nan,nan,nan,214
215,46957,nan,nan,nan,215
216,19240,nan,nan,nan,216
217,5231,nan,nan,nan,217
218,19612,nan,nan,nan,217
219,12971,nan,nan,nan,217
220,20125,nan,nan,nan,217
221,23563,nan,nan,nan,217
222,45532,nan,nan,nan,217
223,36703,nan,nan,nan,217
224,41541,nan,nan,nan,217
225,41738,nan,nan,nan,217
226,6730,nan,nan,nan,217
227,23497,nan,nan,nan,217
228,27886,nan,nan,nan,217
229,19511,nan,nan,nan,217
230,21352,nan,nan,nan,217
231,31521,nan,nan,nan,217
232,50170,nan,nan,nan,217
233,22402,nan,nan,nan,217
234,44348,nan,nan,nan,217
235,38268,nan,nan,nan,217
236,18166,nan,nan,nan,217
237,24247,nan,nan,nan,217
238,35361,nan,nan,nan,217
239,27042,nan,nan,nan,217
240,9584,nan,nan,nan,217
241,5291,nan,nan,nan,217
242,26611,nan,nan,nan,217
243,2516,nan,nan,nan,217
244,27501,nan,nan,nan,218
245,15233,nan,nan,nan,218
246,27950,nan,nan,nan,218
247,10199,nan,nan,nan,218
248,5754,nan,nan,nan,218
249,27633,nan,nan,nan,218
250,42837,nan,nan,nan,218
251,18833,nan,nan,nan,218
252,33629,nan,nan,nan,218
253,19122,nan,nan,nan,218
254,31682,nan,nan,nan,218
255,30472,nan,nan,nan,218
256,8394,nan,nan,nan,218
257,24737,nan,nan,nan,218
258,34078,nan,nan,nan,218
259,35759,nan,nan,nan,218
260,35471,nan,nan,nan,218
261,47415,nan,nan,nan,218
262,46542,nan,nan,nan,218
263,13653,nan,nan,nan,218
264,41422,nan,nan,nan,218
265,26856,nan,nan,nan,218
266,27397,nan,nan,nan,218
267,49382,nan,nan,nan,218
268,14651,nan,nan,nan,218
269,21412,nan,nan,nan,218
270,1454,nan,nan,nan,218
271,46516,nan,nan,nan,218
272,5351,nan,nan,nan,218
273,44749,nan,nan,nan,218
274,1667,nan,nan,nan,218
275,46387,nan,nan,nan,219
276,48151,nan,nan,nan,219
277,45206,nan,nan,nan,220
278,19265,nan,nan,nan,220
