step,action,psnr_value,mse_value,ssim_value,rank
1,25981,nan,nan,nan,1
2,28109,nan,nan,nan,2
3,14838,nan,nan,nan,3
4,2059,nan,nan,nan,4
5,13878,nan,nan,nan,5
6,39618,nan,nan,nan,6
7,31356,nan,nan,nan,7
8,7055,nan,nan,nan,8
9,40833,nan,nan,nan,9
10,49357,nan,nan,nan,10
11,861,nan,nan,nan,11
12,15509,nan,nan,nan,12
13,42558,nan,nan,nan,13
14,50608,nan,nan,nan,14
15,40415,nan,nan,nan,15
16,41123,nan,nan,nan,16
17,37952,nan,nan,nan,17
18,40110,nan,nan,nan,18
19,13691,nan,nan,nan,19
20,15417,nan,nan,nan,20
21,37891,nan,nan,nan,21
22,17218,nan,nan,nan,22
23,8134,nan,nan,nan,23
24,27251,nan,nan,nan,24
25,30345,nan,nan,nan,25
26,25329,nan,nan,nan,26
27,30027,nan,nan,nan,27
28,8100,nan,nan,nan,28
29,42998,nan,nan,nan,29
30,25186,nan,nan,nan,30
31,50491,nan,nan,nan,31
32,42519,nan,nan,nan,32
33,41805,nan,nan,nan,33
34,23834,nan,nan,nan,34
35,20956,nan,nan,nan,35
36,32477,nan,nan,nan,36
37,31832,nan,nan,nan,37
38,29209,nan,nan,nan,38
39,38895,nan,nan,nan,39
40,19393,nan,nan,nan,40
41,17306,nan,nan,nan,41
42,6655,nan,nan,nan,42
43,10871,nan,nan,nan,43
44,35756,nan,nan,nan,44
45,11286,nan,nan,nan,45
46,30775,nan,nan,nan,46
47,3450,nan,nan,nan,47
48,11568,nan,nan,nan,48
49,18353,nan,nan,nan,49
50,20647,nan,nan,nan,50
51,6912,nan,nan,nan,51
52,48648,nan,nan,nan,52
53,12836,nan,nan,nan,53
54,12114,nan,nan,nan,54
55,9580,nan,nan,nan,55
56,34951,nan,nan,nan,56
57,42721,nan,nan,nan,57
58,11366,nan,nan,nan,58
59,40968,nan,nan,nan,59
60,6580,nan,nan,nan,60
61,26297,nan,nan,nan,61
62,13960,nan,nan,nan,62
63,33395,nan,nan,nan,63
64,12120,nan,nan,nan,64
65,7670,nan,nan,nan,65
66,33335,nan,nan,nan,66
67,18765,nan,nan,nan,67
68,38685,nan,nan,nan,68
69,18589,nan,nan,nan,69
70,31940,nan,nan,nan,70
71,27401,nan,nan,nan,71
72,38040,nan,nan,nan,72
73,597,nan,nan,nan,73
74,35761,nan,nan,nan,74
75,36111,nan,nan,nan,75
76,14135,nan,nan,nan,76
77,48488,nan,nan,nan,77
78,48654,nan,nan,nan,78
79,15125,nan,nan,nan,79
80,9759,nan,nan,nan,80
81,7283,nan,nan,nan,81
82,13479,nan,nan,nan,82
83,9460,nan,nan,nan,83
84,23665,nan,nan,nan,84
85,21192,nan,nan,nan,85
86,45987,nan,nan,nan,86
87,18777,nan,nan,nan,87
88,17675,nan,nan,nan,88
89,40520,nan,nan,nan,89
90,1723,nan,nan,nan,90
91,47473,nan,nan,nan,91
92,15402,nan,nan,nan,92
93,16272,nan,nan,nan,93
94,11277,nan,nan,nan,94
95,1647,nan,nan,nan,95
96,47589,nan,nan,nan,96
97,33068,nan,nan,nan,97
98,22778,nan,nan,nan,98
99,40783,nan,nan,nan,99
100,4837,nan,nan,nan,100
101,13330,nan,nan,nan,101
102,3027,nan,nan,nan,102
103,33861,nan,nan,nan,103
104,44112,nan,nan,nan,104
