step,action,psnr_value,mse_value,ssim_value,rank
1,11266,nan,nan,nan,1
2,23417,nan,nan,nan,2
3,33643,nan,nan,nan,3
4,29267,nan,nan,nan,4
5,18089,nan,nan,nan,5
6,18218,nan,nan,nan,6
7,33163,nan,nan,nan,7
8,4452,nan,nan,nan,8
9,720,nan,nan,nan,9
10,48848,nan,nan,nan,10
11,26655,nan,nan,nan,11
12,27173,nan,nan,nan,12
13,3103,nan,nan,nan,13
14,8008,nan,nan,nan,14
15,48379,nan,nan,nan,15
16,9475,nan,nan,nan,16
17,33886,nan,nan,nan,17
18,22174,nan,nan,nan,18
19,1324,nan,nan,nan,19
20,20762,nan,nan,nan,20
21,29990,nan,nan,nan,21
22,48168,nan,nan,nan,22
23,45783,nan,nan,nan,23
24,4250,nan,nan,nan,24
25,16101,nan,nan,nan,25
26,42931,nan,nan,nan,26
27,17229,nan,nan,nan,27
28,41488,nan,nan,nan,28
29,43420,nan,nan,nan,29
30,98,nan,nan,nan,30
31,47771,nan,nan,nan,31
32,20430,nan,nan,nan,32
33,44248,nan,nan,nan,33
34,6346,nan,nan,nan,34
35,44775,nan,nan,nan,35
36,31838,nan,nan,nan,36
37,6201,nan,nan,nan,37
38,49726,nan,nan,nan,38
39,11320,nan,nan,nan,39
40,23337,nan,nan,nan,40
41,20598,nan,nan,nan,41
42,6311,nan,nan,nan,42
43,39221,nan,nan,nan,43
44,39637,nan,nan,nan,44
45,9618,nan,nan,nan,45
46,12984,nan,nan,nan,46
47,21233,nan,nan,nan,47
48,11491,nan,nan,nan,48
49,32781,nan,nan,nan,49
50,29934,nan,nan,nan,50
51,44769,nan,nan,nan,51
52,30447,nan,nan,nan,52
53,46020,nan,nan,nan,53
54,47343,nan,nan,nan,54
55,14837,nan,nan,nan,55
56,23827,nan,nan,nan,56
57,28696,nan,nan,nan,57
58,286,nan,nan,nan,58
59,30422,nan,nan,nan,59
60,38791,nan,nan,nan,60
61,20344,nan,nan,nan,61
62,24629,nan,nan,nan,62
63,31004,nan,nan,nan,63
64,2572,nan,nan,nan,64
65,19877,nan,nan,nan,65
66,50376,nan,nan,nan,66
67,27598,nan,nan,nan,67
68,45778,nan,nan,nan,68
69,35723,nan,nan,nan,69
70,15693,nan,nan,nan,70
71,19578,nan,nan,nan,71
72,27280,nan,nan,nan,72
73,6856,nan,nan,nan,73
74,10612,nan,nan,nan,74
75,26556,nan,nan,nan,75
76,37164,nan,nan,nan,76
77,14979,nan,nan,nan,77
78,12342,nan,nan,nan,78
79,47711,nan,nan,nan,79
80,18820,nan,nan,nan,80
81,20753,nan,nan,nan,81
82,8601,nan,nan,nan,82
83,21865,nan,nan,nan,83
84,48431,nan,nan,nan,84
85,20057,nan,nan,nan,85
86,4408,nan,nan,nan,86
87,44060,nan,nan,nan,87
88,21150,nan,nan,nan,88
89,50524,nan,nan,nan,89
90,45391,nan,nan,nan,90
91,44741,nan,nan,nan,91
92,10078,nan,nan,nan,92
93,916,nan,nan,nan,93
94,4168,nan,nan,nan,94
95,2764,nan,nan,nan,95
96,22766,nan,nan,nan,96
97,40823,nan,nan,nan,97
98,4553,nan,nan,nan,98
99,7072,nan,nan,nan,99
100,18595,nan,nan,nan,100
101,11750,nan,nan,nan,101
102,49891,nan,nan,nan,102
103,23244,nan,nan,nan,103
104,39651,nan,nan,nan,104
105,6328,nan,nan,nan,105
106,19023,nan,nan,nan,106
107,44494,nan,nan,nan,107
108,45884,nan,nan,nan,108
109,8831,nan,nan,nan,109
110,33876,nan,nan,nan,110
111,20887,nan,nan,nan,111
112,17061,nan,nan,nan,112
113,19126,nan,nan,nan,113
114,34103,nan,nan,nan,114
115,28037,nan,nan,nan,115
116,23601,nan,nan,nan,116
117,23334,nan,nan,nan,117
118,3306,nan,nan,nan,118
119,2048,nan,nan,nan,119
120,5286,nan,nan,nan,120
121,11431,nan,nan,nan,121
122,18035,nan,nan,nan,122
123,46618,nan,nan,nan,123
124,27837,nan,nan,nan,124
125,1755,nan,nan,nan,125
126,7874,nan,nan,nan,126
127,37052,nan,nan,nan,127
128,2578,nan,nan,nan,128
129,48652,nan,nan,nan,129
130,31936,nan,nan,nan,130
131,33238,nan,nan,nan,131
132,3638,nan,nan,nan,132
133,13908,nan,nan,nan,133
134,37897,nan,nan,nan,134
135,15029,nan,nan,nan,135
136,2966,nan,nan,nan,136
137,8632,nan,nan,nan,137
138,16897,nan,nan,nan,138
139,31668,nan,nan,nan,139
140,35508,nan,nan,nan,140
141,14769,nan,nan,nan,141
142,24354,nan,nan,nan,142
143,39812,nan,nan,nan,143
144,42895,nan,nan,nan,144
145,44342,nan,nan,nan,145
146,36029,nan,nan,nan,146
147,16650,nan,nan,nan,147
148,25102,nan,nan,nan,148
149,34422,nan,nan,nan,149
150,13166,nan,nan,nan,150
151,40864,nan,nan,nan,151
152,10607,nan,nan,nan,152
153,10040,nan,nan,nan,153
154,30539,nan,nan,nan,154
155,21232,nan,nan,nan,155
156,41496,nan,nan,nan,156
157,2830,nan,nan,nan,157
158,30452,nan,nan,nan,158
159,18381,nan,nan,nan,159
160,19312,nan,nan,nan,160
161,41336,nan,nan,nan,161
162,47699,nan,nan,nan,162
163,45567,nan,nan,nan,163
164,34335,nan,nan,nan,164
165,17954,nan,nan,nan,165
166,26467,nan,nan,nan,166
167,33352,nan,nan,nan,167
168,27027,nan,nan,nan,168
169,43420,nan,nan,nan,169
170,3505,nan,nan,nan,169
171,10105,nan,nan,nan,170
172,41441,nan,nan,nan,171
173,40512,nan,nan,nan,172
174,46169,nan,nan,nan,173
175,47018,nan,nan,nan,173
176,19148,nan,nan,nan,174
177,43349,nan,nan,nan,175
178,26391,nan,nan,nan,176
179,20318,nan,nan,nan,177
180,32028,nan,nan,nan,178
181,37316,nan,nan,nan,179
182,7364,nan,nan,nan,180
183,49900,nan,nan,nan,181
184,21738,nan,nan,nan,182
185,47091,nan,nan,nan,183
186,16153,nan,nan,nan,184
187,47685,nan,nan,nan,185
188,19960,nan,nan,nan,186
189,1274,nan,nan,nan,187
190,16329,nan,nan,nan,188
191,42540,nan,nan,nan,189
192,40789,nan,nan,nan,190
193,15249,nan,nan,nan,191
194,1257,nan,nan,nan,192
195,49445,nan,nan,nan,193
196,28495,nan,nan,nan,194
197,8113,nan,nan,nan,195
198,45017,nan,nan,nan,196
199,28490,nan,nan,nan,197
200,26816,nan,nan,nan,198
201,12002,nan,nan,nan,199
202,19130,nan,nan,nan,200
203,18493,nan,nan,nan,201
204,29221,nan,nan,nan,202
205,39683,nan,nan,nan,203
206,5313,nan,nan,nan,204
207,1082,nan,nan,nan,205
208,47698,nan,nan,nan,206
209,34783,nan,nan,nan,207
