step,action,psnr_value,mse_value,ssim_value,rank
1,44208,nan,nan,nan,1
2,5580,nan,nan,nan,2
3,35627,nan,nan,nan,3
4,45557,nan,nan,nan,4
5,18951,nan,nan,nan,5
6,41277,nan,nan,nan,6
7,47301,nan,nan,nan,7
8,30575,nan,nan,nan,8
9,26565,nan,nan,nan,9
10,47391,nan,nan,nan,10
11,30562,nan,nan,nan,11
12,28232,nan,nan,nan,12
13,10701,nan,nan,nan,13
14,17277,nan,nan,nan,14
15,26367,nan,nan,nan,15
16,14111,nan,nan,nan,16
17,47414,nan,nan,nan,17
18,8756,nan,nan,nan,18
19,35807,nan,nan,nan,19
20,25016,nan,nan,nan,20
21,37460,nan,nan,nan,21
22,50131,nan,nan,nan,22
23,34558,nan,nan,nan,23
24,17359,nan,nan,nan,24
25,5631,nan,nan,nan,25
26,1140,nan,nan,nan,26
27,15617,nan,nan,nan,27
28,10407,nan,nan,nan,28
29,29324,nan,nan,nan,29
30,3144,nan,nan,nan,30
31,12345,nan,nan,nan,31
32,45794,nan,nan,nan,32
33,1077,nan,nan,nan,33
34,24224,nan,nan,nan,34
35,11098,nan,nan,nan,35
36,15340,nan,nan,nan,36
37,41285,nan,nan,nan,37
38,23128,nan,nan,nan,38
39,32944,nan,nan,nan,39
40,4179,nan,nan,nan,40
41,18196,nan,nan,nan,41
42,27406,nan,nan,nan,42
43,22922,nan,nan,nan,43
44,25147,nan,nan,nan,44
45,47384,nan,nan,nan,45
46,45244,nan,nan,nan,46
47,15759,nan,nan,nan,47
48,40017,nan,nan,nan,48
49,3852,nan,nan,nan,49
50,39020,nan,nan,nan,50
51,27028,nan,nan,nan,51
52,38118,nan,nan,nan,52
53,15185,nan,nan,nan,53
54,45670,nan,nan,nan,54
55,23843,nan,nan,nan,55
56,20201,nan,nan,nan,56
57,45308,nan,nan,nan,57
58,2211,nan,nan,nan,58
59,30630,nan,nan,nan,59
60,9787,nan,nan,nan,60
61,42967,nan,nan,nan,61
62,20399,nan,nan,nan,62
63,24847,nan,nan,nan,63
64,28277,nan,nan,nan,64
65,29308,nan,nan,nan,65
66,15664,nan,nan,nan,66
67,31409,nan,nan,nan,67
68,20295,nan,nan,nan,68
69,31085,nan,nan,nan,69
70,23911,nan,nan,nan,70
71,15185,nan,nan,nan,71
72,17136,nan,nan,nan,71
73,27927,nan,nan,nan,72
74,40707,nan,nan,nan,73
75,22725,nan,nan,nan,74
76,34316,nan,nan,nan,75
77,15303,nan,nan,nan,76
78,11847,nan,nan,nan,77
79,25740,nan,nan,nan,78
80,29775,nan,nan,nan,79
81,3354,nan,nan,nan,80
82,28032,nan,nan,nan,81
83,14467,nan,nan,nan,82
84,6967,nan,nan,nan,83
85,3466,nan,nan,nan,84
86,32507,nan,nan,nan,85
87,27485,nan,nan,nan,86
88,18108,nan,nan,nan,87
89,32649,nan,nan,nan,88
90,10894,nan,nan,nan,89
91,31440,nan,nan,nan,90
92,41576,nan,nan,nan,91
93,7020,nan,nan,nan,92
94,17282,nan,nan,nan,93
95,548,nan,nan,nan,94
96,590,nan,nan,nan,95
97,2962,nan,nan,nan,96
98,47081,nan,nan,nan,97
99,17075,nan,nan,nan,98
100,42481,nan,nan,nan,99
101,22153,nan,nan,nan,100
102,48232,nan,nan,nan,101
103,25114,nan,nan,nan,102
104,16586,nan,nan,nan,103
105,20528,nan,nan,nan,104
106,36713,nan,nan,nan,105
107,14324,nan,nan,nan,106
108,2643,nan,nan,nan,107
109,15169,nan,nan,nan,108
110,25579,nan,nan,nan,109
111,30059,nan,nan,nan,110
112,41930,nan,nan,nan,111
113,19471,nan,nan,nan,112
114,15351,nan,nan,nan,113
115,45304,nan,nan,nan,114
116,30002,nan,nan,nan,115
117,23323,nan,nan,nan,116
118,22407,nan,nan,nan,117
119,7146,nan,nan,nan,118
120,28675,nan,nan,nan,119
121,393,nan,nan,nan,120
122,43113,nan,nan,nan,121
123,4561,nan,nan,nan,122
124,25720,nan,nan,nan,123
125,28121,nan,nan,nan,124
126,26174,nan,nan,nan,125
127,14306,nan,nan,nan,126
128,342,nan,nan,nan,127
129,14556,nan,nan,nan,128
130,5201,nan,nan,nan,129
131,30631,nan,nan,nan,130
132,14959,nan,nan,nan,131
133,1370,nan,nan,nan,132
134,21872,nan,nan,nan,133
135,9007,nan,nan,nan,134
136,1319,nan,nan,nan,135
137,49275,nan,nan,nan,136
138,18538,nan,nan,nan,137
139,3582,nan,nan,nan,138
140,32295,nan,nan,nan,139
141,21483,nan,nan,nan,140
142,46205,nan,nan,nan,141
143,1265,nan,nan,nan,142
144,37431,nan,nan,nan,143
145,42217,nan,nan,nan,144
146,13031,nan,nan,nan,145
147,35748,nan,nan,nan,146
