step,action,psnr_value,mse_value,ssim_value,rank
1,37168,nan,nan,nan,1
2,23908,nan,nan,nan,2
3,19458,nan,nan,nan,3
4,44787,nan,nan,nan,4
5,19582,nan,nan,nan,5
6,45043,nan,nan,nan,6
7,15270,nan,nan,nan,7
8,47558,nan,nan,nan,8
9,18845,nan,nan,nan,9
10,28621,nan,nan,nan,10
11,44894,nan,nan,nan,11
12,29133,nan,nan,nan,12
13,39428,nan,nan,nan,13
14,42733,nan,nan,nan,14
15,8341,nan,nan,nan,15
16,44496,nan,nan,nan,16
17,20463,nan,nan,nan,17
18,34281,nan,nan,nan,18
19,20001,nan,nan,nan,19
20,27530,nan,nan,nan,20
21,26010,nan,nan,nan,21
22,8085,nan,nan,nan,22
23,5694,nan,nan,nan,23
24,4070,nan,nan,nan,24
25,45724,nan,nan,nan,25
26,1942,nan,nan,nan,26
27,7560,nan,nan,nan,27
28,27399,nan,nan,nan,28
29,7004,nan,nan,nan,29
30,48485,nan,nan,nan,30
31,11283,nan,nan,nan,31
32,19940,nan,nan,nan,32
33,44060,nan,nan,nan,33
34,47276,nan,nan,nan,34
35,5783,nan,nan,nan,35
36,16098,nan,nan,nan,36
37,39702,nan,nan,nan,37
38,15140,nan,nan,nan,38
39,44976,nan,nan,nan,39
40,7029,nan,nan,nan,40
41,49020,nan,nan,nan,41
42,17215,nan,nan,nan,42
43,9474,nan,nan,nan,43
44,36132,nan,nan,nan,44
45,19396,nan,nan,nan,45
46,30473,nan,nan,nan,46
47,23947,nan,nan,nan,47
48,5954,nan,nan,nan,48
49,39300,nan,nan,nan,49
50,40911,nan,nan,nan,50
51,3028,nan,nan,nan,51
52,40635,nan,nan,nan,52
53,22835,nan,nan,nan,53
54,8262,nan,nan,nan,54
55,16728,nan,nan,nan,55
56,17576,nan,nan,nan,56
57,41272,nan,nan,nan,57
58,9981,nan,nan,nan,58
59,30140,nan,nan,nan,59
60,35932,nan,nan,nan,60
61,19267,nan,nan,nan,61
62,43454,nan,nan,nan,62
63,5437,nan,nan,nan,63
64,16417,nan,nan,nan,64
