step,action,psnr_value,mse_value,ssim_value,rank
1,34583,nan,nan,nan,1
2,19402,nan,nan,nan,2
3,39102,nan,nan,nan,3
4,10844,nan,nan,nan,4
5,5453,nan,nan,nan,5
6,37519,nan,nan,nan,6
7,6708,nan,nan,nan,7
8,40411,nan,nan,nan,8
9,19002,nan,nan,nan,9
10,46913,nan,nan,nan,10
11,10431,nan,nan,nan,11
12,13122,nan,nan,nan,12
13,26492,nan,nan,nan,13
14,6221,nan,nan,nan,14
15,14235,nan,nan,nan,15
16,4639,nan,nan,nan,16
17,36579,nan,nan,nan,17
18,12949,nan,nan,nan,18
19,3500,nan,nan,nan,19
20,46789,nan,nan,nan,20
21,18009,nan,nan,nan,21
22,3008,nan,nan,nan,22
23,48996,nan,nan,nan,23
24,44526,nan,nan,nan,24
25,24247,nan,nan,nan,25
26,29704,nan,nan,nan,26
27,18554,nan,nan,nan,27
28,3754,nan,nan,nan,28
29,41138,nan,nan,nan,29
30,42129,nan,nan,nan,30
31,35446,nan,nan,nan,31
32,5932,nan,nan,nan,32
33,23637,nan,nan,nan,33
34,43149,nan,nan,nan,34
35,6739,nan,nan,nan,35
36,21834,nan,nan,nan,36
37,19289,nan,nan,nan,37
38,13700,nan,nan,nan,38
39,32107,nan,nan,nan,39
40,23799,nan,nan,nan,40
41,2617,nan,nan,nan,41
42,34412,nan,nan,nan,42
43,42939,nan,nan,nan,43
44,36613,nan,nan,nan,44
45,28897,nan,nan,nan,45
46,47104,nan,nan,nan,46
47,38240,nan,nan,nan,47
48,28025,nan,nan,nan,48
49,26772,nan,nan,nan,49
50,18190,nan,nan,nan,50
51,8808,nan,nan,nan,51
52,40412,nan,nan,nan,52
53,44501,nan,nan,nan,53
54,22199,nan,nan,nan,54
55,31249,nan,nan,nan,55
56,18313,nan,nan,nan,56
57,5754,nan,nan,nan,57
58,30795,nan,nan,nan,58
59,41989,nan,nan,nan,59
60,36332,nan,nan,nan,60
61,23749,nan,nan,nan,61
62,26855,nan,nan,nan,62
63,2235,nan,nan,nan,63
64,41305,nan,nan,nan,64
65,49142,nan,nan,nan,65
66,37566,nan,nan,nan,66
67,42606,nan,nan,nan,67
68,43354,nan,nan,nan,68
69,24740,nan,nan,nan,69
70,40294,nan,nan,nan,70
71,13395,nan,nan,nan,71
72,34253,nan,nan,nan,72
73,38004,nan,nan,nan,73
74,16315,nan,nan,nan,74
75,36056,nan,nan,nan,75
76,12775,nan,nan,nan,76
77,11979,nan,nan,nan,77
78,35647,nan,nan,nan,78
79,6951,nan,nan,nan,79
80,15207,nan,nan,nan,80
81,7706,nan,nan,nan,81
82,41019,nan,nan,nan,82
83,23821,nan,nan,nan,83
84,43468,nan,nan,nan,84
85,48288,nan,nan,nan,85
86,10633,nan,nan,nan,86
87,50451,nan,nan,nan,87
88,4800,nan,nan,nan,88
89,10594,nan,nan,nan,89
90,34095,nan,nan,nan,90
91,42575,nan,nan,nan,91
92,43636,nan,nan,nan,92
93,429,nan,nan,nan,93
94,36084,nan,nan,nan,94
95,38609,nan,nan,nan,95
96,21253,nan,nan,nan,96
97,9016,nan,nan,nan,97
98,42388,nan,nan,nan,98
99,45440,nan,nan,nan,99
100,32397,nan,nan,nan,100
101,1934,nan,nan,nan,101
102,3642,nan,nan,nan,102
103,25936,nan,nan,nan,103
104,39568,nan,nan,nan,104
105,21688,nan,nan,nan,105
106,35867,nan,nan,nan,106
107,32147,nan,nan,nan,107
108,27973,nan,nan,nan,108
109,19529,nan,nan,nan,109
110,28034,nan,nan,nan,110
111,39610,nan,nan,nan,111
112,33551,nan,nan,nan,112
113,33717,nan,nan,nan,113
114,43916,nan,nan,nan,114
115,17530,nan,nan,nan,115
116,2025,nan,nan,nan,116
117,20121,nan,nan,nan,117
118,14397,nan,nan,nan,118
119,5840,nan,nan,nan,119
120,2120,nan,nan,nan,120
121,40254,nan,nan,nan,121
122,40659,nan,nan,nan,122
123,10822,nan,nan,nan,123
124,25267,nan,nan,nan,124
125,21332,nan,nan,nan,125
126,33881,nan,nan,nan,126
127,20317,nan,nan,nan,127
128,22070,nan,nan,nan,128
129,35961,nan,nan,nan,129
130,45774,nan,nan,nan,130
131,11059,nan,nan,nan,131
132,30147,nan,nan,nan,132
133,37409,nan,nan,nan,133
134,14065,nan,nan,nan,134
135,26914,nan,nan,nan,135
136,46256,nan,nan,nan,136
137,24863,nan,nan,nan,137
138,36838,nan,nan,nan,138
139,33093,nan,nan,nan,139
140,33685,nan,nan,nan,140
141,35330,nan,nan,nan,141
142,40951,nan,nan,nan,142
143,48696,nan,nan,nan,143
144,42908,nan,nan,nan,144
145,7952,nan,nan,nan,145
146,14695,nan,nan,nan,146
147,36097,nan,nan,nan,147
148,29973,nan,nan,nan,148
149,10546,nan,nan,nan,149
150,13986,nan,nan,nan,150
151,28865,nan,nan,nan,151
152,7557,nan,nan,nan,152
153,10427,nan,nan,nan,153
154,14843,nan,nan,nan,154
155,30895,nan,nan,nan,155
156,30685,nan,nan,nan,156
157,34973,nan,nan,nan,157
158,25799,nan,nan,nan,158
159,15073,nan,nan,nan,159
160,21103,nan,nan,nan,160
161,7598,nan,nan,nan,161
162,16790,nan,nan,nan,162
163,49590,nan,nan,nan,163
164,49937,nan,nan,nan,164
165,39456,nan,nan,nan,165
166,12227,nan,nan,nan,166
167,44641,nan,nan,nan,167
168,6079,nan,nan,nan,168
169,10410,nan,nan,nan,169
170,7848,nan,nan,nan,170
171,22201,nan,nan,nan,171
172,14278,nan,nan,nan,172
173,7657,nan,nan,nan,173
174,15082,nan,nan,nan,174
