step,action,psnr_value,mse_value,ssim_value,rank
1,19969,nan,nan,nan,1
2,6977,nan,nan,nan,2
3,29772,nan,nan,nan,3
4,22948,nan,nan,nan,4
5,27956,nan,nan,nan,5
6,3754,nan,nan,nan,6
7,44772,nan,nan,nan,7
8,35609,nan,nan,nan,8
9,40124,nan,nan,nan,9
10,19522,nan,nan,nan,10
11,33066,nan,nan,nan,11
12,25740,nan,nan,nan,12
13,33051,nan,nan,nan,13
14,16535,nan,nan,nan,14
15,1468,nan,nan,nan,15
16,2355,nan,nan,nan,16
17,39884,nan,nan,nan,17
18,3632,nan,nan,nan,18
19,33308,nan,nan,nan,19
20,7357,nan,nan,nan,20
21,9729,nan,nan,nan,21
22,48299,nan,nan,nan,22
23,23860,nan,nan,nan,23
24,35735,nan,nan,nan,24
25,8628,nan,nan,nan,25
26,27700,nan,nan,nan,26
27,30020,nan,nan,nan,27
28,5496,nan,nan,nan,28
29,7176,nan,nan,nan,29
30,17457,nan,nan,nan,30
31,23228,nan,nan,nan,31
32,32693,nan,nan,nan,32
33,43371,nan,nan,nan,33
34,17065,nan,nan,nan,34
35,16486,nan,nan,nan,35
36,21416,nan,nan,nan,36
37,22205,nan,nan,nan,37
38,10075,nan,nan,nan,38
39,4371,nan,nan,nan,39
40,21711,nan,nan,nan,40
41,12431,nan,nan,nan,41
42,47737,nan,nan,nan,42
43,43994,nan,nan,nan,43
44,4734,nan,nan,nan,44
45,8068,nan,nan,nan,45
46,4292,nan,nan,nan,46
47,33741,nan,nan,nan,47
48,18994,nan,nan,nan,48
49,36621,nan,nan,nan,49
50,2792,nan,nan,nan,50
51,18013,nan,nan,nan,51
52,10096,nan,nan,nan,52
53,18342,nan,nan,nan,53
54,22399,nan,nan,nan,54
55,43831,nan,nan,nan,55
56,26526,nan,nan,nan,56
57,43991,nan,nan,nan,57
58,40643,nan,nan,nan,58
59,26263,nan,nan,nan,59
60,19889,nan,nan,nan,60
61,30392,nan,nan,nan,61
62,31023,nan,nan,nan,62
63,37677,nan,nan,nan,63
64,7663,nan,nan,nan,64
65,10385,nan,nan,nan,65
66,23312,nan,nan,nan,66
67,48977,nan,nan,nan,67
68,34815,nan,nan,nan,68
69,49464,nan,nan,nan,69
70,48309,nan,nan,nan,70
