step,action,psnr_value,mse_value,ssim_value,rank
1,26514,nan,nan,nan,1
2,2102,nan,nan,nan,2
3,39490,nan,nan,nan,3
4,43393,nan,nan,nan,4
5,32570,nan,nan,nan,5
6,17830,nan,nan,nan,6
7,36271,nan,nan,nan,7
8,31572,nan,nan,nan,8
9,16582,nan,nan,nan,9
10,26512,nan,nan,nan,10
11,50589,nan,nan,nan,11
12,26692,nan,nan,nan,12
13,21225,nan,nan,nan,13
14,24472,nan,nan,nan,14
15,43381,nan,nan,nan,15
16,17172,nan,nan,nan,16
17,37704,nan,nan,nan,17
18,49265,nan,nan,nan,18
19,23625,nan,nan,nan,19
20,21593,nan,nan,nan,20
21,47166,nan,nan,nan,21
22,21599,nan,nan,nan,22
23,1142,nan,nan,nan,23
24,40793,nan,nan,nan,24
25,18681,nan,nan,nan,25
26,2801,nan,nan,nan,26
27,3323,nan,nan,nan,27
28,44665,nan,nan,nan,28
29,472,nan,nan,nan,29
30,22547,nan,nan,nan,30
31,18535,nan,nan,nan,31
32,33158,nan,nan,nan,32
33,10401,nan,nan,nan,33
34,20041,nan,nan,nan,34
35,44005,nan,nan,nan,35
36,13206,nan,nan,nan,36
37,32242,nan,nan,nan,37
38,14782,nan,nan,nan,38
39,10309,nan,nan,nan,39
40,18926,nan,nan,nan,40
41,2281,nan,nan,nan,41
42,14219,nan,nan,nan,42
43,32880,nan,nan,nan,43
44,42309,nan,nan,nan,44
45,22873,nan,nan,nan,45
46,45880,nan,nan,nan,46
47,23980,nan,nan,nan,47
48,6522,nan,nan,nan,48
49,5213,nan,nan,nan,49
50,8790,nan,nan,nan,50
51,11987,nan,nan,nan,51
52,7639,nan,nan,nan,52
53,46377,nan,nan,nan,53
54,45702,nan,nan,nan,54
55,3053,nan,nan,nan,55
56,20872,nan,nan,nan,56
57,499,nan,nan,nan,57
58,26959,nan,nan,nan,58
59,972,nan,nan,nan,59
60,16468,nan,nan,nan,60
61,14850,nan,nan,nan,61
62,12550,nan,nan,nan,62
63,44637,nan,nan,nan,63
64,30535,nan,nan,nan,64
65,43604,nan,nan,nan,65
66,31583,nan,nan,nan,66
67,26614,nan,nan,nan,67
68,37067,nan,nan,nan,68
69,5360,nan,nan,nan,69
70,27199,nan,nan,nan,70
71,19251,nan,nan,nan,71
72,49794,nan,nan,nan,72
73,40577,nan,nan,nan,73
74,42801,nan,nan,nan,74
75,4911,nan,nan,nan,75
76,21034,nan,nan,nan,76
77,13808,nan,nan,nan,77
78,7418,nan,nan,nan,78
79,37916,nan,nan,nan,79
80,15538,nan,nan,nan,80
81,49320,nan,nan,nan,81
82,11036,nan,nan,nan,82
83,32704,nan,nan,nan,83
84,45574,nan,nan,nan,84
85,45221,nan,nan,nan,85
86,20594,nan,nan,nan,86
87,14587,nan,nan,nan,87
88,28020,nan,nan,nan,88
89,36378,nan,nan,nan,89
90,36085,nan,nan,nan,90
91,41727,nan,nan,nan,91
92,47163,nan,nan,nan,92
93,28175,nan,nan,nan,93
94,9207,nan,nan,nan,94
95,31396,nan,nan,nan,95
96,46914,nan,nan,nan,96
