step,action,psnr_value,mse_value,ssim_value,rank
1,22995,nan,nan,nan,1
2,5092,nan,nan,nan,2
3,43668,nan,nan,nan,3
4,5231,nan,nan,nan,4
5,29409,nan,nan,nan,5
6,46179,nan,nan,nan,6
7,15698,nan,nan,nan,7
8,25061,nan,nan,nan,8
9,34731,nan,nan,nan,9
10,707,nan,nan,nan,10
11,47446,nan,nan,nan,11
12,6487,nan,nan,nan,12
13,8566,nan,nan,nan,13
14,35536,nan,nan,nan,14
15,15414,nan,nan,nan,15
16,43481,nan,nan,nan,16
17,14443,nan,nan,nan,17
18,46794,nan,nan,nan,18
19,9175,nan,nan,nan,19
20,37728,nan,nan,nan,20
21,27279,nan,nan,nan,21
22,28364,nan,nan,nan,22
23,22404,nan,nan,nan,23
24,12879,nan,nan,nan,24
25,44884,nan,nan,nan,25
26,48073,nan,nan,nan,26
27,41883,nan,nan,nan,27
28,1805,nan,nan,nan,28
29,24001,nan,nan,nan,29
30,46275,nan,nan,nan,30
31,26349,nan,nan,nan,31
32,20093,nan,nan,nan,32
33,41482,nan,nan,nan,33
34,49186,nan,nan,nan,34
35,20386,nan,nan,nan,35
36,40151,nan,nan,nan,36
37,2265,nan,nan,nan,37
38,47999,nan,nan,nan,38
39,27821,nan,nan,nan,39
40,23124,nan,nan,nan,40
41,33147,nan,nan,nan,41
42,18938,nan,nan,nan,42
43,16740,nan,nan,nan,43
44,8104,nan,nan,nan,44
45,32055,nan,nan,nan,45
46,15230,nan,nan,nan,46
47,11740,nan,nan,nan,47
48,14729,nan,nan,nan,48
49,39445,nan,nan,nan,49
50,23078,nan,nan,nan,50
51,3877,nan,nan,nan,51
52,16189,nan,nan,nan,52
53,11036,nan,nan,nan,53
54,39256,nan,nan,nan,54
55,12554,nan,nan,nan,55
56,47444,nan,nan,nan,56
57,37335,nan,nan,nan,57
58,36421,nan,nan,nan,58
59,8717,nan,nan,nan,59
60,20865,nan,nan,nan,60
61,11053,nan,nan,nan,61
62,4143,nan,nan,nan,62
63,17513,nan,nan,nan,63
64,33639,nan,nan,nan,64
65,9423,nan,nan,nan,65
66,32305,nan,nan,nan,66
67,6903,nan,nan,nan,67
68,11866,nan,nan,nan,68
69,22202,nan,nan,nan,69
70,34289,nan,nan,nan,70
71,14917,nan,nan,nan,71
72,12847,nan,nan,nan,72
73,2074,nan,nan,nan,73
74,13079,nan,nan,nan,74
75,21605,nan,nan,nan,75
76,10713,nan,nan,nan,76
77,29117,nan,nan,nan,77
78,45515,nan,nan,nan,78
79,36507,nan,nan,nan,79
80,45317,nan,nan,nan,80
81,9182,nan,nan,nan,81
82,21675,nan,nan,nan,82
83,7282,nan,nan,nan,83
84,29615,nan,nan,nan,84
85,37806,nan,nan,nan,85
86,41344,nan,nan,nan,86
87,31366,nan,nan,nan,87
88,32708,nan,nan,nan,88
89,14705,nan,nan,nan,89
90,36845,nan,nan,nan,90
91,32241,nan,nan,nan,91
92,29853,nan,nan,nan,92
93,31324,nan,nan,nan,93
94,23057,nan,nan,nan,94
95,41816,nan,nan,nan,95
96,20136,nan,nan,nan,96
97,31861,nan,nan,nan,97
98,18703,nan,nan,nan,98
99,50196,nan,nan,nan,99
100,20981,nan,nan,nan,100
101,30465,nan,nan,nan,101
102,3599,nan,nan,nan,102
103,24306,nan,nan,nan,103
104,41324,nan,nan,nan,104
105,47628,nan,nan,nan,105
106,6104,nan,nan,nan,106
107,16071,nan,nan,nan,107
108,36385,nan,nan,nan,108
109,48665,nan,nan,nan,109
110,17362,nan,nan,nan,110
111,40902,nan,nan,nan,111
112,45617,nan,nan,nan,112
113,46418,nan,nan,nan,113
114,38260,nan,nan,nan,114
115,9748,nan,nan,nan,115
116,37724,nan,nan,nan,116
117,45649,nan,nan,nan,117
118,5844,nan,nan,nan,118
119,25411,nan,nan,nan,119
120,10438,nan,nan,nan,120
121,42371,nan,nan,nan,121
122,21021,nan,nan,nan,122
123,39923,nan,nan,nan,123
124,29759,nan,nan,nan,124
125,16733,nan,nan,nan,125
126,34029,nan,nan,nan,126
127,35186,nan,nan,nan,127
128,22338,nan,nan,nan,128
129,37297,nan,nan,nan,129
130,43126,nan,nan,nan,130
131,21102,nan,nan,nan,131
132,25131,nan,nan,nan,132
133,19213,nan,nan,nan,133
134,10613,nan,nan,nan,134
135,39141,nan,nan,nan,135
136,23434,nan,nan,nan,136
137,17673,nan,nan,nan,137
138,37867,nan,nan,nan,138
139,14177,nan,nan,nan,139
140,49012,nan,nan,nan,140
141,38478,nan,nan,nan,141
142,5172,nan,nan,nan,142
143,16986,nan,nan,nan,143
144,30739,nan,nan,nan,144
145,27596,nan,nan,nan,145
146,25883,nan,nan,nan,146
147,33181,nan,nan,nan,147
148,25435,nan,nan,nan,148
149,5167,nan,nan,nan,149
150,20529,nan,nan,nan,150
151,16284,nan,nan,nan,151
152,27322,nan,nan,nan,152
153,43014,nan,nan,nan,153
154,8823,nan,nan,nan,154
155,26099,nan,nan,nan,155
156,34829,nan,nan,nan,156
157,50475,nan,nan,nan,157
158,10475,nan,nan,nan,158
159,43259,nan,nan,nan,159
160,39610,nan,nan,nan,160
161,11684,nan,nan,nan,161
162,7711,nan,nan,nan,162
163,8474,nan,nan,nan,163
164,15216,nan,nan,nan,164
165,42536,nan,nan,nan,165
166,25897,nan,nan,nan,166
167,17879,nan,nan,nan,167
168,46962,nan,nan,nan,168
169,24691,nan,nan,nan,169
170,27911,nan,nan,nan,170
171,23677,nan,nan,nan,171
172,16422,nan,nan,nan,172
173,33899,nan,nan,nan,173
174,38609,nan,nan,nan,174
175,38426,nan,nan,nan,175
176,7454,nan,nan,nan,176
177,40977,nan,nan,nan,177
178,32908,nan,nan,nan,178
179,30939,nan,nan,nan,179
180,8441,nan,nan,nan,180
181,43862,nan,nan,nan,181
182,40221,nan,nan,nan,182
183,24601,nan,nan,nan,183
184,49512,nan,nan,nan,184
185,21215,nan,nan,nan,185
186,41275,nan,nan,nan,186
187,8906,nan,nan,nan,187
188,48673,nan,nan,nan,188
189,30385,nan,nan,nan,189
190,39862,nan,nan,nan,190
191,1867,nan,nan,nan,191
192,13853,nan,nan,nan,192
193,40918,nan,nan,nan,193
194,38376,nan,nan,nan,194
195,17981,nan,nan,nan,195
196,13690,nan,nan,nan,196
197,24960,nan,nan,nan,197
198,27789,nan,nan,nan,198
199,40285,nan,nan,nan,199
200,48140,nan,nan,nan,200
201,43846,nan,nan,nan,201
202,14502,nan,nan,nan,202
203,37358,nan,nan,nan,203
204,11351,nan,nan,nan,204
205,27,nan,nan,nan,205
206,25920,nan,nan,nan,206
207,25096,nan,nan,nan,207
208,47224,nan,nan,nan,208
209,4825,nan,nan,nan,209
210,45376,nan,nan,nan,210
211,46785,nan,nan,nan,211
212,44461,nan,nan,nan,212
213,2997,nan,nan,nan,213
214,16280,nan,nan,nan,214
215,29906,nan,nan,nan,215
216,17072,nan,nan,nan,216
217,45881,nan,nan,nan,217
218,6983,nan,nan,nan,217
219,4061,nan,nan,nan,218
220,29546,nan,nan,nan,219
221,25149,nan,nan,nan,219
222,34951,nan,nan,nan,219
223,29478,nan,nan,nan,219
224,9509,nan,nan,nan,219
225,3457,nan,nan,nan,220
226,3077,nan,nan,nan,220
227,20244,nan,nan,nan,220
228,25751,nan,nan,nan,220
229,21867,nan,nan,nan,220
230,34835,nan,nan,nan,220
231,10182,nan,nan,nan,220
232,8736,nan,nan,nan,220
233,48266,nan,nan,nan,220
234,28473,nan,nan,nan,220
235,31446,nan,nan,nan,220
236,39359,nan,nan,nan,220
237,20489,nan,nan,nan,220
238,26792,nan,nan,nan,220
239,43087,nan,nan,nan,221
240,15248,nan,nan,nan,221
241,39880,nan,nan,nan,221
242,48110,nan,nan,nan,221
243,37129,nan,nan,nan,221
244,29408,nan,nan,nan,221
245,15681,nan,nan,nan,221
246,45599,nan,nan,nan,221
247,34484,nan,nan,nan,221
248,45971,nan,nan,nan,221
249,21219,nan,nan,nan,221
250,37475,nan,nan,nan,221
251,10329,nan,nan,nan,221
252,27746,nan,nan,nan,221
253,42797,nan,nan,nan,221
254,39327,nan,nan,nan,221
255,47047,nan,nan,nan,221
256,33396,nan,nan,nan,221
257,4970,nan,nan,nan,221
258,14016,nan,nan,nan,221
259,8540,nan,nan,nan,221
260,35283,nan,nan,nan,221
261,4169,nan,nan,nan,221
262,20459,nan,nan,nan,221
263,33277,nan,nan,nan,221
264,39774,nan,nan,nan,221
265,33585,nan,nan,nan,221
266,18082,nan,nan,nan,221
267,17968,nan,nan,nan,221
268,38703,nan,nan,nan,221
269,10900,nan,nan,nan,221
270,38451,nan,nan,nan,221
271,1677,nan,nan,nan,221
272,11405,nan,nan,nan,221
273,18357,nan,nan,nan,221
274,35051,nan,nan,nan,221
275,37684,nan,nan,nan,221
276,44605,nan,nan,nan,221
277,29755,nan,nan,nan,221
278,17820,nan,nan,nan,221
279,29242,nan,nan,nan,221
280,49646,nan,nan,nan,221
281,22050,nan,nan,nan,221
282,32665,nan,nan,nan,222
283,16800,nan,nan,nan,222
284,27791,nan,nan,nan,222
285,3248,nan,nan,nan,222
286,24066,nan,nan,nan,222
287,2133,nan,nan,nan,222
288,31155,nan,nan,nan,222
289,4700,nan,nan,nan,222
290,45022,nan,nan,nan,222
291,21574,nan,nan,nan,222
292,12334,nan,nan,nan,222
293,10354,nan,nan,nan,222
294,40212,nan,nan,nan,222
295,6833,nan,nan,nan,222
296,14109,nan,nan,nan,222
297,29399,nan,nan,nan,222
298,10439,nan,nan,nan,222
299,20718,nan,nan,nan,222
300,30270,nan,nan,nan,222
301,35742,nan,nan,nan,222
302,2128,nan,nan,nan,222
303,36462,nan,nan,nan,222
304,27220,nan,nan,nan,222
305,33089,nan,nan,nan,222
306,1608,nan,nan,nan,223
307,20711,nan,nan,nan,223
308,44019,nan,nan,nan,223
309,3032,nan,nan,nan,224
310,38575,nan,nan,nan,224
311,2324,nan,nan,nan,224
312,44707,nan,nan,nan,224
313,21484,nan,nan,nan,224
314,21442,nan,nan,nan,224
315,28094,nan,nan,nan,224
316,15268,nan,nan,nan,224
317,48906,nan,nan,nan,224
318,18823,nan,nan,nan,224
319,9886,nan,nan,nan,224
320,46969,nan,nan,nan,224
321,327,nan,nan,nan,224
322,5538,nan,nan,nan,224
323,28327,nan,nan,nan,224
324,10140,nan,nan,nan,224
325,38513,nan,nan,nan,224
326,39989,nan,nan,nan,224
327,49559,nan,nan,nan,224
328,50331,nan,nan,nan,224
329,42226,nan,nan,nan,224
330,39256,nan,nan,nan,224
331,45146,nan,nan,nan,224
332,6555,nan,nan,nan,224
333,38646,nan,nan,nan,224
334,1394,nan,nan,nan,224
335,42403,nan,nan,nan,224
336,38941,nan,nan,nan,224
337,18633,nan,nan,nan,224
