step,action,psnr_value,mse_value,ssim_value,rank
1,3999,nan,nan,nan,1
2,14141,nan,nan,nan,2
3,49577,nan,nan,nan,3
4,24642,nan,nan,nan,4
5,34067,nan,nan,nan,5
6,30841,nan,nan,nan,6
7,10028,nan,nan,nan,7
8,29837,nan,nan,nan,8
9,20026,nan,nan,nan,9
10,30385,nan,nan,nan,10
11,19141,nan,nan,nan,11
12,25920,nan,nan,nan,12
13,48302,nan,nan,nan,13
14,28558,nan,nan,nan,14
15,2377,nan,nan,nan,15
16,34484,nan,nan,nan,16
17,18350,nan,nan,nan,17
18,3040,nan,nan,nan,18
19,18346,nan,nan,nan,19
20,8753,nan,nan,nan,20
21,13463,nan,nan,nan,21
22,17053,nan,nan,nan,22
23,42163,nan,nan,nan,23
24,49422,nan,nan,nan,24
25,49620,nan,nan,nan,25
26,43672,nan,nan,nan,26
27,40322,nan,nan,nan,27
28,37912,nan,nan,nan,28
29,777,nan,nan,nan,29
30,17094,nan,nan,nan,30
31,50026,nan,nan,nan,31
32,31926,nan,nan,nan,32
33,42079,nan,nan,nan,33
34,44499,nan,nan,nan,34
35,9892,nan,nan,nan,35
36,25861,nan,nan,nan,36
37,13754,nan,nan,nan,37
38,25657,nan,nan,nan,38
39,36734,nan,nan,nan,39
40,15664,nan,nan,nan,40
41,13025,nan,nan,nan,41
42,22746,nan,nan,nan,42
43,48363,nan,nan,nan,43
44,27198,nan,nan,nan,44
45,213,nan,nan,nan,45
46,28534,nan,nan,nan,46
47,22439,nan,nan,nan,47
48,49121,nan,nan,nan,48
49,17471,nan,nan,nan,49
50,47999,nan,nan,nan,50
51,5530,nan,nan,nan,51
52,17779,nan,nan,nan,52
53,32247,nan,nan,nan,53
54,30167,nan,nan,nan,54
55,7891,nan,nan,nan,55
56,22903,nan,nan,nan,56
57,9293,nan,nan,nan,57
58,5248,nan,nan,nan,58
59,19425,nan,nan,nan,59
60,10752,nan,nan,nan,60
61,14477,nan,nan,nan,61
62,27980,nan,nan,nan,62
63,14740,nan,nan,nan,63
64,10471,nan,nan,nan,64
65,6746,nan,nan,nan,65
66,4548,nan,nan,nan,66
67,9430,nan,nan,nan,67
68,48875,nan,nan,nan,68
69,11714,nan,nan,nan,69
70,35845,nan,nan,nan,70
71,15622,nan,nan,nan,71
72,13156,nan,nan,nan,72
73,25971,nan,nan,nan,73
74,9430,nan,nan,nan,74
75,395,nan,nan,nan,74
76,11848,nan,nan,nan,75
77,35447,nan,nan,nan,76
78,6334,nan,nan,nan,77
79,32061,nan,nan,nan,78
80,36455,nan,nan,nan,79
81,620,nan,nan,nan,80
82,1106,nan,nan,nan,81
83,44714,nan,nan,nan,82
84,35763,nan,nan,nan,83
85,39406,nan,nan,nan,84
86,28523,nan,nan,nan,85
87,18658,nan,nan,nan,86
88,14284,nan,nan,nan,87
89,50157,nan,nan,nan,88
90,1565,nan,nan,nan,89
91,32865,nan,nan,nan,90
92,23080,nan,nan,nan,91
93,137,nan,nan,nan,92
94,35172,nan,nan,nan,93
95,18161,nan,nan,nan,94
96,41149,nan,nan,nan,95
97,38559,nan,nan,nan,96
98,13875,nan,nan,nan,97
99,34005,nan,nan,nan,98
100,27420,nan,nan,nan,99
101,1176,nan,nan,nan,100
102,13240,nan,nan,nan,101
103,45448,nan,nan,nan,102
104,15514,nan,nan,nan,103
105,43859,nan,nan,nan,104
106,18167,nan,nan,nan,105
107,28433,nan,nan,nan,106
108,7069,nan,nan,nan,107
109,15344,nan,nan,nan,108
110,45901,nan,nan,nan,109
111,4275,nan,nan,nan,110
112,36103,nan,nan,nan,111
113,10169,nan,nan,nan,112
114,4638,nan,nan,nan,113
115,40564,nan,nan,nan,114
116,41958,nan,nan,nan,115
117,47321,nan,nan,nan,116
118,41018,nan,nan,nan,117
119,3319,nan,nan,nan,118
120,29769,nan,nan,nan,119
121,49948,nan,nan,nan,120
122,49751,nan,nan,nan,121
123,16771,nan,nan,nan,122
124,11489,nan,nan,nan,123
125,15169,nan,nan,nan,124
126,38119,nan,nan,nan,125
127,34460,nan,nan,nan,126
128,17301,nan,nan,nan,127
129,25020,nan,nan,nan,128
130,16356,nan,nan,nan,129
131,47178,nan,nan,nan,129
132,12723,nan,nan,nan,130
133,1054,nan,nan,nan,131
134,2418,nan,nan,nan,132
135,28237,nan,nan,nan,133
136,24406,nan,nan,nan,134
137,458,nan,nan,nan,135
138,48811,nan,nan,nan,136
139,13419,nan,nan,nan,137
140,46767,nan,nan,nan,138
141,3025,nan,nan,nan,139
142,4872,nan,nan,nan,140
143,8957,nan,nan,nan,141
144,15083,nan,nan,nan,142
145,12764,nan,nan,nan,143
