step,action,psnr_value,mse_value,ssim_value,rank
1,48885,nan,nan,nan,1
2,2522,nan,nan,nan,2
3,44159,nan,nan,nan,3
4,40482,nan,nan,nan,4
5,13333,nan,nan,nan,5
6,46190,nan,nan,nan,6
7,41308,nan,nan,nan,7
8,22796,nan,nan,nan,8
9,50443,nan,nan,nan,9
10,27774,nan,nan,nan,10
11,39733,nan,nan,nan,11
12,41335,nan,nan,nan,12
13,8741,nan,nan,nan,13
14,19469,nan,nan,nan,14
15,47927,nan,nan,nan,15
16,34311,nan,nan,nan,16
17,18898,nan,nan,nan,17
18,20610,nan,nan,nan,18
19,27261,nan,nan,nan,19
20,10883,nan,nan,nan,20
21,5668,nan,nan,nan,21
22,24073,nan,nan,nan,22
23,47273,nan,nan,nan,23
24,19075,nan,nan,nan,24
25,45198,nan,nan,nan,25
26,50546,nan,nan,nan,26
27,38922,nan,nan,nan,27
28,22505,nan,nan,nan,28
29,5165,nan,nan,nan,29
30,33078,nan,nan,nan,30
31,45978,nan,nan,nan,31
32,5608,nan,nan,nan,32
33,7627,nan,nan,nan,33
34,41744,nan,nan,nan,34
35,22920,nan,nan,nan,35
36,13415,nan,nan,nan,36
37,32531,nan,nan,nan,37
38,18406,nan,nan,nan,38
39,40339,nan,nan,nan,39
40,4378,nan,nan,nan,40
41,26846,nan,nan,nan,41
42,13260,nan,nan,nan,42
43,47843,nan,nan,nan,43
44,7597,nan,nan,nan,44
45,42364,nan,nan,nan,45
46,32403,nan,nan,nan,46
47,5174,nan,nan,nan,47
48,26270,nan,nan,nan,48
49,45363,nan,nan,nan,49
50,191,nan,nan,nan,50
51,18495,nan,nan,nan,51
52,20531,nan,nan,nan,52
53,31986,nan,nan,nan,53
54,24034,nan,nan,nan,54
55,18907,nan,nan,nan,55
56,11634,nan,nan,nan,56
57,26403,nan,nan,nan,57
58,28719,nan,nan,nan,58
59,3393,nan,nan,nan,59
60,291,nan,nan,nan,60
61,26213,nan,nan,nan,61
62,44247,nan,nan,nan,62
63,24935,nan,nan,nan,63
64,21181,nan,nan,nan,64
65,18294,nan,nan,nan,65
66,37127,nan,nan,nan,66
67,18462,nan,nan,nan,67
68,49392,nan,nan,nan,68
69,46746,nan,nan,nan,69
70,44913,nan,nan,nan,70
71,39125,nan,nan,nan,71
72,1797,nan,nan,nan,72
73,38548,nan,nan,nan,73
74,19939,nan,nan,nan,74
75,44195,nan,nan,nan,75
76,32553,nan,nan,nan,76
77,21428,nan,nan,nan,77
78,613,nan,nan,nan,78
79,23064,nan,nan,nan,79
80,4927,nan,nan,nan,80
81,9216,nan,nan,nan,81
82,49407,nan,nan,nan,82
83,49476,nan,nan,nan,83
84,1458,nan,nan,nan,84
85,7883,nan,nan,nan,85
86,39103,nan,nan,nan,86
87,43162,nan,nan,nan,87
88,16354,nan,nan,nan,88
89,41806,nan,nan,nan,89
90,45619,nan,nan,nan,90
91,45825,nan,nan,nan,91
92,3933,nan,nan,nan,92
93,11647,nan,nan,nan,93
94,28643,nan,nan,nan,94
95,19311,nan,nan,nan,95
96,3029,nan,nan,nan,96
97,47380,nan,nan,nan,97
98,11657,nan,nan,nan,98
99,371,nan,nan,nan,99
100,8100,nan,nan,nan,100
101,7083,nan,nan,nan,101
102,29252,nan,nan,nan,102
103,48851,nan,nan,nan,103
104,27267,nan,nan,nan,104
105,50502,nan,nan,nan,105
106,16019,nan,nan,nan,106
107,9558,nan,nan,nan,107
108,48385,nan,nan,nan,108
109,49260,nan,nan,nan,109
110,9651,nan,nan,nan,110
111,24249,nan,nan,nan,111
112,33963,nan,nan,nan,112
113,3837,nan,nan,nan,113
114,50554,nan,nan,nan,114
115,824,nan,nan,nan,115
