step,action,psnr_value,mse_value,ssim_value,rank
1,4475,5.2440589875516395,0.29919213939224415,0.00047146089491434395,1
2,48935,5.257688190894965,0.2982509779157926,-0.0016081648645922542,2
3,41678,5.324327904325106,0.2937062421320815,0.012173507362604141,3
4,3898,5.348734763686947,0.2920534034387707,0.0004359657468739897,4
5,27145,5.354497926511926,0.2916634960303006,-0.006163410842418671,5
6,27345,5.362528153864243,0.2911201456392107,-0.012926136143505573,6
7,27183,5.386482661247851,0.2895200973296629,-0.011288363486528397,7
8,39273,5.39027148829955,0.2892683425824536,-0.014368453063070774,8
9,37670,5.391678010490102,0.28917217080285024,-0.015517224557697773,9
10,7378,5.3991956489198305,0.28867282791426985,-0.008686291985213757,10
11,31335,5.4240486435806945,0.2871946472318887,-0.002990966895595193,11
12,28492,5.449849811708245,0.28576093569890193,0.011460235342383385,12
13,7887,5.471449951303508,0.2840625776021051,0.016469381749629974,13
14,38840,5.540892883705958,0.27955341904304004,0.018978727981448174,14
15,23558,5.552911750786903,0.2792127914968935,0.018615031614899635,15
16,11360,5.641458245218587,0.27370498910937513,0.08292018622159958,16
17,9724,5.64209892550857,0.27365590827930775,0.08381678909063339,17
18,16949,5.644612077130113,0.27349306376914406,0.08216913044452667,18
19,7526,5.6717002076210585,0.2716586567388885,0.06720952689647675,19
20,17927,5.672139591363253,0.27163196432522985,0.06602681428194046,20
21,22586,5.681679576310728,0.2712255850307967,0.06892803311347961,21
22,14428,5.681754764759015,0.27122205356404394,0.06911198049783707,22
23,38961,5.684053100637483,0.27107333875311396,0.06974008679389954,23
24,20105,5.7455921404412535,0.26772023621615443,0.07009027898311615,24
25,23523,5.752271832548683,0.26727379396531986,0.06673428416252136,25
26,9039,6.011028270796284,0.25283408486130154,0.22852522134780884,26
27,34301,6.013524025759257,0.2526998424386867,0.2286563664674759,27
28,10335,6.0147667096397806,0.25267017551757304,0.22807671129703522,28
29,21878,6.440599702356531,0.22879124189244218,0.2395578771829605,29
30,20204,6.488427066136996,0.22690293713108228,0.24439792335033417,30
31,43577,6.969033011445585,0.20477259535919934,0.2240622341632843,31
32,5497,6.969370295097848,0.2047605957808854,0.22383086383342743,32
33,33405,6.9787805076120035,0.2044494026495399,0.22489003837108612,33
34,40901,7.014366698509936,0.2027870603595122,0.24816304445266724,34
35,31102,7.015875146361289,0.20274414728485024,0.2483048141002655,35
36,35349,7.026413974199377,0.20217886772805338,0.25027865171432495,36
37,17949,7.103482320980933,0.1986655381013495,0.254358172416687,37
38,13395,7.112665069916368,0.19852823608568895,0.2572297155857086,38
39,6664,7.189204619106899,0.1952665686073907,0.2926669120788574,39
40,21752,7.194215617007283,0.1951167274516072,0.28970080614089966,40
41,31932,7.196444357206211,0.19501687785673463,0.2905603051185608,41
42,34406,7.206400902519441,0.19459359214052516,0.2903931438922882,42
43,32122,7.212298421692559,0.19431732163171117,0.28760746121406555,43
44,1090,7.4524249217535,0.18451194918588196,0.31913527846336365,44
