step,action,psnr_value,mse_value,ssim_value,rank
1,3325,3.1291119102798026,60.57996714329554,-0.017999807372689247,1
2,16111,3.1158119704387772,36.15348823569887,-0.01844312623143196,2
3,26957,3.1218008159663957,31.34808037539375,-0.018249191343784332,3
4,13038,3.4202014294589764,4.316737750512911,-0.0062936521135270596,4
5,2835,3.3475286462728397,7.3537247179612235,-0.0032532282639294863,5
6,10038,3.5799685757510913,3.239331866303749,0.0074359942227602005,6
7,4704,3.7514810319379244,3.4745032378209806,-0.023992393165826797,7
8,33721,3.774451700417529,3.0025941831908938,-0.019822606816887856,8
9,23831,3.8258228898723203,2.803706158801069,-0.0036256019957363605,9
10,13897,3.8554400900471193,2.278911702384778,-0.011760827153921127,10
11,24072,3.967143403821642,2.464570558906837,0.013774018734693527,11
12,40542,3.939418938481705,2.9091653824856296,0.009437826462090015,12
13,6519,3.9198692472487395,2.871537442031517,-0.0064719850197434425,13
14,5624,3.8522443473160113,2.9017918833697656,-0.011011925525963306,14
15,24449,3.9218441698038076,2.4671471547330213,0.006581284571439028,15
16,3308,3.6275315964572705,3.816707040106283,-0.011725831776857376,16
17,23893,3.6146904827588155,3.943084281180216,-0.008845011703670025,17
18,16560,3.5741185801052078,4.732937421846177,-0.010904005728662014,18
19,13679,3.557401315393162,4.231686088349929,-0.0045100427232682705,19
20,6667,3.606446754260424,4.492956108541693,-0.030404964461922646,20
21,3110,4.15356510933834,2.9814312983526743,-0.044067349284887314,21
22,12990,4.395835065277554,2.823392792262344,-0.02407039888203144,22
23,17006,4.451365408344064,2.66800412274973,-0.013292600400745869,23
24,7814,4.197181872317935,4.388782668565529,-0.030314182862639427,24
25,13339,4.202094324868485,4.3862031379816635,-0.029483523219823837,25
26,16335,4.1400546982619,4.349120908396629,-0.04798095300793648,26
27,3524,3.9852822680433366,3.994949640035985,-0.08583557605743408,27
28,10663,3.931184411076172,4.177425088727892,-0.07418844103813171,28
29,24044,4.157915388391965,3.5169840150212135,-0.05978498235344887,29
30,33865,4.1911215769485946,3.5622097666818426,-0.04787078872323036,30
31,3119,3.5058874945372436,4.75850587076818,-0.07494693249464035,31
32,9510,3.5664150144260303,5.215200391308754,-0.06989622116088867,32
33,6223,3.4320411970078717,5.55237253970984,-0.09026823937892914,33
34,12887,3.505892824301255,7.108944687821099,-0.05991746857762337,34
35,9992,3.753332437095543,5.0263380321375495,-0.027443690225481987,35
