step,action,psnr_value,mse_value,ssim_value,rank
1,49819,3.3598816784041685,2.342206760752532,-0.012700861319899559,1
2,12798,5.226509512220315,0.5162226816165881,0.050665754824876785,2
3,23639,4.681646255679341,1.001859439084397,-0.0119469640776515,3
4,13039,4.283950287492793,1.6841614731056163,-0.002319151069968939,4
5,10089,4.3181960744785375,1.8795401628087791,0.04675331339240074,5
6,10273,3.8608445125642725,2.741469182183856,0.040195364505052567,6
7,2680,4.318032943085153,1.9906190983751892,0.03151895850896835,7
8,6048,3.9753435494910367,2.4410837942828625,0.03555811569094658,8
9,46152,4.005811602391299,2.509012535199169,0.036273177713155746,9
10,46211,3.803531504857818,2.8863891398177173,0.02823745459318161,10
11,6055,3.82109804774928,2.850278126363604,0.02214088849723339,11
12,9445,4.141282011180784,2.569571594967278,0.012807938270270824,12
13,2680,4.011654985007818,2.7129253128819415,0.024793265387415886,13
14,33361,3.9808983230276085,2.716545681561919,0.02268962748348713,13
15,4242,3.9244747992680735,2.5747208763775418,-0.021069377660751343,14
16,6745,3.9078723172194496,2.5960865889779394,-0.02043810859322548,15
17,6735,3.8581021358544003,3.1633508112434194,-0.024430442601442337,16
18,49987,4.144158495549155,2.2346891455212607,-0.031215762719511986,17
19,23828,3.934457987962405,2.824498324179779,-0.009966867975890636,18
20,5141,3.8065007625795384,3.3025379466881715,-0.025342537090182304,19
21,625,3.8430708575376507,3.404540045535533,-0.017947668209671974,20
22,45023,3.8640040581194173,3.3562793545357352,-0.012945334427058697,21
23,7187,4.313580431647699,1.6240444900167899,-0.01583048328757286,22
24,8986,4.729960918101278,1.224041411440551,-0.02437264285981655,23
25,2685,4.560738633302201,1.2093924698918797,-0.052040696144104004,24
26,43919,4.579333651641911,1.1879711278952512,-0.0509495735168457,25
27,3554,4.369181245706191,1.5235414007564476,-0.026485562324523926,26
28,3361,4.172719360797744,1.8761914395476278,-0.008585442788898945,27
29,13486,3.5248802467559854,4.678831387645979,-0.04198875278234482,28
30,37145,3.463997680949503,7.3405987691897545,-0.02294670231640339,29
31,13011,3.462882620974785,7.219939189927181,-0.025632241740822792,30
32,43427,3.4393979127471583,7.142100820242647,-0.01683163456618786,31
33,40507,3.6838864699024922,4.933211580455924,-0.06907232105731964,32
34,20190,3.6818767739588365,4.922605574286491,-0.0687294453382492,33
35,1999,3.687625241187924,4.423252525800537,-0.08347035199403763,34
36,436,3.7236523199622793,4.549899984153194,-0.06601021438837051,35
37,41441,3.559609752197397,5.627022487495949,-0.05099080130457878,36
38,23341,3.7280869931355505,4.842391123354124,0.005052065476775169,37
39,7411,3.7527010591850685,5.135313901749404,0.000712906417902559,38
40,13216,3.8934652658343505,3.855208042030119,-0.048729512840509415,39
41,3586,4.030094568245089,3.00709067988515,-0.057313259690999985,40
42,40111,3.974643834659519,3.756991790288335,-0.024874458089470863,41
43,3339,3.9724580148942863,3.6793456252750185,-0.030494775623083115,42
44,1561,3.974351595466846,3.686831412031509,-0.030047167092561722,43
45,3281,3.9831087673602132,3.684948516662104,-0.028174055740237236,44
46,10020,3.986808522870512,3.644389714271205,-0.029122168198227882,45
47,21103,3.8520836894030697,3.958171197936948,0.03878839686512947,46
48,20879,3.871107646413649,3.925821296188256,0.03766828775405884,47
49,21103,3.8927818148464617,3.8806085736863314,0.04133933410048485,48
50,43214,3.89287420748496,3.8795624661155874,0.04139029607176781,48
51,47960,4.036138577163485,3.2904649733827034,0.028250183910131454,49
52,3140,3.986718938307949,3.2132603605997265,0.012614156119525433,50
53,3494,3.9766710857086727,3.2481613930625866,0.013888983055949211,51
54,4200,4.007270666835548,3.2865458743604905,0.01671447977423668,52
55,33762,3.988371160438233,3.308515975222625,0.014743520878255367,53
56,4272,4.047035705031935,3.630243986914348,0.048932768404483795,54
57,5396,4.12397522243108,3.546261961139361,0.050593581050634384,55
58,10573,3.9939406277583602,3.1674415297933027,0.05505521222949028,56
59,2447,3.9861515192973225,3.1248238616687174,0.04905291274189949,57
60,8748,3.9661067874932328,2.9768231924685056,0.05276179686188698,58
61,17308,3.8703717794445214,2.9858856333318786,0.01865505799651146,59
62,47937,3.715079773776313,2.7739372768048067,-0.04941140487790108,60
63,13916,3.722515382796849,2.7798047143883173,-0.04654046520590782,61
64,6571,3.6815689741216255,2.867342748650246,-0.059506360441446304,62
65,3749,3.7802272174414653,3.12254319953674,-0.021900242194533348,63
66,26760,3.6784668263835156,3.313379682155533,-0.051548488438129425,64
67,49727,3.6823492966197535,3.455133360309414,-0.056558892130851746,65
68,29910,3.7171664831571,3.592072688552879,-0.050227683037519455,66
69,3508,3.7625025858428356,3.661692966424938,-0.03624023497104645,67
70,32835,3.765854592233233,3.6597887268099134,-0.0347384549677372,68
71,6905,3.92880306239043,3.587647698803808,-0.029879294335842133,69
72,3524,3.805976075632742,3.175185081243722,-0.04504082724452019,70
73,41855,3.795509173391927,3.2498554852375117,-0.0437387079000473,71
74,3524,3.7916636793403753,3.2593303370479165,-0.043302103877067566,72
75,3524,3.7904441987509507,3.265602572473775,-0.04320313781499863,72
76,6899,3.790131941315891,3.268341347621301,-0.043183572590351105,72
77,44119,3.811303721095295,3.4996144994429184,-0.041500627994537354,73
78,13380,3.915511270318688,3.6425536016325673,-0.03902321308851242,74
79,48885,3.750368679740526,3.667541397196344,-0.04465276002883911,75
80,10342,3.9390900384104635,2.9772636426002523,-0.0388648547232151,76
81,7642,3.9429108215740345,2.985986028719797,-0.03643222525715828,77
82,11211,3.71444603100786,2.703363303108991,-0.06393974274396896,78
83,6899,3.6120362424256367,2.7505372423450978,-0.06639813631772995,79
84,5569,3.6173992942923343,2.7749604403226367,-0.0653461292386055,79
85,3509,3.7952602463390566,2.7255586537196197,-0.04238151013851166,80
86,3509,3.7889395951079488,2.6563190163524633,-0.036535535007715225,81
87,73,3.8083111178489206,2.6821882324595934,-0.03654946759343147,81
88,73,3.7616029329531244,2.52435414727542,-0.09034939855337143,82
89,73,3.7071558212210043,2.5709448543968714,-0.09577108174562454,82
90,73,3.687672767915062,2.5904093239632333,-0.09753965586423874,82
91,73,3.6771924082196517,2.601110173358724,-0.09833704680204391,82
92,73,3.6706709174086805,2.6077363228429262,-0.09881561249494553,82
93,73,3.666155834330345,2.6122573837163188,-0.09913905709981918,82
94,73,3.6628573933039066,2.615612173085101,-0.09934943169355392,82
95,73,3.6602958548539015,2.618204247348864,-0.09950118511915207,82
96,73,3.6580253969615972,2.620261831593234,-0.09964622557163239,82
97,73,3.656306046678612,2.6221039028796884,-0.09975387901067734,82
98,73,3.654955772784559,2.623297175801773,-0.09982860088348389,82
99,73,3.653848609702755,2.6243050680586344,-0.09990206360816956,82
100,73,3.652886423212652,2.6252944853001585,-0.09995605796575546,82
101,73,3.6520504341022315,2.6259447821798836,-0.10001428425312042,82
102,73,3.6512683282528666,2.6267705113290707,-0.10006861388683319,82
103,73,3.65061310659185,2.62754493508876,-0.10010266304016113,82
104,73,3.6501129766993827,2.627946359204232,-0.10013515502214432,82
105,73,3.6496633351468546,2.6284115312051854,-0.10016463696956635,82
106,73,3.649196981405674,2.628780424384297,-0.10018735378980637,82
107,73,3.6487405418195715,2.629071630739555,-0.10022485256195068,82
108,73,3.648415643295668,2.6294486254388985,-0.10024113208055496,82
109,73,3.647905488433205,2.6299463562776024,-0.10026665031909943,82
110,73,3.6475670968748233,2.6301760884353684,-0.10028707981109619,82
111,73,3.6474024820801816,2.6303548189335397,-0.10030051320791245,82
112,73,3.6472064743208428,2.6306649853700463,-0.10029961168766022,82
113,73,3.646880021111806,2.6308679138775917,-0.10032689571380615,82
114,73,3.6466740378305706,2.631047335785503,-0.10033812373876572,82
115,73,3.646484970888298,2.631353913648054,-0.10034821927547455,82
116,73,3.6463059224113876,2.6315444413854534,-0.10036423802375793,82
117,73,3.6461646568786565,2.631651181586397,-0.10036883503198624,82
118,73,3.645890563382258,2.6318488429564364,-0.1003885492682457,82
119,73,3.64576864364453,2.6320660789083274,-0.10039553791284561,82
120,73,3.6455409837496324,2.6321873583458366,-0.10040582716464996,82
121,73,3.6454524618234214,2.63222573559188,-0.10041648894548416,82
122,73,3.6453102823139334,2.6324031855776493,-0.10041679441928864,82
123,20055,3.6452139283868092,2.632499019702793,-0.10042520612478256,82
124,3673,3.668060404491694,2.630527341989667,-0.09886560589075089,83
125,3897,3.6554101627351154,2.6450278882349045,-0.09917747229337692,84
126,10301,3.6799654711804095,2.5677755192700875,-0.0827084556221962,85
127,10301,3.712990569526382,2.5214754463960527,-0.07941094785928726,86
128,2461,3.7156890796888122,2.519528969505352,-0.07903745770454407,86
129,5024,3.7095253676909836,2.500682778529202,-0.08171103149652481,87
130,524,3.7210795637815552,2.524800553228011,-0.08190940320491791,88
131,5147,3.7896516374324296,2.5489007379029256,-0.08363137394189835,89
132,13446,3.6194107074781656,2.544742651011507,-0.07910395413637161,90
133,47735,3.616592555273698,2.5439429953393926,-0.07899386435747147,91
134,648,3.6469504735277605,2.5845081022575807,-0.07292328774929047,92
135,4258,3.6749771504160753,2.535794330062862,-0.07329282909631729,93
136,17068,3.6780166127554863,2.524478733679603,-0.07313789427280426,94
137,2908,3.576044890830064,2.651969364565383,-0.07559721171855927,95
138,2876,3.566649519381224,2.6566650833163616,-0.07746454328298569,96
139,47701,3.6538983183337277,2.6529742075293297,-0.056677140295505524,97
140,13033,3.7269990578102026,2.6850774495363456,-0.05163615196943283,98
141,643,3.6383828585449858,2.676015309369302,-0.060400042682886124,99
142,3494,3.6001459899940595,2.7231262560817897,-0.06224335357546806,100
143,26775,3.5971068233928465,2.731139528177575,-0.06171886995434761,100
144,47701,3.6704237516768763,2.7971636584218587,-0.058384619653224945,101
145,40951,3.7175895011556594,2.8181591898272744,-0.056663647294044495,101
146,3509,3.716283452367353,2.80844940289471,-0.057176318019628525,102
147,3509,3.703849788949427,2.8337847756423837,-0.05929907411336899,102
148,3509,3.6963325902952118,2.8489207361211313,-0.06066824495792389,102
149,3509,3.6906325481457616,2.859090423034092,-0.06152844429016113,102
150,47701,3.686082586364143,2.866553243656122,-0.06218237057328224,102
151,13938,3.702305514007133,2.874652342977675,-0.06313560158014297,102
152,26807,3.6905047878776327,2.883217529864309,-0.06473583728075027,103
153,26807,3.6232733430986723,2.9420793905322595,-0.0677860900759697,104
154,193,3.6142975771838075,2.955311824558141,-0.06837465614080429,104
155,2687,3.623810837246284,2.9370190350785075,-0.06774116307497025,105
156,26716,3.6376892762053306,2.6730810580499624,-0.0758981928229332,106
157,4698,3.630955521414011,2.6915038331552124,-0.07051637023687363,107
158,26581,3.632390395396785,2.70213906513734,-0.07458987087011337,108
159,554,3.6469019423622564,2.7109170945588588,-0.09117089956998825,109
160,26581,3.6861026266329815,2.520694857116614,-0.09117014706134796,110
161,26805,3.697050594290272,2.539685673344971,-0.09088312089443207,110
162,6691,3.678676785730163,2.525246422843755,-0.09231159836053848,111
163,20863,3.813816177033551,2.491239227442226,-0.08519487828016281,112
164,8758,3.7987491454362843,2.5309952648635305,-0.06531018018722534,113
165,9658,3.8009415410187346,2.5343663611362315,-0.0673244297504425,114
166,43437,3.793594678476989,2.5492188040132815,-0.0682612732052803,115
167,26805,3.820136125284484,2.5032516154610827,-0.06606351584196091,116
168,6691,3.819819398246152,2.5039314354476825,-0.06591954082250595,116
169,5844,3.823077254830112,2.507580536526576,-0.06465896964073181,116
170,29745,4.014509759980039,2.506686803117498,-0.052337195724248886,117
171,6691,4.011342292328973,2.51154488522042,-0.05283194035291672,118
172,6691,4.013442657734691,2.5148508502429143,-0.05242869630455971,118
173,6691,4.014237747848739,2.516727238406893,-0.05221664533019066,118
174,10693,4.014721732887781,2.5178534576159697,-0.052074942737817764,118
175,26805,4.051819662484906,2.5317136967655927,-0.05118294060230255,119
176,26805,4.051916392935774,2.5316524859566765,-0.051231857389211655,119
177,26805,4.051921162879349,2.531614483456219,-0.05124090984463692,119
178,26805,4.051940152227317,2.5316368285372683,-0.05124722048640251,119
179,26805,4.051942461116759,2.5315817866667083,-0.05124416574835777,119
180,5842,4.0519643318446015,2.531589200701346,-0.051224492490291595,119
181,26805,4.096204014804383,2.511040026262413,-0.050467513501644135,120
182,10274,4.096163798642486,2.511089753380895,-0.05046318098902702,120
183,15733,4.131842652703669,2.503294639815169,-0.05467953905463219,121
184,26805,4.149632067839067,2.4811902714587957,-0.05457710474729538,122
185,12373,4.149697804163596,2.4812335975893074,-0.0545756071805954,122
186,6868,4.149661063790709,2.444745091131966,-0.0463949516415596,123
187,26355,4.075510007601166,2.400234661790827,-0.060560278594493866,124
188,3479,4.206601573183096,2.304853102430999,-0.03270119056105614,125
189,13840,4.2486475634854015,2.4491527765287455,-0.02025183103978634,126
190,33361,4.300000929596788,2.3183709797331056,-0.009334024973213673,127
191,25935,4.307734360210888,2.3165827916461663,-0.007366050500422716,127
