step,action,psnr_value,mse_value,ssim_value,rank
1,23878,4.101391176847911,1.0252093169382028,-0.002154476474970579,1
2,16350,3.6422323078927437,4.035921121970379,0.01725643314421177,2
3,16350,3.621581587043461,28.568332423967725,0.004473130684345961,3
4,43439,3.423532490788332,16.22879243701989,0.00010036242747446522,3
5,20235,3.3028848105091346,48.867919862649806,0.0006389839109033346,4
6,9168,3.63578165816591,5.671751416867806,-0.034147005528211594,5
7,1541,3.7602108698529464,4.864373874313226,-0.033521976321935654,6
8,2244,3.6104351790205023,9.217314885457357,-0.002487368881702423,7
9,2680,3.7674266516336523,5.494541392860313,-0.021174577996134758,8
10,38338,3.8559119711976435,5.80635865985363,-0.03523640334606171,9
11,10065,3.451353177187824,11.80098453911073,-0.027927737683057785,10
12,3567,3.674462319979618,5.604241483265327,-0.059030935168266296,11
13,6375,3.6121389183913504,6.666961979505916,-0.010995203629136086,12
14,6587,3.6404203888538773,6.814258613483463,-0.010283349081873894,13
15,9643,3.6554797550767173,7.036742707563293,-0.0017379112541675568,14
16,19772,3.5909462096285467,8.560676514770119,0.004996763542294502,15
17,13693,3.6043011849852196,7.172244050848078,-0.0010137654608115554,16
18,43429,3.6730756760085836,7.988949251197045,0.015236984938383102,17
19,37167,3.66945284903307,7.938739755458276,0.01463147159665823,18
20,43428,3.6107955476781974,7.583228226238926,-0.00836323294788599,19
21,4704,3.62782425029984,7.384195483435825,-0.015937963500618935,20
22,4697,3.6507475555339797,4.488091005876526,-0.060067012906074524,21
23,879,3.650674975625043,4.566248193637002,-0.05752037093043327,22
24,43992,3.619399979469447,5.801971927644125,-0.04311106353998184,23
25,3045,3.605488781316221,5.9276271323657905,-0.03567127510905266,24
26,24674,3.572889409409264,6.170921105885257,-0.046901311725378036,25
27,26957,3.577040941884389,6.115276819816015,-0.04262265935540199,26
28,26957,3.526039818677216,6.701152912744502,-0.04392087087035179,27
29,16847,3.5348338112151683,6.745143310364478,-0.04372596740722656,27
30,13486,3.7155990519630357,4.912273148772349,-0.036180440336465836,28
31,2000,3.616346979744373,4.599879906845357,-0.032375529408454895,29
32,43992,3.6110449362581343,4.805041992731577,-0.013490302488207817,30
33,13486,3.6098158495692134,4.809755749393047,-0.013403061777353287,30
34,13486,3.611773106450234,4.828511832524334,-0.011807037517428398,30
35,20412,3.6102306179375,4.8076133886831505,-0.011945084668695927,30
36,47516,3.852939576705933,5.700960390176721,0.03615724295377731,31
37,12960,3.880660193815153,5.189790780365454,0.04941166192293167,32
38,7379,3.817449248696931,9.204299542666607,0.02985929697751999,33
39,43051,3.688324943396346,8.170160985322607,0.009278603829443455,34
40,373,3.691584075984422,8.16733163433635,0.009597168304026127,35
41,10289,3.5891661263667167,9.472456155934552,0.004403887316584587,36
42,10915,3.5561686648945567,9.429616183222581,0.006061670370399952,37
43,11455,3.7597571404873276,9.727928447466855,0.009768928401172161,38
44,2204,3.9514071179874195,9.374006981259186,0.023689040914177895,39
45,24524,3.9425552432556277,8.42592891821185,0.023761026561260223,40
46,12593,4.058245297271523,6.596133097076995,0.025054465979337692,41
47,49507,4.101747913022063,6.3703096352621085,0.021768629550933838,42
48,2466,4.117592340826843,6.366326699700827,0.022628625854849815,43
49,14340,4.106332760572526,6.23657243384514,0.020616469904780388,44
50,10257,4.1192674367569095,6.540852822415197,0.03464198485016823,45
51,10271,4.115338681544694,6.532811866018714,0.03874213248491287,46
52,23817,4.129623591015828,6.493961072647686,0.03912454843521118,47
53,47261,4.1215885424192145,6.432067027216484,0.038230739533901215,48
54,49507,3.9527188375109334,8.012988231170716,0.018174367025494576,49
55,1556,3.9542122578293846,8.013488926038974,0.018536778166890144,49
56,20683,3.9551029827656556,7.962477140675469,0.02912169322371483,50
57,1570,3.9224550956414017,7.544283753929485,0.024669671431183815,51
58,1734,3.966926811781682,7.3132524087031685,0.015154268592596054,52
59,13703,4.034080976965292,7.997449852133028,0.03611712530255318,53
60,8311,3.9750010503328106,8.286849182162227,0.02495119534432888,54
61,4915,4.0606988800600625,8.196063287008954,0.029908161610364914,55
62,1075,3.8102819238989416,9.366703864864798,0.057303015142679214,56
63,1789,4.3231191938412765,5.895251500819967,0.06095610558986664,57
64,11674,4.343024684953694,5.857278746410856,0.061824094504117966,58
65,3096,4.066151408711542,7.3305236236875535,0.09998301416635513,59
66,10054,4.0668065495845696,7.351340472327651,0.09964799135923386,60
67,4334,4.073657063425208,7.540919612984483,0.09414572268724442,61
68,6882,4.14395182493679,7.530284271943132,0.09386632591485977,62
69,34663,4.1394981875606724,7.597267622568858,0.08896734565496445,63
70,3308,4.12364059993569,6.328752752404156,0.09604031592607498,64
71,2615,4.133784798312925,6.242453425744704,0.09578206390142441,65
72,8987,4.162557753785657,5.8470171375774465,0.09126026928424835,66
73,8987,4.122263711596296,5.636507532770645,0.07904486358165741,67
74,2237,4.12102683992703,5.630866427618247,0.0785185769200325,67
75,599,4.07352119966069,5.727166116814931,0.08529224246740341,68
76,11468,4.040879810976307,5.837166878389091,0.08246900886297226,69
77,11468,4.039673879844188,5.839290158335482,0.0757204219698906,70
78,11470,4.041479846756381,5.844087053283584,0.0750342607498169,70
79,3196,4.07441705853211,5.750831756806996,0.07472460716962814,71
80,40529,4.0805728710907285,5.910799710332528,0.06749391555786133,72
81,2016,3.9799041387547534,4.381604903454459,0.016513941809535027,73
82,2970,4.142656092479795,4.207501170499551,0.03866998851299286,74
83,4446,4.141112233808339,4.154459925575178,0.04021458700299263,75
84,11449,4.179386091906703,3.9485722876290996,0.04700104147195816,76
85,12661,4.2256176543846005,3.947988919372761,0.05048614740371704,77
86,22515,4.188705359866129,4.0865288248251215,0.042224228382110596,78
87,12660,4.1308350992963145,4.008989607431636,0.04045573249459267,79
88,7030,4.134006966543994,4.01862348739614,0.04062405973672867,80
89,11243,4.132140574638569,4.0153771695706135,0.040679726749658585,81
90,6881,4.115018869208411,4.093395319834558,0.04234183952212334,82
91,6881,4.139761592698291,3.843582017738178,0.05383189395070076,83
92,20209,4.119511268764635,3.8005469676138213,0.05419766530394554,83
93,16862,4.091644080154991,3.6839444027918216,0.05480295047163963,84
94,13170,4.2626269771856045,2.8528583972672155,0.05063774809241295,85
95,16095,4.295435838378319,2.872686763237512,0.05108311027288437,86
96,13171,4.307157547939884,2.8756559018225945,0.05343564599752426,87
97,13382,4.286170254505167,2.779222560025648,0.050956957042217255,88
98,13171,4.2694798912730985,2.7848801160065664,0.04075010493397713,89
99,16834,4.2848187093898975,2.789469216836183,0.04295065253973007,89
100,2447,4.261133226197207,2.781602535375342,0.03385510295629501,90
101,7318,4.188589772259917,2.6769698642615065,0.0237185787409544,91
102,5372,4.261999838160022,2.9625088474022716,0.03643914684653282,92
103,7108,4.145435998326504,2.983152284584684,0.031646184623241425,93
104,9723,4.242869302011296,2.764693326534341,0.0521504208445549,94
105,33333,4.290266171896009,2.7492542515451595,0.05939739570021629,95
106,33333,4.280752286618345,2.782937014646272,0.057038020342588425,96
107,13529,4.2786822094318255,2.787569919246986,0.056690990924835205,96
108,6585,4.2791075483801535,2.7909358282010848,0.05663163214921951,97
109,2240,4.285327695558307,2.814705973808757,0.05799051746726036,98
110,35777,4.239720528068101,3.2018609706458583,0.06525302678346634,99
111,2856,4.100032653044547,3.2475244870579254,0.04848773777484894,100
112,1731,4.13069075282999,3.2110737842878896,0.05263279005885124,101
113,3812,4.303174551089035,3.4049264022923955,0.05794096738100052,102
114,12365,4.294852870505478,3.334280845866062,0.05717848613858223,103
115,26717,4.281634909559978,3.3310710089802384,0.0635315403342247,104
116,23610,4.26829724084827,3.3821357283285436,0.061589814722537994,105
117,6571,4.1449178275548855,3.365538892159271,0.04847794771194458,106
118,44345,4.205139664957742,3.125748803339378,0.04287901148200035,107
119,26717,4.224757124408403,3.1071937095167557,0.04216791316866875,108
120,20220,4.224936295962387,3.116690186917161,0.0419062040746212,108
121,5150,4.186227604495032,2.949589332619346,0.0025951627176254988,109
122,9735,4.184858740606643,2.957983598760588,0.0022115488536655903,110
123,9525,4.14000970622942,2.9056531716450023,-0.0034291318152099848,111
124,2821,4.197354161398091,2.833435392092587,0.018212193623185158,112
125,11900,4.236446821762077,2.7754803932531567,0.03149218484759331,113
126,11900,4.254483677388291,2.747170009632573,0.03007086180150509,114
127,26985,4.263548372076841,2.7339289689944297,0.029450783506035805,114
128,47339,4.2631728261811395,2.732056000898172,0.033337950706481934,115
129,38497,4.200413751208323,2.700509047471731,0.03931055963039398,116
130,48829,4.244677341764747,2.6699246918302215,0.036237239837646484,117
