step,action,psnr_value,mse_value,ssim_value,rank
1,5810,6.063290128448136,0.24759933420036556,0.03127089887857437,1
2,13873,5.896694420294709,0.257272787512318,0.04427747800946236,2
3,10105,5.917315473268917,0.25605512438318934,0.04634617269039154,3
4,1104,6.117821514659289,0.24450552365429756,0.046168215572834015,4
5,14815,6.132748246429519,0.24367125196774092,0.03145655244588852,5
6,13455,6.0331287408844805,0.24933064101317087,0.005200715735554695,6
7,16919,6.087833378112627,0.24621378830116655,0.008982935920357704,7
8,42305,6.154076211326943,0.2424861178180759,0.03093375824391842,8
9,12960,6.010972454462755,0.25517409575770594,0.06179317459464073,9
10,6229,6.026863702249341,0.25531880170836907,0.07487872242927551,10
11,13618,6.180311894233338,0.24369380818135444,0.07225677371025085,11
12,8489,6.016078587698564,0.25443185456034473,0.08153430372476578,12
13,13923,6.148481401659676,0.24609756679058237,0.0918438732624054,13
14,3125,6.109644668772489,0.2489251483888654,0.09248539805412292,14
15,14576,6.176153805003204,0.24454314808250785,0.09931353479623795,15
16,46595,6.24525591401463,0.24125371534997195,0.10764551907777786,16
17,7768,6.257409405135488,0.241817234536411,0.1104096844792366,17
18,20233,6.658457367367649,0.21794785631291347,0.1445753574371338,18
19,3554,6.85188769011166,0.2083879864280718,0.10659006237983704,19
20,33120,6.74383229601836,0.21275171213616653,0.057062163949012756,20
21,1998,6.741092623376824,0.21277836505471037,0.056145913898944855,21
22,40843,6.730882588402456,0.2129322868061192,0.053522977977991104,22
23,15991,6.696911555506109,0.2144991414206005,0.04828105494379997,23
24,856,6.725731653164754,0.2133394134845821,0.06333339959383011,24
25,8716,6.71640158854629,0.21392376382586817,0.0605163648724556,25
26,30076,6.763041082643185,0.21246096419560526,0.06674406677484512,26
27,19965,6.755718786248313,0.21259297341858757,0.06113310530781746,27
28,33839,6.865460291583874,0.20777407992513974,0.11585192382335663,28
29,2435,6.935743113251251,0.20444557952267636,0.13813714683055878,29
30,33839,6.9349638964726115,0.2045150606633274,0.13802382349967957,30
31,2161,6.935410268969752,0.2044941026503015,0.13822025060653687,30
32,3119,6.930896888922611,0.20409985867178673,0.15976747870445251,31
33,33759,6.956183671358059,0.2027880574459631,0.16271992027759552,32
34,17444,7.02062182081463,0.19976083405419356,0.11923551559448242,33
35,3974,6.922388587121079,0.2045440129232294,0.09292920678853989,34
36,5354,6.935916536092368,0.20379904301402146,0.09566865861415863,35
37,1545,6.950897712981233,0.20367637095085836,0.08948276191949844,36
38,5295,6.979050121341115,0.20425845764043363,0.10730978101491928,37
39,16846,7.0037345259585315,0.20492790153107812,0.13063451647758484,38
40,3524,7.039821788341204,0.20529684893960723,0.1372675895690918,39
41,39947,7.0678951614175025,0.20394369418676028,0.13957905769348145,40
42,8926,7.312337164738344,0.1917525055076549,0.16127756237983704,41
43,1487,7.313777592897216,0.19166176442740568,0.16149476170539856,42
44,884,7.29693635732839,0.19390083749255507,0.16589441895484924,43
45,3327,7.315664150656977,0.1938490201203644,0.15928539633750916,44
46,1306,7.32594501798803,0.19351679499244104,0.16087459027767181,45
47,15870,7.300370456371659,0.19380964004746704,0.153687983751297,46
48,6645,7.327503521366276,0.19326062291857954,0.16027770936489105,47
49,4043,7.365353986896307,0.1903706277885754,0.18117965757846832,48
50,33195,7.393981736213213,0.18931324940190986,0.18519654870033264,49
51,1998,7.386179653561042,0.18974159602884255,0.18357668817043304,50
52,2808,7.386147674715861,0.18973431640885086,0.18353106081485748,50
53,39201,7.386610862223724,0.19044314603299226,0.18171970546245575,51
54,1740,7.411262299613575,0.18941451519431818,0.18351131677627563,52
55,1497,7.41412307778631,0.18841086617319988,0.1904267519712448,53
56,3259,7.534005588701852,0.1829292120995683,0.19234846532344818,54
57,38499,7.477071257225623,0.18483619289213796,0.182096466422081,55
58,7160,7.519800396248048,0.1853310109994345,0.1839090883731842,56
59,2443,7.522403295896267,0.18523028861622706,0.1840737909078598,57
60,47072,7.595966210661414,0.1825559985522947,0.19000567495822906,58
61,26566,7.635147054172895,0.1810020610300646,0.19438205659389496,59
62,118,7.6304212333916785,0.18166669435391933,0.1912500262260437,60
63,1335,7.720783019835369,0.17888884764151752,0.1874658614397049,61
64,2220,8.000937500588218,0.16351805281152743,0.23359398543834686,62
65,14610,8.007612975083397,0.16307020502249037,0.23297810554504395,63
66,16815,8.020203931499557,0.16260028289404646,0.23719434440135956,64
67,17049,8.010962110381882,0.1628983985613902,0.2356073260307312,65
68,4919,8.044491667360411,0.16280696847259404,0.26048609614372253,66
69,1109,8.040247929428146,0.16271567420232005,0.2605668902397156,67
70,4692,8.039930943031294,0.16212094549079614,0.25713440775871277,68
71,6820,8.095205733034614,0.160081006082732,0.25948020815849304,69
72,16808,8.165614798249365,0.158305128038665,0.28393036127090454,70
73,10087,8.180919249405822,0.1583086358880731,0.28378191590309143,71
74,3687,8.189350644528684,0.15821271935552633,0.2883370518684387,72
75,4655,8.291668115629529,0.15467411581720827,0.31019946932792664,73
76,2536,8.308574219306077,0.1541246043322379,0.31192392110824585,74
77,603,8.29409070698257,0.15397599094379175,0.310665488243103,75
78,9826,8.294540413230639,0.15395840108818246,0.3107520043849945,76
79,6475,8.264543996816663,0.1548951824813897,0.3171047568321228,77
80,2640,8.312371875902988,0.15472724728227655,0.3092287480831146,78
81,2174,8.524295599580645,0.1500649150695022,0.3277830481529236,79
82,2399,8.528500385275885,0.14971121390869183,0.3210185468196869,80
83,17924,8.551940468094909,0.14900279251563917,0.32244232296943665,81
84,2474,8.63171262546526,0.146082549943486,0.344705194234848,82
85,6944,8.616607244030515,0.1463985884009243,0.3457754850387573,83
86,18179,8.627313034264581,0.1450263524693153,0.34804579615592957,84
87,23774,8.656005694435713,0.14411354038487337,0.34832707047462463,85
88,14369,8.762650626533556,0.14087977915944067,0.3887607753276825,86
89,42567,8.756557008788274,0.14099078839681978,0.388188898563385,87
90,13903,8.740866655966114,0.14116358603087267,0.3862776458263397,88
91,30763,8.845044167017534,0.137596696109152,0.4117741882801056,89
92,20443,8.849078005002188,0.13718224620378655,0.4092954695224762,90
93,30285,8.834377132724423,0.1378830024504348,0.4129892587661743,91
94,815,8.821506261485052,0.13824469501775133,0.41033267974853516,92
95,12765,8.866684757205777,0.13700065504064293,0.4126134216785431,93
96,1390,9.066977406546888,0.12858444848027525,0.4400584101676941,94
97,2009,9.067378443045568,0.12871863088968288,0.43961721658706665,95
98,29836,9.076566151711077,0.12871535105427837,0.4413256347179413,96
99,5309,9.15952976516712,0.12575316180428167,0.4581141769886017,97
100,1935,9.161257473947066,0.1257956702241467,0.4587392508983612,98
101,2021,9.180646685102584,0.12493330034188047,0.46014055609703064,99
102,4184,9.245061382655079,0.12307745225020375,0.46699827909469604,100
103,1477,9.366124095952026,0.12047184181124775,0.49702322483062744,101
104,5166,9.480927069818506,0.11761173322913238,0.49660852551460266,102
105,1067,9.580047225869588,0.11488796122095664,0.4964531660079956,103
106,1635,9.611402062196857,0.1140128217210036,0.4955456852912903,104
107,27366,9.605262327758744,0.11422633114427778,0.4950421154499054,105
108,10753,9.792317574941018,0.10787798934675658,0.48264750838279724,106
109,10020,9.802718586442726,0.1075702296851493,0.48591378331184387,107
110,17292,9.802820472564468,0.10760338762129121,0.48836749792099,108
111,1986,9.868143188478559,0.10603230122412141,0.4950927793979645,109
112,37229,9.93725361837252,0.1041001029410351,0.49879172444343567,110
113,4718,9.954395137569488,0.1041385769117513,0.5022725462913513,111
114,26685,10.028831131228664,0.10258567472512369,0.504880428314209,112
115,23340,10.02254860903854,0.1028520095261653,0.5017170906066895,113
116,1347,10.202810342956344,0.099521584858594,0.5225155353546143,114
117,1786,10.413623331813724,0.09502964520125615,0.5241405963897705,115
118,13411,10.383452243284152,0.09689873233541826,0.5286286473274231,116
119,37229,10.382518727305719,0.09725440304026557,0.5289018750190735,117
120,37169,10.385888276560259,0.0972539442903111,0.5291624665260315,117
121,20160,10.390324265071714,0.09715997544494813,0.5285168290138245,118
122,13470,10.374104193976681,0.09764815110135436,0.5270061492919922,119
123,30419,10.404300530999159,0.09756600156587258,0.533406138420105,120
124,26583,10.446205957436401,0.09728211649504627,0.5375264883041382,121
125,29256,10.519420184508167,0.09528691046583036,0.5385812520980835,122
126,2240,10.52792034831283,0.09518811449432785,0.5402374863624573,123
127,2390,10.568309866739188,0.09276880727506877,0.5414782166481018,124
128,10291,10.599672720712547,0.09226649442936276,0.5407577157020569,125
129,2887,10.605737859276472,0.09207797223469597,0.5376938581466675,126
130,132,10.651761107290058,0.09096112898073544,0.5384930968284607,127
131,2986,10.655427003398021,0.0916393053783597,0.5363084673881531,128
132,39853,10.630399286442803,0.09174666883253343,0.5328748822212219,129
133,2830,10.821931861536832,0.08836121973518857,0.5212118029594421,130
134,373,10.81251124169103,0.0884321006787286,0.520689070224762,131
135,39171,10.80480093886315,0.08856047758326895,0.5203417539596558,132
136,2001,11.007664851385945,0.08457300472430891,0.5293236374855042,133
137,2894,11.007279470380686,0.08470663205591134,0.5294317603111267,134
138,11632,11.021917317921394,0.08434137491316,0.5328299403190613,135
139,17679,11.058602783076598,0.08409225140700276,0.5377961993217468,136
140,800,11.05681366922644,0.08413894277091863,0.5371628999710083,137
141,7357,11.093041570788763,0.0837389680616055,0.5416696071624756,138
142,9634,11.09958867681897,0.08386714694934956,0.5421319603919983,139
143,50177,11.100011085057378,0.08387897881144664,0.5421928763389587,140
144,3139,11.066417278911205,0.0845112656216669,0.5411714315414429,141
145,20148,11.492318289610228,0.07580823944571118,0.5550176501274109,142
146,27089,12.018386850050739,0.06783264606691065,0.6115755438804626,143
147,1097,12.1760413986282,0.06540520585460602,0.6287628412246704,144
148,2388,12.148003165196501,0.06581477175748053,0.6274927854537964,145
149,24119,12.24436338570587,0.06487333268831409,0.6309579014778137,146
150,1050,12.317801295394567,0.0639613452155259,0.6371191143989563,147
151,20469,12.323658708025206,0.0638865548819831,0.6355705261230469,148
152,3699,12.332292955690676,0.06382990791615965,0.6358405947685242,149
153,6223,12.32861070226386,0.06378982127499411,0.6343389749526978,150
154,16818,12.328404476439774,0.06379201189063881,0.6343638300895691,151
155,16846,12.340959351534961,0.06368210346532541,0.6346554160118103,152
156,2402,12.340217304962211,0.06368133551805297,0.6345990300178528,152
157,2015,12.407741879056669,0.06291853487239148,0.6394698619842529,153
158,2405,12.466268351626313,0.062061421348103066,0.6406016945838928,154
159,868,12.465588943807013,0.06209182588251483,0.6417607665061951,155
160,2399,12.460306206750184,0.062177850521765096,0.6416366100311279,156
161,50179,12.460513173993274,0.062176069312786617,0.6416313648223877,156
162,119,12.61449529447617,0.06050699987991215,0.6445410847663879,157
163,16994,12.720992015194987,0.059384015739439446,0.6458288431167603,158
164,16424,12.723849379408723,0.059369150830073825,0.6460155844688416,159
165,45465,12.991893528738377,0.055829172661694126,0.65981125831604,160
166,8957,12.990571151670522,0.05586220352836891,0.6595356464385986,161
167,1335,12.984651969607647,0.055292779319526045,0.6591063737869263,162
168,1726,12.990781711020462,0.05521274103725066,0.6593029499053955,162
169,30869,13.02847937312131,0.05465994283344941,0.6611253023147583,163
