step,action,psnr_value,mse_value,ssim_value,rank
1,17229,5.165101508845311,0.3045369462394673,0.009569658897817135,1
2,10005,5.53748822565693,0.27948778649030565,-0.028437046334147453,2
3,46855,5.665253818459162,0.2713687657356463,-0.032033298164606094,3
4,23613,5.633225835378153,0.2733751209208274,-0.03382136672735214,4
5,13425,5.634590911222577,0.2751895524883811,-0.08858557045459747,5
6,16127,5.554245463142857,0.28127276058462386,-0.07389584183692932,6
7,40783,5.963918393448254,0.2558388387585162,-0.049059584736824036,7
8,20190,6.063340471613375,0.24932848818534492,-0.009888033382594585,8
9,13455,6.009528028546599,0.25485443646702655,0.03682712838053703,9
10,8058,6.0662756515554666,0.251219148168198,0.03346873074769974,10
11,30779,6.315801561375785,0.24507073296201673,0.08245086669921875,11
12,16155,6.3135983383020475,0.24906452817195612,0.090532585978508,12
13,168,6.376090411463221,0.24455022001742488,0.09014800190925598,13
14,37169,6.3754010182042675,0.24462949357875105,0.08961260318756104,14
15,13574,6.372121244177141,0.24514617281151005,0.0903516486287117,15
16,23340,6.539752589745296,0.23584999058360456,0.17002010345458984,16
17,10258,6.585666672707897,0.23037117066167842,0.17018236219882965,17
18,11022,6.645351666498868,0.22772726731429835,0.17374347150325775,18
19,20235,6.619057498291685,0.22649031145084236,0.16950422525405884,19
20,20459,6.633216540041795,0.22562687624051855,0.16917100548744202,20
21,49081,6.74818449125803,0.21705342205695488,0.22221215069293976,21
22,214,6.7456254090085,0.21746837839039573,0.21964047849178314,22
23,3271,6.914113116750159,0.2068770073061195,0.22220858931541443,23
24,3330,6.9067214051827355,0.2072459165868511,0.21847596764564514,24
25,30394,6.9012832698027635,0.2074442008556574,0.2147335708141327,25
26,47485,6.923636391589822,0.20628039152469785,0.21582484245300293,26
27,6150,6.974998651542698,0.20351497264494683,0.21759968996047974,27
28,10544,7.033652032763058,0.20055709658006285,0.22837494313716888,28
29,4454,7.03982519453469,0.2005202514437648,0.2302861213684082,29
30,4474,7.092330388387901,0.19733125208573055,0.2342344969511032,30
31,48631,7.15036011406775,0.19556035350320194,0.237567737698555,31
32,40537,7.151873129609823,0.1958089269987133,0.24025367200374603,32
33,14309,7.180582025477001,0.19465086185900873,0.24060991406440735,33
34,30316,7.248928514538971,0.19085795253025328,0.2527299225330353,34
35,8026,7.249158687703439,0.19084261282963175,0.2528497874736786,35
36,3370,7.241428518881334,0.19118247874384842,0.2517050504684448,36
37,17939,7.27797183674035,0.1893321184536843,0.2529555857181549,37
38,9990,7.28672011600313,0.18888225274985113,0.2536051273345947,38
39,3747,7.28517035523236,0.18893551471484696,0.2529674470424652,39
40,10319,7.494582615765168,0.1800042618188824,0.26830562949180603,40
41,425,7.648552461509408,0.17471543701310616,0.28572237491607666,41
42,13664,7.657300965569256,0.17449766432902833,0.2848525643348694,42
43,5833,7.735415819789039,0.17150566815261198,0.29686349630355835,43
44,13693,7.797392603172771,0.16908663176297017,0.298740953207016,44
45,1118,7.854300389914526,0.1667633633752525,0.30997857451438904,45
46,6240,7.843736884600606,0.1673759912508831,0.3058808147907257,46
47,17083,7.912153323997293,0.164970153965963,0.3069407641887665,47
48,8909,7.984834280907576,0.1619783374063425,0.30788516998291016,48
49,12545,7.971164454600576,0.1624592196800097,0.306488960981369,49
50,17093,7.969743106230105,0.1625877090863883,0.30698028206825256,50
51,23619,7.981943636171102,0.16224773374269716,0.30699631571769714,51
52,1535,7.982514508838339,0.16228569013803887,0.30540692806243896,52
53,23774,8.058717144541994,0.15967067167895138,0.32079270482063293,53
54,36902,8.066829185129876,0.15955088256745106,0.32432398200035095,54
55,13490,8.041336617870808,0.1602956574997395,0.3288591206073761,55
56,1665,8.206687284058846,0.15449494663195865,0.3417530059814453,56
57,410,8.21379908353842,0.15448503857208884,0.3452657461166382,57
58,315,8.214828778454295,0.15448195609659807,0.3459911346435547,58
59,4005,8.222826144738013,0.15424970307384228,0.34644582867622375,59
60,10065,8.229364971962296,0.15408695865366503,0.34350574016571045,60
61,9601,8.236160583872,0.15393966987112032,0.34843823313713074,61
62,20398,8.309559300813724,0.15169388327467864,0.3441343605518341,62
63,2015,8.32968229842722,0.15092376688567027,0.38113290071487427,63
64,11846,8.330168027679232,0.15091737283083906,0.3807152807712555,64
65,11875,8.331139109940839,0.15083908556119557,0.3822421133518219,65
66,10199,8.311229966998477,0.15161298949358953,0.37895143032073975,66
67,655,8.313138912731953,0.15162036917209157,0.38556337356567383,67
68,40725,8.36507929136729,0.14987925380983422,0.38794368505477905,68
69,12932,8.3656754868035,0.14986273964723448,0.38791313767433167,69
70,1025,8.323688783934937,0.15114321257556892,0.38692522048950195,70
71,9993,8.32913190629027,0.15093885513315197,0.38634222745895386,71
72,20369,8.360239063230344,0.1496808131230177,0.41816452145576477,72
73,30060,8.429566360079532,0.14793220831659307,0.43588611483573914,73
74,27134,8.381610141645288,0.14914445874837434,0.4344387650489807,74
75,27133,8.388132982737853,0.14858259251142752,0.4295338988304138,75
76,13495,8.437702132227162,0.14720445435130386,0.4253104627132416,76
77,6729,8.44631750282848,0.14677147036748162,0.4255433976650238,77
78,1725,8.459050862697689,0.14634845249597372,0.4264221489429474,78
79,3523,8.467289894000785,0.146074430308632,0.4264668822288513,79
80,48605,8.496974759836311,0.14502120403112712,0.42389699816703796,80
81,48701,8.628122287172566,0.1413893339983123,0.4508877694606781,81
82,23618,8.604204278841399,0.1419283837347353,0.45357546210289,82
83,2663,8.660354032661711,0.14073622075713907,0.45591792464256287,83
84,48609,8.684226318790728,0.14023536555879598,0.4558766484260559,84
85,48607,8.73174592222156,0.1387656928797651,0.45916232466697693,85
86,10021,9.046744105996115,0.12988146140439413,0.46762317419052124,86
87,10006,9.056197755470155,0.1297810540400728,0.4720974862575531,87
88,23611,9.051966791193223,0.12994431443173224,0.4747035801410675,88
89,6929,9.052840414445672,0.13029609019798652,0.4750107526779175,89
90,668,9.083135925795347,0.1295135265357385,0.47585946321487427,90
91,599,9.082149812301136,0.12955156098844275,0.47540122270584106,91
92,42375,9.088446931157012,0.12934935085122964,0.4745521545410156,92
93,10096,9.1944156849597,0.12607032907551102,0.49024948477745056,93
94,6721,9.30147372120626,0.12267734257788106,0.49138471484184265,94
95,8986,9.30291804695013,0.12262198109300193,0.49163055419921875,95
96,20239,9.314581472298398,0.1221187445913832,0.4954114258289337,96
97,44123,9.318397680806683,0.1220480902783265,0.49629250168800354,97
98,2671,9.350299324044206,0.12116295614716364,0.49559924006462097,98
99,16800,9.370661468033234,0.12024149488916414,0.4994989335536957,99
