step,action,psnr_value,mse_value,ssim_value,rank
1,2864,5.571878957385366,0.27724482218236673,0.02191980741918087,1
2,195,5.866527411319577,0.25907538753609316,0.02811187505722046,2
3,9105,6.300901618196395,0.23443073480571103,0.02857162244617939,3
4,30302,6.294934685222906,0.23475233698859585,0.028725525364279747,4
5,50445,6.294766410511485,0.23475720209159287,0.03568466752767563,5
6,13475,6.29535966735415,0.23472475629416295,0.03586556762456894,6
7,5173,6.29588503065216,0.2346980208058287,0.04024739935994148,7
8,1567,6.371350892969793,0.23071388603843945,0.026699652895331383,8
9,23100,6.783807889930294,0.20997867260981973,0.014831539243459702,9
10,16396,6.792976764049178,0.2095063545913015,0.04462520405650139,10
11,13411,6.844952722630184,0.20720001715401545,0.065255306661129,11
12,164,6.862419375393458,0.20635318226585292,0.06504569947719574,12
13,15071,6.874002106238741,0.20579890330376252,0.06439527869224548,13
14,11687,6.881328325329692,0.2053938364217255,0.06625154614448547,14
15,3330,6.8799589674002455,0.20547771255288455,0.06611626595258713,15
16,47961,6.94143982124328,0.2028491182050857,0.1048135831952095,16
17,2310,6.954420473812037,0.20278007411737337,0.10440775752067566,17
18,13412,7.0101966951198875,0.20083356960099788,0.12088578194379807,18
19,6916,7.0617501945267955,0.19947590913320912,0.1484639197587967,19
20,871,7.081377142651018,0.19876671007612964,0.12728020548820496,20
21,17009,7.13607031945018,0.1960523294383337,0.1351115107536316,21
22,17684,7.184722826688162,0.19443533728807222,0.19109827280044556,22
23,5620,7.177960615824856,0.1947210620463079,0.1904408484697342,23
24,10124,7.1748991562367435,0.19467385177302174,0.18949979543685913,24
25,2467,7.8543041980452335,0.16906492501825154,0.19332054257392883,25
26,23541,7.855262941702259,0.16895452961099486,0.19324572384357452,26
27,3281,7.896748216674472,0.16834963356076008,0.20636044442653656,27
28,6520,7.906970380162177,0.16817462465287664,0.20132789015769958,28
29,6299,7.920013821295498,0.168051348467735,0.20122115314006805,29
30,8300,8.015958327801474,0.16490375985270575,0.20986095070838928,30
31,6489,8.087367398157204,0.16739720636475086,0.19969293475151062,31
32,664,8.10307243602814,0.16708007329576502,0.19818827509880066,32
33,33736,8.311581005270723,0.15698591123865804,0.21511514484882355,33
34,43655,8.350108486422203,0.15592914511077752,0.21533387899398804,34
35,5139,8.41221648354585,0.1537479807506275,0.21507403254508972,35
36,27268,8.412029721225501,0.15434352862231765,0.21122394502162933,36
37,45927,8.420198012654069,0.15402103694160157,0.21529977023601532,37
38,1118,8.447452543181942,0.15211694970764156,0.21817801892757416,38
39,12576,8.45039744723089,0.15213477388438293,0.21843653917312622,39
40,2467,8.462810369440504,0.15154484958207226,0.2237662523984909,40
41,5371,8.46289856273279,0.1515514614330712,0.2237766534090042,40
42,6647,8.463343085738218,0.15149188421380838,0.22383086383342743,41
43,49081,8.492210065891827,0.15016059717651475,0.23666426539421082,42
44,8545,8.482971601926375,0.1506089604156672,0.236147940158844,43
45,116,8.580100138812822,0.14702209189318333,0.2389046847820282,44
46,46821,8.578738679550098,0.14723301773688743,0.23919065296649933,45
47,48449,8.67537226784515,0.1449742372120314,0.24426862597465515,46
48,3046,8.67362692532491,0.14483024249787252,0.24433551728725433,47
49,357,8.70387739170426,0.14235637246536675,0.25468891859054565,48
50,4265,8.806823571316567,0.13973451298625958,0.27532756328582764,49
51,40533,8.866597319565013,0.1372192855117242,0.2725149989128113,50
52,3447,8.859811345728785,0.13731760513395885,0.2705133557319641,51
53,2917,8.936957355477809,0.13434198982390727,0.28061068058013916,52
54,10565,8.960281623762738,0.13281047619268874,0.28145426511764526,53
55,6690,8.952252444112778,0.13329724952460917,0.28404033184051514,54
56,217,8.9560321729231,0.13333760666576355,0.2852819561958313,55
57,9360,8.978947279728288,0.13294044400239993,0.28933700919151306,56
58,13366,9.001267379280296,0.13237875475633093,0.29445692896842957,57
59,10050,9.074131335365369,0.1304385159247747,0.3153827488422394,58
60,6474,9.08181446732762,0.13001247677221625,0.3153039813041687,59
61,23613,9.091820009782401,0.12984288406526806,0.31692931056022644,60
62,6511,9.164987575610388,0.1284830806589811,0.3242996037006378,61
63,6883,9.169174937260543,0.12835437409327546,0.32439932227134705,62
64,5970,9.301716987052231,0.12451900576796886,0.3412390649318695,63
65,2690,9.310419318554784,0.1236651919476329,0.3602601885795593,64
66,46369,9.387074849176432,0.1215467025222784,0.3558306097984314,65
67,5942,9.42933079806884,0.12058505926841058,0.3575219213962555,66
68,1789,9.50416498846883,0.11894149553624124,0.38258129358291626,67
69,47879,9.673034857040474,0.11397090419868619,0.391433447599411,68
70,26777,9.67177697749689,0.11407302965307786,0.3920624554157257,69
71,23639,9.674726507758821,0.11410916952592541,0.3904392421245575,70
72,2456,9.67378886214554,0.11419840227939454,0.3901834487915039,71
73,411,9.699636761802534,0.11349662512820538,0.39413681626319885,72
74,2918,9.699365496992025,0.1135335934901458,0.3936989903450012,73
75,10348,9.714666025122128,0.11327757547748964,0.39649826288223267,74
76,5381,9.711584220394093,0.1132023676818426,0.3947024941444397,75
77,23520,9.720135738992452,0.11320596918289699,0.39640408754348755,76
78,2244,9.781220376212792,0.11208585967204676,0.4131694734096527,77
79,2691,9.78823375121365,0.11187822491570841,0.4137161374092102,78
80,6898,9.939403344934316,0.108738742960943,0.42334240674972534,79
81,1999,9.955363309137127,0.10866330858457837,0.4296255111694336,80
82,779,9.959747691112428,0.10859288820112448,0.4250168800354004,81
83,20279,9.976639609325598,0.10810892221708603,0.4231506288051605,82
84,22605,9.979650420458814,0.10814766310918154,0.4237334132194519,83
85,23055,9.992987588112776,0.10797353212319144,0.42887163162231445,84
86,5163,10.005547519365274,0.10773368977073142,0.4321824014186859,85
87,2872,10.007510636071373,0.10792009313121273,0.4347518980503082,86
88,16887,10.06768235105482,0.10656276989328439,0.43694549798965454,87
89,10662,10.167191838883491,0.1032603384250049,0.44969144463539124,88
90,10587,10.23050198824781,0.10111991767441295,0.4559161067008972,89
91,50413,10.256479376921465,0.10041746656935055,0.45729103684425354,90
92,6710,10.275640077179599,0.10026428065752649,0.46115678548812866,91
93,41854,10.283030918044762,0.10004598409951945,0.46121424436569214,92
94,10080,10.292227608907682,0.1001018791729358,0.4595370292663574,93
95,664,10.380024285623616,0.0986088902211567,0.46180886030197144,94
96,38531,10.379997432319726,0.09860895412039503,0.46180611848831177,94
97,7363,10.39573079438731,0.09827402525255619,0.46083250641822815,95
98,47937,10.399597217170239,0.09817907636688182,0.4620620608329773,96
99,3300,10.537161296891512,0.09570808564411386,0.47221124172210693,97
100,3091,10.630399706843757,0.09419783325538926,0.4911418855190277,98
101,6288,10.627414995222944,0.09422308819538071,0.4910401999950409,99
102,207,10.62512401194503,0.09423385929155302,0.4903160035610199,100
103,2822,10.615168169376311,0.09418593092994115,0.48825603723526,101
104,2913,10.68075723661002,0.09285102372159251,0.4996880888938904,102
105,6044,10.677594940942633,0.09285249101358305,0.5018078684806824,103
106,8324,10.775412459923334,0.09095673232742936,0.5013871788978577,104
107,5568,10.823336716478407,0.08986715730983784,0.5033071637153625,105
108,1664,10.826530573415244,0.0896849943890993,0.5020920038223267,106
109,17759,10.814504370497282,0.08993963977775113,0.5028734803199768,107
