step,action,psnr_value,mse_value,ssim_value,rank
1,48387,5.57033304165233,0.27736439118863165,0.033288002014160156,1
2,16198,5.89850074857921,0.2571563854829286,0.021477602422237396,2
3,6233,5.969948194125175,0.2529656625314189,0.03098752535879612,3
4,30316,6.02887157638809,0.24959249110621068,0.02199566923081875,4
5,11905,6.036940179187042,0.24914775509807163,0.019233381375670433,5
6,3129,6.068181727390342,0.24763070357040654,0.015261487103998661,6
7,3095,6.07124370399155,0.24713406527887427,0.016303014010190964,7
8,3929,6.0716303779838,0.24711229345725388,0.010794442147016525,8
9,43695,6.0820891732228555,0.24651884225845935,0.007871345616877079,9
10,4930,6.097486858089862,0.2456490775658543,0.000249195727519691,10
11,3240,6.1614062716899305,0.24209382129082366,-0.005560229066759348,11
12,17039,6.144696578199779,0.24401914201667751,-0.02061203494668007,12
13,1306,6.190753892259885,0.24141042859347542,0.007824999280273914,13
14,3899,6.2081978893707,0.24053683645101653,0.01066273171454668,14
15,23773,6.219885858254362,0.2404141998884664,0.015842897817492485,15
16,299,6.253258330276347,0.2384602069003355,0.04920165240764618,16
17,2919,6.4525401481086675,0.226426646070128,0.07499373704195023,17
18,29730,6.458617079168418,0.2261118756251219,0.07601860165596008,18
19,49951,6.469816287137612,0.22556618592930236,0.09765791147947311,19
20,2201,6.4863622504786465,0.22484559001915638,0.08396484702825546,20
21,13615,6.529395449426335,0.22266817738667466,0.08628538250923157,21
22,4237,6.580430621488068,0.22005857210964935,0.12072098255157471,22
23,47043,6.587116596424579,0.2195821785330999,0.11886398494243622,23
24,40737,6.5878188829153554,0.21956544795548527,0.11701525747776031,24
25,4695,6.587257100710492,0.21978223324253374,0.11589750647544861,25
26,6480,6.586362194574381,0.22023410335537846,0.11574140936136246,26
27,9444,6.592469646396394,0.2200205900614037,0.11111871153116226,27
28,16194,6.585397395653426,0.22034008779165054,0.10660504549741745,28
29,41687,6.606591892308247,0.21922330284456318,0.10609802603721619,29
30,1469,6.625895435908387,0.21791739181112157,0.11173544079065323,30
31,47517,6.685173181779586,0.21495627674774367,0.11571764200925827,31
32,30317,6.685965175349456,0.2156971437356454,0.11740265041589737,32
33,13451,6.685080889680428,0.21575344170589436,0.1172204464673996,33
34,6150,6.748092822431659,0.2122997464099007,0.10991882532835007,34
35,16320,7.006003864433402,0.20000024726160012,0.17146416008472443,35
