step,action,psnr_value,mse_value,ssim_value,rank
1,226,5.430634539621795,0.28661625366401766,0.022647041827440262,1
2,226,5.430647905587178,0.286615320292784,0.023500531911849976,2
3,226,5.430647682648797,0.28661533499340364,0.023479638621211052,2
4,226,5.430647257834877,0.2866153630057596,0.02344236522912979,2
5,226,5.430648641003044,0.2866152717992238,0.02358126826584339,2
6,0,5.430647061014633,0.286615375984152,0.023425977677106857,2
7,0,5.474369170034312,0.2837435512825249,0.023789238184690475,3
8,0,5.482621908500944,0.2832053257443241,0.024015966802835464,3
9,0,5.48557955421726,0.28301268331717105,0.02413807064294815,3
10,0,5.486937855999802,0.28292425603512905,0.024211596697568893,3
11,0,5.487584381892498,0.2828821760417089,0.02425426058471203,3
12,0,5.4880110593195575,0.28285440860533695,0.024287106469273567,3
13,0,5.488319079787008,0.28283436490854275,0.024314498528838158,3
14,0,5.488489722657302,0.2828232612958615,0.024331672117114067,3
15,0,5.488620662709365,0.28281474144932944,0.024346234276890755,3
16,0,5.48871586333185,0.2828085472063288,0.024357832968235016,3
17,0,5.488792093387373,0.2828035873713823,0.024367930367588997,3
18,0,5.488861511636793,0.28279907080458916,0.024377942085266113,3
19,0,5.48890701613415,0.28279611020049106,0.02438504435122013,3
20,0,5.488945319839669,0.28279361811684056,0.02439144439995289,3
21,0,5.488979654398119,0.2827913842848008,0.024397581815719604,3
22,0,5.488996432587934,0.2827902926629846,0.024400746449828148,3
23,0,5.489016923840357,0.2827889594974847,0.02440478652715683,3
24,0,5.489034398343245,0.282787822610287,0.024408401921391487,3
25,0,5.489048382888679,0.2827869127940203,0.024411430582404137,3
26,0,5.489060635124805,0.2827861156605414,0.024414191022515297,3
27,0,5.48906659221378,0.2827857280968608,0.024415578693151474,3
28,0,5.48907616141491,0.28278510553669417,0.02441786602139473,3
29,0,5.489086909496356,0.28278440627176543,0.024420535191893578,3
30,0,5.4890982478210955,0.28278366862703347,0.02442348562180996,3
31,0,5.489105201925744,0.2827832161853527,0.02442537434399128,3
32,0,5.489114175630733,0.282782632384762,0.024427907541394234,3
33,0,5.489121282197211,0.2827821700400179,0.02443000301718712,3
34,0,5.489122903466626,0.28278206455273164,0.024430491030216217,3
35,0,5.489127936306901,0.28278173712713667,0.024432044476270676,3
36,0,5.489133759094077,0.28278135831219686,0.024433907121419907,3
37,0,5.489137307286075,0.2827811274683747,0.024435076862573624,3
38,0,5.489141156447499,0.28278087704789334,0.024436384439468384,3
39,0,5.4891437249215596,0.28278070994792737,0.024437276646494865,3
40,0,5.489147914872266,0.2827804373555012,0.024438774213194847,3
41,0,5.48914964743776,0.2827803246411518,0.024439411237835884,3
42,0,5.489154995383679,0.2827799767179231,0.024441437795758247,3
43,0,5.489157343236988,0.2827798239649814,0.024442361667752266,3
44,0,5.489160161726283,0.2827796406064516,0.024443501606583595,3
45,0,5.489161516059804,0.28277955249428155,0.024444062262773514,3
46,0,5.489163260790159,0.28277943898416874,0.02444479800760746,3
47,0,5.489165167052612,0.2827793149651155,0.02444561943411827,3
48,0,5.48916635368034,0.2827792377662351,0.024446139112114906,3
49,0,5.489168344270775,0.282779108265055,0.024447033181786537,3
50,0,5.489171492785882,0.2827789034247939,0.024448497220873833,3
51,0,5.489173091217938,0.2827787994408175,0.024449268355965614,3
52,0,5.489174363917938,0.2827787166414547,0.024449894204735756,3
53,0,5.489175606746652,0.2827786357846755,0.024450520053505898,3
54,0,5.489176677196954,0.282778566137269,0.02445107139647007,3
55,0,5.489177329640501,0.28277852369845147,0.02445141039788723,3
56,0,5.489178124018186,0.2827784720119888,0.024451829493045807,3
57,0,5.489178939663082,0.28277841895053185,0.024452269077301025,3
58,0,5.489180446052108,0.28277832095107913,0.024453096091747284,3
59,0,5.489181514139036,0.2827782514626442,0.024453697726130486,3
60,0,5.489182831064937,0.2827781657893751,0.02445446141064167,3
61,0,5.489184222212645,0.28277807527995485,0.024455292150378227,3
62,0,5.489184679860921,0.28277804550608954,0.02445557340979576,3
63,0,5.489185832013346,0.28277797055273135,0.024456292390823364,3
64,0,5.489186574440177,0.2827779222524024,0.024456767365336418,3
65,0,5.489186967487841,0.2827778966804834,0.024457024410367012,3
66,0,5.4891876410838165,0.2827778528549007,0.02445746771991253,3
67,0,5.489188013490679,0.2827778286318473,0.024457719177007675,3
68,0,5.48918864506959,0.28277778754254207,0.024458147585392,3
69,0,5.489189155118639,0.2827777543555089,0.024458501487970352,3
70,0,5.489190323923447,0.2827776783216224,0.024459337815642357,3
71,0,5.489190977015294,0.2827776358283484,0.02445981837809086,3
72,0,5.489191333331325,0.2827776126505106,0.024460086598992348,3
73,0,5.489191710133001,0.2827775881391352,0.02446037530899048,3
74,0,5.489192090149928,0.2827775634138144,0.024460669606924057,3
75,0,5.489192639104628,0.28277752770095677,0.024461103603243828,3
76,0,5.489193037173551,0.28277750180294553,0.024461423978209496,3
77,0,5.489193299280524,0.28277748475062325,0.024461638182401657,3
78,0,5.489193422163212,0.2827774767542488,0.024461740627884865,3
79,0,5.489193660164581,0.28277746127185177,0.024461938068270683,3
80,0,5.489194065688018,0.2827774348889708,0.024462280794978142,3
81,0,5.48919414631699,0.2827774296447839,0.024462349712848663,3
82,0,5.489194398792398,0.2827774132200695,0.024462567642331123,3
83,0,5.4891945247751135,0.2827774050245602,0.024462677538394928,3
84,0,5.489194382743351,0.28277741426011105,0.02446255460381508,3
85,0,5.489194348753598,0.28277741647543,0.02446252480149269,3
86,0,5.489194722046747,0.28277739219087045,0.024462850764393806,3
87,0,5.489195292785924,0.28277735505865137,0.024463361129164696,3
88,0,5.48919512537103,0.28277736594995145,0.024463210254907608,3
89,0,5.489195365895371,0.2827773503029561,0.024463428184390068,3
90,0,5.489195561333496,0.28277733758445284,0.024463606998324394,3
91,0,5.489196009129903,0.28277730845501103,0.02446402981877327,3
92,0,5.489196070519685,0.28277730445947546,0.024464087560772896,3
93,0,5.489196279827678,0.28277729084441255,0.024464286863803864,3
94,0,5.48919652478867,0.28277727490841614,0.024464527145028114,3
95,0,5.48919650923858,0.2827772759160878,0.02446451224386692,3
96,0,5.489196797140177,0.2827772571874172,0.024464795365929604,3
97,0,5.489196787948892,0.2827772577885406,0.024464787915349007,3
98,0,5.48919686635411,0.28277725268579834,0.024464868009090424,3
99,0,5.489197049662328,0.28277724075820787,0.024465052410960197,3
100,0,5.489197174329576,0.282777232647326,0.024465179070830345,3
101,0,5.4891969997146735,0.28277724401111065,0.02446500025689602,3
102,0,5.489197360205276,0.2827772205544258,0.024465372785925865,3
103,0,5.489197410955988,0.28277721725515087,0.024465423077344894,3
104,0,5.489197412407798,0.28277721716108084,0.024465424939990044,3
105,0,5.489197655800318,0.28277720132626877,0.024465681985020638,3
106,0,5.489197712432415,0.2827771976409477,0.024465743452310562,3
107,0,5.489197920878319,0.2827771840823462,0.02446596883237362,3
108,0,5.489198048018879,0.28277717580822426,0.024466106668114662,3
109,0,5.489198361058229,0.28277715544375664,0.02446645498275757,3
110,0,5.489198476659967,0.28277714792348857,0.024466585367918015,3
111,0,5.489198481463263,0.28277714761223927,0.02446659281849861,3
112,0,5.489198537398524,0.28277714397309633,0.024466656148433685,3
113,0,5.489198650461354,0.28277713661781456,0.02446678653359413,3
114,0,5.489198658097633,0.2827771361182312,0.02446679398417473,3
115,0,5.48919867582244,0.282777134964911,0.02446681447327137,3
116,0,5.489198899688235,0.282777120401807,0.02446707710623741,3
117,0,5.489198962666131,0.28277711630686575,0.02446715161204338,3
118,0,5.489198926088333,0.28277711868642724,0.02446710877120495,3
119,0,5.489199047342028,0.2827771107967992,0.02446725405752659,3
120,0,5.48919923966679,0.28277709828406,0.02446748875081539,3
121,0,5.489199270179852,0.2827770962978206,0.024467526003718376,3
122,0,5.4891995992989155,0.28277707488700565,0.024467937648296356,3
123,0,5.489199556650863,0.2827770776636081,0.02446788363158703,3
124,0,5.489199684444735,0.28277706934796465,0.02446804568171501,3
125,0,5.489199674820604,0.2827770699716274,0.024468034505844116,3
126,0,5.489199693143071,0.2827770687800519,0.024468058720231056,3
127,0,5.489199754761849,0.28277706477426534,0.024468136951327324,3
128,0,5.489199884104724,0.2827770563590221,0.024468306452035904,3
129,0,5.489199902557946,0.282777055159055,0.024468330666422844,3
130,0,5.489199990110176,0.28277704946070287,0.024468448013067245,3
131,0,5.489200089456492,0.282777042998359,0.02446858026087284,3
132,0,5.4892001386692595,0.2827770397971317,0.024468647316098213,3
133,0,5.489200073983289,0.28277704400512516,0.0244685597717762,3
134,0,5.489200067923057,0.282777044397849,0.024468550458550453,3
135,0,5.489200037866624,0.28277704635370726,0.02446851134300232,3
136,0,5.489200212894697,0.28277703496709233,0.02446874789893627,3
137,0,5.489200101788365,0.28277704219517413,0.024468597024679184,3
138,0,5.489200309224427,0.2827770287009244,0.024468880146741867,3
139,0,5.489200296248809,0.2827770295457116,0.024468863382935524,3
140,0,5.489200397750803,0.2827770229406943,0.024469004943966866,3
141,0,5.489200482972283,0.2827770173987914,0.024469126015901566,3
142,0,5.489200517086075,0.28277701517661696,0.024469174444675446,3
143,0,5.48920056116641,0.282777012308677,0.02446923591196537,3
144,0,5.489200533259384,0.28277701412472367,0.024469196796417236,3
145,0,5.489200561985497,0.2827770122555948,0.02446923777461052,3
146,0,5.4892004670399395,0.2827770184350818,0.024469103664159775,3
147,0,5.489200591118395,0.2827770103601109,0.02446928061544895,3
148,0,5.489200698694656,0.28277700336261224,0.024469437077641487,3
149,0,5.489200701962734,0.2827770031508334,0.024469440802931786,3
150,0,5.489200933093948,0.2827769881143394,0.024469787254929543,3
151,0,5.489201037852263,0.2827769812972198,0.024469947442412376,3
152,0,5.489201090317087,0.2827769778868006,0.024470029398798943,3
153,0,5.489201140184883,0.282776974641287,0.02447010762989521,3
154,0,5.489201114954786,0.2827769762832119,0.024470068514347076,3
155,0,5.489201175462433,0.2827769723448007,0.024470161646604538,3
156,0,5.489201165678741,0.2827769729822716,0.024470148608088493,3
157,0,5.489201127074502,0.2827769754943364,0.02447008714079857,3
158,0,5.489201248732539,0.28277696757954973,0.02447027899324894,3
159,0,5.489201343946131,0.2827769613858019,0.024470435455441475,3
160,0,5.489201343894532,0.2827769613891326,0.024470435455441475,3
161,0,5.489201335794599,0.2827769619140364,0.02447042055428028,3
162,0,5.4892014093803185,0.2827769571288331,0.02447054162621498,3
163,0,5.489201512056113,0.2827769504489219,0.02447071298956871,3
164,0,5.489201539593679,0.2827769486547031,0.024470757693052292,3
165,0,5.489201661734413,0.28277694071097426,0.024470968171954155,3
166,0,5.489201658633159,0.28277694091196853,0.024470962584018707,3
167,0,5.489201737855046,0.28277693575941026,0.0244711022824049,3
168,0,5.489201758117529,0.28277693444016594,0.024471137672662735,3
169,0,5.489201782730685,0.2827769328390187,0.024471182376146317,3
170,0,5.489201756598588,0.2827769345386016,0.024471133947372437,3
171,0,5.489201739332657,0.2827769356605704,0.02447110414505005,3
172,0,5.489201783108166,0.28277693281453914,0.024471182376146317,3
173,0,5.489201839677697,0.28277692913345437,0.024471282958984375,3
174,0,5.4892018962259375,0.2827769254539379,0.024471385404467583,3
175,0,5.489202014657248,0.2827769177497983,0.024471605196595192,3
176,0,5.489202049758463,0.2827769154664573,0.024471670389175415,3
177,0,5.489202077691173,0.28277691364772656,0.024471724405884743,3
178,0,5.489202075312192,0.2827769138047498,0.024471720680594444,3
179,0,5.489201997217229,0.2827769188857693,0.024471573531627655,3
180,0,5.489202029438493,0.2827769167890162,0.02447163313627243,3
181,0,5.489201981372425,0.28277691991549514,0.024471543729305267,3
182,0,5.4892020370982,0.2827769162897561,0.024471646174788475,3
183,0,5.48920200735849,0.28277691822567824,0.024471590295433998,3
184,0,5.489202023728813,0.28277691715902287,0.024471621960401535,3
185,0,5.489202030508189,0.2827769167197005,0.02447163499891758,3
186,0,5.489202140605618,0.2827769095565122,0.024471845477819443,3
187,0,5.489202142165514,0.2827769094554249,0.02447184920310974,3
188,0,5.489202196275786,0.2827769059349447,0.024471955373883247,3
189,0,5.489202273314458,0.28277690092338637,0.024472108110785484,3
190,0,5.489202273189089,0.2827769009315112,0.024472108110785484,3
191,0,5.489202285919865,0.2827769001011061,0.024472134187817574,3
192,0,5.489202266995096,0.2827769013329015,0.02447209507226944,3
193,0,5.489202286794685,0.28277690004441025,0.024472136050462723,3
194,0,5.4892023205401514,0.2827768978495449,0.024472203105688095,3
195,0,5.489202326682044,0.28277689745152573,0.02447221428155899,3
196,0,5.489202308679184,0.2827768986208449,0.024472178891301155,3
197,0,5.4892022772845195,0.2827769006634002,0.02447211556136608,3
198,0,5.489202303542113,0.2827768989564282,0.02447216957807541,3
199,0,5.489202293661229,0.282776899599445,0.024472147226333618,3
200,0,5.489202327135045,0.28277689741950346,0.02447221614420414,3
201,0,5.489202293910588,0.28277689958327623,0.024472149088978767,3
202,0,5.4892023328952,0.28277689704622255,0.024472229182720184,3
203,0,5.489202355840379,0.28277689555398833,0.024472273886203766,3
204,0,5.489202383698447,0.2827768937407712,0.024472331628203392,3
205,0,5.4892024030022,0.28277689248459326,0.024472374469041824,3
206,0,5.4892023882316,0.2827768934470165,0.024472342804074287,3
207,0,5.489202363060736,0.282776895083436,0.02447229065001011,3
208,0,5.489202395060071,0.28277689300188963,0.024472355842590332,3
209,0,5.48920245564977,0.2827768890599213,0.02447248250246048,3
210,0,5.489202502063768,0.28277688603938833,0.024472583085298538,3
211,0,5.489202526991413,0.2827768844189598,0.024472635239362717,3
212,0,5.489202577195878,0.2827768811530816,0.02447274699807167,3
213,0,5.489202629634169,0.28277687774022087,0.024472862482070923,3
214,0,5.4892026366964695,0.2827768772825632,0.024472879245877266,3
215,0,5.489202669939091,0.2827768751187095,0.024472953751683235,3
216,0,5.489202710576658,0.28277687247575833,0.024473046883940697,3
217,0,5.489202739599106,0.28277687058797074,0.02447311393916607,3
218,0,5.4892028057876505,0.2827768662803128,0.024473272264003754,3
219,0,5.489202831405258,0.2827768646134313,0.02447333373129368,3
220,0,5.4892028226171155,0.28277686518519224,0.024473311379551888,3
221,0,5.489202792333973,0.282776867156718,0.024473240599036217,3
222,0,5.489202791699871,0.28277686719780293,0.024473238736391068,3
223,0,5.489202775229602,0.28277686826972126,0.024473197758197784,3
224,0,5.489202809673426,0.28277686602850804,0.0244732815772295,3
225,0,5.489202770900094,0.2827768685502822,0.02447318844497204,3
226,0,5.489202769550103,0.2827768686377716,0.02447318471968174,3
227,0,5.489202771645914,0.28277686850195366,0.024473190307617188,3
228,0,5.489202772355913,0.28277686845594535,0.024473192170262337,3
229,0,5.489202793495974,0.28277686708141186,0.024473242461681366,3
230,0,5.489202760793397,0.28277686920753564,0.0244731642305851,3
