step,action,psnr_value,mse_value,ssim_value,rank
1,0,5.439500290945794,0.28603487039993375,0.02289011894943987,1
2,0,5.49955594963391,0.2821067691732498,0.023565732228631547,2
3,0,5.499557328331144,0.28210667969273273,0.023570644284704442,2
4,0,5.499557361437092,0.28210667754384733,0.023570457273764705,2
5,0,5.499556993865494,0.28210670140009525,0.023571748687639258,2
6,0,5.499557143861852,0.28210669166533014,0.02356793275413506,2
7,0,5.4995567742910145,0.2821067156512617,0.02356704496383567,2
8,0,5.49955725160387,0.28210668467207667,0.02356829753398186,2
9,0,5.499557391161999,0.2821066756148613,0.02356903807794119,2
10,0,5.499557368770677,0.28210667706809284,0.023568869791163422,2
11,0,5.499557412874219,0.2821066742054443,0.023570012058142856,2
12,0,5.499557404664916,0.2821066747382771,0.02357011218927192,2
13,0,5.499557323519008,0.2821066800051188,0.023570668637835634,2
14,0,5.499557350489145,0.2821066782542918,0.02357052351484815,2
15,0,5.499557409277712,0.2821066744389455,0.023570058884337778,2
16,0,5.499557315829629,0.2821066805042197,0.02357070639661067,2
17,0,5.4995572798522225,0.2821066828388113,0.02357086770949581,2
18,0,5.4995573015732155,0.2821066814293617,0.023570773073640482,2
19,0,5.499557387766735,0.2821066758352569,0.02357027002817719,2
20,0,5.499557410371354,0.28210667436798303,0.023570045218541887,2
21,0,5.499557425968864,0.2821066733556525,0.023569580575091287,2
22,0,5.499557407876356,0.2821066745300051,0.023569204125130618,2
23,0,5.499557392510997,0.28210667552727164,0.023569049745354707,2
24,0,5.499557404415062,0.2821066747546433,0.023569164954055106,2
25,0,5.4995574251295505,0.28210667341011864,0.023569529655724467,2
26,0,5.499557411607481,0.28210667428774666,0.023569250736289758,2
27,0,5.499557404159435,0.2821066747711695,0.02356916218839081,2
28,0,5.499557424090464,0.2821066734775328,0.02356948873746899,2
29,0,5.4995574230238065,0.2821066735468036,0.023569455961490272,2
30,0,5.499557398927476,0.2821066751106819,0.023569108734201673,2
31,0,5.499557389768648,0.2821066757053263,0.023569026259522907,2
32,0,5.499557380061839,0.28210667633535047,0.023568949511983177,2
33,0,5.499557393918205,0.2821066754359268,0.023569062166983415,2
34,0,5.499557422590284,0.28210667357498564,0.02356983583809092,2
35,0,5.499557404029053,0.2821066747796851,0.0235701190719905,2
36,0,5.499557380753418,0.28210667629032987,0.02357032492959307,2
37,0,5.4995573909153705,0.28210667563053393,0.023570243756847607,2
38,0,5.499557419512594,0.2821066737746884,0.02356990468152998,2
39,0,5.499557357945367,0.2821066777706282,0.02357047896956651,2
40,0,5.499557356884955,0.2821066778391822,0.023570485448086004,2
41,0,5.499557407276536,0.28210667456886296,0.023570082799048042,2
42,0,5.499557409167172,0.2821066744460916,0.02357006024085918,2
43,0,5.49955740083179,0.2821066749870087,0.023570152279210783,2
44,0,5.49955740909739,0.2821066744506029,0.023570061094964342,2
45,0,5.499557393619167,0.2821066754553642,0.023570220247713707,2
46,0,5.499557422135859,0.2821066736044939,0.023569847446318768,2
47,0,5.499557426031851,0.28210667335159034,0.02356969376499648,2
48,0,5.499557425582448,0.28210667338073575,0.023569726734518237,2
49,0,5.4995574223237975,0.28210667359217756,0.023569437310894628,2
50,0,5.4995574237933,0.28210667349684065,0.02356947893494545,2
51,0,5.499557422490138,0.28210667358142466,0.023569441583971642,2
52,0,5.499557420525236,0.2821066737090141,0.02356939583600098,2
53,0,5.499557417753423,0.28210667388889915,0.02356934304738424,2
54,0,5.499557419630689,0.2821066737670063,0.023569377636799064,2
55,0,5.499557425127396,0.28210667341025797,0.023569529555190184,2
56,0,5.499557423779134,0.28210667349775637,0.023569478482519057,2
57,0,5.499557426047357,0.2821066733505545,0.02356969225721898,2
58,0,5.499557425127396,0.28210667341025797,0.023569529555190184,2
59,0,5.4995574254764374,0.28210667338762946,0.023569547249074577,2
60,0,5.499557424636555,0.28210667344214185,0.023569508643848196,2
61,0,5.499557422814041,0.28210667356036384,0.02356945018034405,2
62,0,5.499557422378983,0.28210667358861025,0.023569438718498408,2
63,0,5.499557419889246,0.28210667375029064,0.023569382764783157,2
64,0,5.49955741544254,0.28210667403889766,0.02356930533959177,2
65,0,5.499557418176851,0.2821066738613403,0.0235693504882274,2
66,0,5.499557421103241,0.28210667367149433,0.02356940835405198,2
67,0,5.4995574243384935,0.28210667346149865,0.02356949743398955,2
68,0,5.499557423475819,0.28210667351746943,0.023569469082059567,2
69,0,5.499557414732585,0.28210667408501205,0.023569294580051414,2
70,0,5.499557422300027,0.2821066735938422,0.023569436707635286,2
71,0,5.499557420058783,0.28210667373916926,0.023569386183425196,2
72,0,5.499557420162365,0.28210667373247333,0.023569388294933793,2
73,0,5.499557426245488,0.2821066733377029,0.023569666222582844,2
74,0,5.499557426305195,0.2821066733338329,0.023569631642753934,2
75,0,5.499557419999377,0.2821066737430553,0.023569895033673047,2
76,0,5.499557421419405,0.2821066736509511,0.02356986453178634,2
77,0,5.499557413163081,0.2821066741867703,0.02357000803862864,2
78,0,5.499557415097234,0.2821066740612827,0.023569979901593752,2
79,0,5.499557414950832,0.2821066740707475,0.02356998211238836,2
80,0,5.499557422987916,0.2821066735491572,0.023569825084032606,2
81,0,5.4995574247487875,0.2821066734348281,0.023569766939837995,2
82,0,5.4995574256693045,0.28210667337510553,0.023569558659459835,2
83,0,5.4995574260396225,0.2821066733510781,0.02356958705921489,2
84,0,5.499557425577305,0.2821066733810525,0.023569553029681858,2
85,0,5.499557426242909,0.28210667333786954,0.023569666725188166,2
86,0,5.499557426116926,0.2821066733460495,0.02356959520201057,2
87,0,5.499557424960193,0.2821066734211392,0.023569522015091254,2
88,0,5.499557424923095,0.2821066734235376,0.023569520406529747,2
89,0,5.499557424152131,0.2821066734735736,0.02356978920286527,2
90,0,5.499557422492208,0.28210667358132663,0.023569838400957565,2
91,0,5.499557422951707,0.28210667355149827,0.023569826089089495,2
92,0,5.499557423292951,0.2821066735293229,0.02356981639024996,2
93,0,5.4995574256733235,0.2821066733748604,0.023569721155907355,2
94,0,5.4995574244157295,0.28210667345644186,0.023569779805212108,2
95,0,5.499557424541759,0.2821066734482945,0.02356977508122604,2
96,0,5.499557420740162,0.28210667369501,0.02356987960696575,2
97,0,5.499557419829043,0.2821066737542295,0.023569898450632617,2
98,0,5.499557418674804,0.28210667382902116,0.02356992050985132,2
99,0,5.499557409497719,0.2821066744247222,0.02357005617128966,2
100,0,5.499557409869251,0.28210667440044246,0.023570051549043215,2
101,0,5.499557414073277,0.2821066741276997,0.023569995075589354,2
102,0,5.499557409477408,0.2821066744260353,0.023570056422498115,2
103,0,5.49955741039507,0.2821066743664498,0.02357004491708848,2
104,0,5.499557416663463,0.28210667395961336,0.023569955281063298,2
105,0,5.499557420046566,0.2821066737400048,0.02356989407893233,2
106,0,5.499557424316269,0.28210667346296153,0.023569783423569902,2
107,0,5.499557422886032,0.28210667355574404,0.02356982789818945,2
108,0,5.499557417958093,0.2821066738755347,0.023569933373325417,2
109,0,5.499557418253133,0.2821066738564608,0.023569928147558265,2
110,0,5.499557412961208,0.2821066741998209,0.023570010852290223,2
111,0,5.499557410141193,0.2821066743828624,0.02357004813258697,2
112,0,5.499557411501219,0.2821066742946868,0.023570030597950938,2
113,0,5.499557415634552,0.2821066740263343,0.023569971661317888,2
114,0,5.499557408957401,0.28210667445965276,0.023570062803172552,2
115,0,5.499557407272214,0.28210667456914235,0.02357008284928845,2
116,0,5.499557401001476,0.28210667497603903,0.023570150571149712,2
117,0,5.499557397030362,0.28210667523376454,0.023570189152550134,2
118,0,5.499557406087574,0.282106674646012,0.02357009641410984,2
119,0,5.499557403108117,0.28210667483953,0.02357012886848208,2
