step,action,psnr_value,mse_value,ssim_value,rank
1,0,5.37551645196321,0.2902735181899857,0.01780780777335167,1
2,0,5.422254075640107,0.2871656203520289,0.018240628764033318,2
3,0,5.431161807954724,0.28657770848128444,0.018509114161133766,2
4,0,5.434062099961129,0.28638654895146604,0.018637966364622116,2
5,0,5.43556645083183,0.2862874467093406,0.018723811954259872,2
6,0,5.436356619397832,0.2862354064817552,0.018779141828417778,2
7,0,5.436788208633626,0.2862069861427272,0.018814630806446075,2
8,0,5.437092731351836,0.28618693488773284,0.018843265250325203,2
9,0,5.437262829848231,0.28617573539435776,0.018861155956983566,2
10,0,5.4374118071760345,0.2861659268871272,0.018878400325775146,2
11,0,5.437522466167319,0.2861586414320924,0.01889248564839363,2
12,0,5.4376002092009905,0.28615352322056803,0.01890324242413044,2
13,0,5.437668593215989,0.2861490211761982,0.01891346648335457,2
14,0,5.437720469098595,0.28614560601838673,0.01892182230949402,2
15,0,5.437767086397932,0.2861425370849164,0.018929891288280487,2
16,0,5.437794518613756,0.2861407311521379,0.018934940919280052,2
17,0,5.437823620976868,0.2861388153098432,0.018940594047307968,2
18,0,5.4378431692942275,0.28613752842693607,0.018944593146443367,2
19,0,5.437861474020201,0.2861363234062484,0.018948504701256752,2
20,0,5.437878688052862,0.28613519018639205,0.01895235851407051,2
21,0,5.4378943166889275,0.28613416134606545,0.018956026062369347,2
22,0,5.437907301674772,0.28613330653888397,0.018959207460284233,2
23,0,5.437920814900361,0.286132416966983,0.01896267756819725,2
24,0,5.437933203432486,0.28613160143057004,0.01896601915359497,2
25,0,5.437943927690414,0.2861308954596014,0.018969055265188217,2
26,0,5.437950660035976,0.2861304522628494,0.018971038982272148,2
27,0,5.437957228036766,0.28613001990100073,0.01897304132580757,2
28,0,5.437963940218942,0.28612957805052724,0.018975161015987396,2
29,0,5.43796992683985,0.2861291839510318,0.018977122381329536,2
30,0,5.437973574812038,0.2861289438007101,0.01897835172712803,2
31,0,5.437978314707362,0.28612863178332976,0.01897999458014965,2
32,0,5.437982399028889,0.2861283629081741,0.018981456756591797,2
33,0,5.437986634834095,0.28612808408468254,0.018983017653226852,2
34,0,5.437990305515578,0.28612784244553824,0.018984414637088776,2
35,0,5.437994329973241,0.28612757751815554,0.018985997885465622,2
36,0,5.437996919766993,0.28612740703541906,0.018987048417329788,2
37,0,5.437999183506374,0.28612725800621547,0.01898798532783985,2
38,0,5.4380013568023315,0.2861271149488592,0.01898890733718872,2
39,0,5.438003410725116,0.2861269797453979,0.018989797681570053,2
40,0,5.438005120230278,0.2861268672041193,0.01899055205285549,2
41,0,5.438008296208246,0.28612665813617116,0.018991999328136444,2
42,0,5.4380107364506305,0.28612649749156416,0.01899314671754837,2
43,0,5.438011488990242,0.2861264479599491,0.01899350807070732,2
44,0,5.438012784618848,0.28612636267304953,0.01899414137005806,2
45,0,5.438013198320348,0.28612633543703825,0.018994342535734177,2
46,0,5.438015099334086,0.2861262102967761,0.018995296210050583,2
47,0,5.438016798432881,0.2861260984444175,0.01899617165327072,2
48,0,5.4380173637325155,0.2861260612290261,0.01899646781384945,2
49,0,5.438018261595168,0.2861260021300119,0.018996944651007652,2
50,0,5.438018943421861,0.28612595724401496,0.0189973097294569,2
51,0,5.438020713765177,0.2861258407039994,0.0189982820302248,2
52,0,5.438022122513231,0.28612574797156387,0.018999075517058372,2
53,0,5.438023411589871,0.2861256631159184,0.018999820575118065,2
54,0,5.438024797831497,0.2861255718576889,0.019000645726919174,2
55,0,5.4380258486186275,0.2861255026830579,0.01900128461420536,2
56,0,5.438026688930461,0.28612544737258633,0.019001808017492294,2
57,0,5.438027605499977,0.28612538703788815,0.019002389162778854,2
58,0,5.4380290031203815,0.28612529503007333,0.019003303721547127,2
59,0,5.438029791542195,0.28612524312875975,0.01900383271276951,2
60,0,5.4380304971276665,0.2861251966807279,0.01900431513786316,2
61,0,5.438030625634331,0.2861251882201797,0.019004404544830322,2
62,0,5.438031885501484,0.286125105289979,0.019005294889211655,2
63,0,5.43803309123057,0.28612502591348526,0.01900618150830269,2
64,0,5.438033675769029,0.2861249874354404,0.019006621092557907,2
65,0,5.438034428940406,0.28612493785725923,0.019007202237844467,2
66,0,5.43803457482924,0.28612492825338326,0.01900731772184372,2
67,0,5.438035178968014,0.28612488848286954,0.01900779828429222,2
68,0,5.438035996216807,0.286124834684827,0.019008465111255646,2
69,0,5.438036671977318,0.28612479020563697,0.01900903508067131,2
70,0,5.43803680640361,0.286124781356585,0.019009150564670563,2
71,0,5.438037302139968,0.2861247487211017,0.019009582698345184,2
72,0,5.438037435907793,0.28612473991622284,0.019009700044989586,2
73,0,5.43803795626172,0.28612470566360143,0.019010163843631744,2
74,0,5.438038563050753,0.28612466571484296,0.019010722637176514,2
75,0,5.438039210420483,0.2861246231040541,0.01901133917272091,2
76,0,5.438039885491319,0.286124578664704,0.019012002274394035,2
77,0,5.43803997653283,0.28612457267151387,0.019012093544006348,2
78,0,5.438040168692194,0.2861245600189793,0.019012289121747017,2
79,0,5.438040149958488,0.2861245612531757,0.019012270495295525,2
80,0,5.438040338416965,0.28612454884964056,0.019012462347745895,2
81,0,5.438040858569236,0.2861245146074965,0.01901300996541977,2
82,0,5.438040967952357,0.28612450740753226,0.01901312731206417,2
83,0,5.438041255837969,0.2861244884544388,0.01901344023644924,2
84,0,5.438041370617723,0.2861244809013803,0.01901356503367424,2
85,0,5.438041550935272,0.2861244690300249,0.019013766199350357,2
86,0,5.438041745260782,0.286124456235593,0.019013987854123116,2
87,0,5.438041969453401,0.28612444147846344,0.01901424303650856,2
88,0,5.438041973422644,0.2861244412182105,0.01901424676179886,2
89,0,5.4380420359041715,0.28612443710596863,0.019014321267604828,2
90,0,5.43804198578834,0.2861244404022684,0.0190142635256052,2
91,0,5.4380421076976,0.2861244323781484,0.019014405086636543,2
92,0,5.4380419285227255,0.28612444417254035,0.01901419647037983,2
93,0,5.438041862442791,0.28612444852602065,0.01901412010192871,2
